2Tim.1.1 | Pál, Krisztus Jézus apostola, Isten akaratából, a Krisztus Jézusban való élet ígérete szerint,
2Tim.2.10 | Azért mindent elszenvedek a választottakért, hogy ők is elnyerjék az üdvösséget a Krisztus Jézusban az örök dicsőséggel együtt.
2Tim.2.11 | Igaz beszéd ez. Mert ha vele együtt meghaltunk, vele együtt élni is fogunk.
2Tim.2.12 | "Ha tűrünk, vele együtt fogunk uralkodni is; ha megtagadjuk, ő is megtagad minket;"
2Tim.2.13 | ha hűtelenek vagyunk is, ő hű marad: ő magát meg nem tagadhatja.
2Tim.2.14 | Ezekre emlékeztesd, kérve-kérd őket az Isten színe előtt, hogy ne vitatkozzanak haszontalanul a hallgatók romlására.
2Tim.2.15 | Igyekezzél, hogy mint kipróbált ember állj Isten szolgálatára, mint oly munkás, aki nem vall szégyent, aki helyesen fejtegeti az igazság beszédét.
2Tim.2.16 | A szentségtelen üres fecsegőket pedig kerüld, mert ezek mind mélyebbre süllyednek az istentelenségben,
2Tim.2.17 | "és beszédük úgy terjed, mint a rákfekély; közülük való Himenéus és Filétus,"
2Tim.2.18 | akik az igazság mellől eltévelyedtek, mikor azt állították, hogy a feltámadás már megtörtént és ezzel megzavarják némelyek hitét.
2Tim.2.19 | "Mindazáltal megáll az Istennek erős fundamentuma, amelynek pecséte ez: Ismeri az Úr az övéit; és: Álljon el a gonoszságtól mindaz, aki az Úr nevét vallja!"
2Tim.2.20 | Nagy házban pedig nemcsak arany- és ezüstedények vannak, hanem fa- és cserépedények is. Amazok ékességre, emezek közönséges használatra valók.
2Tim.2.21 | Ha tehát valaki ez utóbbiaktól magát tisztán tartja, ékességre való edény lesz, megszentelt és a gazdának hasznos, minden jócselekedetre alkalmas.
2Tim.2.22 | "Az ifjúkori kívánságokat pedig kerüld; de törekedjél igazságra, hitre, szeretetre, békességre azokkal együtt, akik segítségül hívják az Urat tiszta szívből."
2Tim.2.23 | A balga és értelmetlen vitatkozásokat pedig kerüld, hiszen tudod, hogy azok csak torzsalkodást szülnek.
2Tim.2.24 | Az Úr szolgájának pedig nem illik torzsalkodni, hanem legyen mindenkihez nyájas, tanításra alkalmas és türelmes,
2Tim.2.25 | aki szelíden fenyíti az ellenszegülőket, hátha az Isten megadja egyszer nekik, hogy megtérjenek, megismerjék az igazságot,
2Tim.2.26 | és kiszabaduljanak az ördög tőréből, aki foglyul ejtette őket az ő akaratának teljesítésére.

2Tim.3.1 | Azt pedig tudd meg, hogy az utolsó napokban nehéz idők következnek.
2Tim.3.2 | Az emberek ugyanis magukat fogják szeretni, pénzsóvárak lesznek, kérkedők, kevélyek, istenkáromlók, szüleik iránt engedetlenek hálátlanok, istentelenek,
2Tim.3.3 | szeretetlenek, kérlelhetetlenek, rágalmazók, mértéktelenek, féktelenek, a jónak nem kedvelői,
2Tim.3.4 | árulók, elvetemedettek, felfuvalkodottak, élvezetet hajhászok inkább mint Istent szeretők.
2Tim.3.5 | Az ilyeneknél ugyan megvan a kegyesség látszata, de annak erejét megtagadják. Ezeket kerüld.
2Tim.3.6 | Mert közülök valók azok, akik belopakodnak a házakba és foglyul ejtik a bűnökkel terhelt és sokféle vágytól űzött asszonynépet,
2Tim.3.7 | akik mindenkor tanulnak ugyan, de az igazság megismerésére soha el nem juthatnak.
2Tim.3.8 | És amint Jánnes és Jámbres elleneszegültek Mózesnek, úgy ezek is elleneszegülnek az igazságnak: romlott gondolkozású és hit dolgában megbízhatatlan emberek.
2Tim.3.9 | De nem jutnak messzire, mert esztelenségük nyilvánvaló lesz mindenki előtt, amint amazoké is az lett.
2Tim.3.10 | Te azonban az én tanításomat követted, az én életmódomat, szándékomat, hitemet, hosszútűrésemet, szeretetemet, állhatatosságomat,
2Tim.3.11 | üldöztetéseimet, szenvedéseimet, amelyek rajtam Antiókhiában, Ikóniuniban, Lisztrában estek, milyen nagy üldöztetéseket szenvedtem! — de mindezekből megszabadított engem az Úr.
2Tim.3.12 | De hiszen mindazok, akik kegyesen akarnak élni Krisztus Jézusban, üldöztetni fognak.
2Tim.3.13 | A gonosz emberek pedig és az ámítók még tovább mennek a rosszaságban, csalva és megcsalatva.
2Tim.3.14 | De te maradj meg mindabban, amit tanultál és amiről meggyőződtél, mert tudod, kitől tanultad.
2Tim.3.15 | és mert gyermekségedtől fogva ismered a szent írásokat, amelyek téged bölccsé tehetnek az üdvösségre a Krisztus Jézusban való hit által.
2Tim.3.16 | Az Istentől ihletett teljes Írás hasznos a tanításra, a feddésre, a megjobbításra és az igazságban való nevelésre,
2Tim.3.17 | hogy tökéletes legyen az Isten embere, felkészítve minden jócselekedetre.

2Tim.4.1 | Kérve kérlek az Isten és a Krisztus Jézus színe előtt, aki ítélni fog élőket és holtakat az ő eljövetelekor és az ő országában,
2Tim.4.2 | hirdesd az igét, állj elő vele alkalmas és alkalmatlan időben, ints, feddj, buzdíts teljes béketűréssel és tanítással.
2Tim.4.3 | "Mert lesz idő mikor az egészséges tanítást nem szenvedik el, hanem saját kívánságaik szerint gyűjtenek maguknak tanítókat, mert viszket a fülük;"
2Tim.4.4 | és az igazságtól elfordítják az ő fülüket, de a mesékhez odafordulnak.
2Tim.4.5 | De te légy mindenben józan, vállald a szenvedést, végezd az evangélista munkáját, töltsd be teljesen szolgálatodat.
2Tim.4.6 | Mert én immár megáldoztatom és elköltözésem ideje elérkezett.
2Tim.4.7 | A nemes harcot megharcoltam, futásomat elvégeztem, a hitet megtartottam:
2Tim.4.8 | "végezetre eltétetett nekem az igazság koronája, amelyet megad nekem azon a napon az Úr, az igaz bíró; de nemcsak nekem, hanem mindazoknak is, akik vágyva várták az ő megjelenését."
2Tim.4.9 | Igyekezzél hoznám jönni hamar.
2Tim.4.10 | Mert Démás elhagyott engem, mivel szerette a mostani világot s elment Thessalonikába, Kreszcens Galáciába, Titus Dalmáciába.
2Tim.4.11 | Egyedül Lukács van velem. Márkot magadhoz véve, hozd magaddal, mert ő hasznos nekem a szolgálatban.
2Tim.4.12 | Ti-ikust pedig Efézusba küldtem.
2Tim.4.13 | Köpönyegemet, amelyet Tróásban Kárpusnál hagytam, jöttödben hozd el, a könyveket is, de főképen a tekercseket.
2Tim.4.14 | Sándor, a rézműves, sok bajt szerzett nekem: megfizet majd neki az Úr cselekedetei szerinti
2Tim.4.15 | Tőle te is őrizkedjél, mert nagyon szembehelyezkedett a mi beszédeinkkel.
2Tim.4.16 | Első védekezésem alkalmával senki sem volt mellettem, sőt mindnyájan elhagytak — ne számíttassák be nekik!
2Tim.4.17 | De az Úr mellettem állott és megerősített engem, hogy az igehirdetést teljesen elvégezzem és az összes pogányok meghallják azt. És megmenekültem az oroszlán szájából.
2Tim.4.18 | "Megszabadít engem az Úr minden gonosz cselekedettől és megtart az ő mennyei országa számára; övé a dicsőség örökkön-örökké. Ámen."
2Tim.4.19 | Köszöntsd Priszkát és Akvilát és Onéziforus házanépét.
2Tim.4.20 | Erásztus Korinthusban maradt, Trofimust pedig Milétusban hagytam betegen.
2Tim.4.21 | Igyekezzél eljönni tél beállta előtt. Köszönt téged Eubulus, Pudens, Linus és Klaudia és az összes atyafiak.
2Tim.4.22 | Az Úr legyen a te lelkeddel! Kegyelem veletek!
