John.1.1 | Kezdetben volt az Ige, és az Ige Istennél volt, és az Ige Isten volt.
John.4.34 | Szólott nekik Jézus: Az én eledelem az, hogy annak akaratát cselekedjem, aki elküldött engem és az ő dolgát elvégezzem.
John.4.35 | Ti nem azt mondjátok-e: még négy hónap és eljön az aratás? Íme mondom nektek: Emeljétek fel szemeteket és lássátok meg a mezőket, hogy már fehérek az aratásra.
John.4.36 | Az arató jutalmat nyer és az örök életre takarja be a termést, hogy a magvető és az arató együtt örüljön.
John.4.37 | Mert ebben igaz az a mondás, hogy más a magvető és más az arató.
John.4.38 | "Én titeket annak aratására küldöttelek, amiért nem ti fáradoztatok; mások fáradoztak és ti a mások munkájába állottatok be."
John.4.39 | Abból a városból pedig sokan hittek benne a samáriabeliek közül annak az asszonynak beszédéért, aki bizonyságot tett, hogy: Mindent megmondott nekem, amit cselekedtem.
John.4.40 | Amint azért odamentek hozzá a samáriabeliek, kérték őt, hogy maradjon náluk, és ottmaradt két napig.
John.4.41 | És sokkal többen hittek az ő beszédéért,
John.4.42 | és azt mondták az asszonynak: Most már nem a te beszédedért hiszünk, mert magunk hallottuk és tudjuk, hogy valóban ez a világ Megváltója.
John.4.43 | Két nap múlva pedig eltávozott onnét Galileába.
John.4.44 | Mert Jézus maga tett bizonyságot arról, hogy a prófétának nincs tisztessége a maga hazájában.
John.4.45 | Mikor azért Galileába érkezett, a galileabeliek befogadták őt, mivel látták mindazt amit Jeruzsálemben cselekedett az ünnepen. Mert ők is elmentek az ünnepre.
John.4.46 | Ekkor ismét a galileai Kánába ment, ahol a vizet borrá változtatta. És volt Kapernaumban egy királyi tisztviselő, akinek beteg volt a fia.
John.4.47 | "Mikor ez meghallotta, hogy Jézus Júdeából Galileába érkezett elment hozzá és kérte őt, hogy menjen el vele és gyógyítsa meg a fiát; mert már haldoklott."
John.4.48 | Szólott azért neki Jézus: Ha jeleket és csodákat nem láttok, nem hisztek.
John.4.49 | A királyi tisztviselő így felelt: Uram, jöjj, mielőtt a gyermekem meghal.
John.4.50 | "Jézus ezt mondta neki: Menj el; a te fiad él. Hitt az ember a szónak, amit Jézus mondott neki, és elment."
John.4.51 | Amint pedig már útban volt, eléje jöttek a szolgái és hírt hoztak neki, hogy a fia él.
John.4.52 | Megtudakolta azért tőlük az órát, amelyben az megkönnyebbedett, és azok elmondták neki, hogy: Tegnap hét órakor hagyta el őt a láz.
John.4.53 | Megértette azért az atya, hogy ez abban az. órában történt, amelyben Jézus azt mondta neki: A te fiad él. És hitt ő és egész házanépe.
John.4.54 | Ezt ismét második jel gyanánt cselekedte Jézus, mikor Júdeából Galileába ment

John.5.1 | Ezek után volt a zsidók ünnepe és Jézus felment Jeruzsálembe.
John.5.2 | Van pedig Jeruzsálemben a Juhkapunál egy tó, amelyet héberül Betesdának neveznek. Ennek öt tornáca van.
John.5.3 | Ezekben feküdt a vakoknak, sántáknak, aszkórosoknak nagy sokasága, várva a víz megmozdulását.
John.5.4 | Mert időnként az Úr angyala szállott le a tóra és felkavarta a vizet. Aki mármost elsőnek lépett bele a víz felkavarása után, meggyógyult, bármilyen betegségben volt is.
John.5.5 | Volt pedig ott egy ember, aki harmincnyolc esztendő óta feküdt betegen.
John.5.6 | Amint Jézus ezt ott feküdni látta és megtudta, hogy már olyan régóta beteg, így szólt hozzá: Akarsz-e meggyógyulni?
John.5.7 | Felelt neki a beteg: Uram, nincs senkim, aki bevinne a tóba, amikor a víz felkavarodik. És mire én odaérek, már más lép be előttem.
John.5.8 | Szólott neki Jézus: Kelj fel, vedd az ágyadat és járj!
John.5.9 | "Erre azonnal meggyógyult az ember; felvette az ágyát és járt. Aznap pedig szombat volt."
John.5.10 | "A zsidók azért így szóltak a meggyógyulthoz: Szombat van; nem szabad az ágyat hordoznod."
John.5.11 | Ő így felelt nekik: Aki engem meggyógyított, az mondta nekem: Vedd az ágyadat és járj.
John.5.12 | Megkérdezték azért tőle: Kicsoda az az ember, aki azt mondta neked: Vedd az ágyadat és járj?
John.5.13 | A meggyógyult ember pedig nem tudta, ki az. Jézus ugyanis eltávozott, mivel sokan voltak azon a helyen.
John.5.14 | "Ezek után találkozott vele Jézus a templomban és így szólt neki: íme, meggyógyultál; többé ne vétkezzél, hogy gonoszabbul ne legyen dolgod!"
John.5.15 | Elment az ember és hírül adta a zsidóknak, hogy Jézus az, aki őt meggyógyította.
John.5.16 | És e miatt üldözték a zsidók Jézust és meg akarták ölni, mert ezt szombaton cselekedte.
John.5.17 | Jézus pedig így felelt nekik: Az én Atyám mindezideig munkálkodik, én is munkálkodom.
John.5.18 | E miatt azután a zsidók még inkább meg akarták őt ölni, mivel nemcsak a szombatot szegte meg, hanem Istent is tulajon Atyjának mondta s ily módon egyenlővé tette magát az Istennel.
John.5.19 | Felelt azért Jézus és azt mondta nekik: Bizony, bizony mondom nektek: a Fiú semmit sem tehet magától, csak ha látja, hogy mit cselekszik az Atya, mert amiket az cselekszik, ugyanazokat cselekszi hasonlóképen a Fiú is.
John.5.20 | "Mert az Atya szereti a Fiút és mindent megmutat neki, amit ő maga cselekszik; és ezeknél nagyobb dolgokat is mutat majd neki, hogy csodálkozzatok."
John.5.21 | Mert amint az Atya feltámasztja a halottakat és megeleveníti, úgy a Fiú is megeleveníti azokat, akiket akar.
John.5.22 | Mert az Atya nem ítél senkit, hanem az ítéletet teljesen a Fiúnak adta át,
John.5.23 | hogy mindenki úgy tisztelje a Fiút, amint tisztelik az Atyát. Aki nem tiszteli a Fiút, nem tiszteli az Atyát sem, aki őt elküldötte.
John.5.24 | "Bizony, bizony mondom nektek, hogy aki az én beszédemet hallja és hisz annak, aki engem elküldött, örök élete van; s nem megy az ítéletre, hanem átment a halálból az életre."
John.5.25 | Bizony, bizony mondom nektek, hogy eljön az óra, — és az most van, — mikor a halottak meghallják az Isten Fiának szavát és akik meghallják, élni fognak.
John.5.26 | Mert amint az Atyának élete van önmagában, úgy a Fiúnak is megadta, hogy élete legyen önmagában.
John.5.27 | És hatalmat adott neki az ítélettételre is, mivel Ember Fia.
John.5.28 | "Ne csodálkozzatok ezen; mert eljön az óra, amelyben mindazok, akik a sírokban vannak, meghallják az ő szavát,"
John.5.29 | és kijönnek azok, akik a jót tették, hogy feltámadjanak az életre, azok pedig, akik a gonoszt cselekedték, hogy feltámadjanak az ítéletre.
John.5.30 | "Én semmit nem cselekedhetem magamtól; amint hallok, úgy ítélek, és az én ítéletem igazságos, mert nem a magam akaratát keresem, hanem annak akaratát, aki elküldött engem."
John.5.31 | Ha én teszek bizonyságot magamról, az én bizonyságtételem nem igaz.
John.5.32 | "Más az, aki bizonyságot tesz rólam; és tudom, hogy igaz az a bizonyságtétel, amelyet tesz rólam."
John.5.33 | Ti elküldtetek Jánoshoz és ő bizonyságot tett az igazságról.
John.5.34 | De én nem embertől nyerem a bizonyságtételt, hanem ezeket azért mondom, hogy ti megtartassatok.
John.5.35 | Ő az égő és fénylő szövétnek volt, de ti csak ideig-óráig akartatok örvendezni, az ő világosságában.
John.5.36 | "Nekem pedig nagyobb bizonyságom van a Jánosénál; mert azok a cselekedetek, amelyeket rámbízott az Atya, hogy azokat elvégezzem, azok maguk, amelyeket én cselekszem, tesznek bizonyságot rólam, hogy az Atya küldött engem."
John.5.37 | Aki elküldött engem, maga az Atya is bizonyságot tett rólam. Sem hangját nem hallottátok soha, sem arcát nem láttátok,
John.5.38 | az ő igéje sincs maradandóan bennetek, mert nem hisztek annak, akit ő elküldött.
John.5.39 | "Ti azért tudakozzátok az írásokat, mert azt gondoljátok, hogy azokban van a ti örök életetek; pedig ezek rólam tesznek bizonyságot."
John.5.40 | És még sem akartok hozzám jönni, hogy életetek legyen.
John.5.41 | Dicsőséget emberektől nem fogadok el.
John.5.42 | De megismertelek titeket, hogy nincs bennetek szeretet Isten iránt.
John.5.43 | "Én az én Atyám nevében jöttem, és nem fogadtatok be engem; ha más jönne a maga nevében, azt befogadnátok."
John.5.44 | Mimódon tudnátok hinni ti, akik egymástól fogadtok el dicsőséget, és azt a dicsőséget, amely az egy Istentől van, nem keresitek?
John.5.45 | Ne gondoljátok, hogy én vádollak majd titeket az Atyánál! Van, aki vádoljon titeket: Mózes az, akiben ti reménykedtek.
John.5.46 | "Mert ha hinnétek Mózesnek, nekem is hinnétek; mert ő énrólam írt."
John.5.47 | Ha pedig az ő írásainak nem hisztek, hogyan fogtok hinni az én beszédeimnek?

John.6.1 | Ezek után elment Jézus Galilea tengerének, más néven a Tiberiás-tavának túlsó partjára.
John.6.2 | És nagy sokaság követte őt, mivel látták a jeleket, amelyeket a betegeken cselekedett.
John.6.3 | Felment pedig Jézus a hegyre és leült ott tanítványaival.
John.6.4 | Közel volt pedig a húsvét, a zsidók ünnepe.
John.6.5 | Mikor azért felemelte Jézus a szemeit és látta, hogy nagy sokaság jön hozzá, így szólt Fülöpnek: Honnét vegyünk kenyeret, hogy ezek ehessenek?
John.6.6 | Ezt pedig azért mondta, hogy próbára tegye, mert ő maga tudta, mit akar cselekedni.
John.6.7 | Felelt neki Fülöp: Kétszáz dénár áru kenyér sem elég ezeknek, hogy mindegyikük kapjon valami keveset.
John.6.8 | Tanítványai közül az egyik, András, Simon Péter testvére, azt mondta neki:
John.6.9 | Van itt egy gyermek, akinek van öt árpakenyere és két hala, de mi ez ennyi sok népnek?
John.6.10 | Jézus pedig szólt: Ültessétek le az embereket. Nagy fű volt pedig azon a helyen. Letelepedtek azért a férfiak, számszerint mintegy ötezeren.
John.6.11 | "Ekkor Jézus vette a kenyereket, hálát adott és szétosztotta a tanítványoknak, a tanítványok pedig az ott ülőknek; hasonlóképen a halakból is adott, amennyit akartak."
John.6.12 | Mikor pedig jóllaktak, így szólt tanítványainak: Szedjétek össze a megmaradt darabokat, hogy semmi el ne vesszen.
John.6.13 | összeszedték tehát és megtöltöttek tizenkét kosarat az öt árpakenyérből való darabokkal, amelyek megmaradtak azok után, akik ettek.
John.6.14 | Az emberek azért, látva a jelt, amelyet cselekedett, azt mondták: Valóban ez az a próféta, akinek el kell jönnie a világba.
John.6.15 | Jézus azért, amint észrevette, hogy készülnek jönni és el akarják őt ragadni, hogy királlyá tegyék, ismét visszavonult a hegyre egymagában.
John.6.16 | Mikor pedig este lett, tanítványai lementek a tengerhez,
John.6.17 | és hajóra szállva, elindultak a tengeren túl Kapernaumba. Immár sötét volt és Jézus még mindig nem ment hozzájuk.
John.6.18 | És a tenger a nagy szél fúvása miatt háborgott.
John.6.19 | Mikor azért huszonöt vagy harminc futamatnyira beeveztek, meglátták Jézust, amint a tengeren járt és a hajóhoz közeledett, és megrémültek.
John.6.20 | Ő pedig így szólt nekik: Én vagyok, ne féljetek!
John.6.21 | "Ekkor be akarták őt venni a hajóba; és a hajó azonnal ott volt a szárazföldnél, ahova menni akartak."
John.6.22 | "Másnap a tenger túlsó partján álló sokaság látta, hogy nem volt ott más hajó, csak egy, és hogy Jézus nem ment be a tanítványaival a hajóba, hanem csak tanítványai mentek el; (A 22. versben egyes kéziratok a „nem volt ott más hajó, csak egy"" szavak után közbeiktatják: ,,amelybe Jézus tanítványai szálltak be"". )"
John.6.23 | — de jöttek más hajók Tiberiásból, közel ahhoz a helyhez, ahol a kenyeret ették, miután hálát adott az Úr: —
