Mark.1.1 | Jézus Krisztusról, az Isten Fiáról szóló evangéliom kezdete.
Mark.1.27 | "És mindnyájan megdöbbentek úgyannyira, hogy egymást kérdezgették: Mi ez? Isteni hatalom szerint való új tanítás; még a tisztátalan lelkeknek is parancsol és azok engedelmeskednek neki."
Mark.1.28 | És egyszerre elterjedt a híre mindenütt Galilea egész tartományában
Mark.1.29 | És mindjárt, amikor a zsinagógából eltávoztak, Simon és András házához mentek, Jakabbal és Jánossal együtt.
Mark.1.30 | Simon napa pedig lázas betegen feküdt és azonnal szóltak neki felőle.
Mark.1.31 | És odament hozzá, megfogta a kezét és talpra állította. És elhagyta őt a láz és szolgált nekik.
Mark.1.32 | Estefelé pedig, mikor leszállt a nap, elvitték hozzá a betegeket és az ördöngösöket mind.
Mark.1.33 | És az egész város odagyűlt az ajtó elé.
Mark.1.34 | "És meggyógyított sokakat, akik különféle betegségekben sínylődtek; és sok ördögöt kiűzött és nem engedte beszélni az ördögöket, mivel azok ismerték őt."
Mark.1.35 | Kora reggel pedig, még szürkületkor felkelve, kiment és elvonult egy puszta helyre és ott imádkozott.
Mark.1.36 | Simon pedig és a vele levők utána siettek,
Mark.1.37 | és mikor megtalálták, azt mondták neki: Mindenki téged keres.
Mark.1.38 | ő azonban így felelt nekik: Menjünk máshová, a szomszédos helységekbe, hogy ott is prédikáljak, mert azért jöttem.
Mark.1.39 | így járta be egész Galileát, prédikált az ő zsinagógáikban és ördögöket űzött ki.
Mark.1.40 | És odament hozzá egy bélpoklos, aki kérte őt és leborulva előtte, azt mondta neki: Ha akarod, megtisztíthatsz engem.
Mark.1.41 | Jézus pedig könyörületességre indult, kinyújtotta kezét, megérintette és szólt hozzá: Akarom, tisztulj meg!
Mark.1.42 | És azonnal eltávozott róla a poklosság és megtisztult.
Mark.1.43 | Ekkor ráparancsolt és mindjárt elküldőtte őt
Mark.1.44 | és azt mondta neki: Vigyázz, hogy senkinek semmit ne szólj,,hanem menj, mutasd meg magadat a papnak és vidd fel a te tisztulásodért, amit Mózes parancsolt, bizonyságul nekik.
Mark.1.45 | De az, miután eltávozott, kezdte mindenfelé hirdetni és terjeszteni azt, ami vele történt, úgyhogy Jézus nyilvánosan már nem mehetett városba, hanem künn, puszta helyeken tartózkodott és hozzámentek mindenünnen.

Mark.2.1 | Napok múlva pedig ismét bement Kapernaumba és meghallották, hogy otthon van.
Mark.2.2 | Ekkor sokan összegyűltek, úgyhogy még az ajtó előtt sem fértek el és hirdette nekik az igét.
Mark.2.3 | És hozzámentek, egy gutaütöttet vittek, akit négyen emeltek.
Mark.2.4 | És mivel a sokaság miatt nem férkőzhettek azzal őhozzá, megbontották felette a háztetőt, rést törtek ós leeresztették az ágyat, amelyen a gutaütött feküdt.
Mark.2.5 | Jézus pedig, mikor látta hitüket, így szólott a gutaütöttnek: Fiam, megbocsáttattak a te bűneid.
Mark.2.6 | Az írástudók közül pedig néhányan ott ültek és szívükben így okoskodtak:
Mark.2.7 | Miért beszél ez így? Istent káromolja. Kicsoda bocsáthat meg bűnöket, hacsak nem egyedül az Isten?
Mark.2.8 | És Jézus azonnal észrevette lelkében, hogy azok magukban így okoskodnak és ezt mondta nekik: Miért okoskodtok így szívetekben?
Mark.2.9 | Mi könnyebb: azt mondanom-e a gutaütöttnek: Megbocsáttattak a te bűneid! vagy ezt mondanom: Kelj fel, vedd az ágyadat és járj?
Mark.2.10 | Hogy pedig megtudjátok, hogy az Ember Fiának van hatalma a földön a bűnöket megbocsátani, így szólt a gutaütöttnek:
Mark.2.11 | Mondom neked, kelj fel, vedd az ágyadat és eredj haza.
Mark.2.12 | Az pedig felkelt, azonnal felvette ágyát, és mindenki láttára kiment, úgyhogy valamennyien elcsodálkoztak és dicsőítették az Istent, és így szóltak: Sohasem láttunk ilyent!
Mark.2.13 | "És ismét kiment a tenger mellé; és az egész sokaság odament hozzá, és tanította őket."
Mark.2.14 | És amint tovább ment, meglátta Lévit, az Alfeus fiát, aki a vámszedő helyen ült és így szólt hozzá: Kövess engem! Az pedig felkelt és követte őt.
Mark.2.15 | És történt, hogy mikor annak házában asztalhoz telepedett, sok vámszedő és bűnös is odaült Jézussal és az ő tanítványaival együtt, mert sokan voltak és követték őt.
Mark.2.16 | És mikor az írástudók és a farizeusok látták, hogy együtteszik a bűnösökkel és vámszedőkkel, így szóltak tanítványainak: Miért eszik együtt a vámszedőkkel és bűnösökkel?
Mark.2.17 | "És mikor Jézus ezt meghallotta, azt mondta nekik: Nem az egészségeseknek van szükségük orvosra, hanem a betegeknek; nem azért jöttem, hogy az igazakat hívjam, hanem a bűnösöket a megtérésre."
Mark.2.18 | A János tanítványai és a farizeusok éppen böjtöltek. Odamentek azért és így szóltak hozzá: Miért böjtölnek a János tanítványai és a farizeusok tanítványai, a te tanítványaid pedig nem böjtölnek?
Mark.2.19 | Jézus pedig felelt nekik: Vájjon böjtölhet-e a násznép, amíg velük van a vőlegény? Ameddig velük van a vőlegény, nem böjtölhetnek.
Mark.2.20 | De jönnek majd napok, amikor elvétetik tőlük a vőlegény és akkor böjtölni fognak azon a napon.
Mark.2.21 | Senki sem varr új posztóból foltot ócska ruhára, különben a folt kiszakít abból, az új az ócskából és nagyobb szakadás támad.
Mark.2.22 | "És senki sem tölt új bort régi tömlőkbe; különben a bor a tömlőket szétszakítja, a bor pedig a tömlőkkel együtt tönkre megy; hanem az új bor új tömlőkbe való."
Mark.2.23 | És történt, hogy szombatnapon ment át a vetések között és tanítványai mentükben kalászokat kezdtek szaggatni.
Mark.2.24 | Ekkor a farizeusok így szóltak hozzá: Nézd, miért teszik ők szombatnapon azt, ami nem szabad?
Mark.2.25 | ő pedig azt mondta nekik: Sohasem olvastátok, mit tett Dávid, mikor szükséget szenvedett és társaival együtt megéhezett?
Mark.2.26 | "Hogyan ment be az Isten házába Abjátár főpap idejében és ette meg a felrakott szent kenyereket, amelyeket csak a papoknak szabad megenniük; ós adott társainak is?"
Mark.2.27 | És szólott nekik: A szombat lett az emberért, nem az ember a szombatért. (A 17. versbeli két utolsó szó nincs meg a legrégibb kéziratokban.)
Mark.2.28 | Az Ember Fia tehát a szombatnak is Ura.

Mark.3.1 | Egyszer ismét bement a zsinagógába és volt ott egy béna kezű ember.
Mark.3.2 | És lestek őt, vájjon meggyógyítja-e szombatnapon, hogy vádolhassák őt
Mark.3.3 | Akkor szólott a béna kezű embernek: Állj elő a középre!
Mark.3.4 | Azoknak pedig azt mondta: Szabad-e szombaton jót cselekedni vagy rosszat tenni? Szabad-e életet menteni vagy kioltani? De azok hallgattak.
Mark.3.5 | Ekkor haraggal végignézett rajtuk, bánkódott szívük keménysége miatt és így szolt az emberhez: Nyújtsd ki a kezedet! mire az kinyújtotta és meggyógyult a keze és olyan éppé lett, mint a másik.
Mark.3.6 | Akkor a farizeusok kimentek és a Heródes-pártiakkal azonnal tanácsot tartottak ellene, hogyan pusztítsák el.
Mark.3.7 | "Jézus pedig visszavonult tanítványaival a tenger mellé; és nagy sokaság követte őt Galileából és Júdeából,"
Mark.3.8 | Jeruzsálemből Idumeából, a Jordánontúl-ról, Tírus és Szidon vidékéről is nagy sokaság ment hozzá, minthogy hallották, hogy milyen nagy dolgokat cselekszik.
Mark.3.9 | És meghagyta tanítványainak, hogy egy kis hajót tartsanak neki készen a sokaság miatt, hogy ne szorongassák őt.
Mark.3.10 | Mert sokakat meggyógyított, úgyhogy akiknek valami bajuk volt, hozzá rohantak:, hogy érinthessék.
Mark.3.11 | És amikor a tisztátalan lelkek meglátták, leborultak előtte és azt kiáltották: Te vagy az Isten Fia!
Mark.3.12 | ő pedig szigorúan rájuk parancsolt, hogy ismertté ne tegyék.
Mark.3.13 | Azután felment a hegyre és magához szólította, akiket akart, és azok odamentek hozzá.
Mark.3.14 | És kiválasztott tizenkettőt, hogy vele legyenek és hogy kiküldje őket prédikálni
Mark.3.15 | és hatalmuk legyen a betegségek gyógyítására és az ördögök kiűzésére.
Mark.3.16 | Így választotta ki a tizenkettőt. És Simonnak a Péter nevet adta,
Mark.3.17 | és Jakabot, Zebedeus fiát, és Jánost, Jakab testvérét, és a Boanerges nevet adta nekik, amely azt teszi: mennydörgés fiai,
Mark.3.18 | és Andrást és Fülöpöt és Bertalant ós Mátét és Tamást és Jakabot, Alfeus fiát, és Taddeust és a kánaáni Simont,
Mark.3.19 | és Júdás Iskariótest, aki el is árulta őt
Mark.3.20 | Azután hazatért. És akkora sokaság gyűlt egybe ismét, hogy még nem is ehettek.
Mark.3.21 | Amint az övéi ezt meghallották, eljöttek, hogy megfogják, mert azt mondták, hogy nincs eszénél.
Mark.3.22 | Az írástudók pedig, akik Jeruzsálemből jöttek le, azt állították: Belzebub van vele! és: Az ördögök fejedelme által űzi ki az ördögöket.
Mark.3.23 | ő pedig magához hívta azokat, és példázatokban ezt mondta nekik: Hogyan űzheti ki a Sátán a Sátánt?
Mark.3.24 | "Hiszen ha egy ország önmagával meghasonlik, az az ország nem maradhat meg;"
Mark.3.25 | és hogy ha egy ház önmagával meg hasonlik, az a ház sem maradhat meg.
Mark.3.26 | És ha a Sátán önmaga ellen támadt és meghasonlott, nem marad hat meg, hanem vége van.
Mark.3.27 | Senki sem rabolhatja el az erős ember javait úgy, hogy behatol annak házába, hacsak előbb meg nem kötözi az erős embert és így rabolja ki annak házát.
Mark.3.28 | Bizony mondom nektek, hogy minden bűn megbocsáttatik az emberek fiainak, még a káromlások is, akármennyi káromlást szólnak is,
Mark.3.29 | de aki a Szentlélek ellen szól káromlást, nem nyer bocsánatot soha, hanem örökkévaló bűnben vétkes.
Mark.3.30 | Mivel ezt mondták: Tisztátalan lélek van benne.
Mark.3.31 | És megérkeztek anyja és testvérei és kívül megállva, beküldtek hozzá és hivatták őt.
Mark.3.32 | Körülötte pedig sokaság ült és szóltak neki: Íme, a te anyád és testvéreid ott künn keresnek téged.
Mark.3.33 | Ő azonban azt felelte nekik: Ki az én anyám, és kik az én testvéreim?
Mark.3.34 | Majd miközben végigtekintett a körülötte ülőkön, így szólt: Íme az én anyám és az én testvéreim!
Mark.3.35 | Mert aki az Isten akaratát cselekszi, az az én fiútestvérem, nőtestvérem és anyám.

Mark.4.1 | És ismét tanítani kezdett a tenger mellett. És igen nagy sokaság gyűlt hozzá, úgyhogy hajóra szállt, leült abban a tengeren, míg az egész sokaság a tenger mellett a parton volt.
Mark.4.2 | És sok mindenre tanította őket példázatokban és ezt mondta nekik tanításában:
Mark.4.3 | Halljátok! Íme, a magvető kiment vetni.
Mark.4.4 | És történt vetés közben, hogy némely mag az útfélre esett és eljöttek a madarak és megették.
Mark.4.5 | Némelyik pedig a köves helyre esett, ahol nem volt sok földje, úgyhogy hamar kikelt, mivel nem volt mélyen a földben.
Mark.4.6 | Mikor pedig felkelt a nap, a hőség megütötte és mivel nem volt gyökere, elszáradt.
Mark.4.7 | Némelyik pedig a tövisek közé esett, és a tövisek felnőttek és megfojtották, úgyhogy nem hozott termést.
Mark.4.8 | Némelyik pedig a jó földbe esett, kikelt, felnövekedett és termést hozott: némelyik harmincannyit termett, némelyik hatvanannyit, némelyik pedig százannyit.
Mark.4.9 | És szólt hozzájuk: Akinek van füle a hallásra, hallja!
Mark.4.10 | Mikor pedig egyedül volt, megkérdezték a példázat felől azok, akik a tizenkettővel együtt körülötte voltak.
Mark.4.11 | És ő azt mondta nekik: Az Isten országának titka nektek adatott, azoknak a kívülvalóknak azonban minden példázatokban adatik,
Mark.4.12 | "hogy nézve nézzenek és ne lássanak; és hallva halljanak és ne értsenek, hogy soha meg ne térjenek és bűneik meg ne bocsáttassanak."
Mark.4.13 | Majd így szólt nekik: Nem értitek ezt a példázatot? Akkor hogyan értitek meg majd mind a többi példázatot?
Mark.4.14 | A magvető az igét hinti.
Mark.4.15 | Az útfélre esett mag azokat jelenti, akiknek hintik az igét, de mihelyt hallják, azonnal eljön a Sátán és elragadja a szívükbe vetett igét.
Mark.4.16 | És hasonlóképen a köves helyre vetett magvak azok, akik mihelyt hallják az igét, mindjárt Örömmel fogadják,
Mark.4.17 | "de nincs bennük gyökere, hanem csak ideigvalók; azután, ha nyomorúság vagy üldözés támad az ige miatt, azonnal megbotránkoznak."
Mark.4.18 | És mások, a tövisek közé vetett magvak azok, akik az igét hallják,
Mark.4.19 | de a világi gondok és a gazdagság csalárdsága és egyéb dolgok kívánsága közbejön és megfojtják az igét, úgyhogy nem hoz termést.
Mark.4.20 | A jó földbe vetett magvak pedig azok, akik hallják az igét és befogadják és termést hoznak, némelyik harmincannyit, némelyik hatvanannyit, némelyik százannyit.
Mark.4.21 | És szólt hozzájuk: vajjon a lámpást azért hozzák-e elő, hogy véka alá tegyék vagy az ágy alá? És nem azért-e, hogy a lámpatartóra tegyék?
Mark.4.22 | Mert nincs semmi rejtett dolog, ami ki ne derülne és semmi titok, ami napfényre ne jutna.
Mark.4.23 | Ha valakinek van füle a hallásra, hallja
Mark.4.24 | Majd így szólt hozzájuk: Figyeljetek arra, hogy mit hallotok: Amely mértékkel mértek, olyannal mérnek nektek, sőt ráadást adnak.
Mark.4.25 | Mert akinek van, annak adatik, és akinek nincs, attól az is elvétetik, amije van
Mark.4.26 | Majd így szólt: Úgy van az Isten országa, mint amikor az ember beveti a magot a földbe,
Mark.4.27 | "azután alszik és felkel, éjjel és nappal; a mag pedig kihajt és felnő, maga sem tudja hogyan."
Mark.4.28 | Mert magától terem a föld először füvet, azután kalászt, azután teljes szemet a kalászban.
Mark.4.29 | Mihelyt pedig a gabona arravaló, azonnal sarlót ereszt rá, mert az aratás elérkezett
Mark.4.30 | És szólt: Mihez hasonlítsuk az Isten országát? Vagy milyen példázatban mutassuk fel azt?
Mark.4.31 | Olyan az, mint a mustármag, amely mikor a földbe vetik, minden földi magnál kisebb,
Mark.4.32 | de ha egyszer elvetették, felnő és minden veteménynél nagyobb lesz, nagy ágakat hajt, úgyhogy árnyéka alatt fészket rakhatnak az égi madarak.
Mark.4.33 | És sok ilyenféle példázatban hirdette nekik az igét úgy, amint megérthették.
Mark.4.34 | "Példázat nélkül pedig nem beszélt nekik; maguk között azonban a tanítványainak mindent megmagyarázott."
Mark.4.35 | Azután így szólt nekik ugyanazon a napon, amint este lett: Menjünk át a túlsó partra.
Mark.4.36 | "Elbocsátotta tehát a sokaságot, és elvitték őt úgy, amint volt a hajóban; de más hajók is voltak vele."
Mark.4.37 | Akkor nagy szélvihar támadt, a hullámok pedig becsaptak a ha jóba úgyannyira, hogy már-már megtelt.
Mark.4.38 | Ő pedig a hajó hátulsó részében, a fejaljon aludt. És felkeltették őt és így szóltak neki: Mester, nem törődöl vele, hogy elveszünk?
Mark.4.39 | Akkor felkelt, megdorgálta a szelet és azt mondta a tengernek: Hallgass, némulj el! És elállt a szél és lett nagy csendesség.
Mark.4.40 | És szólt nekik: Miért vagytok ilyen félénkek? Hogyan van, hogy nincs hitetek?
Mark.4.41 | És nagy félelem fogta el őket és ezt mondták egymásnak: Kicsoda ez, hogy mind a szél, mind a tenger engednek neki?

Mark.5.1 | És eljutottak a tenger túlsó partjára, a gadarénusok földjére.
Mark.5.2 | És amint a hajóból kiszállt, azonnal eléje ment a sírboltokból egy ember, akiben tisztátalan lélek volt,
Mark.5.3 | akinek lakása a sírboltokban volt és már láncokkal sem tudta őt senki megkötözni.
Mark.5.4 | Mert sokszor megkötözték bókokkal és láncokkal, de a láncokat szétszaggatta és a bókokat összetörte, úgyhogy senki sem tudta megfékezni.
Mark.5.5 | És egész éjjel és nappal a sírboltokban és a hegyeken tartózkodott, kiáltozott és kővel verdeste magát.
Mark.5.6 | Mikor pedig Jézust távolról meglátta, odafutott, eléje borult,
Mark.5.7 | és fenn hangon így kiáltott: Mit akarsz velem, Jézus, magasságos Isten Fia? Az Istenre kényszerítelek, ne kínozz engem.
Mark.5.8 | Mert ezt mondta neki: Tisztátalan lélek, menj ki ebből az emberből!
Mark.5.9 | És megkérdezte tőle: Mi a neved? S az így felelt: Légió a nevem, mivel sokan vagyunk.
Mark.5.10 | És igen kérte őt, hogy ne küldje el őket arról a vidékről.
Mark.5.11 | Volt pedig ott a hegyoldalon egy nagy legelésző disznó csorda.
Mark.5.12 | És kérték őt: Küldj minket a disznókba, hadd menjünk beléjük!
Mark.5.13 | És megengedte nekik. Ekkor kijöttek a tisztátalan lelkek, belementek a disznókba és a csorda, mintegy kétezer disznó, a meredekről a tengerbe rohant és belefulladt a tengerbe.
Mark.5.14 | Akik pedig őrizték azokat, elfutottak és hírül vitték a városba és a falvakba. És az emberek kimentek, hogy lássák, mi történt.
Mark.5.15 | Mikor Jézushoz értek és látták, hogy az ördöngös, akiben azelőtt a légió volt, ott ül felöltözve és eszénél van, megijedtek.
Mark.5.16 | Akik pedig látták, elbeszélték nekik, mi történt az ördöngössel és a disznókkal.
Mark.5.17 | Ekkor kérni kezdték őt, hogy távozzék határukból.
Mark.5.18 | Mikor pedig a hajóra szállt, arra kérte őt az, aki ördöngös volt, hogy vele lehessen.
Mark.5.19 | De Jézus nem engedte meg neki, hanem így szólt hozzá: Eredj haza a tieidhez és beszéld el nekik, hogy mily nagy dolgot cselekedett veled az Úr és hogyan könyörült rajtad.
Mark.5.20 | "El is ment és kezdte hirdetni a Tízvárosban, mily nagy dolgot cselekedett vele Jézus; és mindnyájan elcsodálkoztak."
Mark.5.21 | És mikor Jézus ismét áthajózott a túlsó partra, nagy sokaság gyűlt hozzá és ő a tenger mellett volt.
Mark.5.22 | És odament hozzá a zsinagógai elöljárók közül egy, névszerint Jairus és amint meglátta őt, lábához borult,
Mark.5.23 | "és igen kérte: Az én leánykám halálán van; jöjj, tedd rá a kezedet, hogy meggyógyuljon és éljen."
Mark.5.24 | El is indult vele. És nagy sokaság követte őt, úgyhogy minden oldalról szorították.
Mark.5.25 | És volt egy asszony, aki tizenkét év óta vérfolyásos volt,
Mark.5.26 | és sok orvostól sokat szenvedett és minden vagyonát elköltötte, de semmi hasznát sem vette, sőt inkább még rosszabbul lett.
Mark.5.27 | Ez mikor hallott Jézus felől, a sokaságban háta mögé került, megérintette az ő ruháját.
Mark.5.28 | Mert ezt mondta: Ha csak ruháit érinthetem is, meggyógyulok.
Mark.5.29 | És azonnal megszűnt vérének folyása és megérezte testében, hogy meggyógyult a bajából.
Mark.5.30 | Jézus pedig azonnal észrevette magán, hogy isteni erő áradt ki belőle, megfordult a sokaságban és így szólt: Ki érintette a ruhámat?
Mark.5.31 | És szóltak neki a tanítványai: Látod, hogy a sokaság szorongat téged és azt kérdezed: Ki érintett engem?
Mark.5.32 | Ekkor körülnézett, hogy lássa, ki tette ezt.
Mark.5.33 | Az asszony pedig félve és remegve, mivel tudta, mi történt vele, odament, eléje borult és elmondta neki a teljes igazságot.
Mark.5.34 | Ő pedig így szólt neki: Leányom, a te hited megtartott téged. Eredj el békével és bajodból meggyógyulva, légy egészséges.
Mark.5.35 | Mikor még beszélt, odajöttek a zsinagógai elöljáró házától ezzel az üzenettel: Leányod meghalt. Mit fárasztod tovább a Mestert?
Mark.5.36 | Jézus pedig amint hallotta a beszédet, amit mondtak, így szólt a zsinagógai elöljárónak: Ne félj, csak higgy!
Mark.5.37 | És senkinek sem engedte, hogy vele menjen, csak Péternek, Jakabnak és Jánosnak, Jakab testvérének.
Mark.5.38 | Mikor odaértek a zsinagógai elöljáró házához és látta a zűrzavart, a síró és jajgató embereket,
Mark.5.39 | bement és ezt mondta nekik: Miért zajongtok és sírtok? A gyermek nem halt meg, csak alszik.
Mark.5.40 | És kinevették őt. Ő pedig mindnyájukat kiküldte, maga mellé vette a gyermek atyját, anyját és a vele levőket és bement oda, ahol a gyermek feküdt.
Mark.5.41 | Majd megfogta a gyermek kezét és azt mondta neki: Talitha kúmi, ami megmagyarázva ezt teszi: Leányka, neked mondom, kelj fel.
Mark.5.42 | Ekkor a leányka azonnal felkelt és járt, mert már tizenkét esztendős volt. És nyomban megrendülten csodálkoztak.
Mark.5.43 | Ő pedig szigorúan megparancsolta ne kik, hogy ezt senki meg ne tudja. Majd azt mondta, hogy adjanak neki enni.

Mark.6.1 | Mikor onnan eltávozott, hazájába ment és követték tanítványai.
Mark.6.2 | És a legközelebbi szombaton tanítani kezdett a zsinagógában. És sokan, akik hallották Őt, megdöbbentek és ezt mondták: Hol tanulta ezeket és milyen bölcsesség az, ami neki adatott? És ilyen csodadolgok történnek általa?
Mark.6.3 | vajjon nem ez-é az ácsmester, a Mária fia, Jakab, József, Júdás és Simon testvére? És nem itt élnek-e közöttünk a nőtestvérei? És megbotránkoztak benne.
Mark.6.4 | Jézus pedig azt mondta nekik: A prófétát sehol sem becsülik olyan kevésre, mint a maga hazájában, az ő rokonai között és a maga házában.
Mark.6.5 | Nem is tehetett ott semmi csodát, csak néhány beteget gyógyított meg úgy, hogy rájuk tette a kezét.
Mark.6.6 | És csodálkozott az ő hitetlenségükön. Azután sorra járta a falvakat és tanított
Mark.6.7 | Majd magához szólította a tizenkettőt és kezdte őket kiküldeni kettőnként és hatalmat adott nekik a tisztátalan lelkeken.
Mark.6.8 | "És megparancsolta nekik, hogy az útra semmit se vigyenek, csak egy botot; se kenyeret, se táskát, se pénzt az erszényükben,"
Mark.6.9 | hanem kössenek sarut, de két ruhát ne öltsenek.
Mark.6.10 | És ezt mondta nekik: Ahol valamely házba bementek, ott maradjatok mindaddig, amíg tovább mentek onnan.
Mark.6.11 | Ahol azonban nem fogadnak be titeket és nem hallgatnak rátok, verjétek le a port lábatokról, mikor onnan távoztok, bizonyságul ellenük. (A 11. vers végén egyes kéziratokban még ez olvasható: Bizony mondom nektek: az ítélet napján könnyebb lesz a sodomaiaknak és gomoraiaknak, mint annak a városnak (Mt 10:15).)
Mark.6.12 | És ők elmenve, hirdették, hogy térjenek meg.
Mark.6.13 | És sok ördögöt kiűztek, sok beteget megkentek olajjal és gyógyítottak.
Mark.6.14 | Hallott ezekről Heródes király, mert ismertté vált a Jézus neve. És azt beszélték: Keresztelő János támadt fel a halálból és azért működnek benne a csodatevő erők.
Mark.6.15 | Mások pedig azt mondták, hogy Illés ő, ismét mások azt állították, hogy próféta, olyan, mint valamelyik régi próféta.
Mark.6.16 | Mikor Heródes ezeket hallotta, így szólt: Az a János, akit én lefejeztettem, az támadt fel a halálból.
Mark.6.17 | Mert maga Heródes fogatta el és a tömlöcben bilincsbe verette Jánost Heródiás miatt, Fülöpnek, az ő testvérének felesége miatt, mivel azt vette feleségül.
Mark.6.18 | Mert János megmondta Heródesnek: Nem szabad neked a testvéred feleségével élned.
Mark.6.19 | Heródiás ezért haragudott rá és meg akarta ölni, de nem tehette.
Mark.6.20 | Mert Heródes félt Jánostól, mivel igaz és szent embernek ismerte és védelmezte. Mikor hallgatta, sokszor zavarban volt, de azért örömmel hallgatta,
Mark.6.21 | Egy alkalmas nap jöttével azonban, mikor Heródes a születésnapján lakomát adott főembereinek, vezéreinek és Galilea előkelőségeinek,
Mark.6.22 | és ennek a Heródiásnak leánya bement és táncolt, megtetszett Heródesnek és a vendégeknek. A király pedig azt mondta a leánynak: Kérj, amit akarsz és meg adom neked.
Mark.6.23 | Meg is esküdött neki: Bármit kérsz, megadom neked, még ha az országom felét kéred is
Mark.6.24 | Az pedig kiment és így szólt az ő anyjának: Mit kérjek? Ő így felelt: Keresztelő János fejét.
Mark.6.25 | Ekkor nagysietve bement a királyhoz és kérte őt: Akarom, hogy azonnal add ide nekem Keresztelő János fejét egy tálon.
Mark.6.26 | A király pedig noha igen elszomorodott, de esküjéért és a vendégek miatt nem akarta őt elutasítani,
Mark.6.27 | azonnal elküldte a hóhért és megparancsolta, hogy hozza el annak a fejét.
Mark.6.28 | Az pedig elment, lefejezte őt a börtönben és elhozta a fejét egy tálon és odaadta a leánynak, a leány pedig anyjának adta.
Mark.6.29 | Mikor ezt meghallották János tanítványai, odamentek, elvitték a testét és sírba helyezték
Mark.6.30 | Azután az apostolok összegyűltek Jézushoz és elbeszélték neki mindazt, amit cselekedtek és amit tanítottak.
Mark.6.31 | Ő pedig így szólt nekik: Jertek velem csak ti magatok, valami puszta helyre és pihenjetek egy kissé. Mert sokan jöttek, mentek, úgyhogy még evésre sem volt alkalmas idejük.
Mark.6.32 | És elhajóztak egy puszta helyre, csupán ők maguk.
Mark.6.33 | Mikor azonban a sokaság meglátta őket, amint mentek és sokan megismerték őket, minden városból összefutottak oda gyalog és megelőzték őket.
Mark.6.34 | És amikor Jézus kiszállt, nagy sokaságot látott, és megszánta őket, mert olyanok voltak, mint a pásztor nélkül való juhok. És kezdte őket sok dologra tanítani.
Mark.6.35 | Majd mikor az idő már nagyon későre járt, odamentek hozzá tanítványai és ezt mondták neki: Puszta ez a hely és az idő már későre jár.
Mark.6.36 | Engedd el őket, hadd menjenek el a körüllevő tanyákra és falvakba, és vegyenek maguknak ennivalót.
