Col.1.1 | Pál, Krisztus Jézus apostola Isten akaratából és Timótkeus atyánkfia,
Col.3.6 | "amelyek miatt jön az Isten haragja; (A 6. vers végén az Ef. 5, 6-hoz hasonlóan még ez olvasható: az engedetlenség fiaira.)"
Col.3.7 | ezekben jártatok ti is egykor, mikor bennük éltetek.
Col.3.8 | Most pedig vessétek el magatoktól ti is mindezeket: haragot, indulatosságot, gonoszságot, káromlást és szátokból a gyalázatos beszédet.
Col.3.9 | Ne hazudjatok egymásnak, mivel levetettétek az ó embert cselekedeteivel együtt,
Col.3.10 | és felöltöttétek az új embert, aki Teremtőjének képe szerint újul meg Isten ismeretére:
Col.3.11 | ahol nincs többé görög és zsidó, körülmetélt és körülmetéletlen, barbár, szkitha, szolga, szabad, hanem minden és mindenekben a Krisztus.
Col.3.12 | Azért mint az Istennek választottai, szentek és szeretettek, öltsetek fel könyörületes szívet, jóságot, alázatosságot, szelídséget, hosszútűrést.
Col.3.13 | "Szenvedjétek el egymást és bocsássatok meg egymásnak, ha valakinek valaki ellen panasza volna; amint az Úr is megbocsátott nektek, azon-képen ti is."
Col.3.14 | Mindezekhez még öltsétek fel a szeretetet, amely mindent tökéletesen összefog.
Col.3.15 | "És a Krisztus békessége uralkodjék a ti szívetekben, hiszen erre hívattatok el az egy testben; és háládatosak legyetek."
Col.3.16 | A Krisztus beszéde lakozzék bennetek gazdagon, tanítsátok egymást minden bölcsességgel, és intsétek egymást zsoltárokkal, dicséretekkel, lelki énekekkel, és énekeljetek hálaadással szívetekben az Istennek.
Col.3.17 | És mindazt, amit cselekedtek szóval vagy tettel, mindent az Úr Jézus nevében cselekedjetek és adjatok hálát az Istennek, az Atyának ő általa.
Col.3.18 | Ti, asszonyok, engedelmeskedjetek férjeteknek, amint illik az Úrban.
Col.3.19 | Ti, férfiak, szeressétek feleségeteket és ne legyetek hozzájuk keserű szívűek.
Col.3.20 | Ti, gyermekek, engedelmeskedjetek szüleiteknek mindenben, mert ez kedves az Úrnak.
Col.3.21 | Ti, atyák, ne ingereljétek gyermekeiteket, hogy bátortalanokká ne legyenek.
Col.3.22 | Ti, szolgák, engedelmeskedjetek mindenben test szerint való uraitoknak, nem színből szolgálva, mint akik embereknek akarnak tetszeni, hanem őszinte szívvel az Úr félelmében.
Col.3.23 | Bármit tesztek, szívesen cselekedjétek, mint az Úrnak és nem embereknek,
Col.3.24 | hiszen tudjátok, hogy ti az Úrtól veszitek az örökség jutalmát: az Úr Krisztusnak szolgáljatok.
Col.3.25 | "Mert aki vétkezik, vétkének büntetését veszi; és nincsen személyválogatás."

Col.4.1 | Ti, urak, adjátok meg szolgáitoknak, ami igazságos és méltányos, mert tudjátok, hogy nektek is van Uratok a mennyben.
Col.4.2 | "Az imádkozásban állhatatosak legyetek, vigyázzatok abban hálaadással;"
Col.4.3 | imádkozzatok egyszersmind értünk is, hogy az Isten nyissa meg előttünk az ige ajtaját, hadd szólhassuk a Krisztus titkát, amelyért fogoly is vagyok,
Col.4.4 | hogy világossá tegyem azt úgy, amint hirdetnem kell.
Col.4.5 | A kívülvalók irányában bölcsen viselkedjetek. Az alkalmat áron is megvegyétek.
Col.4.6 | Beszédetek legyen mindenkor megnyerő, sóval fűszerezett, hogy tudjátok, miként kell kinek-kinek megfelelnetek.
Col.4.7 | "Rólam mindent elmond nektek szeretett atyánkfia, Tihikus, a hű szolga és szolgatárs az Úrban;"
Col.4.8 | "Őt éppen azért küldtem hozzátok, hogy megtudjátok, mint vagyunk és hogy megvigasztalja szíveteket;"
Col.4.9 | és vele együtt Onézimust, a hű és szeretett atyánkfiát, aki közületek való. Ők majd mindazt elmondják nektek, ami itt történt.
Col.4.10 | "Köszönt titeket Arisztarkus, az én fogolytársam és Márk, Barnabás unokaöccse, (aki felől parancsot vettetek; ha hozzátok megy, fogadjátok be őt),"
Col.4.11 | továbbá Jézus, akit Justusnak is hívnak. Egyedül ezek az én munkatársaim a zsidók közül az Isten országa hirdetésében, akik nekem vigasztalásomra voltak.
Col.4.12 | Köszönt titeket Epafrás, aki közületek való, Krisztus Jézus szolgája, és mindenkor tusakodik érettetek imádságaiban, hogy ti mint érett és meggyőződéses hívek megállhassatok mindabban, ami az Isten akarata.
Col.4.13 | Mert tanúságot teszek felőle, hogy sokat fárad érettetek és azokért, akik Laodiceában és Hierápolisban vannak.
Col.4.14 | Köszönt titeket Lukács, a szeretett orvos, és Démás.
Col.4.15 | Köszöntsétek az atyafiakat, akik Laodiceában vannak és Nimfást és az ő házánál levő gyülekezetet.
Col.4.16 | "És mikor felolvasták nálatok ezt a levelet, gondoskodjatok, hogy a laodiceai gyülekezetben is felolvastassák; viszont a Laodiceából valót ti is olvassátok fel."
Col.4.17 | És mondjátok meg Arhippusnak: Legyen gondod a szolgálatra, amelyet vettél az Úrban, hogy azt betöltsed!
Col.4.18 | Én, Pál, írom ezt a köszöntést saját kezemmel. Emlékezzetek meg az én fogságomról! Kegyelem veletek!
