1Cor.1.1 | Pál, Krisztus Jézusnak Isten akaratából elhívott apostola, és Szósztenes atyafi,
1Cor.3.17 | "Ha valaki az Isten templomát megrontja, megrontja majd azt az Isten. Mert az Isten temploma szent; ez vagytok ti."
1Cor.3.18 | Senki se csalja meg magát. Ha közöttetek valaki azt hiszi, hogy bölcs ebben a világban, bolond legyen, hogy bölccsé lehessen.
1Cor.3.19 | Mert e világ bölcsessége bolondság az Isten előtt. Mert meg van írva: Megfogja a bölcseket az ő csalárdságukban.
1Cor.3.20 | És ismét: Ismeri az Úr a bölcsek gondolatait, hogy azok hiábavalók.
1Cor.3.21 | Azért senki se dicsekedjék emberekkel. Mert minden a tietek.
1Cor.3.22 | Akár Pál, akár Apollós, akár Kéfás, akár világ, akár élet, akár halál, akár jelenvalók, akár következendők: minden a tietek.
1Cor.3.23 | Ti pedig Krisztuséi, Krisztus pedig Istené.

1Cor.4.1 | Úgy tekintsen minket az ember, mint Krisztus szolgáit és Isten titkainak sáfárait.
1Cor.4.2 | Egyébiránt a sáfároktól azt kívánják meg, hogy mindegyik hűnek találtassák.
1Cor.4.3 | Én pedig keveset gondolok azzal, hogy majd ti ítéltek meg vagy emberi ítéletnap. Sőt magam sem ítélem meg magamat.
1Cor.4.4 | Mert semmiben sem vádol az én lelkem, de én nem ezáltal igazultam meg. Aki ugyanis engem megítél az Úr az.
1Cor.4.5 | Azért idő előtt semmit ne ítéljetek, míg el nem jön az Úr, aki világosságra hozza a sötétség titkait is, fel tárja a szívek szándékait is. És akkor kinek-kinek a dicsérete Istentől lesz.
1Cor.4.6 | Ezeket pedig, atyámfiai, példaképen alkalmaztam magamra és Apollósra tiértetek, hogy rajtunk tanuljátok meg: nem szabad azon túlmenni, ami meg van írva, hogy senki se fuvalkodjék fel az egyikért a másik ellen.
1Cor.4.7 | Mert kicsoda tesz téged különbbel Mid van, amit nem kaptál? Ha pedig úgy kaptad, mit dicsekedel, mintha nem kaptad volna?
1Cor.4.8 | Immár jóllaktatok, immár meggazdagodtatok, nélkülünk uralomra jutottatok. Bár csakugyan uralomra jutottatok volna, hogy mi is veletek együtt uralkodhatnánk!
1Cor.4.9 | Mert úgy vélem, hogy az Isten minket, az apostolokat, legutolsókul állított, mintegy halálra szántakat. Mert látványossága lettünk a világnak, mind angyaloknak, mind embereknek.
1Cor.4.10 | "Mi bolondok a Krisztusért, ti pedig bölcsek a Krisztusban; mi erőtlenek, ti pedig erősek; ti tiszteltek, mi pedig megvetettek."
1Cor.4.11 | Mindezideig éhezünk is, szomjazunk is, ruhátlanok is vagyunk, bántalmakat is szenvedünk, bujdosunk is,
1Cor.4.12 | "fáradozunk is tulajdon kezünkkel dolgozva. Ha szidalmaznak, áldást mondunk; mikor üldöznek, tűrünk;"
1Cor.4.13 | mikor rágalmaznak, békességre intünk. Szinte a világ szemetjévé lettünk, mindennek söpredékévé egész mostanig
1Cor.4.14 | Nem azért írom ezeket, hogy megszégyenítselek titeket, hanem mint szeretett gyermekeimet intelek.
1Cor.4.15 | Mert ha tízezer tanítómesteretek lenne is a Krisztusban, de nem sok atyátok. Mert én vagyok a ti atyátok a Krisztus Jézusban, az evangéliom által.
1Cor.4.16 | Kérlek azért titeket: legyetek az én követőim.
1Cor.4.17 | Ezért küldtem el hozzátok Timótheust, aki nekem szeretett és hű gyermekem az Úrban. Ő majd eszetekbe juttatja nektek az én Krisztus Jézusban való útaimat, hogy miként tanítok mindenütt minden gyülekezetben.
1Cor.4.18 | De mintha el sem jutnék hozzátok, úgy felfuvalkodtak némelyek.
1Cor.4.19 | Pedig hamarosan elmegyek hozzátok, ha az Úr akarja: akkor majd megismerem a felfuvalkodottaknak nem a beszédét, hanem az erejét.
1Cor.4.20 | Mert nem beszédben áll az Isten országa, hanem erőben.
1Cor.4.21 | Mit akartok? Vesszővel menjek-e hozzátok vagy szeretettel és szelídség lelkével?

1Cor.5.1 | Széltében az a hír járja, hogy paráznaság van köztetek, még pedig olyan paráznaság, amilyen még a pogányok között sincs, hogy valaki az apja feleségével él.
1Cor.5.2 | És ti felfuvalkodtatok, nemhogy inkább megkeseredve eltávolítottátok volna közületek, aki ezt a dolgot cselekedte.
1Cor.5.3 | "Mert én, bár testileg távol, lelkileg azonban jelen vagyok; mint jelenlevő, ítéltem már a lelett, aki így cselekedett:"
1Cor.5.4 | hogy a mi Urunk Jézus nevében összegyűlve, ti és az én lelkem, a mi Urunk Jézus hatalmával
1Cor.5.5 | átadjuk az ilyent a Sátánnak teste pusztulására, hogy lelke az Úr Jézus ama napján megtartassák.
1Cor.5.6 | Nem jó a ti dicsekedéstek. Vajjon nem tudjátok, hogy egy kevés kovász az egész tésztát megkeleszti?
1Cor.5.7 | Takarítsátok el azért a régi kovászt, hogy új tésztává legyetek, hiszen ti kovász nélkül valók vagytok. Mert a mi húsvéti bárányunk, a Krisztus megáldoztatott.
1Cor.5.8 | Azért ne régi kovásszal ünnepeljünk, se rosszaság és gonoszság kovászával, hanem tisztaság és igazság kovásztalanságával.
1Cor.5.9 | Azt írtam nektek ama levélben, hogy ne érintkezzetek paráznákkal.
1Cor.5.10 | De nem általában e világ paráznáival, harácsolóival, rablóival vagy bálványimádóival, mert hiszen akkor ki kellene mennetek a világból.
1Cor.5.11 | Most azért megírom nektek, hogy kerüljétek az érintkezést azzal, aki atyafi létere parázna vagy harácsoló vagy bálványimádó vagy szidalmazó vagy részeges vagy rabló. Az ilyennel még együtt se egyetek.
1Cor.5.12 | Mert mit tartozik rám, hogy a kívüllevők felett ítélkezzem? Nem a belüllevők felett ítélkeztek-e ti is?
1Cor.5.13 | A kívüllevőket pedig majd az Isten ítéli meg. Vessétek ki azért a gonoszt magatok közül.

1Cor.6.1 | Merészel-e valaki közületek, ha peres ügye van a másikkal, a hitetlenek előtt törvénykezni és nem a szentek előtt?
1Cor.6.2 | Nem tudjátok-é, hogy a szentek a világot fogják megítélni? És ha ti ítélitek meg a világot, vajjon méltatlanok vagytok-e arra, hogy jelentéktelen ügyekben ítélkezzetek?
1Cor.6.3 | Nem tudjátok-e, hogy angyalokat fogunk ítélni? Mennyivel inkább ítélhetünk mindennapi ügyekben?
1Cor.6.4 | Azért ha mindennapi ügyekben pereskedtek, azokat ültetitek-e bírói székbe, akiket semmibe se vesznek a gyülekezetben?
1Cor.6.5 | Megszégyenítésetekre mondom! Hát nincs köztetek egy bölcs ember sem, aki igazságot tudna szolgáltatni atyjafiai között?
1Cor.6.6 | Sőt atyafi atyafival pereskedik, még hozzá hitetlenek előtt?
1Cor.6.7 | Egyáltalán már az is gyarlóság bennetek, hogy törvénykeztek egymással. Miért nem tűritek inkább a sérelmet? Miért nem viselitek el inkább a kárt?
1Cor.6.8 | Sőt ti okoztok sérelmet és kárt, még hozzá atyafiáknak!
1Cor.6.9 | Vajjon nem tudjátok, hogy a gonoszok nem örökölhetik az Isten országát? Ne tévelyegjetek: sem paráznák, sem bálványimádók, sem házasságtörők, sem bujálkodók, sem fajtalanok,
1Cor.6.10 | sem tolvajok, sem harácsolók, sem részegesek, sem szidalmazók, sem rablók nem örökölhetik Isten országát.
1Cor.6.11 | Ilyenek voltak pedig közületek némelyek, de megmosattatok, megszenteltettetek, megigazíttattatok az Úr Jézus Krisztus neve által és a mi Istenünk Lelke által.
1Cor.6.12 | Minden szabad nekem, de nem minden használ. Minden szabad nekem, de rajtam semminek se legyen hatalma.
1Cor.6.13 | "Az eledelek a gyomor számára vannak és a gyomor az eledelek számára; de az Isten ezt is, amazokat is megsemmisíti. A test azonban nem a paráznaság számára van, hanem az Úr számára és az Úr a test számára."
1Cor.6.14 | Isten pedig, aki az Urat feltámasztotta, minket is fel fog támasztani a maga hatalmával.
1Cor.6.15 | Nem tudjátok-e, hogy testeitek a Krisztus tagjai? Elszakítva tehát Krisztustól az ő tagjait parázna tagjaivá tegyem azokat? Semmiképen!
1Cor.6.16 | Avagy nem tudjátok, hogy aki paráznával egyesül, az vele egy test? Mert — mondja az Írás — ketten lesznek egy testté.
1Cor.6.17 | Aki pedig az Úrral egyesül, egy Lélek ővele.
1Cor.6.18 | Kerüljétek a paráznaságot! Mindenféle bűn, amit az ember elkövet, a testen kívül van, de aki paráználkodik, a saját teste ellen vétkezik.
1Cor.6.19 | "Avagy nem tudjátok-e, hogy a ti testetek a bennetek lakozó Szentlélek temploma, amelyet Istentől nyertetek; és nem a magatokéi vagytok?"
1Cor.6.20 | "Mert áron vétettetek meg; dicsőítsétek tehát az Istent a ti testetekben. (A 20. vers végén egyes kéziratokban még ez olvasható: és lelketekben, amelyek az Istenéi.)"

1Cor.7.1 | Amik felől pedig írtatok nekem, — jó az embernek asszonyt nem érinteni,
1Cor.7.2 | de a paráznaság miatt minden férfinak legyen tulajdon felesége és minden asszonynak tulajdon férje.
1Cor.7.3 | A férj tegye meg a felesége iránt házastársi kötelességét, hasonlóképen a feleség is férje iránt.
1Cor.7.4 | A feleség nem ura a maga testének, hanem a férje. Hasonlóképen a férj sem ura a maga testének, hanem a felesége.
1Cor.7.5 | Ne vonjátok el magatokat egymástól, hacsak nem közös megegyezéssel egyidőre, hogy az imádságnak szenteljétek magatokat s azután ismét legyetek együtt, hogy meg ne kísértsen titeket a Sátán, mivel nem tartóztathatjátok meg magatokat.
1Cor.7.6 | Ezt pedig kedvezésképen mondom, nem parancs gyanánt.
1Cor.7.7 | Mert szeretném, ha minden ember úgy volna, mint én magam is. De kinek-kinek megvan a maga kegyelmi ajándéka Istentől, az egyiknek így, a másiknak amúgy.
1Cor.7.8 | A nemházasoknak és özvegyeknek pedig azt mondom: jó nekik, ha úgy maradnak, mint én is.
1Cor.7.9 | De ha nem tartóztathatják meg magukat, éljenek házasságban, mert jobb házasságban élni, mint égni.
1Cor.7.10 | Viszont a házasoknak azt rendelem, — nem én, hanem az Úr, — hogy az asszony a férjétől el ne váljék.
1Cor.7.11 | Ha mégis elválik, maradjon házasságnélkül, vagy béküljön ki férjével. A férj se bocsássa el a feleségét.
1Cor.7.12 | A többieknek pedig én mondom, nem az Úr: ha valamelyik atyafinak hitetlen felesége van és ez vele akar lakni, ne bocsássa el őt.
1Cor.7.13 | És amelyik asszonynak hitetlen férje van és ez vele akar lakni, ne bocsássa el a férjét.
1Cor.7.14 | "Mert a hitetlen férj megszenteltetett hivő feleségében és a hitetlen feleség is megszenteltetett a hivő férjében; mert különben gyermekeitek tisztátalanok volnának, most pedig szentek."
1Cor.7.15 | "Ha pedig a hitetlen fél válni akar, ám váljék; ilyen esetben nem vethető a hívő férfi vagy asszony szolgaság alá. Minket pedig békességre hívott az Isten."
1Cor.7.16 | Mert mit tudod te asszony, hogy megmentheted-e férjedet? Vagy mit tudod te férj, hogy megmentheted-e feleségedet?
1Cor.7.17 | Egyébként amint kinek-kinek az Úr adta, amint kit-kit elhívott az Isten, úgy járjon. És minden gyülekezetben így rendelkezem.
1Cor.7.18 | Körülmetélten hívatott el valaki? Ne tüntesse el. Körülmetéletlenül hívatott el valaki? Ne metélkedjék körül.
1Cor.7.19 | A körülmetélkedés semmi és a körülmetéletlenség is semmi, hanem az Isten parancsolatainak a megtartása.
1Cor.7.20 | Kiki maradjon meg abban a hivatásban, amelyben elhívatott.
1Cor.7.21 | Rabszolgaként hivattál el? Ne gondolj velel De ha szabaddá is lehetsz, inkább élj azzal.
1Cor.7.22 | "Mert az Úrban elhívott rabszolga az Úrnak szabadosa; hasonlóképen a szabadságban elhívott — Krisztus rabszolgája."
1Cor.7.23 | Áron vétettetek meg: ne legyetek emberek rabszolgái
1Cor.7.24 | Kiki amilyen állapotban elhívatott, atyámfiai, abban maradjon meg az Isten előtt.
1Cor.7.25 | A hajadonok felől ugyan nincs parancsolatom az Úrtól, de tanácsot adok úgy, mint aki irgalmasságot nyertem az Úrtól, hogy megbízható legyek.
1Cor.7.26 | Úgy ítélem azért, hogy a küszöbön levő szükség miatt jó az embernek úgy maradnia, ahogyan van.
1Cor.7.27 | Feleséghez vagy kötve? Ne keress válást. Feleség nélkül maradtál? Ne keress feleséget.
1Cor.7.28 | "De ha feleséget veszel is, nem vétkezel, és ha férjhez megy is a hajadon, nem vétkezik; az ilyeneknek azonban nyomorúságuk lesz a testben, én pedig megkímélnélek titeket."
1Cor.7.29 | Ezt pedig azért mondom, atyámfiai, mert az idő már igen rövid. Ezentúl azért akiknek feleségük van, úgy legyenek, mintha nem volna.
1Cor.7.30 | És akik sírnak, mintha nem sírnának, és akik örülnek, mintha nem örülnének, akik vásárolnak, mintha nem volna az övék,
1Cor.7.31 | "és akik a világgal élnek, mintha nem élnének vele; mert elmúlik a világ ábrázata."
1Cor.7.32 | "Azt szeretném pedig, hogy gond ne terheljen benneteket. Aki nem házas, az azzal törődik, ami az Úré, hogyan tessék az Úrnak;"
1Cor.7.33 | aki viszont feleséget vesz, az a világi dolgokkal törődik, hogyan tessék a feleségének,
1Cor.7.34 | "és így gondja megoszlik. Az asszony, akinek nincs férje, és a hajadon az Úr dolgaival törődik, hogy szent legyen mind testében, mind lelkében; aki viszont férjhez ment, a világi dolgokkal törődik, hogyan tessék a férjének."
1Cor.7.35 | "Ezt pedig a ti javatokra mondom; nem azért, hogy tőrt vessek nektek, hanem hogy illendőképen és állhatatosan ragaszkodjatok az Úrhoz háborítatlanul."
1Cor.7.36 | "De ha valaki azt gondolja, hogy szégyenkeznie kell hajadon leánya miatt, ha eljárt felette az idő, és mégis úgy kell maradnia, tegye, amit akar, nem vétkezik; keljenek egybe."
1Cor.7.37 | Aki azonban eltökélte szívében és szükség nem kényszeríti, de van hatalma a tulajdon akarata felett és úgy döntött szívében, hogy megtartja hajadon leányát: jól teszi.
1Cor.7.38 | Azért aki férjhez adja hajadon leányát, jól teszi, de aki nem adja férjhez, még jobban teszi.
1Cor.7.39 | Az asszonyt törvény köti, amíg férje él, de ha férje meghal, szabadon férjhez mehet, akihez akar, de csak az Úrban.
1Cor.7.40 | De az én véleményem szerint boldogabb, ha úgy marad. Pedig azt gondolom, hogy bennem is Isten Lelke van.

1Cor.8.1 | A bálványáldozati húsról pedig tudjuk, hogy mindnyájunknak van ismeretünk. Az ismeret felfuvalkodottá tesz, a szeretet azonban épít.
1Cor.8.2 | Ha pedig valaki azt gondolja, hogy van ismerete, ezzel még semmit sem ismert meg úgy, amint ismernie kell.
1Cor.8.3 | De ha valaki az Istent szereti, azt az Isten is ismeri.
1Cor.8.4 | A bálványáldozati hús megevéséről tehát tudjuk, hogy a bálvány semmi a világon és hogy nincs más Isten, csak egy.
1Cor.8.5 | Mert ha vannak is úgynevezett istenek, akár az égben, akár a földön, — mint ahogyan van sok isten és sok úr, —
1Cor.8.6 | "mindazáltal nekünk egy az Istenünk, az Atya, akitől van a mindenség és mi is őreá nézve; és egy az Úr, Jézus Krisztus, aki által van a mindenség és mi is ő általa."
1Cor.8.7 | "De nincs meg mindenkiben ez az ismeret; némelyek azonban, mivel a lelkiismeretük mind máig a bálványokhoz tapad, mint bálványáldozati húst eszik és az ő lelkiismeretük, mivel erőtelen, beszennyeződik."
1Cor.8.8 | Az eledel pedig nem tesz minket kedvesekké Isten előtt, mert ha nem eszünk, nem leszünk szegényebbek, és ha eszünk is, nem leszünk gazdagabbak.
1Cor.8.9 | De vigyázzatok, hogy ez a ti szabadságotok valamiképen botránkozásukra ne legyen az erőtleneknek.
1Cor.8.10 | Mert ha valaki téged, akinek ismereted van, meglát a bálványtemplomban vendégeskedni, nem fog-e az ő gyenge lelkiismerete felbátorodni arra, hogy a bálványáldozati húst megegye?
1Cor.8.11 | És a te ismereted miatt elvész a te erőtlen atyádfia, akiért a Krisztus meghalt.
1Cor.8.12 | Így azután, mikor az atyafiak ellen vétkeztek, és az ő erőtelen lelkiismeretüket megsértitek, a Krisztus ellen vétkeztek.
1Cor.8.13 | Ennélfogva ha az eledel megbotránkoztatja az én atyámfiát, inkább sohasem eszem húst, csak atyámfiát meg ne botránkoztassam.

1Cor.9.1 | Nem vagyok szabad? Nem vagyok apostol? Nem láttam Jézust, a mi Urunkat? Nem az én munkám vagytok-é ti az Úrban?
1Cor.9.2 | "Ha másoknak nem vagyok apostol, de nektek bizony az vagyok; mert az én apostolságomnak pecsété az Úrban ti vagytok."
1Cor.9.3 | Ez az én védekezésem azokkal szemben, akik vádolnak engem.
1Cor.9.4 | Avagy nincsen-e jogunk arra, hogy együnk és igyunk?
1Cor.9.5 | Nincs jogunk arra, hogy keresztyén feleséget vigyünk magunkkal, mint a többi apostolok és az Úr testvérei és Kéfás?
1Cor.9.6 | Vagy csak nekem és Barnabásnak nincs jogunk ahhoz, hogy ne dolgozzunk?
1Cor.9.7 | Ki katonáskodik valaha a maga zsoldján? Ki ültet szőlőt úgy, hogy nem eszik annak gyümölcséből? Vagy ki legeltet nyájat úgy, hogy nem iszik a nyáj tejéből?
1Cor.9.8 | Vajjon emberi módon beszélem-e ezeket, vagy nem mondja-e ugyanezt a törvény is?
1Cor.9.9 | Mert Mózes törvényében meg van írva: Ne kösd fel a nyomtató ökör száját. Vajjon az ökrökre van-e gondja az Istennek?
1Cor.9.10 | Vagy nem értünk mondja-e általában? Érettünk íratott meg ugyanis: aki szánt, reménység alatt kell szántania, és aki csépel, abban a reménységben csépel, hogy részesednie kell a termésben.
1Cor.9.11 | Ha mi nektek a lelkieket vetettük, nagy dolog-e, ha testi javaitokat aratjuk?
1Cor.9.12 | Ha másoknak szabad ezt tenni nálatok, nem sokkal inkább szabad-e nekünk? De mi nem éltünk ezzel a szabadságunkkal, hanem mindent eltűrünk, csakhogy semmi akadályt ne gördítsünk a Krisztus evangélioma elé.
1Cor.9.13 | Nem tudjátok, hogy akik a templomi szolgálatban buzgólkodnak, a szenthely jövedelméből élnek, és akik az oltár körül forgolódnak, az oltárról kapják meg a részüket.
1Cor.9.14 | Így rendelte az Úr is, hogy akik az evangéliomot hirdetik, az evangéliomból éljenek.
1Cor.9.15 | De én ezek közül eggyel sem éltem. Ezeket sem azért írtam nektek, hogy velem is így történjék, mert jobb meghalnom, mintsemhogy valaki hiábavalóvá tegye az én dicsekedésemet.
1Cor.9.16 | Mert ha az evangéliomot hirdetem, nem dicsekedhetem, mivel erre szükség kényszerít engem. Mert jaj nekem, ha az evangéliomot nem hirdetem!
1Cor.9.17 | "Mivel ha a magam jószántából teszem, jutalmam van; ha pedig kénytelenségből, sáfársággal bízattam meg."
1Cor.9.18 | Mi tehát a jutalmam? Az, hogy prédikálásommal ingyenvalóvá teszem a Krisztus evangéliomát, hogy az evangéliom hirdetésében ne éljek vissza szabadságommal.
1Cor.9.19 | Mert én, noha mindenkivel szemben szabad vagyok, magamat mindenkinek szolgájává tettem, hogy a többséget megnyerjem.
1Cor.9.20 | "És a zsidóknak zsidóvá lettem, hogy zsidókat nyerjek meg; a törvény alatt levők számára törvény alatt levő, — noha nem vagyok a törvény alatt, — hogy a törvény alatt levőket megnyerjem."
1Cor.9.21 | A törvény nélkül valók számára törvény nélkülivé lettem, — noha nem vagyok az Isten törvénye nélkül, hanem a Krisztus törvénye alapján állok, — hogy a törvény nélkül valókat megnyerjem.
1Cor.9.22 | Az erőtlenek számára erőtlenné lettem, hogy az erőtleneket megnyerjem. Mindenki számára mindenné lettem, hogy minden módon megtartsak némelyeket.
1Cor.9.23 | Mindezt pedig az evangéliumért teszem, hogy benne részestárs legyek.
1Cor.9.24 | Nem tudjátok, hogy akik versenypályán futnak, mindnyájan futnak ugyan, de egy nyeri el a jutalmat? Úgy fussatok, hogy elnyerjétek.
