Acts.1.1 | Első könyvemet Teofilus, mindazokról a dolgokról írtam, amelyeket Jézus cselekedett és tanított
Acts.2.6 | Mikor pedig ez a zúgás lett, a sokaság összefutott és zavarba jött, mivel mindegyik a maga nyelvén hallotta őket szólani.
Acts.2.7 | Mindnyájan megdöbbentek és csodálkoztak, és ezt mondták egymásnak: Nemde, mindnyájan galileabeliek ezek, akik szólnak?
Acts.2.8 | Hogyan halljuk hát őket kiki közülünk a saját nyelvén, amelyben születtünk?
Acts.2.9 | Pártusok és médek és elámiták és akik Mezopotámiában lakunk, Júdeában és Kappadóciában, Pontusban és Ázsiában,
Acts.2.10 | Frigiában és Pamfiliában, Egyiptomban és Líbia tartományaiban, amely Ciréne mellett van, és a római jövevények mind zsidók, mind prozeliták,
Acts.2.11 | krétaiak és arabok, halljuk, amint beszélik a mi nyelvünkön az Isten felséges dolgait.
Acts.2.12 | És mindnyájan megdöbbentek és tanácstalanok voltak, és ezt mondták egymásnak: vajjon mi lesz ebből?
Acts.2.13 | Mások pedig csúfolódva mondták: Édes bortól részegedtek meg.
Acts.2.14 | Péter azonban előállott a tizeneggyel, felemelte szavát és így szólt nekik: Zsidó férfiak és ti mindnyájan, akik Jeruzsálemben laktok, vegyétek tudomásul és hallgassátok meg az én beszédeimet.
Acts.2.15 | "Mert nem részegek ezek, amint gondoljátok; hiszen a napnak harmadik órája van;"
Acts.2.16 | hanem ez az, amit megmondott Jóel próféta:
Acts.2.17 | "És lesz az utolsó napokban, — ezt mondja az Isten, — kitöltök az én Lelkemből mindenkire; és prófétálnak fiaitok és leányaitok, és ifjaitok látásokat látnak és véneitek álmokat álmodnak."
Acts.2.18 | Sőt az én szolgáimra és szolgálóleányaimra is árasztok azokban a napokban az én Lelkemből, és prófétálnak.
Acts.2.19 | És csodákat teszek fenn az égben és jeleket lenn a földön: vért, tüzet és füstfellegeket.
Acts.2.20 | A nap sötétséggé változik és a hold vérré, mielőtt eljön az Úrnak ama nagy és fényes napja,
Acts.2.21 | És lesz, hogy mindenki, aki az Úr nevét segítségül hívja, megtartatik.
Acts.2.22 | Izraelita férfiak, halljátok meg e beszédeket: A názáreti Jézust, azt a férfiút, aki előttetek Istentől bizonyságot nyert hatalmas cselekedetek, csodatételek és jelek által, amelyeket ő általa, cselekedett az Isten köztetek, — amint magatok is tudjátok, —
Acts.2.23 | azt, aki az Isten elvégzett tanácsából és rendeléséből nektek kiadatott, az istentelenek keze által keresztre feszítettétek és megöltétek.
Acts.2.24 | Őt az Isten feltámasztotta, megoldotta a halál fájdalmait, mivel lehetetlen is volt, hogy az őt fogva tartsa.
Acts.2.25 | Mert Dávid azt mondja róla: Magam előtt láttam az Urat mindenkor, mert ő nekem jobb kezem felől van, hogy meg ne tántorodjam.
Acts.2.26 | "Ezért örvendezett az én szívem és vigadott az én nyelvem; ezenfelül testem is majd reménységben nyugszik."
Acts.2.27 | Mert nem hagyod az én lelkemet a sírban és nem fogod engedni, hogy a te Szented rothadást lásson.
Acts.2.28 | "Megismertetted velem az élet útjait; örömmel töltesz be majd engem a te orcád előtt."
Acts.2.29 | Atyámfiai, férfiak, szabad nyíltan szólanom hozzátok Dávid pátriárkáról, hogy meghalt és el is temették és sírja mind e mai napig nálunk van.
Acts.2.30 | Mivel ő próféta volt és tudta, hogy az Isten neki esküvel fogadta, hogy majd azt ülteti az ő királyi székébe, aki az ő ágyékának gyümölcséből való,
Acts.2.31 | ezt előre látva, szólott a Krisztus feltámadásáról, hogy ő sem hagyatott a sírban, sem teste rothadást nem látott.
Acts.2.32 | Ezt a Jézust feltámasztotta az Isten, aminek mi mindnyájan tanúi vagyunk.
Acts.2.33 | Miután tehát Isten jobbja által felmagasztaltatott és a megígért Szentlelket az Atyától elnyerte, amint ti most látjátok és halljátok, kitöltötte azt.
Acts.2.34 | Mert nem Dávid ment fel a mennybe, hiszen ő maga mondja: Szólott az Úr az én Uramnak: Ülj az én jobbom felől,
Acts.2.35 | míg ellenségeidet lábad alá vetem zsámolyul.
Acts.2.36 | Tudja meg hát Izrael egész háza bizonyossággal, hogy Úrrá és Krisztussá tette őt az Isten: azt a Jézust, akit ti megfeszítettetek.
Acts.2.37 | Mikor pedig ezeket hallották, mintha szíven találták volna őket, így szóltak Péternek és a többi apostolnak: Mit cselekedjünk, atyámfiai, férfiak?
Acts.2.38 | Péter pedig azt mondta nekik: Térjetek meg és keresztelkedjetek meg mindnyájan a Jézus Krisztus nevére, bűneitek bocsánatára, és veszitek a Szentlélek ajándékát.
Acts.2.39 | Mert nektek szól az ígéret és a ti gyermekeiteknek, és mind azoknak, akik messze vannak, valakiket csak elhív magának az Úr, a mi Istenünk.
Acts.2.40 | Sok más beszéddel is tanúbizonyságot tett és így intette őket: Mentsétek ki magatokat e gonosz nemzedékből!
Acts.2.41 | "Akik tehát örömest vették az ő beszédét, megkeresztelkedtek; és hozzájuk csatlakozott azon a napon mintegy háromezer lélek."
Acts.2.42 | És állhatatosak voltak az apostolok tanításában, a közösségben, a kenyér megtörésében és az imádkozásban.
Acts.2.43 | "És minden lélekben félelem támadt; az apostolok pedig sok csodát és jelet tettek."
Acts.2.44 | Mindazok pedig, akik hittek, együtt voltak és mindenük közös volt,
Acts.2.45 | és birtokaikat és vagyonukat eladták. Azokat szétosztották mindenkinek aszerint, amint kinek-kinek szüksége volt.
Acts.2.46 | És minden nap egy akarattal, állhatatosan a templomban voltak és a kenyeret házanként megtörték. Nagy örömmel és tiszta szívvel részesültek az eledelben,
Acts.2.47 | és dicsérték az Istent és az egész nép előtt kedvességet találtak. Az Úr pedig napról-napra gyarapította az egyházat azokkal, akik üdvösséget nyertek.

Acts.3.1 | Péter és János együtt mentek fel a templomba, az imádkozás órájára, kilenc órakor.
Acts.3.2 | És egy férfit hoztak oda, aki születésétől fogva sánta volt. Ezt naponta oda szokták vinni a templomnak úgynevezett Ékes-kapujába, hogy a templomba menőktől alamizsnát kérjen.
Acts.3.3 | Mikor ez látta, hogy Péter és János be akar menni a templomba, alamizsnát kért tőlük.
Acts.3.4 | Ekkor Péter Jánossal együtt rátekintett és így szólt: Nézz ránk.
Acts.3.5 | Ő tehát figyelmesen rájuk nézett abban a reményben, hogy valamit kap tőlük.
Acts.3.6 | De Péter azt mondta: Ezüstöm és aranyom nincs, de amim van, azt adom neked: a Názáreti Jézus Krisztus nevében, — járj!
Acts.3.7 | És jobbkezénél fogva felemelte, és azonnal megerősödött a lába és a bokája.
Acts.3.8 | Felszökött, talpra állott és járt. Majd bement velük a templomba és dicsérte az Istent járkálva, szökellve.
Acts.3.9 | És az egész nép látta őt, hogy jár és dicséri az Istent,
Acts.3.10 | és felismerték, hogy ez volt az, aki alamizsnáért ült a templom Ékes-kapujában. És megteltek csodálkozással és megdöbbenéssel afelett, ami vele történt.
Acts.3.11 | Miközben pedig ő állandóan Péter és János nyomában volt, az egész nép megdöbbenve összefutott hozzájuk az oszlopcsarnokba, amelyet Salamonénak neveznek.
Acts.3.12 | Ennek láttára pedig Péter így szólt a néphez: Izrael férfiai, mit csodálkoztok ezen, vagy mit néztek úgy ránk, mintha tulajdon erőnkkel vagy kegyességünkkel műveltük volna azt, hogy ő járjon.
Acts.3.13 | Ábrahám, Izsák és Jákob Istene, a mi atyáink Istene, megdicsőítette az ő Fiát, Jézust, akit ti elárultatok és megtagadtatok Pilátus előtt, bár ő ítéletével el akarta bocsátani.
Acts.3.14 | Ti azonban azt a Szentet és Igazat megtagadtátok és azt kívántátok, hogy egy gyilkost bocsásson szabadon nektek,
Acts.3.15 | az élet fejedelmét pedig megöltétek, azt, akit az Isten feltámasztott a halottak közül. Ennek mi tanúi vagyunk.
Acts.3.16 | És az ő nevébe vetett hit által erősítette meg ő maga ezt, akit ti láttok és ismertek, és a tőle kapott hit adta vissza épségét, mindnyájatok szeme láttára.
Acts.3.17 | De most, atyámfiai, tudom, hogy tudatlanságból cselekedtetek, mint a ti vezetőitek is.
Acts.3.18 | Az Isten pedig így töltötte be mindazt, amit eleve hirdetett minden próféta szája által, hogy az ő Krisztusának szenvednie kell.
Acts.3.19 | Tartsatok bűnbánatot és térjetek meg, hogy eltöröltessenek a ti bűneitek s így eljöjjenek az enyhülés napjai az Úrtól,
Acts.3.20 | és elküldje Jézust, akit Krisztusul rendelt nektek
Acts.3.21 | és akit az égnek kell magába fogadnia mindaddig, míg minden újjá nem teremtetik, amiről szól az Isten az ő szent prófétáinak szája által eleitől fogva.
Acts.3.22 | Mert Mózes ezt mondta: Prófétát támaszt nektek az Úr, a ti Istenetek, atyátokfiai közül, mint engem: mindenben őt hallgassátok, amit csak mond nektek.
Acts.3.23 | Lesz pedig, hogy minden lélek, amely nem hallgat arra a prófétára, ki fog irtatni a nép közül.
Acts.3.24 | De a próféták is mindnyájan Sámueltől és a következőktől fogva, akik csak szóltak, e napokról jövendöltek.
Acts.3.25 | Ti vagytok a prófétáknak és a szövetségnek fiai, amelyet Isten kötött a mi atyáinkkal, amikor így szólt Ábrahámnak: És a te magodban megáldatnak a föld nemzetségei mindnyájan.
Acts.3.26 | Az Isten az ő Fiát elsősorban nektek támasztotta fel és elküldte őt, aki megáld titeket azáltal, hogy mindegyikőtök megtér a bűneiből.

Acts.4.1 | Míg azonban ők a néphez szóltak, odaléptek hozzájuk a papok és a templomi őrség parancsnoka meg a szadduceusok.
Acts.4.2 | Nehezteltek ugyanis amiatt, hogy a népet tanítják és hirdetik a Jézusban a halottak közül való feltámadást.
Acts.4.3 | És rájuk vetették a kezüket és őrizetbe vették őket másnapig. Mert már este volt.
Acts.4.4 | Sokan pedig azok közül, akik hallgatták az igét, hittek. Így lett a férfiak száma mintegy ötezer.
Acts.4.5 | Másnap pedig összegyűltek a főembereik, véneik és írástudóik Jeruzsálemben,
Acts.4.6 | és Annás, a főpap, és Kajafás és János és Sándor s mind, akik a főpapi családból valók voltak.
Acts.4.7 | És mikor őket középre állították, tudakozták tőlük: Micsoda hatalommal vagy micsoda név által cselekedtétek ti ezt?
Acts.4.8 | Akkor Péter, Szentlélekkel megtelve, így felelt nekik: Ti, főemberei a népnek és ti vének, (A 8. versben a vének szó helyett egyes kéziratokban ez olvasható: Izraelnek vénei.)
Acts.4.9 | ha minket e mai napon egy beteg emberen való jótétemény miatt vallattok, hogy miáltal gyógyult meg ez:
Acts.4.10 | vegyétek tudomásul mindnyájan ti és Izrael egész népe, hogy a názáreti Jézus Krisztus neve által, akit ti megfeszítettetek, de akit Isten feltámasztott a halottak közül, ő általa áll előttetek ez az ember épségben.
Acts.4.11 | Ez az a kő, amelyet ti, az építők megvetettetek, amely a szegelet fejévé lett.
Acts.4.12 | "És nincs senkiben másban üdvösség; mert nem adatott emberek között az ég alatt más név, amely által kellene megtartatnunk."
Acts.4.13 | Mikor pedig látták Péternek és Jánosnak hitvalló bátorságát és megértették, hogy írástudatlan és egyszerű emberek, csodálkoztak. Fel is ismerték őket, hogy Jézussal voltak.
Acts.4.14 | Mikor azonban látták, hogy a meggyógyult ember ott áll velük együtt, semmit sem szólhattak ellenük.
Acts.4.15 | Mikor pedig kiküldték őket a gyűlésből, így tanácskoztak maguk között:
Acts.4.16 | Mit cselekedjünk ezekkel az emberekkel? Mert hogy nyilvánvaló csoda történt általuk, ezt Jeruzsálem valamennyi lakosa tudja és mi sem tagadhatjuk.
Acts.4.17 | "De hogy tovább ne terjedjen a nép között, fenyegessük meg őket, hogy többé egy embernek se szóljanak a Jézus nevében;"
Acts.4.18 | Beszólították tehát őket és megparancsolták nekik, hogy egyáltalán ne szóljanak és ne tanítsanak Jézus nevében.
Acts.4.19 | Péter és János azonban azt felelték nekik: Döntsétek el ti magatok, vajjon helyes-e az Isten előtt, ha inkább rátok hallgatunk, mint Istenre?
Acts.4.20 | Mert nem tehetjük, hogy amiket láttunk és hallottunk, azokról ne szóljunk.
Acts.4.21 | "Amazok pedig nem találtak semmi módot, miként büntessék meg azokat; ezért újból megfenyegették és szabadon bocsátották őket a nép miatt, mert mindnyájan dicsőítették az Istent azért, ami történt."
Acts.4.22 | Mert negyven évesnél idősebb volt az az ember, akin a gyógyításnak ez a csodája történt.
Acts.4.23 | Miután pedig szabadon bocsátották őket, elmentek az övéikhez és elbeszélték mindazt, amit a papi fejedelmek és vének mondtak nekik.
Acts.4.24 | Mikor pedig ezek hallották, egy szívvel-lélekkel felemelték szavukat az Istenhez és szóltak: Urunk, te teremtetted az eget, a földet, a tengert és mindent, ami azokban van.
Acts.4.25 | Te mondtad a mi atyánknak, Dávidnak, a te szolgádnak szájával a Szentlélek által: Miért zúgolódnak a pogányok és gondolnak hiábavalókat a népek?
Acts.4.26 | Felkeltek a föld királyai és a fejedelmek összegyűltek az Úr ellen és az ő Krisztusa ellen.
Acts.4.27 | Mert valóban összegyűltek Heródes és Poncius Pilátus a pogányokkal és Izrael népével e városban a te szent Fiad, a Jézus ellen, akit te felkentél,
Acts.4.28 | hogy vigyék mindazt, amikről a te kezed és tanácsod eleve elvégezte, hogy megtörténjenek.
Acts.4.29 | Most azért, Urunk, tekints az ő fenyegetéseikre és add meg a te szolgáidnak, hogy teljes bátorsággal hirdessék a te igédet,
Acts.4.30 | nyújtsd ki kezedé gyógyításra, hogy jelek is és csodák is történjenek a te szent Fiadnak, a Jézusnak neve által.
Acts.4.31 | És miután könyörögtek, megrendült az a hely, ahol összegyűltek és megteltek mindnyájan Szentlélekkel, és az Isten igéjét bátorsággal hirdették.
Acts.4.32 | A hivők sokaságának pedig szíve-lelke egy volt és senki semmi vagyonát nem mondta a magáénak, hanem mindenük közös volt.
Acts.4.33 | És az apostolok nagy erővel tettek bizonyságot az Úr Jézus feltámadásáról és nagy kegyelem volt mindnyájukon.
Acts.4.34 | Mert szűkölködő sem volt közöttük senki. Mert mindazok, akiknek szántóföldjük és házaik voltak, azokat eladták, az eladottak árát pedig elhozták,
Acts.4.35 | és letették az apostolok lábainál, azután elosztották kinek-kinek, amint arra szüksége volt.
Acts.4.36 | József is, akit az apostolok Barnabásnak neveztek el (ami lefordítva ezt jelenti: Vigasztalás fia), ez a ciprusi származású lévita,
Acts.4.37 | mivel mezeje volt, azt eladta, a pénzt elhozta és az apostolok lábainál letette.

Acts.5.1 | Egy ember azonban, név szerint Anániás, Szatírával, az ő feleségével eladta birtokát,
Acts.5.2 | ám feleségének is tudtával . annak árából félretett. Azután egy részét, elvitte és letette az apostolok lábai elé.
Acts.5.3 | Péter azonban így szólt: Anániás, miért foglalta el a Sátán a te szívedet, hogy hazudjál a Szentléleknek és a szántóföld árából félretégy ?
Acts.5.4 | Nemde, ha el nem adod, neked maradt volna meg, és miután eladtad, nem a te hatalmadban volt-e az ára? Miért, hogy ezt cselekedted szívedben? Nem embereknek hazudtál, hanem az Istennek.
Acts.5.5 | Mikor e szavakat Anániás meghallotta, lerogyott és meghalt. És mindazokban, akik ezt hallották, nagy félelem támadt.
Acts.5.6 | Az ifjak pedig felkeltek, begöngyölték őt, azután kivitték és eltemették.
Acts.5.7 | Mintegy három óra múlva a felesége, a történtekről mit-sem tudva, bement.
Acts.5.8 | Szólt pedig neki Péter: Mondd meg nekem, vájjon ennyiért adtátok el a földet? Ő. pedig azt válaszolta: Igen, ennyiért.
Acts.5.9 | Péter erre így szólt neki: Miért beszéltetek, össze, hogy az Úr Lelkét megkísértsétek? Íme, az ajtó előtt vannak azoknak lábai, akik eltemették a te férjedet és kivisznek téged.
Acts.5.10 | És azonnal összerogyott lábainál és meghalt. Mikor az ifjak bejöttek, halva találták őt. Ekkor kivitték és eltemették a férje mellé.
Acts.5.11 | És nagy félelem támadt az egész gyülekezetben és mindazokban, akik ezeket hallották.
Acts.5.12 | Az apostolok keze által pedig sok jel és csoda történt a nép között. És mindnyájan egy akarattal Salamon oszlopcsarnokában tartózkodtak.
Acts.5.13 | A többiek közül azonban senki sem mert közéjük elegyedni. De a nép dicsérte őket
Acts.5.14 | és egyre inkább gyarapították számukat azok, akik hittek az Úrban, férfiak és nők seregestül,
Acts.5.15 | úgyannyira, hogy az utcákra hordták ki a betegeket és hordozható ágyakra és fekvőhelyekre rakták le, hogy az arra elhaladó Péternek legalább az árnyéka ráessék valamelyikükre.
Acts.5.16 | És a szomszéd városok sokasága is Jeruzsálembe gyűlt, hozva betegeket és tisztátalan lelkektől gyötörteket, akik mind meggyógyultak.
Acts.5.17 | Akkor előállott a főpap és mind, akik vele voltak, azaz a szadduceusok pártja, és megteltek irigységgel.
Acts.5.18 | És rávetették kezüket az apostolokra és közös tömlöcbe vetették őket.
Acts.5.19 | De az Úr angyala éjtszaka megnyitotta a tömlöc ajtaját, kihozta őket, és így szólt:
Acts.5.20 | Menjetek el, álljatok ki és hirdessétek a templomban a népnek ennek az Életnek minden beszédét.
Acts.5.21 | Azok pedig ennek hallatára jókor reggel bementek a templomba és tanítottak. Mikor azután a főpap és akik vele voltak, megérkeztek, összehívták a tanácsot és Izrael népéből a vének gyűlését és elküldtek a tömlöcbe, hogy azokat elő hozzák.
Acts.5.22 | De mikor a törvényszolgák odamentek, nem találták őket a tömlöcben. Visszatérve tehát jelentették:
Acts.5.23 | "A tömlöcöt ugyan nagy gondossággal bezárva találtuk, az őrök is ott álltak kívül az ajtó előtt; mikor azonban az ajtót kinyitottuk, bent senkit sem találtunk."
Acts.5.24 | Amint pedig meghallották e szavakat, a templomőrség parancsnoka és a papi fejedelmek zavarban voltak azok miatt, hogy vajjon mi lesz ebből.
Acts.5.25 | Eljött pedig valaki, és hírül adta nekik: íme azok a férfiak, akiket tömlöcbe vetettetek, a templomban állanak és tanítják a népet.
Acts.5.26 | Ekkor elment a parancsnok a törvényszolgákkal s előhozták őket, de erőszak nélkül. Féltek ugyanis a néptől, hogy megkövezi őket.
Acts.5.27 | Előhozták pedig őket, odaállították a tanács elé és megkérdezte tőlük a főpap:
Acts.5.28 | Szigorú paranccsal meghagytuk nektek, hogy ne tanítsatok a Jézus nevében és íme betöltöttétek egész Jeruzsálemet tanításotokkal és ránk akarjátok hárítani ennek az embernek a vérét.
Acts.5.29 | Péter azonban és az apostolok így feleitek: Istennek kell inkább engedelmeskedni, mint az embereknek.
Acts.5.30 | A mi atyáink Istene feltámasztotta Jézust, akit ti fára függesztve megöltetek.
Acts.5.31 | Ezt az Isten fejedelemmé és megváltóvá emelte jobbjával, hogy Izraelnek megtérést és bűnbocsánatot adjon.
Acts.5.32 | És mi vagyunk a tanúi ezeknek az eseményeknek és a Szentlélek is, akit az Isten adott azoknak, akik neki engedelmeskednek.
Acts.5.33 | Mikor pedig ezeket hallották, fogaikat csikorgatták és arról tanácskoztak, hogy megölik őket.
Acts.5.34 | Felkelt azonban a tanácsban egy farizeus, névszerint Gamáliel, az egész nép előtt tisztelt törvénytudó és megparancsolta, hogy egy kis időre vezessék ki az embereket.
Acts.5.35 | És így szólt hozzájuk: Izraelita férfiak, vegyétek jól fontolóra, hogy mit akartok ezekkel az emberekkel cselekedni.
Acts.5.36 | Mert kevés idővel ezelőtt felkelt Teudás, és azt állította, hogy ő valaki. Körülbelül négyszáz ember csatlakozott hozzá. Őt megölték és mindazok, akik követték, szétszóródtak és semmivé lettek.
Acts.5.37 | Ezután felkelt a galileai Júdás az összeírás idején és sok népet maga után csábított. Ez is elveszett és mindazok, akik hozzá szegődtek, szétszóródtak.
Acts.5.38 | Most is azt tanácsolom nektek, ne bántsátok ezeket az embereket, és hagyjatok nekik békét. Mert ha embertől van ez a tanács vagy ez a dolog, semmivé lesz.
Acts.5.39 | Ha ellenben Istentől van, ti nem veszthetitek el őket, — hogy esetleg isten ellen harcolóknak is ne találtassatok.
Acts.5.40 | Engedtek azért neki és miután előszólították az apostolokat, megverették őket és megparancsolták, hogy Jézus nevében ne szóljanak azután szabadon bocsátották őket.
Acts.5.41 | Ők tehát örömmel távoztak a tanács elől, hogy méltóknak ítéltettek arra, hogy az ő nevéért gyalázatot szenvedjenek.
Acts.5.42 | És minden nap a templomban és házanként nem szűntek meg tanítani és hirdetni Jézust, a Krisztust.

Acts.6.1 | Azokban a napokban pedig, mikor a tanítványok száma gyarapodott, a görögül beszélő zsidók között zúgolódás támadt a héberek ellen, hogy a közülük való özvegyasszonyokat mellőzik a mindennapi szolgálatnál.
Acts.6.2 | Ezért a tizenkettő összegyűjtötte a tanítványok sokaságát és így szólt: Nem helyes, hogy mi az Isten igéjét elhanyagoljuk az asztalok körül való szolgálatért.
Acts.6.3 | Válasszatok azért, atyámfiai, magatok közül hét férfit, akiknek jó bizonyságuk van, akik telve annak Lélekkel és bölcsességgel, hogy rájuk bízzuk ezt a feladatot.
Acts.6.4 | Mi pedig állandóan az imádkozással és az igehirdetés szolgálatával foglalatoskodunk.
Acts.6.5 | És helyeselte ezt a beszédet az egész sokaság, és ekkor kiválasztották Istvánt, aki hittel és Szentlélekkel teljes férfiú volt, Fülöpöt, Prohorust, Nikánort, Tiniont, Pármenást és Nikolaust, aki antiókhiai prozelita volt:
Acts.6.6 | ezeket az apostolok elé állították és ők, miután imádkoztak, rájuk tették a kezüket.
Acts.6.7 | És az Isten igéje terjedt és a tanítványok száma erősen gyarapodott Jeruzsálemben. És a papok közül is nagyon sokan engedelmeskedtek a hitnek.
Acts.6.8 | István pedig, aki teljes volt kegyelemmel és erővel, nagy csodákat és jeleket cselekedett a nép között.
Acts.6.9 | Előállottak azonban némelyek azok közül, akik a szabadosok, ciréneiek, alexandriaiak, ciliciaiak és ázsia-beliek zsinagógájához tartoztak és vitatkoztak Istvánnal.
Acts.6.10 | De nem állhattak ellene annak a bölcsességnek és Léleknek, amellyel beszélt.
Acts.6.11 | Akkor felbujtottak néhány embert, akik így szóltak: Hallottuk, hogy ő káromló beszédeket mondott Mózes ellen és az Isten ellen.
Acts.6.12 | És fellázították a népet, a véneket és az írástudókat és rárohanva, magukkal ragadták őt és a tanács elé vitték.
Acts.6.13 | Hamis tanúkat is állítottak, akik ezt mondták: Ez az ember nem szűnik meg káromló beszédeket mondani e szent hely és a törvény ellen.
Acts.6.14 | Mert hallottuk, mikor azt mondta: az a názáreti Jézus lerontja ezt a helyet és megváltoztatja azokat a szokásokat, amelyeket Mózes hagyott reánk.
Acts.6.15 | Ekkor a tanácsban ülők mindnyájan rátekintettek és olyannak látták az arcát, mint egy angyalét.

Acts.7.1 | Szólott pedig a főpap: Csakugyan így van ez?
Acts.7.2 | Ő pedig ezt mondta: Férfiak, atyámfiai és atyák, halljátok meg! A dicsőség Istene megjelent a mi atyánknak, Ábrahámnak, mikor Mezopotámiában tartózkodott, mielőtt áttelepedett Háránba,
Acts.7.3 | és így szólt neki: Menj ki a te földedről és a te nemzetséged közül és jöjj arra a földre, amelyet mutatok neked.
Acts.7.4 | "Akkor kiment a kaldeusok földjéről, áttelepedett Háránba; és onnét, miután az atyja meghalt, Isten kihozta őt erre a földre, amelyen ti most laktok."
Acts.7.5 | "És nem adott neki abban egy talpalatnyi örökséget sem; és azt ígérte, hogy neki adja azt birtokul és az ő magvának ő utána, holott nem volt gyermeke."
Acts.7.6 | Úgy szólt pedig az Isten, hogy az ő magva zsellér lesz idegen földön és szolgálat alá vetik és nyomorgatják négyszáz esztendeig.
Acts.7.7 | De azt a népet, amelynek szolgálnak, én megítélem, — mondta az Isten — és ezek után kijönnek és szolgálnak nekem ezen a helyen.
Acts.7.8 | És adta neki a körülmetélés szövetségét. Így született az ő fia, Izsák,, akit körülmetélt nyolcadnapra, és Izsák fia Jákob és Jákobé a tizenkét pátriárka.
