Matt.1.1 | Jézus Krisztusnak, Dávid fiának, Ábrahám fiának nemzetségkönyve.
Matt.4.4 | Ő pedig ezt felelte: Meg van írva: Nemcsak kenyérrel él az ember, hanem minden igével, amely Isten szájából származik.
Matt.4.5 | Ekkor elvitte őt az ördög a szent városba és odahelyezte a templom párkányára.
Matt.4.6 | "És így szólt hozzá: Ha Isten Fia vagy, vesd le magadat; mert meg van írva: Az ő angyalainak parancsol felőled és kézen hordoznak téged, hogy meg ne üsd lábadat a kőben."
Matt.4.7 | Jézus így válaszolt neki: Viszont meg van írva: Ne kísértsd az Urat, a te Istenedet!
Matt.4.8 | Ismét elvitte őt az ördög egy igen magas hegyre és megmutatta neki á világ minden országát és azok dicsőségét.
Matt.4.9 | És azt mondta neki: Mindezeket neked adom, ha leborulva imádsz engem.
Matt.4.10 | Ekkor így szólt hozzá Jézus: Távozz, Sátán, mert meg van írva: Az Urat, a te Istenedet imádd és csak neki szolgálj.
Matt.4.11 | Ekkor elhagyta őt az ördög. És íme angyalok járultak hozzá és szolgáltak neki.
Matt.4.12 | "Mikor pedig meghallotta Jézus, hogy Jánost börtönbe vetették, visszatért Galileába;"
Matt.4.13 | és odahagyva Názáretet, elment és letelepedett a tengerparti Kapernaumban, Zebulon és Naftali területén,
Matt.4.14 | hogy beteljesedjék, amit Ésaiás próféta mondott, mikor így szólt:
Matt.4.15 | Zebulon földje és Naftalí földje, Tengermellék, Jordánontúl, pogányok Galileája!
Matt.4.16 | A nép, amely sötétségben ül, nagy világosságot látott és akik a halál földjén és árnyékában ültek, azoknak világosság támadt.
Matt.4.17 | Ettől kezdve prédikált Jézus: Térjetek meg, mert elközelített a mennyek országa.
Matt.4.18 | Mikor pedig Jézus a galileai tenger mellett járt, látott két testvért, Simont, akit Péternek neveznek és Andrást, az ő testvérét, amint a tengerbe hálót vetettek: mert halászok voltak.
Matt.4.19 | És szólt nekik: Kövessetek engem és én emberhalászokká teszlek titeket.
Matt.4.20 | Azok pedig azonnal otthagyták a hálókat és követték őt.
Matt.4.21 | "És onnan továbbmenve, látott más két testvért, Jakabot, Zebedeus fiát, és Jánost, az ő testvérét, amint a hajóban atyjukkal, Zebedeussal hálóikat kötözgették; és hívta őket."
Matt.4.22 | Azok pedig azonnal otthagyták a hajót és atyjukat és követték őt.
Matt.4.23 | És bejárta Jézus az egész Galileát, tanítva az ő zsinagógáikban, és hirdetve az Isten országának evangéliumát és gyógyítva a nép között minden betegséget és minden erőtlenséget.
Matt.4.24 | "És elterjedt a híre egész Szíriában, úgyhogy odavitték hozzá mind a szenvedőket, akik különféle betegségekben és kínokban sínylődtek, az ördöngösöket, a holdkórosokat és a gutaütötteket; és meggyógyította őket."
Matt.4.25 | És nagy sokaság követte őt Galileából és a Tízvárosból és Jeruzsálemből és Júdeából és a Jordánontúlról.

Matt.5.1 | Mikor pedig látta a sokaságot, felment a hegyre, és amint leült, odamentek hozzá tanítványai
Matt.5.2 | És megnyitotta száját és tanította őket e szavakkal:
Matt.5.3 | Boldogok a lelki szegények, mert övék a mennyek országa.
Matt.5.4 | Boldogok, akik sírnak, mert ők megvigasztaltatnak.
Matt.5.5 | Boldogok a szelídek, mert ők öröklik a földet.
Matt.5.6 | Boldogok, akik éhezik és szomjúhozzák az igazságot, mert ők megelégíttetnek.
Matt.5.7 | Boldogok az irgalmasok, mert ők irgalmasságot nyernek.
Matt.5.8 | Boldogok, akiknek szívük tiszta, mert ők az Istent meglátják.
Matt.5.9 | Boldogok a békességre igyekezők, mert őket Isten fiainak hívják.
Matt.5.10 | Boldogok, akiket üldöznek az igazságért, mert övék a mennyek országa.
Matt.5.11 | Boldogok vagytok, ha szidalmaznak és üldöznek titeket és hazugul minden rosszat mondanak ellenetek énérettem.
Matt.5.12 | "örüljetek és örvendezzetek, mert jutalmatok bőséges a mennyekben; így üldözték a prófétákat is, akik előttetek voltak."
Matt.5.13 | "Ti vagytok a föld sója; ha pedig a só ízét veszti, mivel sózzák meg? Nem jó azután semmire, csak hogy kidobják és eltapossák az emberek."
Matt.5.14 | Ti vagytok a világ világossága. Hegyen épült várost nem lehet elrejteni.
Matt.5.15 | Lámpást sem azért gyújtanak, hogy a véka alá tegyék, hanem a lámpatartóra, és világit mindazoknak, akik a házban vannak.
Matt.5.16 | Úgy tündököljék a ti világosságtok az emberek előtt, hogy lássák a ti jócselekedeteiteket és dicsőítsék a ti mennyei Atyátokat.
Matt.5.17 | Ne gondoljátok, hogy a törvény vagy a próféták eltörlésére jöttem. Nem azért jöttem, hogy eltöröljem, hanem hogy betöltsem azokat.
Matt.5.18 | Mert bizony mondom nektek, hogy amíg az ég és föld elmúlik, egyetlen jóta vagy egyetlen pontocska sem múlik el a törvényből, amíg mind be nem teljesedik.
Matt.5.19 | "Azért ha valaki csak egyet is, akár a legkisebbet is, megrontja ama parancsolatok közül, s úgy tanítja az embereket, a legkisebb lesz a mennyek országában; aki pedig cselekszi és tanítja, azt nagynak mondják a mennyek országában."
Matt.5.20 | Mert mondom nektek, hogy ha a ti igazságotok nem több az írástudók és farizeusok igazságánál, semmiképpen sem mehettek be a mennyek országába.
Matt.5.21 | Hallottátok, hogy meg mondatott a régieknek: Ne ölj! Aki pedig öl, méltó az ítéletre.
Matt.5.22 | "Én viszont azt mondom nektek, hogy mindaz, aki haragszik az atyjafiára - ok nélkül,- méltó az ítéletre; aki pedig azt mondja az atyjafiának: Ráká (ostoba), megérdemli! hogy a nagytanács elé kerüljön; aki meg ezt mondja: Bolond! - méltó a gyehenna tüzére. (A 22. versben gondolatjel között levő szavak a legrégibb kéziratokban nincsenek meg.)"
Matt.5.23 | Azért ha áldozati ajándékodat az oltárra viszed és ott megemlékezel arról, hogy atyádfiának valami panasza van ellened,
Matt.5.24 | hagyd ott az oltár előtt az ajándékodat, menj el, békülj meg előbb az atyádfiával és csak azután jöjj és vidd fel a te ajándékodat.
Matt.5.25 | Légy engedékeny a te ellenfeled iránt jókor, amíg az úton vagy vele, hogy ellenfeled át ne adjon a bírónak, a bíró meg oda ne adjon a börtönőr kezébe és tömlöcbe ne vessenek téged.
Matt.5.26 | Bizony mondom neked: nem jössz ki onnan, míg meg nem fizetsz az utolsó fillérig.
Matt.5.27 | Hallottátok, hogy megmondatott: Ne paráználkodjál!
Matt.5.28 | Én pedig azt mondom nektek: mindenki, aki asszonyra bűnös vággyal tekint, már paráználkodott azzal az ő szívében.
Matt.5.29 | "Ha pedig a te jobb szemed bűnre csábít téged, vájd ki és vesd el magadtól; mert jobb neked, hogy egy vesszen el a te tagjaid közül és ne egész tested vettessék a gyehennára."
Matt.5.30 | "És ha a te jobb kezed bűnre visz téged, vágd le azt és vesd el magadtól; mert jobb neked, hogy egy vesszen el a te tagjaid közül, és ne egész tested vettessék a gyehennára."
Matt.5.31 | Megmondatott továbbá, ha valaki elbocsátja feleségét, adjon neki válólevelet.
Matt.5.32 | "Én pedig azt mondom nektek; mindenki, aki elbocsátja feleségét paráznaság okán kívül, paráznává teszi azt; és aki elbocsátott asszonyt vesz el, paráználkodik."
Matt.5.33 | Ismét hallottátok, hogy megmondatott a régieknek: Hamisan ne esküdjél, hanem teljesítsd az Úrnak tett esküidet.
Matt.5.34 | "Én pedig azt mondom nektek: egyáltalán ne esküdjetek; se az égre, mert az az Isten királyi széke;"
Matt.5.35 | "se a földre, mert az az ő lábainak zsámolya; se Jeruzsálemre, mert a nagy Király városa;"
Matt.5.36 | se a fejedre ne esküdjél, mert nem tudsz egy hajszálat fehérré vagy feketévé tenni.
Matt.5.37 | "Hanem legyen a ti beszédetek: Igen, igen; nem,- nem; ami pedig ezeken felül van, a gonosztól van."
Matt.5.38 | Hallottátok, hogy meg mondatott: Szemet szemért és fogat fogért.
Matt.5.39 | Én pedig azt mondom nektek: ne álljatok ellene a gonosznak, hanem aki téged arcul üt jobb felől, fordítsd feléje a másik arcodat is.
Matt.5.40 | És aki törvénykezni akar veled és elvenni a te alsóruhádat, engedd oda neki a felsőt is.
Matt.5.41 | És aki téged egy mérföldre kényszerít, menj el vele kettőre.
Matt.5.42 | "Aki tőled kér, adj neki; és aki tőled kölcsön akar kérni, ne fordulj el attól."
Matt.5.43 | Hallottátok, hogy megmondatott: Szeresd felebarátodat és gyűlöld ellenségedet.
Matt.5.44 | Én pedig azt mondom nektek: Szeressétek ellenségeiteket, - áldjátok azokat, akik titeket átkoznak, jót tegyetek azokkal, akik titeket gyűlölnek - és imádkozzatok azokért, akik titeket üldöznek, (A 44. versben gondolatjel közötti levő szavak a legrégibb kéziratokban nincsenek meg.)
Matt.5.45 | hogy legyetek a ti mennyei Atyátok fiai, aki felhozza nap ját mind a gonoszokra, mind a jókra, és esőt ad mind az igazaknak, mind a hamisaknak.
Matt.5.46 | Mert ha azokat szeretitek, akik titeket szeretnek, micsoda jutalmát veszitek? Nem ugyanezt cselekszik a vámszedők is?
Matt.5.47 | És ha csak a ti atyátokfiait köszöntitek, mit cselekesztek másoknál többet? Nem ugyanezt teszik a pogányok is?
Matt.5.48 | Legyetek azért tökéletesek, mint a ti mennyei Atyátok tökéletes.

Matt.6.1 | "Vigyázzatok, hogy kegyességeteket ne gyakoroljátok az emberek előtt azért, hogy lássanak titeket; mert akkor nem lesz jutalmatok a ti mennyei Atyátoknál."
Matt.6.2 | Azért mikor alamizsnát osztogatsz, ne kürtöltess magad előtt, ahogy a képmutatók tesznek a zsinagógákban és az utcákon, hogy az emberektől dicséretet nyerjenek. Bizony mondom nektek: elvették jutalmukat.
Matt.6.3 | De amikor te osztogatsz alamizsnát, ne tudja a bal kezed, mit cselekszik a jobb kezed,
Matt.6.4 | "hogy az alamizsnálkodásod titkon legyen; és a te Atyád, aki látja, amit titkon tettél, megfizet neked nyilván. (A 4. vers, 6. vers és 18. vers utolsó szava a legrégibb kéziratokban nincs meg.)"
Matt.6.5 | És mikor imádkoztok, ne legyetek olyanok, mint a képmutatók, akik a zsinagógákban és az utcák szögletein állva szeretnek imádkozni, hogy lássák őket az emberek. Bizony mondom nektek: elvették jutalmukat.
Matt.6.6 | "Te pedig, mikor imádkozol, menj be a belső szobádba, zárd be az ajtódat és imádkozzál a te Atyádhoz, aki titkon van; és a te Atyád, aki látja, amit titkon tettél, megfizet neked nyilván."
Matt.6.7 | És mikor imádkoztok, ne legyetek bőbeszédűek, mint a pogányok. Ezek azt gondolják, hogy az ő bőbeszédűségükért hallgattatnak meg.
Matt.6.8 | Ne legyetek hát hozzájuk hasonlók, mert tudja a ti Atyátok, mire van szükségetek, mielőtt kérnétek tőle.
Matt.6.9 | "Ti azért így imádkozzatok: Mi Atyánk, ki vagy a mennyekben, szenteltessék meg a te neved;"
Matt.6.10 | "jöjjön el a te országod; legyen meg a te akaratod, mint a mennyben, úgy a földön is."
Matt.6.11 | A mi mindennapi kenyerünket add meg nekünk ma.
Matt.6.12 | "És bocsásd meg a mi vétkeinket, miképpen mi is megbocsátottunk azoknak, akik ellenünk vétkeztek;"
Matt.6.13 | és ne vígy minket kísértésbe, de szabadíts meg minket a gonosztól. Mert tied az ország és a hatalom és a dicsőség mindörökké. Ámen.
Matt.6.14 | Mert ha megbocsátjátok az embereknek az ő vétkeiket, megbocsát nektek is a ti mennyei Atyátok.
Matt.6.15 | Ha pedig nem bocsátotok meg az embereknek, a ti Atyátok sem bocsátja meg a ti vétkeiteket.
Matt.6.16 | Mikor pedig böjtöltök, ne legyetek olyan komor ábrázatúak, mint a képmutatók, mert ezek eltorzítják arcukat, hogy az emberek lássák az ő böjtölésüket. Bizony mondom nektek: elvették jutalmukat.
Matt.6.17 | Te pedig, mikor böjtölsz, kend meg a fejedet és az arcodat mosd meg,
Matt.6.18 | "hogy ne az emberek lássák böjtölésedet, hanem a te Atyád, aki titkon van; és a te Atyád, aki látja, amit titkon tettél, megfizet neked nyilván."
Matt.6.19 | Ne gyűjtsetek magatoknak kincseket a földön, ahol a rozsda és a moly megemészti és ahol a tolvajok kiássák és ellopják azt,
Matt.6.20 | hanem gyűjtsetek magatoknak kincseket a mennyben, ahol sem a rozsda, sem a moly meg nem emészti és ahol a tolvajok nem ássák ki, sem el nem lopják.
Matt.6.21 | Mert ahol a kincsed van, ott lesz a szíved is.
Matt.6.22 | A test lámpása a szem. Ha azért a te szemed tiszta, egész tested világos lesz.
Matt.6.23 | "Ha pedig a te szemed gonosz; egész tested sötét lesz. Ha tehát a benned levő világosság sötétség, mekkora akkor a sötétség!?"
Matt.6.24 | "Senki sem szolgálhat két úrnak. Mert vagy az egyiket gyűlöli és a másikat szereti; vagy az egyikhez ragaszkodik és a másikat megveti. Nem szolgálhattok Istennek és a mammonnak."
Matt.6.25 | "Azért azt mondom nektek: ne aggodalmaskodjatok a ti életetek felől, mit egyetek és mit igyatok; se a ti testetek felől, mibe öltözködjetek. vajjon nem nagyobb-e az élet az eledelnél és a test az öltözetnél?"
Matt.6.26 | "Tekintsetek az égi madarakra, nem vetnek, nem is aratnak, csűrbe sem takarnak; és a ti mennyei Atyátok eltartja azokat. Nem sokkal különbek vagytok-e azoknál?"
Matt.6.27 | Kicsoda pedig az közületek, aki aggodalmaskodásával meghosszabbíthatja az ő életét egy arasznyival?
Matt.6.28 | Az öltözet felől is mit aggodalmaskodtok? Figyeljétek meg-a mezei liliomokat, hogyan növekednek: nem munkálkodnak, és nem fonnak.
Matt.6.29 | De mondom nektek, hogy Salamon az ő teljes dicsőségében sem öltözött úgy, mint ezek közül bármelyik.
Matt.6.30 | Ha pedig a mező füvét, - amely ma van és holnap kemencébe vetik, így ruházza az Isten, nem sokkal inkább-e titeket, ti kicsinyhitűek?
Matt.6.31 | Ne aggodalmaskodjatok tehát és ne mondjátok: Mit együnk? vagy: Mit igyunk? vagy: Mivel ruházkodjunk?
Matt.6.32 | Mert mindezekért a pogányok törik magukat. Mert tudja a ti mennyei Atyátok, hogy mindezekre szükségetek van.
Matt.6.33 | Hanem keressétek először Isten országát és annak igazságát és ezek mind ráadásul adatnak nektek.
Matt.6.34 | Ne aggodalmaskodjatok tehát a holnap felől, mert a holnap majd aggodalmaskodik a maga dolgai felől. Elég minden napnak a maga baja.

Matt.7.1 | Ne ítéljetek, hogy ne ítéltessetek.
Matt.7.2 | Mert amilyen ítélettel ítéltek, olyannal ítéltettek és amilyen mértékkel mértek, olyannal mérnek nektek.
Matt.7.3 | Miért nézed a szálkát, amely a te atyádfia szemében van, a gerendát pedig, amely a te szemedben van, nem veszed észre?
Matt.7.4 | Vagy hogyan mondhatod a te atyádfiának: Hadd távolítsam el a szálkát a te szemedből! Pedig lám a te szemedben gerenda van.
Matt.7.5 | Képmutató, távolítsd el előbb a gerendát a te szemedből, és akkor gondolj arra, hogy eltávolítsd a szálkát a te atyádfia szeméből.
Matt.7.6 | Ne adjátok azt, ami szent, az ebeknek, gyöngyeiteket se dobjátok a disznók elé, hogy meg ne tapossák azokat lábukkal és ellenetek fordulva, szét ne szaggassanak titeket.
Matt.7.7 | "Kérjetek és adatik nektek; keressetek és találtok; zörgessetek és megnyittatik nektek."
Matt.7.8 | "Mert aki kér, mind kap; aki keres, talál; és a zörgetőnek megnyittatik."
Matt.7.9 | Vagy ki az az ember közületek, aki a fiának követ ad, amikor kenyeret kér tőle?
Matt.7.10 | És ha halat kér, vajjon kígyót ad-e neki?
Matt.7.11 | Ha azért ti gonosz létetekre tudtok fiaitoknak jó ajándékokat adni, mennyivel inkább ad a ti mennyei Atyátok jókat azoknak, akik kérnek tőle?!
Matt.7.12 | "Amit akartok azért, hogy az emberek veletek cselekedjenek, mindazt ti is úgy cselekedjétek azokkal; mert ez a törvény és a próféták."
Matt.7.13 | Menjetek be a szoros kapun. Mert tágas az a kapu és széles az az út, amely a pusztulásba visz, és sokan vannak, akik azon járnak.
Matt.7.14 | Mert szoros az a kapu és keskeny az az út, amely az életre visz, és kevesen vannak, akik megtalálják azt.
Matt.7.15 | őrizkedjetek a hamis prófétáktól, akik juhok ruhájában jönnek hozzátok, de belül ragadozó farkasok.
Matt.7.16 | Gyümölcseikről ismeritek meg őket. vajjon a tövisről szednek-e szőlőt, vagy a bojtorjánról fügét?
Matt.7.17 | Így minden jó fa jó gyümölcsöt terem, a rossz fa pedig rossz gyümölcsöt terem.
Matt.7.18 | Nem teremhet jó fa rossz gyümölcsöt, rossz fa sem teremhet jó gyümölcsöt.
Matt.7.19 | Minden fa, amely nem terem jó gyümölcsöt, kivágatik és tűzre vettetik.
Matt.7.20 | Azért az ő gyümölcseikről ismeritek meg őket.
Matt.7.21 | Nem mindenki megy be a mennyek országába, aki azt mondja nekem: Uram, Uram! hanem aki cselekszi az én mennyei Atyám akaratát.
Matt.7.22 | Sokan mondják majd nekem ama napon: Uram, Uram! Nem a te nevedben prófétáltunk-e, nem a te nevedben űztünk-e ördögöket és nem a te nevedben cselekedtünk-e sok hatalmas dolgot?
Matt.7.23 | "És akkor megmondom nekik: Sohasem ismertelek titeket; távozzatok tőlem, ti gonosztevők."
Matt.7.24 | Mindenki tehát, aki hallja tőlem e beszédeket és cselekszi azokat, hasonló ahhoz a bölcs emberhez, aki kősziklára építette a házát.
Matt.7.25 | És ömlött az eső, megjöttek az áradások, fújtak a szelek és rázúdultak arra a házra, de nem dőlt össze, mert szikla volt az alapja.
Matt.7.26 | És mindenki, aki hallja ezeket az én beszédeimet és nem cselekszi azokat, hasonló lesz ahhoz a bolond emberhez, aki a fövényre építette a házát.
Matt.7.27 | És ömlött az eső, megjöttek az áradások, fújtak a szelek és rázúdultak arra a házra, úgyhogy összeomlott és nagy lett a pusztulása.
Matt.7.28 | És történt, hogy mikor Jézus elvégezte ezeket a beszédeket, a sokaság álmélkodott a tanításán,
Matt.7.29 | mert úgy tanította őket, mint akinek hatalma van és nem úgy, mint az írástudóik.

Matt.8.1 | És mikor lejött a hegyről, nagy sokaság követte őt.
Matt.8.2 | És íme egy bélpoklos odament, leborult előtte és ezt mondta: Uram, ha akarod, megtisztíthatsz engem.
Matt.8.3 | Ekkor ő kezét kinyújtotta, megérintette őt és ezt mondta: Akarom: tisztulj meg! És azonnal megtisztult a poklosságtól.
Matt.8.4 | "Ekkor Jézus így szólt hozzá: Vigyázz, senkinek se szólj; hanem eredj, mutasd meg magadat a papnak, és vidd fel az ajándékot, amelyet Mózes rendelt, bizonyságul nekik."
Matt.8.5 | Mikor pedig bement Kapernaumba, egy százados ment hozzá és kérte őt:
Matt.8.6 | Uram, az én szolgám otthon gutaütötten fekszik és nagy kínokat szenved.
Matt.8.7 | Ekkor így szólt hozzá: Elmegyek és meggyógyítom őt.
Matt.8.8 | És felelt a százados: Uram, nem vagyok én arra méltó, hogy hajlékomba jöjj, hanem csak szóval mondd és meggyógyul az én szolgám,
