Heb.1.1 | Az Isten hajdan sokszor és sokféleképen szólott az atyáknak a próféták által,
Heb.4.1 | Mivel még nem teljesedett be az az ígéret, hogy be fogunk menni az ő nyugodalmába, féltő gonddal ügyeljünk, hogy senki se lássék közületek kimaradottnak.
Heb.4.2 | Mert nekünk is hirdettetett az evangéliom, mint azoknak, de nekik nem használt a hallott ige, mert nem forrt egybe hittel azokban, akik hallották.
Heb.4.3 | Mi ellenben, akik hiszünk, bemegyünk a nyugodalomba, ahogyan megmondta: Amint megesküdtem haragomban, nem fognak bemenni az én nyugodalmamba, — jóllehet munkáit a világ teremtése óta bevégezte.
Heb.4.4 | Mert valahol a hetedik napról így szólt: És megnyugodott Isten a hetedik napon minden munkájától.
Heb.4.5 | És ezen a helyen ismét: Nem mennek be az én nyugodalmamba.
Heb.4.6 | Mivel tehát bizonyos, hogy némelyek bemennek abba, de akiknek először kihirdettetett az evangéliom, nem mentek be engedetlenségük miatt,
Heb.4.7 | ismét meghatároz egy napot: „Ma”, amint Dávid által annyi idő múlva így szól, ahogy előbb mondtuk: Ma, ha az ő szavát halljátok, ne keményítsétek meg szíveteket.
Heb.4.8 | Mert ha Józsué nyugodalomba juttatta volna őket, Isten nem szólana másik későbbi napról.
Heb.4.9 | Azért van még az Isten népének szombatnapi nyugodalma.
Heb.4.10 | Mert aki bement az ő nyugodalmába, az maga is megnyugodott munkáitól, mint Isten is a magáéitól.
Heb.4.11 | Igyekezzünk tehát bemenni abba a nyugodalomba, hogy senki az engedetlenségnek hasonló példájaként el ne essék.
Heb.4.12 | Mert Isten beszéde élő és ható: élesebb minden kétélű kardnál, és elhat a szívnek és léleknek, az ízeknek és velőknek megoszlásáig és megítéli a szív gondolatait és szándékait.
Heb.4.13 | És nincs olyan teremtmény, amely nyilván ne állana előtte, sőt minden leplezetlen és nyilvánvaló az ő szeme előtt, akinek számot kell adnunk.
Heb.4.14 | Mivel tehát nagy főpapunk van, aki áthatolt az egeken, Jézus, az Isten Fia, ragaszkodjunk vallásunkhoz.
Heb.4.15 | Mert nem olyan főpapunk van, aki ne tudna megindulni gyarlóságainkon, hanem aki mindenben megkísértetett, hozzánk hasonlóan, kivéve a bűnt.
Heb.4.16 | Járuljunk azért bizalommal a kegyelem királyi székéhez, hogy irgalmat nyerjünk és kegyelmet találjunk, alkalmas időben való segítségül.

Heb.5.1 | Mert az emberek közül választott minden főpap az emberek javára rendeltetik az Isten előtt való szolgálatra, hogy ajándékokat és áldozatokat mutasson be a bűnökért,
Heb.5.2 | aki megértő tud lenni a tudatlanok és tévelygők iránt, mivel őt magát is nyomja az erőtelenség terhe.
Heb.5.3 | És e miatt miképen a népért, azonképen magáért is köteles bűnért való áldozatot bemutatni.
Heb.5.4 | És senki sem szerezheti meg magának ezt a tisztességet, csak akit Isten hív el, mint Áront is.
Heb.5.5 | Hasonlóképen Krisztus sem maga tulajdonította magának azt a dicsőséget, hogy főpap legyen, hanem az adta neki, aki így szólt hozzá: Fiam vagy te, ma szültelek téged.
Heb.5.6 | Mint másutt is mondja: Pap vagy te örökké, Melkisédek rendje szerint.
Heb.5.7 | Ő földi élete napjaiban erős kiáltás és könnyhullatás közben könyörgésekkel és esedezésekkel járult ahhoz, akinek hatalma van arra, hogy megszabadítsa őt a halálból, és meghallgattatott istenfélelméért.
Heb.5.8 | Jóllehet Fiú, azokból, amiket szenvedett, megtanulta az engedelmességet,
Heb.5.9 | és mintán tökéletességre jutott, örök üdvösség szerzője lett mindazok számára, akik neki engedelmeskednek,
Heb.5.10 | mivel Isten Melkisédek rendje szerint való főpapnak nevezte őt.
Heb.5.11 | Erről nekünk sok mondanivalónk van, amit nehéz megmagyarázni, mivel restek lettetek a hallásra,
Heb.5.12 | "mert bár az időhöz képest tanítóknak kellene lennetek, ismét arra van szükségetek, hogy Isten beszédének kezdő elemeire tanítsanak titeket; és olyanok lettetek, mint akiknek tejre van szükségük és nem kemény eledelre."
Heb.5.13 | Mert mindaz, aki tejen él, járatlan az igazság beszédeiben, mivel kisgyermek még.
Heb.5.14 | Viszont a kemény eledel az érettkorúaknak való, mint akiknek a megszokás által gyakorlottak az érzékeik a jó és a rossz megkülönböztetésére.

Heb.6.1 | Azért elhagyva a Krisztusról való elemi tanítást, törekedjünk érettkorúságra, ne foglalkozzunk ismét a holt cselekedetekből való megtérésről, az Istenben való hitről,
Heb.6.2 | a keresztségekről, a kezek rátevéséről, a halottak feltámadásáról és az örök ítéletről szóló tanítások új megalapozásával.
Heb.6.3 | És ha az Isten megengedi, ezt meg is cselekedjük.
Heb.6.4 | Mert lehetetlen, hogy akik egyszer megvilágosíttattak, és megízlelték a mennyei ajándékot, és részeseivé lettek a Szentléleknek,
Heb.6.5 | és megízlelték az Istennek jó beszédét és a jövendő világ erőit,
Heb.6.6 | és elestek, ismét megújuljanak a megtérésre, mint akik önmaguknak újra megfeszítik az Isten Fiát és meggyalázzák őt.
Heb.6.7 | "Mert a föld, amely beissza a gyakorta ráhulló esőt és hasznos füvet terem azoknak, akiknek számára művelik azt, áldást nyer Istentől;"
Heb.6.8 | "viszont amelyik töviseket és bojtorjánokat terem, megvetett az és közel van az átokhoz; az ilyennek vége megégetés."
Heb.6.9 | De ha így szólunk is, szeretteim, felőletek ezeknél jobbakról vagyunk meggyőződve, még pedig arról, hogy közel vagytok az üdvösséghez.
Heb.6.10 | Mert nem igazságtalan az Isten, hogy elfeledkezzék a ti cselekedeteitekről és a szeretetről, amelyet az ő neve iránt tanúsítottatok, mint akik szolgáltatok és szolgáltok a szenteknek.
Heb.6.11 | Kívánjuk pedig, hogy közületek kiki ugyanazt a buzgóságot tanúsítsa mindvégig, míg a reménység teljes bizonyossággá nem lesz,
Heb.6.12 | hogy ne legyetek restek, hanem követői azoknak, akik hit és békességes tűrés által öröklik az ígéreteket.
Heb.6.13 | Mert mikor az Isten ígéretet tett Ábrahámnak, önmagára esküdött, mivel nem esküdhetett nagyobbra,
Heb.6.14 | és így szólt: Bizony, megáldván megáldalak téged és megsokasítván megsokasítalak téged.
Heb.6.15 | És így, miután békességesen tűrt, elnyerte az ígéretet.
Heb.6.16 | Mert az emberek önmaguknál nagyobbra esküsznek, és náluk minden ellentmondásnak a megerősítésül mondott eskü vet véget.
Heb.6.17 | Ezért is az Isten, aki még bővebben meg akarta mutatni az ígéret örököseinek az ő végzése változhatatlan voltát, esküvéssel kezeskedett,
Heb.6.18 | hogy két változhatatlan dolog által, amelyekre nézve lehetetlen, hogy az Isten hazudjék, erős vigasztalásunk legyen nekünk, akik odamenekültünk, hogy megragadjuk az előttünk levő reménységet,
Heb.6.19 | amely lelkünknek mintegy biztos és erős horgonya és beljebb hatol a kárpitnál,
Heb.6.20 | ahova utat nyitva bement értünk Jézus, aki örökkévaló főpap lett Melkisédek rendje szerint.

Heb.7.1 | Mert ez a Melkisédek Sálem királya, a felséges Isten papja, aki a királyok leveréséből visszatérő Ábrahámnak elébe ment, őt megáldotta,
Heb.7.2 | akinek Ábrahám tizedet is adott mindenből, aki először is, ha nevét megmagyarázzuk, igazság királya, azután pedig Sálem királya, azaz békésség királya,
Heb.7.3 | apa nélkül, anya nélkül, nemzetség nélkül való, sem napjainak kezdete, sem életének vége nincs, de miután hasonlóvá tétetett az Isten Fiához, pap marad mindörökké.
Heb.7.4 | "Nézzétek pedig, milyen nagy ez, akinek a zsákmányból tizedet is adott Ábrahám, a pátriárka;"
Heb.7.5 | és bár azoknak, akik Lévi fiai közül nyerik el a papságot, parancsolatuk van, hogy törvény szerint tizedet szedjenek a néptől, vagyis az ő atyjokfiaitól, jóllehet ők is Ábrahám ágyékából származtak,
Heb.7.6 | de mégis az vett tizedet Ábrahámtól, akinek nemzetsége nem közülük való, és áldotta meg azt, aki az ígéreteket kapta.
Heb.7.7 | Már pedig nem lehet vitás, hogy a nagyobb áldja meg a kisebbet.
Heb.7.8 | És itt halandó emberek szednek tizedet, ott ellenben az, akiről bizonyság van, hogy él.
Heb.7.9 | És hogy úgy mondjam, Ábrahám személyében a tizedet szedő Lévi is adott tizedet.
Heb.7.10 | Mert még atyja ágyékában volt, mikor annak elébe ment Melkisédek.
Heb.7.11 | Ha tehát a lévita papság által volna elérhető a tökéletesség (mert a nép ez alatt a papság alatt kapta a törvényt), mi szükség volna tovább is arra, hogy más pap támadjon Melkisédek rendje szerint és azt ne Áron rendje szerint való papnak mondják.
Heb.7.12 | Mert a papság megváltozásával szükségképen megváltozik a törvény is.
Heb.7.13 | Mert akiről ezek mondatnak, az más nemzetségből származott, amelyből senki sem szolgált az oltár körül.
Heb.7.14 | "Mert nyilvánvaló, hogy a mi Urunk Júdából támadt; ebből a nemzetségből származó papokról pedig semmit sem szólott Mózes."
Heb.7.15 | És amit mondunk, még nyilvánvalóbb, ha Melkisédekhez hasonlóan támad más pap,
Heb.7.16 | aki nem testi parancsolat törvénye szerint lett, hanem romolhatatlan élet ereje szerint.
Heb.7.17 | Mert róla szól a bizonyságtétel: Pap vagy te örökké Melkisédek rendje szerint.
Heb.7.18 | Mert az előbbi parancsolatot Isten eltörli ugyan, mivel erőtelen és haszontalan,
Heb.7.19 | — minthogy a törvény semmiben sem szerzett tökéletességet, — de ugyanakkor jobb reménységet ébreszt, amely által közeledünk őhozzá.
Heb.7.20 | Jézus pedig nem eskü nélkül lett pappá, — mert amazok eskü nélkül lettek papokká,
Heb.7.21 | ő pedig annak esküje által, aki így szólt hozzá: Megesküdött az Úr és nem bánja meg: pap vagy te örökké, —
Heb.7.22 | ezért tehát Jézus jobb szövetségnek lett kezesévé.
Heb.7.23 | Amazok ugyan többen lettek papokká, mert a halál miatt nem maradhattak meg szolgálatukban,
Heb.7.24 | de ennek, minthogy örökké megmarad, változhatatlan a papsága.
Heb.7.25 | Ezért ő mindörökre meg is tudja tartani azokat, akik ő általa járulnak Istenhez, mert mindenkor él, hogy esedezzék érettük.
Heb.7.26 | Mert ilyen főpap illett hozzánk, szent, ártatlan, szeplőtelen, a bűnösöktől elkülönített és aki az egeknél magasságosabb lett,
Heb.7.27 | akinek nincs szüksége, mint a főpapoknak, hogy napról napra előbb a saját bűneiért mutasson be áldozatot, azután a nép bűneiért, mert ezt egyszer s mindenkorra megcselekedte, mikor magát adta áldozatul.
Heb.7.28 | Mert a törvény gyarló embereket rendelt főpapokká, az eskü szava pedig, amely a törvény után lett, a Fiút, aki örökké tökéletes

Heb.8.1 | A mondottak veleje pedig ez: olyan főpapunk van, aki a mennyei Felség királyi székének jobbjára ült,
Heb.8.2 | szolgájaként a szenthelynek és az igazi sátornak, amelyet az Úr épített és nem ember.
Heb.8.3 | Mert minden főpap arra rendeltetett, hogy ajándékokat és áldozatokat mutasson be, ezért szükséges, hogy ennek is legyen valamije, amit áldozatul vigyen.
Heb.8.4 | Ha tehát a földön volna, még csak pap sem volna, mert vannak olyan papok, akik a törvény szerint áldozati ajándékokat mutatnak be,
Heb.8.5 | ezek a mennyei dolgok kiábrázolásának és árnyékának szolgálnak, mint Isten parancsolta volt Mózesnek, mikor fel akarta állítani a sátort: Vigyázz, — szólt, — hogy mindent a szerint a minta szerint készíts, amelyet a hegyen láttál.
Heb.8.6 | Most azonban a mi főpapunk sokkal kiválóbb szolgálatot nyert, mivel annak a jobb szövetségnek a közbenjárója, amely jobb ígéretek alapján köttetett.
Heb.8.7 | Mert ha az első hibátlan lett volna, nem került volna sor a másodikra.
Heb.8.8 | Mert hibáztatja őket, amikor így szól: íme napok jönnek, ezt mondja az Úr, és új szövetséget kötök Izrael házával és Júda házával,
Heb.8.9 | nem a szerint a szövetség szerint, amelyet atyáikkal kötöttem azon a napon, amikor kézen fogtam őket, hogy kivezessem Egyiptom földjéről, mert ők nem maradtak meg az én szövetségemben, azért én sem gondoltam velük, mondja az Úr.
Heb.8.10 | "Mert ez az a szövetség, amelyet kötök Izrael házával ama napok multán, mondja az Úr, törvényemet adom az ő elméjükbe és az ő szívükbe beírom azokat; és én Istenükké leszek és ők népemmé lesznek."
Heb.8.11 | És senki sem tanítja majd az ő felebarátját és az ő atyjafiát így: Ismerd meg az Urat! Mert mindnyájan megismernek engem, a kicsinyektől fogva a nagyokig.
Heb.8.12 | Mert irgalmas leszek álnokságaik iránt és az ő bűneikről nem emlékezem meg.
Heb.8.13 | "Mikor új szövetségről beszél, óvá tette az elsőt; ami pedig megavul és megvénhedik, közel van az enyészethez."

Heb.9.1 | Az első szövetségnek is volt tehát istentiszteleti rendje és földi szenthelye.
Heb.9.2 | Mert sátort építettek, egy külsőt, amelyben volt a gyertyatartó meg az asztal és azon a szent kenyerek: ezt nevezték szenthelynek.
Heb.9.3 | A második kárpiton túl pedig a szentek szentjének nevezett sátor.
Heb.9.4 | Ebben volt az arany füstölő oltár és a szövetség ládája, mindenfelől arannyal borítva, abban az aranyveder mannával tele és Áron kivirágzott vesszeje meg a szövetség táblái,
Heb.9.5 | felette pedig a dicsőség kerubjai, beárnyékolva az engesztelés helyét, de ezekről most nem szükséges egyenként szólani.
Heb.9.6 | Miután ezeket így elrendezték, a külső sátorba mindenkor bejárnak a papok az istentisztelet elvégzésére,
Heb.9.7 | a másodikba azonban évenként csak egyszer maga a főpap megy be vérrel, amelyet magáért és a népnek tudatlanságból elkövetett bűneiért áldoz.
Heb.9.8 | A Szentlélek ezzel azt jelenti ki, hogy még nem nyilt meg a szentélybe vezető út, mert még fennáll a külső sátor,
Heb.9.9 | ami példázat a mostani időre. E szerint olyan ajándékokat és áldozatokat mutatnak be, amelyek nem tudják a szolgálattevő papot lelkiismeretében tökéletessé tenni,
Heb.9.10 | hanem csak abban, ami az ételeket meg italokat és a különböző mosakodásokat illeti, ezek pedig mint a testre vonatkozó szabályok — csak a helyes rendezés idejéig kötelezők.
Heb.9.11 | Mikor pedig Krisztus, mint a jövendő javak főpapja eljött, a nagyobb és tökéletesebb, nem kézzel csinált, azaz nem e világból való sátoron keresztül,
Heb.9.12 | és nem bakok és tulkok vérével, hanem az ő tulajdon vérével ment be egyszer s mindenkorra a szentélybe, örök váltságot szerezve.
Heb.9.13 | Mert ha a bakok és bikák vére meg a tehén hamva a tisztátalanokra hintve, megszentel a test tisztaságára,
Heb.9.14 | mennyivel inkább megtisztítja lelkiismeretünket a holt cselekedetektől Krisztus vére, aki Istennek örökkévaló Lélek által önmagát áldozta fel ártatlanul, hogy szolgáljunk az élő Istennek!
Heb.9.15 | És azért új szövetségnek közbenjárója ő, mivel meghalt az első szövetség alatt elkövetett bűnök váltságáért, hogy a hivatalosak elnyerjék az örökkévaló örökség ígéretét.
Heb.9.16 | "Mert végrendeletnél a végrendelkező halálát meg kell állapítani;"
Heb.9.17 | "mivel a végrendelet csak az ember halála után érvényes; különben pedig, ha él a végrendelkező, teljesen érvénytelen."
Heb.9.18 | Innen van, hogy az első szövetség sem szenteltetett meg vér nélkül.
Heb.9.19 | Mert mikor Mózes a törvény szerint minden parancsolatot elmondott az egész népnek, vízzel és vörös gyapjúval meg izsóppal együtt vette a tulkok és bakok Vérét, meghintette magát a könyvet is és az egész népet
Heb.9.20 | és ezt mondta: Ez annak a szövetségnek vére, amelyet Isten számotokra rendelt.
Heb.9.21 | Majd a sátort és az istentiszteletre való összes edényeket hasonlóképen meghintette vérrel.
Heb.9.22 | És a törvény szerint csaknem minden vérrel tisztíttatik meg, és vérnek kiontása nélkül nincs bűnbocsánat.
Heb.9.23 | Szükséges tehát, hogy a mennyei dolgok kiábrázolásai effélékkel tisztíttassanak meg, maguk a mennyei dolgok azonban ezeknél különb áldozatokkal.
Heb.9.24 | "Mert nem kézzel csinált szenthelybe, az igazinak csak másolatába ment be Krisztus, hanem magába a mennybe, hogy most Isten színe előtt megjelenjék érettünk;"
Heb.9.25 | "nem is hogy sokszor adja magát áldozatul, mint ahogy a főpap évenként bemegy a szentek szentjébe idegen vérrel;"
Heb.9.26 | "mert különben sokszor kellett volna szenvednie a világ teremtése óta; így pedig csak egyszer jelent meg az időknek végén, hogy áldozatával eltörölje a bűnt."
Heb.9.27 | És amint elvégezett dolog, hogy az emberek egyszer meghaljanak, azután pedig lesz az ítélet,
Heb.9.28 | úgy Krisztus is, aki egyszer megáldoztatott, hogy sokak bűneit hordozza, másodszor majd a bűn hordozása nélkül jelenik meg azoknak, akik őt várják üdvösségükre.

Heb.10.1 | "Minthogy a törvény a jövendő javaknak csak árnyékát, nem pedig a valóságoknak igazi alakját mutatja, ezért azokkal az áldozatokkal, amelyeket esztendőnként szüntelenül bemutatnak, sohasem tudják tökéletessé tenni az odajárulókat;"
Heb.10.2 | különben nem szűnt volna-e meg az áldozatok bemutatása, ha azok, akik ezzel Istennek akartak szolgálni és egyszer megtisztultak, többé semmi bűntudatot nem éreztek volna?
Heb.10.3 | De az áldozatok évről-évre emlékeztetnek a bűnökre.
Heb.10.4 | Mert lehetetlen, hogy bikák és bakok vére eltörölje a bűnöket.
Heb.10.5 | "Azért a világba való bejövetelekor így szól az Úr: Áldozatot és ajándékot nem akartál, de testet alkottál nekem;"
Heb.10.6 | égő és bűnért való áldozatot nem kedveltél.
Heb.10.7 | Akkor szóltam: íme, itt vagyok, — a könyvben megíratott rólam — hogy cselekedjem, óh Isten, a te akaratodat.
Heb.10.8 | Mikor fentebb azt mondta: Áldozatot és ajándékokat, és égő meg bűnért való áldozatokat nem akartál, sem nem kedveltél, — ezeket a törvény szerint mutatják be, —
Heb.10.9 | akkor így szólt: Íme, itt vagyok, hogy cselekedjem a te akaratodat. Eltörli az elsőt, hogy életbe léptesse a másodikat.
Heb.10.10 | Ezzel az akarattal egyszer s mindenkorra megszenteltettünk Jézus Krisztus testének megáldozása által.
Heb.10.11 | És minden pap naponként szolgálatba áll és gyakorta mutatja be ugyanazokat az áldozatokat, amelyek sohasem tudják eltörölni a bűnöket.
Heb.10.12 | Ő ellenben egyetlen áldozattal áldozott a bűnökért, mindörökre az Isten jobbjára ült,
Heb.10.13 | és várja immár, hogy ellenségei lába zsámolyául vettetnek.
Heb.10.14 | Mert egyetlen áldozatával örökre tökéletesekké tette a megszentelteket.
Heb.10.15 | Bizonyságot tesz pedig nekünk erről a Szentlélek is, mert ez után az ige után:
Heb.10.16 | Ez az a szövetség, amelyet kötök velük ama napok után, ezt mondja az Úr: Adom az én törvényemet szívükbe és elméjükbe írom be azokat
Heb.10.17 | — és az ő bűneikről és álnokságaikról többé meg nem emlékezem.
Heb.10.18 | Ahol pedig a bűnbocsánat van, ott nincs többé bűnért való áldozat.
Heb.10.19 | Mivel azért, atyámfiai, bizodalmunk van a szenthelybe való bemenetelre Jézus Krisztus vére által
Heb.10.20 | azon az úton, amelyet ő szentelt nekünk, mint új és élő utat a kárpit, vagyis az ő teste által,
Heb.10.21 | és mivel nagy papunk van az Isten háza felett:
Heb.10.22 | járuljunk hozzá igaz szívvel, hitnek teljességével, mint akiknek szívük megtisztult a gonosz lelkiismerettől,
Heb.10.23 | és testük meg van mosva tiszta vízzel. Tartsuk meg a reménység vallását tántoríthatatlanul, mert hű az, aki ígéretet tett.
Heb.10.24 | Ügyeljünk kölcsönösen arra, hogy egymást szeretetre és jócselekedetekre ösztönözzük,
Heb.10.25 | nem hagyva el a magunk gyülekezetét, amint szokásuk némelyeknek, hanem intve egymást annyival inkább, mivel látjátok, hogy az a nap közelget.
Heb.10.26 | Mert ha szándékosan vétkezünk, miután az igazság megismerésére eljutottunk, akkor többé nincs áldozat bűneinkért,
Heb.10.27 | hanem az ítéletnek valami félelemmel teljes várása és tűz lángja, amely megemészti az ellenszegülőket.
Heb.10.28 | Aki elveti Mózes törvényét, annak két vagy három tanú vallomására irgalom nélkül meg kell halni.
Heb.10.29 | Gondoljátok meg, mennyivel súlyosabb büntetésre méltónak ítéltetik az aki az Isten Fiát megtapodja és a szövetség vérét, amellyel megszenteltetett, tisztátalannak tartja és a kegyelem Lelkét megcsúfolja.
Heb.10.30 | Mert ismerjük azt, aki így szól: Enyém a bosszúállás, én megfizetek. És ismét: Az Úr megítéli az ő népét.
Heb.10.31 | Rettenetes az élő Istennek kezébe esni!
Heb.10.32 | Emlékezzetek pedig vissza a régi napokra, amelyekben, miután megvilágosíttattatok, sok szenvedéssel teljes küzdelmet állottatok ki,
Heb.10.33 | midőn részint gyalázásokkal és nyomorgatásokkal pellengérre állítottak titeket, részint társai lettetek azoknak, akik így jártak.
Heb.10.34 | Mert a foglyokkal is együtt szenvedtetek, és vagyonotok elrablását örömmel fogadtátok, mert tudtátok, hogy nektek jobb és maradandó vagyonotok van.
Heb.10.35 | Ne vessétek el azért bizodalmatokat, amelynek nagy jutalma van.
Heb.10.36 | Mert állhatatosságra van szükségetek, hogy az Isten akaratát cselekedhessétek és elnyerjétek az ígéretet.
Heb.10.37 | Mert már csak igen kevés idő van hátra és aki eljövendő, eljön és nem késik.
Heb.10.38 | Az igaz ember pedig hitből él, és ha meghátrál, nem gyönyörködik benne a lelkem.
Heb.10.39 | De mi nem vagyunk a meghátrálás emberei, hogy elvesszünk, hanem a hitéi, hogy életet nyerjünk.

