Rom.1.1 | Pál, Jézus Krisztus szolgája, elhívott apostol, kiválasztva az Isten evangéliumának hirdetésére,
Rom.2.8 | azoknak pedig, akik önzők és nem engednek az igazságnak, hanem engednek a hamisságnak, megfizet búsulással és haraggal.
Rom.2.9 | "Nyomorúság és szorongattatás minden gonoszt cselekvő ember lelkének, zsidónak először, azután görögnek;"
Rom.2.10 | viszont dicsőség, tisztesség és békesség minden jót cselekvőnek, zsidónak először, azután görögnek.
Rom.2.11 | Mert Isten előtt nincsen személyválogatás.
Rom.2.12 | Mert akik törvény nélkül vétkeztek, törvény nélkül vesznek is el, és akik törvény alatt vétkeztek, a törvény alapján ítéltetnek el, —
Rom.2.13 | mert nem azok az igazak Isten előtt, akik a törvényt hallgatják, hanem azok fognak megigazulni, akik a törvényt megcselekszik.
Rom.2.14 | Mert mikor a pogányok, akiknek nincs törvényük, természettől fogva cselekszik azt, amit a törvény követel, akkor ők, bár törvényük nincs, önmaguk maguknak a törvénye,
Rom.2.15 | mint akik megmutatják, hogy a törvény által követelt cselekedet be van írva szívükbe, amiről egyetemben bizonyságot tesz lelkiismeretük és az ő gondolataik, amelyek egymást kölcsönösen vádolják vagy mentegetik —
Rom.2.16 | azon a napon, amelyen az Isten meg ítéli az emberek titkait az én evangéliomom szerint a Jézus Krisztus által.
Rom.2.17 | Íme, neked zsidó a neved és a törvényre támaszkodol és Istennel dicsekszel,
Rom.2.18 | és ismered az ő akaratát, és mert a törvényből oktatást nyertél, meg tudod ítélni, mi a jó és mi a rossz,
Rom.2.19 | sőt meg vagy győződve arról, hogy te vagy a vakok vezetője, a sötétben levők világossága,
Rom.2.20 | az értelmetlenek nevelője, a kiskorúak tanítója, hogy tied a törvényben világosan megfogalmazott ismeret és igazság.
Rom.2.21 | Aki tehát mást tanítasz, magadat nem tanítod-e ? Aki azt hirdeted: Ne lopj! lopsz-e?
Rom.2.22 | Aki azt mondod: Ne paráználkodjál! paráználkodol-e? Aki utálod a bálványokat, templomrabló vagy-e?
Rom.2.23 | Aki a törvénnyel dicsekszel, a törvény megrontásával gyalázod-e az Istent?
Rom.2.24 | Mert amint meg van írva, az Isten nevét miattatok káromolják a pogányok között.
Rom.2.25 | Mert a körülmetélkedés használ ugyan, ha a törvényt megtartod, de ha a törvényt megszeged, körülmetéltséged körülmetéletlenséggé lett.
Rom.2.26 | Ha tehát a körülmetéletlen pogány meg tartja a törvény rendeléseit, körülmetéletlensége nem tulajdonittatik-e majd neki körülmetélkedésül?
Rom.2.27 | És a természettől fogva körülmetéletlen pogány, ha a tör vényt megtartja, megítél téged, aki a betű és körülmetélkedés ellenére is a tör vény megrontója vagy.
Rom.2.28 | Mert nem az a zsidó, aki külsőképen az, sem nem az a körülmetélés, ami a testen külsőképen van,
Rom.2.29 | "hanem az a zsidó, aki belsőképen az; és a szívnek Lélekben, nem betűszerinti körülmetélése az igazi körülmetélkedés, amelynek dicsérete nem emberektől van, hanem Istentől."

Rom.3.1 | Mi tekintetben különb hát a zsidó? Vagy mi a haszna a körülmetélkedésnek?
Rom.3.2 | Minden tekintetben sok. Főként az, hogy Isten rájuk bízta az ő beszédeit.
Rom.3.3 | De hát mit szólunk ahhoz, hogy némelyek hűtlenekké lettek? vajjon az ő hűtlenségük nem teszi-e hiábavalóvá az Isten hűségét?
Rom.3.4 | Semmiképpen! Sőt inkább az Isten legyen igaz, minden ember pedig hazug, amint meg van írva: Hogy igaznak ítéltessél beszédeidben és győzelmes légy, mikor vádolnak téged.
Rom.3.5 | Ha pedig a mi igazságtalanságunk arra szolgál, hogy megmutassa az Isten igazságát, mit mondjunk? vajjon nem igazságtalan-e az Isten, hogy minket büntet? (Emberi módon beszélek.)
Rom.3.6 | Semmiképpen! Mert akkor hogyan ítéli meg Isten a világot?
Rom.3.7 | De ha az Isten igaz-volta az én hazugságom által növekedett az ő dicsőségére, akkor miért esem ítélet alá én is, mint bűnös?
Rom.3.8 | "Avagy azért cselekedjük a rosszat, hogy abból jó származzék? — amint minket rágalmaznak és amint némelyek mondogatják, hogy mi így beszélünk; akiknek elítéltetése igazságos."
Rom.3.9 | "Hogyan van tehát? Különbek vagyunk-e? Éppenséggel nem! Mert az előbb nyilván megmutattuk, hogy zsidók és görögök mindnyájan bűn alatt vannak;"
Rom.3.10 | amint meg van írva: Nincs igaz egyetlen egy sem.
Rom.3.11 | Nincs, aki megértse, nincs aki keresse az Istent.
Rom.3.12 | "Mindnyájan elhajlottak, együttesen haszontalanokká lettek; nincs aki jót cselekedjék, nincs egyetlenegy sem –"
Rom.3.13 | Nyitott sír a torkuk, nyelvükkel álnokságot mondanak, áspiskígyó mérge van ajkuk alatt,
Rom.3.14 | szájuk telve átkozódással és keserűséggel.
Rom.3.15 | Lábaik gyorsak a vérontásra.
Rom.3.16 | Útjaikon romlás és nyomorúság van,
Rom.3.17 | és a békesség útját nem ismerik.
Rom.3.18 | Nincs istenfélelem szemük előtt.
Rom.3.19 | Tudjuk pedig, hogy amit a törvény mond, azoknak mondja, akik a törvény alatt vannak, hogy minden száj bedugassék és az egész világ Isten előtt kárhozatra méltó legyen.
Rom.3.20 | Ezért a törvény cselekedeteiből senki sem igazul meg ő előtte, mert a bűn ismerete csak a törvény által van.
Rom.3.21 | "Most pedig törvény nélkül jelent meg az Isten igazsága, amelyről tanúbizonyságot tesznek a törvény és a próféták;"
Rom.3.22 | még pedig Istennek igazsága a Jézus Krisztusban, való hit által mindazok számára, akik hisznek. Mert nincs különbség.
Rom.3.23 | Mert mindnyájan vétkeztek és szűkölködnek az Isten dicsősége hiányában,
Rom.3.24 | de megigazulnak ingyen az ő kegyelméből a Jézus Krisztusban való váltság által,
Rom.3.25 | akit az Isten engesztelő áldozatul rendelt hit által az ő vérében, hogy megmutassa az ő igazságát, mivel az előbb elkövetett bűnök az Isten hosszútűrésének idején büntetlenek maradtak,
Rom.3.26 | hogy így megbizonyítsa az ő igazságát a mostani időben, hogy igaz legyen ő és megigazítsa azt, aki hisz Jézusban.
Rom.3.27 | Hol van tehát a dicsekvés? Lehetetlenné vált. Mely törvény által? A cselekedeteké általi Nem, hanem a hit törvénye által.
Rom.3.28 | Azt valljuk tehát, hogy az ember hit által igazul meg, a törvény cselekedetei nélkül.
Rom.3.29 | vajjon Isten csak a zsidóké-e? Vagy nem a pogányoké is? Bizony a pogányoké is.
Rom.3.30 | Mivel egy az Isten, aki megigazítja a zsidót hitből és a pogányt hit által.
Rom.3.31 | Hiábavalóvá tesszük-e tehát a törvényt a hit által? Semmiképpen! Sőt inkább megerősítjük a törvényt

Rom.4.1 | Mit mondunk tehát: nyert valamit Ábrahám, a mi Atyánk, test szerint?
Rom.4.2 | Mert ha Ábrahám cselekedetekből igazult meg, van mivel dicsekednie, de nem az Isten előtt.
Rom.4.3 | Mert mit mond az Írás: Hitt pedig Ábrahám az Istennek és ez számíttatott be neki igazságul.
Rom.4.4 | Annak pedig, aki meg szolgál érte, a jutalmat tartozásként számítják be, s nem kegyelemből.
Rom.4.5 | Ellenben aki nem szolgál meg érte, hanem hisz abban, aki az istentelent megigazítja, annak hite számíttatik be igazságul.
Rom.4.6 | Amint Dávid is boldognak mondja azt az embert, akinek az Isten cselekedetek nélkül számít be igazságot:
Rom.4.7 | Boldogok, akiknek gonoszságaik megbocsáttattak és bűneik elfedeztettek.
Rom.4.8 | Boldog ember az, akinek az Úr nem számít be bűnt.
Rom.4.9 | vajjon ez a boldognak-mondás csak a körülmetéltnek szól-e vagy a körülmetéletlennek is? Mert azt mondjuk: Ábrahámnak a hit számíttatott be igazságul.
Rom.4.10 | Hogyan számíttatott be te hát? Körülmetélt vagy körülmetéletlen állapotában ? Nem körülmetélt, hanem körülmetéletlen állapotában.
Rom.4.11 | "És a körülmetélkedés jegyét körülmetéletlenségében tanúsított hite igazságának pecsétjéül nyerte, hogy atyja legyen mindazoknak, akik körülmetéletlen létükre hisznek, hogy azoknak is beszámíttassák az igazság;"
Rom.4.12 | és hogy atyja legyen a zsidóknak is, azoknak, akik nemcsak körülmetélkednek, hanem követik is a mi atyánknak, Ábrahámnak az ő körülmetéletlenségében tanúsított hite nyomdokait.
Rom.4.13 | Mert nem a törvény által adatott az ígéret Ábrahámnak vagy az ő magvának, hogy örökölni fogja a világot, hanem hitének igazsága által.
Rom.4.14 | Mert ha azok az örökösök, akik a törvényből valók, akkor semmivé lett a hit és hiábavalóvá az ígéret.
Rom.4.15 | Mert a törvény haragot szül, ahol ellenben nincs törvény, ott törvényszegés sincs.
Rom.4.16 | "Azért hitből, hogy kegyelemből legyen; hogy szilárd legyen az ígéret minden magzatnak, nem csupán a törvényből valónak, hanem az Ábrahám hitéből valónak is, aki mindnyájunknak atyja,"
Rom.4.17 | "(amint meg"" van írva: Sok nép atyjává tettelek téged) az előtt az Isten előtt, akiben hitt, és aki a holtakat megeleveníti és a nemlévőket létrehívja."
Rom.4.18 | Ábrahám pedig reménység ellenére reménykedve hitte, hogy sok nép atyjává lesz aszerint, amint megmondatott: Ilyen sok lesz a te magod!
Rom.4.19 | "És hitében meg nem gyengülve, nem gondolt az ő már elhalt testére, bár mintegy száz esztendős volt, sem Sára elhalt méhére;"
Rom.4.20 | az Isten ígéretében sem kételkedett hitetlenül, hanem megerősödött a hitben, dicsőséget adott az Istennek,
Rom.4.21 | mert teljesen meggyőződött arról, hogy amit ő ígért, meg is cselekedheti.
Rom.4.22 | Ezért is számíttatott be neki igazságul.
Rom.4.23 | De nemcsak őérette íratott meg, hogy igazságul számíttatott be neki,
Rom.4.24 | ha nem érettünk is, akiknek majd beszámíttatok, mert hiszünk Abban, aki feltámasztotta a mi Urunkat, a Jézust a halottak közül.
Rom.4.25 | Őt az Isten halálra adta a bűneinkért és feltámasztotta a megigazulásunkért.

Rom.5.1 | Megigazultunk tehát hitből, és békességünk van Istennel a mi Urunk Jézus Krisztus által.
Rom.5.2 | "Általa a hitben menetelünk is van ahhoz a kegyelemhez, amelyben állunk; és dicsekedünk is azzal a reménységgel, hogy részesedünk az Isten dicsőségében."
Rom.5.3 | De nemcsak ezzel dicsekedünk, hanem háborúságainkkal is, mivel tudjuk, hogy a háborúság állhatatosságot szül,
Rom.5.4 | az állhatatosság pedig kipróbáltságot, a kipróbáltság pedig reménységet,
Rom.5.5 | a reménység pedig nem szégyenít meg, mert az Isten szeretete kiáradt szívünkbe a Szentlélek által, aki adatott nekünk.
Rom.5.6 | Mert Krisztus, mikor még erőtelenek voltunk, a rendelt időben meghalt az istentelenekért.
Rom.5.7 | Bizonyára igaz emberért is alig hal meg valaki, — bár a jó emberért talán még meg merne halni valaki, —
Rom.5.8 | Isten pedig irántunk való szeretetét abban mutatta meg, hogy Krisztus meghalt érettünk, amikor még bűnösök voltunk.
Rom.5.9 | Miután azért most megigazultunk az ő vére által, sokkal inkább megmentetünk a harag ellen ő általa.
Rom.5.10 | Mert ha mikor ellenségei voltunk, megbékéltettünk Istennel az ő Fiának halála által, sokkal inkább megmentetünk az ő élete által, miután megbékéltettünk vele.
Rom.5.11 | Sőt nemcsak, hanem dicsekszünk is az Istenben a mi Urunk Jézus Krisztus által, aki által most a megbékélést kaptuk.
Rom.5.12 | "Azért amint egy ember által jött be a világba a bűn, a bűn által pedig a halál, és a halál minden emberre elhatott, mivel mindenki vétkezett; —"
Rom.5.13 | "volt a világban bűn a törvény előtt is; a bűn azonban nem számíttatik be, ha nincs törvény."
Rom.5.14 | De a halál uralkodott Ádámtól Mózesig azokon is, akik nem Ádám esetéhez hasonlóan vétkeztek, aki amaz eljövendőnek ki ábrázolása volt.
Rom.5.15 | De amit Isten nekünk kegyelméből ajándékozott, nem úgy van, mint a bűn eset. Mert ha amaz egynek bűnesete által sokan haltak meg, az Isten kegyelme és ajándéka az egy embernek, Jézus Krisztusnak kegyelméből sokkal bőségesebben áradt ki sokakra.
Rom.5.16 | És az ajándék sem hasonlít amaz egy ember bűnének következményéhez, mert az ítélet egy ember bűnéből lett kárhoztató ítéletté, a kegyelmi ajándék pedig sok bűnből lett igaznak nyilvánítássá.
Rom.5.17 | Mert ha az egynek bűnesete miatt uralkodott a halál amaz egy ember által, sokkal inkább uralkodnak az életben az egy Jézus Krisztus által azok, akik a kegyelemnek és az igazság ajándékának bőségében részesültek.
Rom.5.18 | Bizonyára azért, amint egynek bűnesete minden emberre kihatott a kárhoztató ítéletben, úgy egynek igazsága minden emberre elhatott az élet megigazulásában.
Rom.5.19 | Mert amint egy ember engedetlensége által sokan a bűnösök sorába kerültek, úgy egynek engedelmessége által sokan az igazak sorába kerültek.
Rom.5.20 | "Közben pedig bejött a törvény, hogy a bűn megnövekedjék; de ahol megnövekedett a bűn, ott a kegyelem sokkal bőségesebben áradt el,"
Rom.5.21 | hogy amint uralkodott a bűn a halálban, úgy a kegyelem is uralkodjék igazság által az örök életre a mi Urunk Jézus Krisztus által.

Rom.6.1 | Mit mondjunk tehát? Megmaradjunk a bűnben, hogy a kegyelem annál nagyobb legyen?
Rom.6.2 | Semmiképen! Akik meghaltunk a bűnnek, mimódon élhetnénk még abban?
Rom.6.3 | vajjon nem tudjátok, hogy akik megkeresztelkedtünk a Krisztus Jézusra, az ő halálára keresztelkedtünk meg?
Rom.6.4 | Eltemettettünk tehát vele együtt a keresztség által a halálba, hogy amiképpen az Atya az ő dicsősége által feltámasztotta Krisztust a halottak közül, azonképen mi is új életben járjunk.
Rom.6.5 | Mert ha az övéhez hasonló halálban őbelé oltattunk és vele eggyé lettünk, akkor az övéhez hasonló feltámadásban is azok leszünk.
Rom.6.6 | Tudjuk pedig, hogy a mi ó emberünk vele együtt megfeszíttetett, hogy a bűn teste megsemmisüljön, hogy többé ne szolgáljunk a bűnnek.
Rom.6.7 | Mert aki meghalt, megszabadult a bűntől,
Rom.6.8 | Ha pedig meghaltunk Krisztussal, hisszük, hogy vele együtt élni is fogunk.
Rom.6.9 | Tudjuk ugyanis, hogy Krisztus, akit Isten feltámasztott a halottak közül, többé nem hal meg. a halál nem uralkodik többé rajta.
Rom.6.10 | "Mert hogy meghalt, egyszersmindenkorra meghalt a bűnnek; hogy pedig él, az Istennek él."
Rom.6.11 | így ítéljetek ti is magatokról, hogy meghaltatok a bűnnek, de a mi Urunk Krisztus Jézusban az Istennek éltek.
Rom.6.12 | Ne uralkodjék tehát a bűn a ti halandó testetekben, hogy engedjetek kívánságainak.
Rom.6.13 | Se ne adjátok oda tagjaitokat a gonoszság fegyvereiül a bűnnek, hanem adjátok oda magatokat az Istennek, mint akik a halálból életre keltetek, és tagjaitokat adjátok az igazság fegyvereiül az Istennek.
Rom.6.14 | Mert a bűn nem fog uralkodni ti rajtatok, mivel nem törvény alatt vagytok, hanem kegyelem alatt.
Rom.6.15 | Mi következik tehát ebből? Vétkezzünk-e, mivel nem a törvény alatt, ha nem a kegyelem alatt vagyunk? Semmiképen!
Rom.6.16 | vajjon nem tudjátok, hogy akinek odaadjátok magatokat szolgákul az engedelmességre, annak vagytok a szolgái, akinek engedelmeskedtek: vagy a bűnnek halálra, vagy az engedelmességnek igazságra?
Rom.6.17 | De hála az Istennek, hogy csak voltatok a bűn szolgái, de szívetek szerint engedelmeskedtetek a tanítás ama formájának, amelyre az Isten elvezetett titeket.
Rom.6.18 | Miután pedig megszabadultatok a bűntől, az igazság szolgáivá lettetek.
Rom.6.19 | Emberi módon szólok testetek erőtelensége miatt. Amint ugyanis odaadtátok tagjaitokat a tisztátalanságnak és törvénytelenségnek szolgákul a törvénytelenségre, úgy most adjátok oda tagjaitokat szolgákul a szent életre az igazságnak.
Rom.6.20 | Mert mikor a bűn szolgái voltatok, az igazságtól szabadok voltatok.
Rom.6.21 | Micsoda gyümölcsöt termett tehát akkor ez nektek? Olyat, amit most szégyeltek! Mert azoknak a vége halál.
Rom.6.22 | Most ellenben miután megszabadultatok a bűntől, és az Istennek szolgáivá lettetek, megvan a gyümölcsötök a szent életre, amelynek a vége örök élet,
Rom.6.23 | "Mert a bűn zsoldja halál, az Isten kegyelmi ajándéka pedig örök élet Krisztus Jézusban, a mi Urunkban;"

Rom.7.1 | Avagy nem tudjátok, atyámfiai, — mert törvényt ismerőkhöz szólok, — hogy a törvény csak addig uralkodik az emberen, amíg ő él?
Rom.7.2 | Mert a férjes asszonyt a törvény a férjéhez köti, amíg a férje él: de ha meghal, akkor az asszony megszabadul a férj törvényétől,
Rom.7.3 | "így tehát házasságtörőnek mondják, ha férje életében más férfiúé lesz; ha ellenben meghal a férje, szabad a törvénytől, úgy hogy nem házasságtörő, ha más férfiúé lesz."
Rom.7.4 | Azért atyámfiai ti is meghaltatok a törvénynek a Krisztus teste által, hogy máséi legyetek, azéi, aki a halottak közül feltámasztatott, hogy gyümölcsöt teremjünk Istennek.
Rom.7.5 | Mert mikor a testben voltunk, tagjainkban a törvény által ébresztett bűnös szenvedélyek működtek, hogy a halálnak gyümölcsözzenek.
Rom.7.6 | De most megszabadultunk a törvénytől, minthogy meg haltunk arra nézve, ami fogságában tartott, hogy szolgáljunk a Lélek újságában és nem a betű óságában.
Rom.7.7 | Mit mondunk tehát? Bűn a törvény? Semmiképen! Sőt inkább a bűnt nem ismertem, csak a törvény által. Mert a gonosz kívánságról sem tudtam volna, ha a törvény nem mondta volna: Ne kívánd!
Rom.7.8 | De a bűn felhasználta az alkalmat, és a parancsolat által mindenféle gonosz kívánságot ébresztett bennem, mert a törvény nélkül a bűn halott,
Rom.7.9 | Én pedig egykor törvény nélkül éltem. De a parancsolat eljöttével életre kelt a bűn,
Rom.7.10 | "én pedig meghaltam; és így halálomra volt az a parancsolat, amely életet ígért."
Rom.7.11 | Mert a bűn felhasználta az alkalmat a parancsolat által, megcsalt engem és megölt általa,
Rom.7.12 | De azért a törvény szent és a parancsolat is szent és igaz és jó.
Rom.7.13 | Tehát ami jó, az nekem halálommá lett? Semmiképen! Sőt inkább a bűn, hogy bűn-volta nyilvánvalóvá legyen, a jó által nekem halált okoz, hogy felettébb bűnös legyen a bűn a parancsolat által.
Rom.7.14 | Mert tudjuk, hogy a törvény Lélek szerint való, de én testi vagyok, eladva a bűnnek,
Rom.7.15 | "Mert amit véghez viszek, nem ismertem; mert nem azt teszem, amit akarok, hanem amit gyűlölök, azt cselekszem."
Rom.7.16 | Ha pedig azt cselekszem, amit nem akarok, egyetértek a törvénnyel, hogy az jó.
Rom.7.17 | Most tehát már nem én viszem azt véghez, ha nem a bennem lakozó bűn.
Rom.7.18 | "Mert tudom, hogy nem lakik bennem, vagyis az én testemben jó; mert akaratom van ugyan a jóra, de hogy azt elvégezzem, nem sikerül."
Rom.7.19 | Mert nem a jót cselekszem, amit akarok, hanem a rosszat teszem, amit nem akarok.
Rom.7.20 | Ha pedig azt cselekszem, amit nem akarok, akkor nem én magam viszem azt véghez, hanem a bennem lakozó bűn.
Rom.7.21 | Tehát magamra nézve mintegy törvényt állapíthatom meg, hogy noha a jót akarom, csak a rosszat tudom cselekedni.
Rom.7.22 | Mert gyönyörködöm ugyan az Isten törvényében a belső ember szerint,
Rom.7.23 | de látok egy másik törvényt tagjaimban, amely az én elmém törvénye ellen hadakozik és engem foglyul ejt a bűn törvényének, amely tagjaimban van.
Rom.7.24 | Óh én nyomorult ember! Kicsoda szabadít meg engem a halálnak ebből a testéből?
Rom.7.25 | Hálát adok az Istennek a mi Urunk Jézus Krisztus által! Ezért bár én az elmémmel az Isten törvényének szolgálok, de testemmel a bűn törvényének

Rom.8.1 | Nincs tehát immár semmi kárhoztatásuk azoknak, akik a Krisztus Jézusban vannak, (Az 1. vers végén egyes kéziratok hozzáteszik: akik nem test szerint járnak, hanem Lélek szerint. (V. ö. 4. vers))
Rom.8.2 | mert az élet Lelkének törvénye a Krisztus Jézus által meg szabadított téged a bűn és halál törvényétől.
Rom.8.3 | Mert ami lehetetlen volt a törvénynek, mivel erőtelen volt a test miatt, azt megcselekedte az Isten, amikor elküldte az ő Fiát a bűnös testhez hasonló formában és a bűnért a bűnt a testben kárhoztatta,
Rom.8.4 | hogy a törvény követelése teljesüljön bennünk, akik nem test szerint járunk, hanem Lélek szerint.
Rom.8.5 | Mert akik test szerint élnek, a test dolgaival törődnek, akik pedig Lélek szerint élnek, a Lélek dolgaival.
Rom.8.6 | "Mert a test dolgaival való törődés halál; a Lélek dolgaival való törődés pedig élet és békesség."
Rom.8.7 | Mert a test dolgaival való törődés ellenségeskedés Istennel szemben, minthogy az Isten törvényének nem engedelmeskedik, mert nem is teheti.
Rom.8.8 | "Akik pedig test szerint élnek, "" nem lehetnek kedvesek Isten előtt."
Rom.8.9 | De ti nem test szerint éltek, hanem Lélek szerint, ha valóban Isten Lelke lakik bennetek. Akiben pedig nincs a Krisztus Lelke, az nem az övé.
Rom.8.10 | Ha pedig Krisztus bennetek van, bár a test a bűn miatt halott, a lélek él az igazság által.
Rom.8.11 | Ha pedig annak Lelke lakik bennetek, aki feltámasztotta Jézust a halottak közül, ugyanaz, aki feltámasztotta Krisztus Jézust a halottak közül, meg eleveníti a ti halandó testeteket is a bennetek lakozó Lelke által.
Rom.8.12 | Ennél fogva, atyámfiai, nem vagyunk adósok a testnek, hogy test szerint éljünk.
Rom.8.13 | "Mert ha test szerint éltek, meghaltok; de ha a test cselekedeteit a Lélek kel megöldöklitek, élni fog tok."
Rom.8.14 | Mert akiket Isten Lelke vezérel, azok Isten fiai.
Rom.8.15 | Mert nem szolgaság lelkét vettétek, hogy ismét félnetek kelljen, hanem a fiúság Lelkét vettétek, aki által kiáltjuk: Abba, Atyánk!
Rom.8.16 | Maga a Lélek bizonyságot tesz a mi lelkünkkel együtt, hogy Isten gyermekei, vagyunk.
Rom.8.17 | "Ha pedig gyermekek, örökösök is; örökösei Istennek, Krisztusnak pedig örököstársai, ha ugyan vele együtt szenvedünk, hogy vele együtt meg is dicsőíttessünk."
Rom.8.18 | Én azt tartom, hogy a mostani idő szenvedései nem hasonlíthatók ahhoz a dicsőséghez, amely majd nyilvánvalóvá lesz rajtunk.
Rom.8.19 | A teremtett világ ugyan is sóvárogva várja az Isten fiainak megjelenését.
Rom.8.20 | Mert a teremtett világ hiábavalóság alá van vetve, nem önként, hanem az által, aki alávetette,
Rom.8.21 | azzal a reménységgel, hogy maga a teremtett világ is meg szabadul a rothadandóság rabságától az Isten gyermekeinek dicsőséges szabadságára.
Rom.8.22 | Mert tudjuk, hogy az egész teremtett világ együtt nyög és együtt vajúdik mind mostanig.
