Col.1.1 | Pál Jézus Krisztusnak Apostola az Istennek akaratja által, és a Timótheus atyafiú.
Col.2.2 | Hogy vigazstalát végyenek az ő sziveik, minekutánna atyafiúi szeretet által, és bizonyosan elhitt értelem teljes gazdagságának általa, egybeköttettek az Istennek és az Atyának, és a Krisztus titkainak megértésekre.
Col.2.3 | Kikben vagynak a bölcseségnek és esméretnek teljes kincsei elrejtve.
Col.2.4 | Ezt mondom pedig e végre, hogy valaki titeket meg ne csaljon hitető beszéddel.
Col.2.5 | Mert jóllehet testben távo vagyok tőletek, mindazáltal lélekben veletek vagyok, örülvén és látván a ti rendtartástokat, és a Krisztusban való hiteteknek erősségét.
Col.2.6 | A miképen azért vettétek az Úr Krisztus Jézust, a képen járjatok ő benne.
Col.2.7 | Meggyökerezvén és felépülvén ő benne, és megerősülvén a hitben, a miképen tanittattatok, bővölködvén abban hálaadással.
Col.2.8 | Meglássátok, hogy valaki ne legyen olly, a ki bennetek zsákmányt vessen az emberi bölcseségenk, és csalárdságra rendeltetett hijábavaló tudománynak általa, melly emberi rendelés szerint e világnak betűi szerint, és nem a Krisztus szerint vagyon.
Col.2.9 | Mert ő benne lakozik az Istenségnek minden teljessége állatja szerint.
Col.2.10 | És ő benne lettek teljesekké, ki Feje minden birodalomnak és minden hatalmasságnak.
Col.2.11 | Kiben körül is metéltettetek kéz nélkül való körűlmetéléssel mikor a testnek bűneinek állatját levetkezteték a Krisztusnak körűlmetélése által.
Col.2.12 | Eltemettettetek ő vele együtt a Keresztség által, melly által ő vele együtt fel is támadtatok az Isten erejének hite által, ki feltámasztotta őtet a halálból.
Col.2.13 | És titeket, kik megholtatok vala a bűnökben, és a ti testeteknek körűlmetéletlenségében, ő vele együtt megelevenitett, megbocsátván néktek minden bűneiteket.
Col.2.14 | És eltörölvén a czeremóniáknak ellenünk való kezünk irását, melly nékünk ellenünk vala, és azt haszontalanná tevé, a keresztfára azt felfeszitvén.
Col.2.15 | És megfosztván a birodalmakat és a hatalmasságokat, azokat nyilván mutogatta, diadalmat vévén azokon a keresztfa által.
Col.2.16 | Senki azért titeket ne kárhoztasson az ételért vagy italért, vagy az innepnapra, vagy a újholdnak napjára, vagy a Szombatokra nézve.
Col.2.17 | Mellyek a következendő dolgoknak árnyékai, de a valóság a Krisztusé.
Col.2.18 | Senki ti tőletek a pálmát el ne csalja a tettetes alázatosság által, és Angyaloknak tiszteletek által, ő, agát ollyakba avatván, a mellyeket nem látott, és felfuvalkodván vakmerőképen az ő testének értelmével.
Col.2.19 | És nem ragasztatván a Főhöz, melly által az egész test a tagoknak egybebocsáttatások és rakatások által, egybefoglaltatván és egybeköttetvén, nevekedik az Isten nevekedése szerint.
Col.2.20 | Annakokáért ha meghalván a Krisztussal, megszabadultok e világnak betűitől; miért terhelitek magatokat a czeremóniákkal, mintha e vikágban élők volnátok?
Col.2.21 | Azok mondják: Ne egyed, ingyen meg se kóstold, ingyen se illesd.
Col.2.22 | Mellyek mind elvesznek azokkal való élés által, mellyek embereknek hagyományokból és tudományokból vagynak.
Col.2.23 | Mellyek jóllehet bölcseségnek látatnak lenni, a szabad akarat szerint való isteni tiszteletért, és az elmének tettetes alázatosságáért, és azért hogy testeknek nem kedveznek: mindazáltal haszontalanok, mivelhogy a testnek hizlalására valók.

Col.3.1 | Annakokáért ha feltámadtatok a Krisztussal, az odafel valókat keressétek, a hol a Krisztus vagyon, az Istennek jobbján ülvén.
Col.3.2 | Az odafel valókra viseljetek gondot, és nem e földiekre.
Col.3.3 | Mert megholtatok, és a ti életetek elrejtetett a Krisztussal az Istennél.
Col.3.4 | Mikor a Krisztus a mi életünk megjelenéndik, akkor ti is ő vele együtt megjelentek dicsőségben.
Col.3.5 | Öldököljétek meg azért a ti földi tagaitokat, a paráznaságot, tisztátalanságot, bujaságot, gonosz kivánságot, és a fösvénységet, melly bálványimádás.
Col.3.6 | Melly dolgokért jő az Istennek haragja az engedetlen fiakra.
Col.3.7 | Mellyekben ti is jártatok vala régenten, mikor azokban élnétek.
Col.3.8 | De most vessétek le ti is mind ezeket, a haragot, a hirtelen felgerjedést, a gonoszságot, a káromlást, és a beszédeknek tisztátalanságát a ti szátokból.
Col.3.9 | Ne hazudjatok egymás ellen, mivelhogy levetkeztétek amaz ó embert az ő cselekedetivel egybe.
Col.3.10 | És felöltöztétek amaz új embert, mellynek újulása vagyon annak ábrázatjához illendő esméretben, a ki teremtette
Col.3.11 | Hol nincsen Görög és Zsidó, körűlmetélkedés és körűlmetélkedetlenség, Pogány, Scithiai, szolga és szabados, hanem minden és mindenekben a Krisztus.
Col.3.12 | Öltözzétek fel annakokáért mint Istennek választottai, szentek és szerelmetesek, a könyörületességnek indulatit, a kegyelmességet, alázatosságot, szelidséget, csendességet.
Col.3.13 | Eltürvén egymást, és megengedvén egymásnak, ha valakinek valaki ellen panasza volna, miképen a Krisztus is megengedett néktek, azonképen ti is.
Col.3.14 | Mind ezek felett pedig öltözzétek fel a szeretetet, melly a tökéletességnek kötele.
Col.3.15 | És az Istennek békessége uralkodjék a ti szivetekben, mellyre hivattatok is egy testbe; és legyetek kedvesek.
Col.3.16 | A Krisztusnak beszéde lakozzék ti bennetek bőséggel minden bölcseséggel: tanitván és intvén egymást ti magatok között, psálmusokkal, dicséretekkel, és lelki énekekkel, nagy kedvvel énekelvén az Úrnak.
Col.3.17 | És valamit cselekesztek beszéddel, vagy cselekedettel, mindeneket az Úr Jézusnak nevében cselekedjetek, hálákat adván Istennek és az Atyának ő általa.
Col.3.18 | Ti asszonyok, a ti saját férjeiteknek birodalmokban legyetek, a miképen illik az Úrban.
Col.3.19 | Férjfiak szeressétek a ti feleségeiteket, és ne legyetek azok ellen mérges kedvűek.
Col.3.20 | Ti magzatok engedelmesek legyetek a ti szüléteknek mindenekben: mert ez az Úrnak kedves.
Col.3.21 | Atyák ne bosszantsátok a ti magzatitokat, hogy kétségbe ne essenek.
Col.3.22 | Ti szolgák engedelmesek legyetek mindenekben azoknak, a kik néktek uraitok test szerint, nem csak szem előtt szolgálván, mint a kik embereknek igyekeznek kedveskedni, hanem tiszta szivvel félvén az Istent.
Col.3.23 | És valamit cselekesztek, szivetek szerint cselekedjétek, mint az Úrnak és nem embereknek.
Col.3.24 | Tudván azt, hogy ti az Úrtól vészitek az örökségnek jutalmát: mert az Úr Krisztusnak szolgáltok.
Col.3.25 | A ki pedig bosszút tészen, az ő bosszútételének jutalmást elvészi: és nincsen személyválogatás.

Col.4.1 | Ti urak igazsággal és egyenlőséggel legyetek a ti szolgáitokhoz, tudván hogy néktek is Uratok legyen a mennyekben.
Col.4.2 | A könyörgésekben állhatatosok legyetek, vigyázván azokban hálaadással.
Col.4.3 | Könyörögvén egyszersmind mi érettünk is, hogy az Isten megnyissa nékünk az ő beszéde hirdettetésének ajtaját, hogy szólhassuk a Krisztus titkát, mellyért én fogoly is vagyok.
Col.4.4 | Hogy azt nyilvánvalóvá tégyem a miképen nékem szólnom kell.
Col.4.5 | Bölcsen viseljétek magatokat az idegenekhez, a jó alkalmatosságot áron is megváltván.
Col.4.6 | A ti beszédetek mindenkor kedvességgel mintegy sóval mesózatott legyen, hogy megtudhassátok, mimódon kelljen néktek mindennek megfelelnetek.
Col.4.7 | Minden én dolgaimat megbeszéli néktek Tikhikus az én szerelmes atyámfia, és hiv szolga és szolgatársam az Úrban.
Col.4.8 | Kit annakokáért küldöttem ti hozzátok, hogy megértse a ti dolgaitokat, és megvigasztalja a ti sziveteket.
Col.4.9 | Onésimussal, hiv és szerelmes atyámfiával, ki közzűletek való. Mindeneket azért néktek, a mellyek itt vagynak, megbeszélnek.
Col.4.10 | Köszönt titeket Aristárkhus az én fogolytársam, és Márkus a Barnabás nénnyének fija, ki felől parancsoltam volt néktek, hogyha hozzátok menénd, béfogadjátok őtet.
Col.4.11 | És Jézus, ki hivattatik Justusnak, kik a Zsidók közzűl valók; csak ezek a kik engem segéllettek az Istennek országában, és voltak nékem vigazstaltatásomra.
Col.4.12 | Köszönt titeket Epafrás, ki ti közzűletek való, a Krisztusnak szolgája, mindenkor tusakodván ti érettetek a könyörgésekben, hogy megállhassatok tökéletesen, és bételvén az Istennek minden akaratjával.
Col.4.13 | Mert bizonyságot tészek ő felőle, hogy ő ti felőletek felette igen szorgalmatos, és azok felől, kik Laodiczeában, és azok felől, kik Jerápolisban vagynak.
Col.4.14 | Köszönt titeket ama szerelmes orvos Lukács, és Démás.
Col.4.15 | Köszöntsétek az Atyafiakat, kik vagynak Laodiczeában, és Nimfást, és a Gyülekezetet, melly az ő házában vagyon.
Col.4.16 | És mikor elolvastatik nálatok e Levél, azt miveljétek, hogy a Laodiczeabeli Gyülekezetben is elolvastassék: és a melly levél a Laodiczeabelieké, azt ti is elolvassátok.
Col.4.17 | És megmondjátok Arkhippusnak; Meglássad, hogy a melly szolgálatot az Úrban vettél, azt bétöltsed.
Col.4.18 | Köszönetet irok és is Pál az én saját kezemmel. Megemlékezzetek az én fogságomról. Kegyelem legyen veletek. Ámen. A Kolossébeliekhez iratott Rómából, Tikhikus és Onésimus által.
