2Kgs.1.1 | Elszakada pedig Moáb, Akhábnak halála után, az Izráeltől.
2Kgs.2.4 | Monda néki ismét Illyés: Elizeus maradj itt kérlek: mert az Úr engemet Jérikhóba küldött. Ő felele: Él az Úr, és a te lelked, hogy el nem hagylak téged. Elmenének azért Jérikhóba.
2Kgs.2.5 | A Próféták fijai pedig, kik Jérikhóban valának, Elizeushoz jövének, és mondának néki: Nem tudod é, hogy e mai napon az Úr a te uradat elragadja tőled? És monda: Én is tudom, hallgassatok.
2Kgs.2.6 | Monda ezután néki Illyés: Maradj itt, kérlek, mert az Úr engemet a Jordán mellé küldött. Ő felele: Él az Úr, és a te lelked, hogy el nem hagylak téged. Elmenének azért mindketten.7.
2Kgs.2.7 | Őtven férjfiak pedig a Próféták fijai közzűl utánnok menvén, messze ellenekbe megállának, mikor ők ketten állanának a Jordán mellett.
2Kgs.2.8 | És fogá Illyés az ő palástját és öszvetűré, és megüté azzal a vizet; és kétfelé válék: akkor általlmenének mindketten szárazon.
2Kgs.2.9 | Mikor pedig általmentek volna, monda illyés Elizeusnak: Kérj tőlem, mit cselekedjem veled, minekelőtte tőled elragadtatom. És monda Elizeus: Legyen kérlek a te benned való lélek kettős mértéke én rajtam.
2Kgs.2.10 | Ő monda: Nehéz dolgot kérél; ha meglátándaz engemet, mikor tőled elragadtatom, meglészen a mit kérsz: ha pedig meg nem látándaz, nem lészen meg.
2Kgs.2.11 | Lőn azért, mikor mennének, és menvén beszélgetének, ímé egy tüzes szekér tüzes lovakkal egybe, elválasztá őket egymástól. És felméne Illyés a szélvészben az égbe.
2Kgs.2.12 | Elizeus pedig ezt látván kiált vala: Édes atyám, édes atyám! Izráelnek mind szekerei, mint lovagjai! És nem látá őtet többé. Annakutánna ragadá az ő maga eltözetit és két részre szakasztá azokat.
2Kgs.2.13 | És felvevé az Illyés palástját, melly róla leesett vala, és visszatére, és megálla a Jordánnak partján.
2Kgs.2.14 | És vevé az Illyés palástját, melly róla leesett vala, és azzal megüté a vizet, és monda: Hol vagyon az Ollyésnek Ura Istene? És mikor ő is megütötte volna a vizet, kétfelé válik, és általmáne Elizeus.
2Kgs.2.15 | Látván pedig őtet ellenbe a Próféták fijai, kik Jérikhóban valának, mondának: Az Illyés lelke megnyugodt Elizeuson. És eleibe menének néki, és meghajták magokat ő előtte a földig:
2Kgs.2.16 | És mondának néki: Ímé most vagynak a te szolgáiddal ötven erős férjfiak, menjenek el, kérlek, és keressétek meg a te uradat; netalán az Úrnak Lelke ragadta el őtet, és letette őtet valamellyik hegyen vagy völgyön. És monda: Ne küldjetek.
2Kgs.2.17 | És kénszeríték őtet és mikor gondolkodott volna róla, végezetre monda: Küldjetek el. És elküldék az ötven férjfiakat, és harmadnapig keresvén nem találák őtet.
2Kgs.2.18 | És mikor megtértek volna ő hozzá, (ő pedig Jérikhóban lakik vala,) monda nékik: Nem monndotta vala é meg néktek, hogy el ne menjetek.
2Kgs.2.19 | Mondának pedig városbeli férjfiak Elizeusnak: 0mé e város jó lakhely volna, a mint látja az én Uram; de a víz igen ártalmas, és hamar el halnak itt az emberek.
2Kgs.2.20 | És monda: Hozzatok nékem egy új csészét, és vessetek sót belé. És elhozák néki.
2Kgs.2.21 | Kimenvén pedig a kúfőre, bele veté a sót és monda: Ezt mondja az Úr: Meggyógyítottam e vizeket; nem származik azután azokból halál, sem a földnek pustulása.
2Kgs.2.22 | És egésségesekké lőnnek a vizek mind e mai napig. Elizeusnak beszéde szerint, mellyet szólott vala.
2Kgs.2.23 | Felméne annakokáért onnét Béthelbe; és mikor ő az úton felmenne: apró gyermekek jövének ki a városból, kik őtet csúfolják vala, ezt mondván: Jöjj fel kopazs, jöjj fel kopasz!
2Kgs.2.24 | És hátratekintvén és meglátván őket, megátkozá őket az Úrnak nevében: az erdőből azért két nősténymedvék kijövén, elszaggatának közzűlök negyvenkét gyermeket.
2Kgs.2.25 | És elmene onnét a Kármel hegyére, és onnét tére Samariába.

2Kgs.3.1 | Jórám pedig Akhábnak fija kezde uralkodni Izráelen Samariában, Jósafátnak a Júdabeli Királynak tizennyolczadik esztendejében, és uralkodék tizenkét esztendeig.
2Kgs.3.2 | És gonoszul cselekedék az Úrnak szemei előtt: de nem annyira, mint az ő attya és annya: mert elrontá a Baálnak képét mellyet az ő attya csinált vala.
2Kgs.3.3 | De mindazáltal követé Jéroboámnak Nébát fijának bűneit, ki vétekbe ejtette vala az Izráelt; és el nem távozék azoktól.
2Kgs.3.4 | Mésának pedig a Moáb Királyának nagy sok barma vala, és ád vala adóba az oz Királyának százezer bárányt és százezer kost, mind gaypjastól.
2Kgs.3.5 | Lőn pedig, mikor megholt volna Akháb, elszakada a Moáb Királya az Izráel Királyától.
2Kgs.3.6 | Kiméne azért a napon Jórám Király Samáriából és megszámlálá az egész Izráelt.
2Kgs.3.7 | Elméne pedig és külde követeket Jósafáthoz a Júdabeli Királyhoz, kik ezt mondanák néki: A Moáb Királya elszakadt tőlem; eljössz é velem a Moáb ellen a hadba? Felele: Felmegyek, úgy én, mint te: úgy az én népem, mint a te néped; úgy az én lovaim, minta a te lovaid.
2Kgs.3.8 | És monda: Melly úton menjünk fel? Felele: Az Edom pusztájának útán.
2Kgs.3.9 | Elmene azért az Izráel Királya és a Júda Királya, és az Edom Királya: és mikor kerengettek volna az úton hét napig; nem lőn a tábornak vize, sem a velek való barmoknak.
2Kgs.3.10 | És monda az Izráel Királya: Jaj, jaj; mert az Úr hívta egybe a három Királyt, hnogy a Moáb kezébe adja őket.
2Kgs.3.11 | És monda Jósafát: Vagyon é itt az Úrnak Prófétája, hogy tanácsot kérdjünk az által az Úrtól? Felele egy az Izráel Királyának szolgái közzűl, és monda: itt vagyon Elizeus Sáfátnak fija, ki Illyésnek vizet tölt vala kezeire.
2Kgs.3.12 | És monda Jósafát: vagyon annál az Úrnak beszéde. Alámenének azért hozzá az Izráel Királya és Jósafát, és az Edom Királya
2Kgs.3.13 | És monda Elizeus az Izráel Királyának: Mi gondom vagyon nékem veled? Menj el a te atyádnak és anyádnak Prófétáihoz. És monda néki az Izráel Királya: Ne hozd elő azokat; mert az Úr öszvegyüjtötte e három Királyokat, hogy Moábnak kezébe adja őket.
2Kgs.3.14 | Monda pedig Elizeus: Él a seregeknek Ura, ki előtt állok, hogyha Jósafátnak a Júda Királyának személyét nem nézném, téged nem néznélek, reád sem tekintenék
2Kgs.3.15 | Most azért hozzatok nékem egy éneklőt; és mikor énekelne előtte az éneklő, az Úrnak Lelke lőn ő rajta.
2Kgs.3.16 | És monda: Ezt mondja az Úr: Csinálj e patakban sok árkokat;
2Kgs.3.17 | Mert ezt mondja az Úr: Nem láttok semmi szelet, esőt sem láttok: de mindazáltal e patak megtelik vízzel, honnét ihattok mind ti, mind a ti nyájatok és barmaitok.
2Kgs.3.18 | Kevés pedig még ez az Úrnak szemei előtt, hanem a Moábot is kezetekbe adja.
2Kgs.3.19 | És megvertek minden kulcsos várost, és minden szép várost, és minden jótermő fákat levagdaltok, és minden kútfőket bétöltötök: és minden jó szántóföldet béhánytok kövekkel.
2Kgs.3.20 | Lőn pedig reggel, mikor áldozatot szoktak tenni, ímé vizek jőnek vala Edomnak útáról, és megtelék a föld vízzel
2Kgs.3.21 | Hallván pedig az egész Moáb, hogy feljöttek volna a Királyok ő ellenek vívni: egybegyülének mindnyájan, kik fegyvert köthetnek vala fel, és megállanak az ő tartományoknak határán.
2Kgs.3.22 | És felkelének reggel, mikor a nap feljött volna a vizekre, és láták a Moábiták, hogy ő ellenekbe az a víz veresellenék, mint a vér.
2Kgs.3.23 | És mondának: Vér ez! megvívtak a Királyok egymással, és megölte kiki az ő felebarátját! Siess azért most a prédára óh Moáb!
2Kgs.3.24 | És mikor az Izráel táborához jutatottak volna; feltámadának az Izráeliták, és megverék a Moábitákat, és megfutamodának előttök; és megverék a Moábitákat még az ő tartomáynokban is.
2Kgs.3.25 | És városaikat leronták, és ajó szántóföldekre kiki mind követ hánya, és bétölték a mezőt kövekkel, és minden kútfőket bédugának, és minden jótermő fákat levágának úgyannyira hogy csak a Kir- Harésetnek kőfalait hagyák fenn: körülvevék pedig azt a parittyások, és azt is megverék.
2Kgs.3.26 | Látván pedig a Moáb Királya, hogy meggyőzettetnék a viadalban, maga mellé vőn hétszáz fegyvert fogható férjfiakat, hogy az Edom Királyára rohanna, de nem lehete.
2Kgs.3.27 | Vevé azért az ő elsőszülött fiját, ki ő helyette uralkodandó vala, és égőáldozatul megáldozá a kőfalon. Melly dolgon az Izráel népe igen megháborodék: annakokáért elmenének és megtérének az ő földökbe.

2Kgs.4.1 | Egy asszony pedig a próféták fijainak feleségeik közzűl kiálta Elizeushoz, mondván: A te szolgád az én férjem megholt; te pedig tudod, hogy a te szolgád az Urat féli vala: Eljött pedig az a kinek adós vagyok, hogy elvigye mindkét gyermekemet, hogy néki szolgái legyenek.
2Kgs.4.2 | Monda néki Elizeus: Mit cselekedjem veled? Mond meg nékem mi vagyon házadban? Monda az: semmi nincsen a te szolgálóleányod házában, hanem csak egy kosró olaj.
2Kgs.4.3 | Akkor monda: Menj el, kérj ottkin minden te szomszédidtól üres edényeket, keveset ne kérj.
2Kgs.4.4 | És menj bé és zárkozzál bé magad a te fijaiddal egybe: és tölts az olajból, mindenik edénybe, és a melly megtelik, tétesd el onnét.
2Kgs.4.5 | Elméne azért ő tőle, és bézárkózék maga az ő fijaival egyetembe; azok viszik vala néki az edényeket, ő maga pedig csak tölrti vala.
2Kgs.4.6 | Lőn pedig mikor megtöltötte volna azokat az edényeket, monda az ő fijának: Hozz mégis valami edényt ide. Felele az: Nincsen több edény; és ottan megálla az olaj.
2Kgs.4.7 | Akkor elméne az, és megmondá az Isten emberének, ő pedig monda: Menj el, add el az olajt, és fizess meg annak, a kinek adós vagy: te pedig és a te fijaid éljetek a maradékával.
2Kgs.4.8 | Lőn annakfelette, hogy egy némelly napon, mikor általmenne Elizeus Súnembe, ott vala egy főasszony, melly kényszeriiíté őtet, hogy nála ennék kenyeret
2Kgs.4.9 | És monda az asszony a férjének; Ímé most vettem eszembe, hogy az az Isten embere, ki szüntelen ezen jár által, szent ember.
2Kgs.4.10 | Csináljunk, kérlek, egy kicsiny felházat, és szerezzünk abba ágyat és asztalt, széket és gyetyatartót: hogy mikor hozzánk jövénd, hadd térjen abba a házba.
2Kgs.4.11 | Egy néminemű napon azért oda méne, és megszálla a felházban, és megnyugovék ott.
2Kgs.4.12 | És monda Géházinak az ő szolgájának: Hívd ide hozzám ezt a Súnamitist. Előhívá azért azt, és az eleibe álla.
2Kgs.4.13 | (Megmondotta vala pedig néki: Mond meg néki: ímé nagy szorgalmatossággal szolgálsz nékünk; mit kívánsz, hogy cselekedjem veled? Vagyon é valami ügyed a Király előtt, vagy a seregnek Hadnagya előtt, hogy szóljak éretted? Monda az: Az én nemzetségem között békességgel lakom.
2Kgs.4.14 | Monda Elizeus: Mit kívánsz tehát, hogy cselekedjem veled? Felele Géházi: Bizonyára fija nincsen néki, és az ő férje vén ember.
2Kgs.4.15 | Mikor ezt mondotta volna: Hívd ide; oda hívá, és megálla az ajtóban.
2Kgs.4.16 | És monda Elizeus: Esztendő ekkorra, ha élsz, fiad lészen. És monda az: Ne, édes uram, Isten embere, ne mondj képtelen dolgot a te szolgálóleányodnak.
2Kgs.4.17 | Megterhesüle azért az asszony, és fiat szüle abban az időben, mellyet megmondott vala Elizeus.
2Kgs.4.18 | És felnevelkedék a gyermek. Egy némelly napon pedig, mikor kiment volna az ő attyához az aratókhoz:
2Kgs.4.19 | Monda az ő attyának: Jaj fejem, jaj fejem! És monda az ő attya a szolgának: Vidd el őtet az annyához.
2Kgs.4.20 | Ki mikor felvette volna őtet. vivé az ő annyához; és az annyának ölében üle mind délig; és azután meghala.
2Kgs.4.21 | Akkor felméne az asszony, és az Isten emberének ágyára tevé őtet, és az ajtót bézárván kijöve onnét.
2Kgs.4.22 | És előhivatá az ő férjét és monda: Kérlek, engedj nékem egyet a szolgák közzűl, és egy szamárt, hadd menjek el hamar az Isten emberéhez., és majd megtérek.
2Kgs.4.23 | És az monda: Miért mégy ő hozzá, ha majd új hónak innepe nincsen, sem Szombat? Felele az: Légy békességes szívvel.
2Kgs.4.24 | Megnyergelé azért a szamárt, és monda a szolgának: Eredj elől, és menj hamarsággal: meg ne állj én érettem, hogy felüljek, hanem ha mondándom néked.
2Kgs.4.25 | Elmevén ezért, juta az Isten emberéhez a Kármel hegyére. És mikor meglátta volna őtet az Isten embere távol, monda Géházinak az ő szolgájának: Ímé a Súnamitis ez!
2Kgs.4.26 | Most azért fuss, kérlek, eleibe, és kérd meg tőle, ha vagyon é békességben, mind ő, mind az ő férje, és mind az ő gyermeke. Monda az: Békességben van.
2Kgs.4.27 | Juta pedig az Isten emberéhez a hegyre, és megragadá az ő lábait. És Géházi oda méne, hogy elüzné őtet: de monda az Isten embere: Hagyj békét néki, mert megkeseredett az ő szíve; és az Úr eltitkolta tőlem, és nem jelentette meg nékem.
2Kgs.4.28 | És monda az: Valyon én kértem é fiat az én uramtól? Nemde nem mondám é néked: Ne csalj meg engemet?
2Kgs.4.29 | És monda Elizeus Géházinak: Övezd fel derekadat, és vegyed kezedbe az én pálczámat és menj el: ha kit elő találsz, ne köszönj néki, ne felelj, és az én pálczámat tegyed a gyermek orczájára.
2Kgs.4.30 | De monda a gyermeknek annya: Él az Úr és él a te lelked, hogy el nem hagylak téged. Felkele azért és követé őtet.
2Kgs.4.31 | Géházi pedig előttök elment vala, és a pálczát a gyermeknek orczájára tette vala, de nem szólott és nem hallott vala a gyermek. Annakokáért vissztére eleibe megmondá néki, mondván: Nem támada fel a gyermek.
2Kgs.4.32 | Bémene pedig Elizeus a házba, és ímé a gyermek halva fekszik vala az ő ágyán.
2Kgs.4.33 | És mikor bément volna, bézárlá az ajtót magára és a gyermekre; és könyörge az Úrnak.
2Kgs.4.34 | És az ágyra felhágván, a gyermekre borúla, és az ő száját a gyermek szájára tevé. szemeit szemeire, kezeit kezeire, és elterjede a gyermeken, és megmelegedék a gyermeknek teste.
2Kgs.4.35 | És tőle elfordulván alá s fel mjár vala a házban, azután felmenvén ismét elterjeszté magát rajta: osztán a gyermek prüsszente vagy hétszer és felnyitá az ő szemeit.
2Kgs.4.36 | Akkor szólítá Géházit, és monda: Hivd ide a Súnamitist; és oda hívá azt: és mikor oda ment volna, monda: Vidd el a te fijada.
2Kgs.4.37 | Ki mikor bément volna, lábához esék és leborúla a földre; és az ő fiját fogván, kiméne.
2Kgs.4.38 | Azután megtére Elizeus Gilgálba. Éhség vala pedig akkor az országban, és a Próféták fijai ő vele laknak vala. És monda az ő szolgájának: Szerezz egy nagy fazekat és főzz valami pépet a Próféták fijainak.
2Kgs.4.39 | Kiméne azért egy mezőre, hogy paréjt szedne. És találkozék vadszőlőre, és arról tele szedé az ő ruháját sártökkel; azután haza jövén megmetélé a pépes fazékba; mert nem tudják vala mi legyen.
2Kgs.4.40 | Feladák azutána a férjfiaknak, hogy ennének. Lőn pedig mikor ennének abból a pépből, kiáltának és mondának: Halálos méreg vagyon a fazékban, Isten embere! és nem ehetének benne.
2Kgs.4.41 | Ő pedig monda: Hozzatok valami lisztet ide; és belé veté azt a fazékba, és monda: Add fel immár a népnek, hadd egyenek; és nem vala semmi gonosz ártalmasság a fazékban.
2Kgs.4.42 | Jöve pedig egy férjfiú Baál Sálisából, és hoz vala az Isten emberének első zsengék kenyereit, húsz árpakenyereket, és valami megzsendült gabonafejeket, és monda: Add a népnek, hogy egyék meg.
2Kgs.4.43 | Felele az ő szolgája: Miért adnám ezt száz ember eleibe? Monda ismét: Add a népnek hadd egyenek; mert ezt mondja az Úr: Esznek és meg is marad benne.
2Kgs.4.44 | Eleikbe adá azért és evének: meg is marada benne az Úrnak beszéde szerint.

2Kgs.5.1 | A Síriabeli Király seregének pedig vala egy néminémű Hadnagya. Naámán, ki az ő uránál nagy becsben vala, és tisztességes személy: mert az által szabadította vala meg az Úr Siriát: vala ez erős hadakozó férjfiú, de bélpoklos vala.
2Kgs.5.2 | S1riából pedig mentek vala ki valami seregek, kik az Izráel földéből fogva vittek vala egy kis leányt; melly a Naámán feleségének szolgál vala.
2Kgs.5.3 | És monda ez az ő asszonyának: Vjha az én uram szembe lenne azzal a Prófétával, a ki Samariában vagyon, kétség nélkül meggyógyítaná őtet az ő bélpoklosságából
2Kgs.5.4 | Naámán azért béméne és megbeszélé az ő urának, mondván: Így s így szólott az Izráel országából való leány!
2Kgs.5.5 | Akkor monda a Siriabeli Király, menj el, és ím levelet küldök az Izráel Királyának. Elméne azért, és vőn magával tíz tálentom ezüstöt és hatezer aranyat, a felett tiz öltözóruhát.
2Kgs.5.6 | És elvivé a levelet az Izráel Királyának, mellynek summája e vala: Most azért minekutánna e levél te hozzád érkezik; ímé küldöttem hozzád Naámánt az én szolgámat, hogy meggyógyítsad őtet bélpoklosságából.
2Kgs.5.7 | Lőn pedig, mikor megolvasta volan az Izráel Királya a levelet, megszaggatá az ő ruháit, és monda: Isten vagyok é én, hogy megöljek valakit, és azt ismét megelevenítsem; hogy ez én hozzám küld, hogy meggyógyítsam e férjfiat az ő bélpoklosságából? Bizonyára vegyétek eszetekbe, kérlek, és lássátok, hogy csak háboruságra való alkalmatosságot keres ellenem.
2Kgs.5.8 | Mikor pedig meghallotta volna Elizeus az isten embere, hogy az Izráel Királya ruháit megszaggatta volna, külde a Királyhoz, illyen izenettel: Miért szaggatád meg a te ruháidat? Hadd jöjjön hozzám Naámán, és tudja meg, hogy vagyon Próféta Izráelben.
2Kgs.5.9 | Elméne azért Naámán lovaival és szekereivel: és megálla az Elizeus házábnak ajtaja előtt.
2Kgs.5.10 | Külde pedig Elizeus követet hozzá, mondván: Menj l és feredjél meg hétszer a Jordán vizében, és megújul a te tested, és megtisztulsz.
2Kgs.5.11 | Akkor nagy haraggal elmegyen vala Naámán, és ezt mondja vala: Ímé ezt gondolom vala magamban: Kétség nélkül kijő hozzám, ée előállván segítségül hívja az ő Urának Istenének nevét, és kezével megilleti a helyet, és úgy gyógyítja meg a bélpoklost.
2Kgs.5.12 | Avagy nem jobbak é Damaskusnak folyóvizei Abana és Párpár, Izráelnek minden vizeinél? Avagy nem mosódhatnám é meg azokban, hogy megtisztulnék? Illyen módon eltérvén, nagy haraggal megyen vala.
2Kgs.5.13 | Hozzá menének pedig az ő szolgái és szólának néki, mondván: Édes Atyám, ha valami nagy dolgot mondott volna e Próféta néked, avagy nem mívelted volna é meg? Mennyivel inkább mivelhogy csak azt mondja, hogy megmosódjál, hogy megtisztulj?
2Kgs.5.14 | Béméne azért a Jordánba és megmosá magát abban hétszer az Isten emberének beszéde szerint, és megújula az ő teste mint egy kis gyermeknek teste, és megtisztula ő.
2Kgs.5.15 | Azután megtére minden népével az Isten emberéhez, és bémenvén megálla előtte és monda: Ímé most tudom immár, hogy nincsen az egész földön Isten egyebütt, hanem csak Izráelben! Azért most vedd el, kérlek, ez ajándékot a te szolgádtól.
2Kgs.5.16 | Ő pedig monda: Él az Úr, a ki előtt állok, hogy el nem veszem. Kénszeríti vala pedig őtet, hogy elvenné; de ő nem akará.
2Kgs.5.17 | És monda Naámán; Ha nem ; adj kérlek a te szolgádnak e füldből annyit a mennyit vihet két öszvér; mert a te szolgád többé égőáldozattal, vagy egyéb áldozattal nem áldozik idegen isteneknek, hanem csak az Úrnak.
2Kgs.5.18 | Ebben a dologban legyen az Úr kegyelmes a te szolgádnak; hogy mikor bémegyen az én uram a Rimmon templomába, hogy ott imádkozzék; (mert ő az én kezemre támaszkodik) azonképen én is meghajlok a Rimmon templomában; ezt hogy én meghajlok a Rimmon templomában, bocsássa meg kérlek, az Úr a te szolgádnak ebben a dologban.
2Kgs.5.19 | És monda néki Elizeus: Menj el békességgel. És elméne ő tőle úgymint egy mértföldig.
2Kgs.5.20 | Monda pedig Géházi Elizeusnak az Isten emberének szolgája: Ímé az én uram megkiméllé a Síriábeli Naámánnak marháját, és nem akará tőle elvenni a mit hozott vala; él az Úr, hogy utánnok futok, és valamit kérek tőle.
2Kgs.5.21 | Utánna futa azért Géházi Naámánnak, Látván pedig Naámán őtet, hogy utánna futna, leugrék a szekérből, és eleibe méne, és monda: Békességes é a te jöveteled?
2Kgs.5.22 | Felele az: Békességes. Az én uram küldött engemet, ezt mondván: Ímé most csak ez órában jött hozzám két ifjú az Efraim hegyéről a Prófétáknak fijai közzűl; adj kérlek azoknak egy tálentom ezüstöt és két öltözőruhát.
2Kgs.5.23 | És monda Naámán: Kérlek végy két tálentomot. És kénszeríté őtet; és egybeköté két tálentom ezüstöt két zsákba, és két öltözőruhát, mellyeket két szolgáinak hátokra ada, és előtte viszik vala.
2Kgs.5.24 | És mikor haza jutott volna, elvevé tölök azokat, és eltevé egy házban: és elbocsátá a férjfiakat és elmenének.
2Kgs.5.25 | Ő pedig bémenvén megálla az ő ura előtt, és monda néki Elizeus: Honnét jösz Géházi? Felele: Nem ment a te szolgád sehová.
2Kgs.5.26 | Ő pedig monda néki: Avagy nem vala é az én szívem jelen te veled mikor a férjfiú lefordula szekeréből elődbe? Valyon e volt é az idő hogy vennél magadnak ezüstöt, vagy hogy vennél ruhákat, olajfákat, szőlőket, juhokat, barmokat, szolgákat és szolgálóleányokat?
2Kgs.5.27 | Annakokáért reád és a te magodra ragada Naámán bélpoklossága mind örökké. És kimenvén ő előle, megpoklosula és lőn mint a hó.

2Kgs.6.1 | Mondának pedig a Próféták fijai Elizeusnak: Ímé ez a hely, mellyben nálad lakunk, igen szoros nékünk.
2Kgs.6.2 | Hadd menjünk el, kérlek a Jordán mellé, hogy mindenikünk egy-egy fát hozzon onnét, hogy ott valami hajlékot építsünk magunknak, mellyben lakjunk. Kiknek monda: Menjetek el.
2Kgs.6.3 | És monda egy ő közzűlök: Nyugodjál meg rajta, kérlek és jöjj el te is a te szolgáiddal. És ő monda: Én is elmegyek.
2Kgs.6.4 | És elméne velek. És menének a Jordán mellé, és fákat vágnak vala.
2Kgs.6.5 | Lőn pedig, mikor egy közzűlök egy fát levágna, a fejsze beesék a vízbe. Akkor kiálta és monda: Jaj, jaj, édes uram, ezt is kölcsön kértem vala!
2Kgs.6.6 | És monda az Isten embere. Hová esék? És megmutatá náki a helyet, és levága egy fát, és oda veté, és fenn kezde úszni a vas.
2Kgs.6.7 | És monda: Vedd ki, és kinyujtván kezét kivevé azt.
2Kgs.6.8 | A Síriabeli Király pedig hadakozik val Izráellel, és tanácsot tarta az ő szolgáival mondván: Illyen s illyen helyen lészen az én táborom.
2Kgs.6.9 | Annakokáért külde az Isten embere az Izráel Királyához, mondván: Meglásd, hogy azon a helyen által ne menj, mert oda mennek alá a Síriabeliek.
2Kgs.6.10 | Elkülde azért Izráel Királya arra a helyre, mellyről szólott vala néki az Isten embere, és őtet megintette vala, és megoltalmazá magát attól, nem egyszer, sem kétszer.
2Kgs.6.11 | Megháborodék pedig ezen a Siriabeli Királynak szíve, és összegyüjtvén az ő szolgáit monda nékik: Miért nem moindjátok meg nékem, kicsoda legyen közzűlűnk az Izráel Királyának prátjára való?
2Kgs.6.12 | Akkor monda egy az ő szolgái közzűl: Nem attól vagyon uram Király, hanem Elizeus Próféta, ki Izráelben vagyon jelenti meg az Izráel Királyának a beszédeket, mellyeket te titkos házadban beszélsz.
