Acts.1.1 | Az első könyvemet irtam Theófile, mind azokról a mellyeket Jézus kezdett cselekedni és tanitani,
Acts.1.25 | Hogy részes legyen e szolgálatban és Apostolságban, mellytől eltévelyedék Júdás, hogy az ő helyére menne.
Acts.1.26 | Sorsot vetének azért reájok, és esék a sors Mátyásra: ki közönséges akaratból a tizenegy Apostolok közzé számláltaték.

Acts.2.1 | Mikor pedig a Pünköst napja eljött volna, valának mindnyájan egy akarattal együtt.
Acts.2.2 | Akkor nagy hirtelenséggel lőn az égből, mintegy sebesen zugó szélnek zendülése melly eltetlé az egész házat, a mellyben ülnek vala.
Acts.2.3 | És látának kettős tüzes nyelveket: és üle mindenikre azok közzűl.
Acts.2.4 | Megtelének pedig mindnyájan Szent Lélekkel, és kezdének szólni más nyelveken, a mint a Szent Lélek ád vala nékik szólniok.
Acts.2.5 | Valának pedig Jérusálemben, kik akkor ott lakoznak vala, istenfélő Zsidó férjfiak, minden nemzetségek közzűl, kik az ég alat laknak.
Acts.2.6 | Mikor pedig ez a hir kiment volna, egybegyüle a sokaság és eszek vesze; mivelhogy hallaná minden azokat az ő tulajdon maga nyelvén szólni.
Acts.2.7 | Álmélkodnak vala pedig mindnyájan és csudálkoznak vala, mondván egyik a másiknak: Nemde nem Galileusok-é ímé mindnyájan ezek, a kik szólnak?
Acts.2.8 | Mimódon vagyon azért, hogy halljuk őket a mi tulajdon nyelvünkön szólni, e mellyben születtünk.
Acts.2.9 | Párthiabeliek, Médiabeliek, Elemiták, és kik lakozunk Mesopotámiában, Júdeában, Kappadocziában, Potusban és Ázsiában.
Acts.2.10 | Frigiában, Pamfiliában, Égyiptomban és Libiának tartományiban, melly Cziréne mellett vagyon Rómából való jövevények, mind Zsidók, mind Prozelitusok.
Acts.2.11 | Krétabeliek és Arábiabeliek, halljuk hogy szólják a mi nyelvünkön az Istennek nagyságos dolgait.
Acts.2.12 | Álmélkodnak vala pedig mindnyájan és kételkednek vala, egymásnak ezt mondván: Valyon mi lészen ebből?
Acts.2.13 | Némellyek pedig patvarkodván, ezt mondják vala: Édes bortól részegedtek meg ezek.
Acts.2.14 | Péter pedig előállván a tizenegy Apostolokkal felemelé az ő szavát és szóla nékik, mondván: Zsidó férjfiak, és ti mindnyájan kik lakoztok Jérusálemben! ez legyen néktek tudtotokra, és vegyétek füleitekbe az én beszédimet.
Acts.2.15 | Mert nem részegek ezek, a mint ti állitjátok, holott a napnak három órája vagyon.
Acts.2.16 | De ez az, a mint megmondatotto Jóel Prófétától:
Acts.2.17 | És lészen az utolsó időkben (ezt mondja az Isten) kitöltök az én Lelkemből minden testre, és prófétálnak a ti fijaitok és leányitok, és a ti ifjaitok látásokat látnak és a ti véneitek álmokat álmodoznak.
Acts.2.18 | Az én szolgáimra és az én szolgálóleányimra töltök ki azokban a napokban az én Lelkemből és prófétálnak.
Acts.2.19 | És teszek csudáka az égben oda fel; és jeleket a földön ide alá, vért, tüzet és füstnek gőzölgését.
Acts.2.20 | A nap setétséggé változik, és a hold vérré, minekelőtte eljöjjön az Úrnak ama nagy és fényes napja.
Acts.2.21 | És lészen ez, hogy minden valalki az Úrnak nevét segítségül hivándja, metartassék.
Acts.2.22 | Izráel nemzetségének férjfiai, halljátok meg e beszédeket: Ama Názáretbeli Jézust, ki valóba megbizonyittatott Istentől ti nálatok hatalmas erők, csudatételek, és jelek által, mellyeket Isten cselekedett ő általa ti közutetek, a mint ti is tudjátok, Istentől bocsáttatott férjfiúnak lenni:
Acts.2.23 | Azt mondom, ki az Istennek elvégezett tanácsából és rendeléséből adattaték halálra, mikor vetteték volna a ti gonosz kegyetlen kezeitekkel kerezstfára függesztvén megölétek:
Acts.2.24 | Kit az Isten feltámasztott, a halál fájdalmit megoldván, mivelhogy lehetetlen dolog volna néki attól megtartatni:
Acts.2.25 | Mert Dávid ezt mondja ő róla; Eleitől fogva minden időben az én Uramra néztem; mert nékem jobb kezem felől vagyon; hogy meg ne tántorodjam.
Acts.2.26 | Annakokáért örvendezett az én szivem, és vigadott az én nyelvem; éa annakfelette az én testem reménységben nyugoszik.
Acts.2.27 | Mert nem hagyod az én életemet a koporsóban, és nem engeded, hogy a te Szented rothadást lásson.
Acts.2.28 | Megjelentetted nékem az éltenek útait, bétöltesz te engemet örömmel a te orczád előtt.
Acts.2.29 | Atyámfiai férjfiak, szabad nyilván szólanom ti előttetek Dávid Pátriárkáról, hogy ő megholt, eltemettetett, és az ő koporsója mind e mai napig mi nálunk vagyon.
Acts.2.30 | Mivelhogy azért Próféta volna, és tudná hogy az Isten néki esküvéssel megesküdt volna, hogy jövendőben az ő ágyékának gyümölcséből támasztaná a Krisztust test szerint, kit helyheztetne az őszékiben.
Acts.2.31 | Tudván azt, eleitől fogva szólott a Krisztusnak feltámadásáról, hogy az ő élete nem hagyatotto a koporsóban, és hogy az ő teste rothadást nem érzett.
Acts.2.32 | Ezt a Jézust feltámasztotta az Isten, melly dolgoknak mi mindnyájan bizonyságai vagyunk.
Acts.2.33 | Annakokáért az Istennek jobbkarja által felmagazstaltaván és a megigért Szent Lelket megnyervén az Atyától, kiköltötte ezt, a mit ti most láttok és hallotok.
Acts.2.34 | Mert nem Dávid ment mennyországba, hanem inkább ő ezt mondja: Monda az Úr az én Uramnak: ülj az én jobbkezem felől;
Acts.2.35 | Miglen veténdem a te ellenségidet a te lábaid alá zsámolyul.
Acts.2.36 | Bizonnyal tudja azért az Izráelnek egész háza, hogy ez az Istentől tétetett Úrrá és Krisztussá, e Jézus, mondom, a kit ti megfeszitétek.
Acts.2.37 | Ezeket pedig mikor hallották volna, szivekben megkeseredének, és mondának Péternek, és a több Apostoloknak: Mit cselekedjünk Atyámfiai férjfiak?
Acts.2.38 | Péter pedig monda nékik: Térjetek meg: és kersztelkedjetek meg mindnyájan a Jézus Krisztusnak nevében a bünöknek bocsánatjokra: és veszitek a Szent Léleknek ajándékát;
Acts.2.39 | Mert néktek lett az igéret, és a ti fijaitoknak, és mindeneknek, kik messze vagynak: valakiket tudniillik a mi Urunk Istenünk elhivánd.
Acts.2.40 | Sok egyéb beszédekkel is kéri és inti vala őket mondván: Szakasszátok el magatokat e gonosz nemzetségtől.
Acts.2.41 | A kik azért örömest vevék az ő beszédét, megkeresztelkedének, és megszaporodának azon a napon mintegy háromezer lelkekkel.
Acts.2.42 | , És foglalatosok valának az Apostoloknak tudományokban, marháiknak egymással való közlésekben, a kenyérnek megszegésében és a könyörgésekben.
Acts.2.43 | Támada pedig mindenekben félelem, és az Apostolok sok csudákat és jeleket tésznek vala.
Acts.2.44 | Mindnyájan pedig, a kik hisznek vala, együtt valának, és mindenek köz vala.
Acts.2.45 | És jószágokat, marháikat eladják vala, és osztják vala azokat mindeneknek, mint a szükség mutatja vala.
Acts.2.46 | És mindennap egyenlő akarattal a templomban valának, és házanként a kenyeret megszegvén, esznek vala nagy örömmel és tiszta szivvel.
Acts.2.47 | Dicsérvén az Istent, kik az egész község előtt kedvesek valának. Az Úr pedig minden napon szaporitja vala a Gyülekezetet azokból, a kik idvezülendők valának.

Acts.3.1 | Ezek után Péter és János együtt mennek vala a templomba az imádkozásnak órájakor, tudniillik kilencz órakor.
Acts.3.2 | Egy embert pedig, ki az ő annyának méhétől fogva sánta volt, hordozonak val: kit minden napon letésznek vala a templom kapujánál, melet Ékes kapunak neveznek vala, hogy kérne alamizsnát azoktól e kik bémennek vala a templomba.
Acts.3.3 | Ez mikor látta volna, hogy Péter és János a templomba akarnának menni, kére ő tőlök alamizsnát.
Acts.3.4 | Péter pedig miko az ő szemeit reá vetette volna Jánossal egybe, monda: Nézz mi reánk.
Acts.3.5 | Az annakokáért figyelmez vala reájok, állitván hogy valamit venne ő tőlök.
Acts.3.6 | Péter pedig monda: Ezüstöm és aranyam nincsen nékem, a mim pedig vagyon azt adomnéked: A Názáretbeli Jézus Krisztusnak nevében, mondom, kelj fel és járj.
Acts.3.7 | És annak jobbkezét megfogván felemelé őtet, és azonnal megerősödének az ő talpai és bokái.
Acts.3.8 | És felszökvén, áll vala lábain és jár vala, és béméne ő velek a templomba, járván és szökvén, és dicsérvén az Istent.
Acts.3.9 | És látá azt az egész sokaság, hogy járna és dicsérné az Istent.
Acts.3.10 | És megesmérék azt hogy ő volna az, a ki alamizsnakérésnek okáért ül vala a templomnak Ékes kapuján, és megtelének csudálkozással, és azon való álmélkodással, a mi történt vala az emberen.
Acts.3.11 | Mikor pedig el nem távoznék Pétertől és Jánostól az a sánta, a ki meeggyógyult vala, az egész község álmélkodva futamodék ő hozzájok a tornáczba, mely Salamonénak neveztetik vala.
Acts.3.12 | Melyet mikor látott volna Péter, monda a községnek: Izráelnek férjfiai: Mit csudálkoztok ezen, vagy miért néztek mi reánk, mintha tulajdon erőnkkel vagy jámborságunkkal miveltük volna azt, hogy ez járjon?
Acts.3.13 | Az Ábrahámnak, Izsáknak és Jákóbnak Istene, a mi atyáinknak Istenek, megdicsőitette az ő Fiját Jézust, kit ti elárultok és megtagadátok Pilátus előtt, noha ő azt itélte volna, hogy el kell bocsátni.
Acts.3.14 | Ti pedig azt a Szentet és Igazat megtagadátok, és kivánátok, hogy a gyilkos bocsáttatnék el néktek;
Acts.3.15 | Az életnek pedig Fejedelmét megölétek, kit az Isten feltámasztott a halálból, melly dolognak mi vagyunk bizonyságai.
Acts.3.16 | És az ő nevében való hit által, ezt a kit láttok és esmértek meggyógyította az ő neve: a hit, mondom, a mely ő általa vagyon, adta ennek ez épségét mindnyájan a ti szemetek láttára.
Acts.3.17 | De most Atyámfiai, tudom hogy tudatlanságból cselekedtétek mind ezeket, miképen a ti Fejedelmeitek is.
Acts.3.18 | Az Isten pedig a mellyeket elevek megmondott volt minden ő Prófétáinak szájok által, hogy kellene a Krisztusnak szenvedni, a képen töltötte bé.
Acts.3.19 | Bánjátok meg azért és térjetek meg, hogy töröltessenek el a ti bűneitek, minekutánna eljövéndenek a meghivesitésnek idei az Úrnak szinétől.
Acts.3.20 | És elbocsátándja azt, a ki néktek először hirdettetett, a Jézus Krisztust.
Acts.3.21 | Kinek az égtől bé kell fogadtatni mind az időkig, miglen megépittetnek mindenek, melly időkről szólott az Isten minden ő szent Prófétáinak szájok által, kik eleitől fogva voltak:
Acts.3.22 | Mert Mózes ezt mondotta az Atyáknak: Prófétát támaszt néktek az Úr a ti Istentek, a ti atyátokfiai közzűl, mint engemet: azt hallgassátok mindenekben, a mellyeket néktek szólánd.
Acts.3.23 | Valaki pedig azt a Prófétát nem hallgatándja, elveszti azt az ő népe közzűl.
Acts.3.24 | Minden Próféták is pedig Sámueltől fogva, és a kik azután szóltak, e napokról jövendöltek.
Acts.3.25 | Ti vagytok a Prófétáknak és a szövetségnek fijai, mellyet Isten szerzett a mi atyáinkkal, mikor ezt mondá Ábrahámnak: És a te magodban megálldatnak e földnek minden cselédei.
Acts.3.26 | Az Isten az ő feltámasztott fiját a Jézust néktek bocsátotta először, hogy megáldana titeket, mindent megtéritvén az ő bűneiből.

Acts.4.1 | Mikor pedig ők ezeket szólának a községnek, oda érkezének a Papok, a templomnak Fejedelme és a Saddutzeusok.
Acts.4.2 | Neheztelvén hogy a népet tanitanák, és hirdetnék a Jézus nevében a halálból való feltámadást.
Acts.4.3 | És megfogák őket, és veték őket őrizet alá másodnapig: mert már estve vala.
Acts.4.4 | Sokan pedig, a kik hallották vala az ő beszédeket, hivének; és lőn azoknak számok mintegy ötezer férjfiak.
Acts.4.5 | Másodnapon pedig egybegyülének a Fejedelmek, a Vének: és kik Irástudók valának Jérusálemben.
Acts.4.6 | És Annás a Főpap, Kajafás, János és Alexander, és valakik valának a Papinemből.
Acts.4.7 | Mikor azért állatták volna őket középben, tudakoznak vala tőlök: Micsoda hatalommal, és ki nevében cselekedtétek ti ezt?
Acts.4.8 | Akkor Péter Szent Lélekkel megtelvén, monda nékik: Népnek Fejedelmei, és Izráelnek Vénei!
Acts.4.9 | Mivelhogy e mai npaon mi tőlünk tudakoztok a jótétemény felől, mellyet a nyavalyás emberrel cselekedtünk, tudniillik mimódon gyógyult meg?
Acts.4.10 | Azért tudtotokra legyen mindnyájan néktek, és az Izráel egész népének, hogy a Názáretbeli Jézus Krisztusnak neve által, a kit ti megfeszitettetek, kit Isten feltámasztott a halálból: az által áll ez ti előttetek ez épségben.
Acts.4.11 | És ama kő, a kit ti épitők semminek állitottatok, ki lett a szegeletnek fejévé.
Acts.4.12 | És nincsen senkiben másban idvesség: mert nem is adatott emberek között ég alatt más név, melly által kellene nékünk megtartatnunk.
Acts.4.13 | Mikor pedig látták volna Péternek és Jánosnak a szólásban való bátorságokat, tudván hogy irástudatlanok és közemberek volnának, csudálkoznak vala, és esmérik vala, hogy azok Jézussal voltak volna.
Acts.4.14 | És mikor látnák, hogy a melly ember meggyógyult vala, ő velek együtt ott állana, semmit nem szólhatnak vala ellenek.
Acts.4.15 | Mikor pedig őket a Gyülésből kiküldötték volna, egymással szólnak, beszélnek vala.
Acts.4.16 | Ezt mondván: Mit cselekedjünk ez emberekkel; mert hogy nyilvánvaló csudát tettek legyen ők, mindeneknek, kik Jérusálemben laknak, tudtokra vagyon, nem tagadhatjuk.
Acts.4.17 | De hogy ez tovább ne menjen a község között, fenyitsük meg őket kemény fenyitékkel, hogy ezután csak egy embernek se szóljanak, e Jézus nevében.
Acts.4.18 | Azért azokat bészólitván, megparancsolák nékik, hogy teljességgel ne szólnának és ne tanitanának a Jézus nevében.
Acts.4.19 | Péter pedig és János felelvén, mondának néki: Hogyha Isten előtt igaz legyen, néktek engednünk inkább hogynem Istennek, itéljétek meg;
Acts.4.20 | Mert nem lehet, hogy a mellyekeet láttunk és hallottunk, azokat ne szóljuk.
Acts.4.21 | Amazok pedig nem találván semmi módot benne, hogy őket megbüntetnék, megfenyegetvén őket elbocsáták, a községért; mert mindnyájan dicsőitik vala az Istent azért, a mi lett vala.
Acts.4.22 | Mert nagyobb vala negyven esztendősnél az ember, kiben a megyógyitásnak csudája lett vala.
Acts.4.23 | Mikor pedig elbocsátották volna őkeet, mennének az ő attyokfiaihoz, és megbeszélék, a mit a Papifejedelmek és a Vének mondottak vala nékik.
Acts.4.24 | Ezek pedig mikor ezeket hallották volna, egyenlőképen szavokat felemelék Istenhez, és mondának; Uram te vagy az Isten, ki teremtetted a mennyet és a földet, a tengert, és azokban való minden állatokat.
Acts.4.25 | Ki Dávidnak a te szolgádnak szája által ezt mondottad; Miért zúgolódnak a Pogányok, és a népek miért gondolnak hijábavalókat?
Acts.4.26 | Felállottak a földnek Királyai, és a Fejedelmek öszvegyültek egyenlőképen az Úr ellen és az ő Krisztusa ellen;
Acts.4.27 | Mert bizony egybegyültek a te szent Fijad ellen Jézus ellen, a kit megkentél, Héródes, Pontzius Pilátus, a Pogányokkal és az Izráelnek népével.
Acts.4.28 | Hogy azokat véghez vigyék, mellyeket a te kezed és a te tanácsod eleve elvégezett volt, hogy kellene cselekedni.
Acts.4.29 | Most azért Uram, tekints az ő fenyegetésekre, és adjad a te szolgáidnak, hogy nagy bátorsággal szólják a te beszédedet?
Acts.4.30 | A te kezedet kinyujtván, hog gyógyulások, jelek és csudák legyenek a te szent Fiadnak, a Jézusnak neve által.
Acts.4.31 | És minekutánna könyörgöttek volna, megmozdula a hely, a hol egybegyültek vala; és bételének mindnyájan Szent Lélekkel, és az Isten beszédét nagy bátorsággal szólják vala.
Acts.4.32 | A sokaságnak pedig, a melly hitt vala, szivek lelkek egy vala; és senki semmi marháját nem mondja vala magáénak, hanem nékik mindenek köz vala.
Acts.4.33 | És az Apostolok nagy buzgósággal tésznek vala bizonyságot az Úr Jézusnak feltámadásáról; és mindnyájan felette nagy szeretetben valának.
Acts.4.34 | Mert ő közöttök senki nem vala szűkölködő;mert valakik mezőket vagy házakat birnak vala, eladván azokat, az eladott marhának árát előhozák vala.
Acts.4.35 | És letészik vala az Apostoloknak lábaiknál, és elosztják vala azt mindennek, a mint kinek-kinek szükség vala.
Acts.4.36 | József azért, ki az Apostoloktól neveztetett Barnabásnak (melly annyit tészen ha megmagyarázod, mint vigasztalásnak fija), ki Lévita, és nemzetsége szerint Czipriai vala.
Acts.4.37 | Mivelhogy néki mezeje vala, eladá azt, és az árát előhozá és az Apostoloknak lábaiknál tetevé.

Acts.5.1 | Egy ember is pedig, kinek neve Ananiás vala, Safirával az ő feleségével, eladá az ő örökségét.
Acts.5.2 | És megtarta valami részt az árában, melly dolog az ő felelségének is tudtára vala és valami részét előhozván, az Apostoloknak lábaiknál letevé.
Acts.5.3 | Monda pedig Péter: Anánia miért foglalta el a sátán a te szivedet, hogy hazudnál a Szent Lélek ellen, és a mezőnek árában megtartanál?
Acts.5.4 | Nemde, ha megtartottad volna a mezőt, nem tiéd volt volna-é, és minekutánna eladtak, nema te hatalmadban volt-é az ára? miért gondoltad ezt a te szivedben? nem embereknek hazudtál, hanem Istennek.
Acts.5.5 | Minekutánna hallotta volna pedig Anániás e beszédeket, leesék és meghala. És mindenekben nagy félelem támada, a kik ezeket hallják vala.
Acts.5.6 | Felkelvén pedig az ifjak, fogák azt, és kivivén eltemeték.
Acts.5.7 | És lőn mintegy három óra mulva, mikor az ő felesége is, nem tudván a mi esett vala, béméne.
Acts.5.8 | Monda pedig néki Péter: mond meg nékem, ha ennyi pénzen adtátok-é el a ti örökségeteket? és az monda: Úgy vagyon, annyin adtuk el.
Acts.5.9 | Péter pedig monda néki: Mi dolog hogy egyesekké levétek ebben, hogy az Úrnak Lelkét kisértenétek? Ímé azoknak lábaik, a kik eltemették a te férjedet, az ajtó előtt vagynak, és tégedet is kivisznek.
Acts.5.10 | Azonnal pedig leesék az ő lábainál, és meghala; és bémenvén az ifjak, találák azt halva, és kivivén eltemeték az ő férje mellé.
Acts.5.11 | És támada nagy félelem az egész Gyülekezetben, és mindenekben, valakik ezeket hallják vala.
Acts.5.12 | Az Apostolok által pedig sok jelek és csudák lésznek vala a község között; és valának egyenlőképen mindnyájan a Salamon tornácznában.
Acts.5.13 | Egyebek közzűl pedig senki nem meri vala magát ő közzéjek elegyiteni: hanema község felette igen magasztalja vala őket.
Acts.5.14 | Nevekedik vala pedig az Úrban hivőknek, mind férjfiaknak, mind asszonynak számok.
Acts.5.15 | Úgyannyira hogy az útczákra hoznák ki a betegeket, és letennék azokat ágyakban és nyoszolyákban, hogy azoknak valamellyikét az oda járulandó Péternek csak árnyéka érné.
Acts.5.16 | A szomszéd városoknak is pedig község gyül vala Jérusálembe, és hoznak vala betegeket, és tisztátalan lelkektől gyötretteket; kik mind meggyógyulnak vala.
Acts.5.17 | Felkelvén pedig a Főpap, és mind azok kik ő vele valának, kik a Sadduczeusoknak szerzetekből valának, bételének irigységgel.
Acts.5.18 | És megfogák az Apostolokat, és veték őket a közönséges tömlöczbe.
Acts.5.19 | De az Istennek Angyala éjszakán megnyitá a tömlöcznek ajtaját, és kihozván őket, monda:
Acts.5.20 | Menjetek el, és a templomban állván hirdessétek a népnek ez életnek minden beszédit.
Acts.5.21 | Azok pedig mikor ezt hallották volna, bémenének jó reggel a templomba, és tanitnak vala. A Főpap pedig elmenvén, és a kik vele valának Gyülést tőnek, és az Izráel népének egész Tanácsát egybehivák, és elküldék a szolgákat a tömlöczbe, hogy azokat előhoznák.
Acts.5.22 | És mikor elmentek volna a szolgák, nem találák őket a tömlöczben, és visszatérvén megjelenték.
Acts.5.23 | Ezt mondván: A tömlöczöt ugyan találtuk nagy erősen bézárva, és az őrizőket kivül az ajtó előtt állani: mikor pedig megnyitottuk volna, ottben senkit nem találánk.
Acts.5.24 | Mikor hallották volna pedig e beszédeket a Főpap és a templom Fejedelme, és a Papifejedelmek, gondolkodnak vala azok felől, mincsoda következnék ebből.
Acts.5.25 | És eljövén egy ember, monda nékik: Ímé, ama férjfiak, kiket a tömlöczbe vetettetek vala, a templomban állanak és tanitják a népet.
Acts.5.26 | Akkor elmenvén a Fejedelem a szolgákkal, előhozá őket, de nem erővel: (mert félnek vala a községtől, hogy meg ne köveztetnének.)
Acts.5.27 | És előhozván őket, állaták a tanács eleibe, és megkérdé őket a Főpap.
Acts.5.28 | Mondván: Nemde nem megparancsolánk-é néktek felette igen, hogy ne tanitanátok e Jézusnak nevében? és ímé, bétöltöttétek Jérusálemeet a ti tudományotokkal, és mi reánk akarjátok szállitani annak az embernek vérét.
Acts.5.29 | Felelvén pedig Péter és az Apostolok, mondának: Az Istennek kell inkább engedni, hogy nem az embereknek.
Acts.5.30 | A mi Atyáinknak Istene feltámasztotta Jézust, kit ti megölétek felfeszitvén a fára.
Acts.5.31 | Ezt az Isten az ő jobbkezével felmagasztalván tette Fejedelemmé és megtartóvá, hogy adjon az Izráelnek megtérést és bünöknek bocsánatjokat.
Acts.5.32 | És mi vagyunk néki ezekről bizonyságai, a mellyeket mondunk; és a Szent Lélek is, kit az Isten adott azoknak, a kik néki engednek.
Acts.5.33 | Azok pedig ezeket hallván, fogaikat csikorgatják vala, és arról tanácskoznak vala, hogy őtet megölnék.
Acts.5.34 | Felkelvén pedig a Tanácsban egy Farizeus, kinek Gamáliel vala neve, Törvénytudó, kit az egész község becsületben tart vala, parancsolá hogy egy kevéssé az Apostolokat kivinnék.
Acts.5.35 | És monda azoknak: Izráelnek férjfiai, jól meglássátok mit cselekesztek ezekkel az emberekkel.
Acts.5.36 | Mert az időnek előtte támadott volt egy Teudás, ki azt mondotta volt, hogy ő valaki volt, kinek mellé adta volna magát mintegy négyszáz férjfiaknakszámok, ki megölettetett, és a kik néki hittek, mind eloszlottak, és semmivé lettek.
Acts.5.37 | Ezután támada ama Galileus Júdás, a ravásnak idején, és sok népet hitetett maga után, az is elvesze, és mind azok, a kik nékik hittek volt, eloszlottak.
Acts.5.38 | Most is ezt mondom néktek! Távozzatok el ez emberektől és hagyjatok békét nékik: mert ha emberektől vagyon e tanács és dolog, semmivé lészen;
Acts.5.39 | Ha pedig Istentől vagyon, ti fel nem bonthatjátok, hogy ne láttassatok Isten ellen tusakodni.
Acts.5.40 | Engedének azért az ő tanácsának. És mikor az Apostolokat előszólitották volna, megostoroztatván őket, megparancsolák nékik, hogy Jézus nevében ne szólnának; és elbocsáták őket.
Acts.5.41 | Ők annakokáért örömmel menének el a Tanács elől, hogy méltókká tette Isten őket arra, hogy a Jézus nevéért bosszúsággal illettetnének.
Acts.5.42 | És mindennapon a templomban és háznál nem szünnek vala meg tanitani, és a Jézus Krisztust hirdetni.

Acts.6.1 | Az napokban pedig, mikor a tanitványok szaporodnának, támada a Görögök közt panaszolkodás a Zsidók ellen, hogy az ő közzűlök való özvegy asszonyok megvettetnének a mindennapi szolgálatban.
Acts.6.2 | Annakokáért a tizenkét Apostolok, a tanitványoknak sokaságokat egybegyüjtvén, mondának: Nem jó nékünk elhagynunk az Istennek beszédét és szolgálnunk a szegények asztaloknak.
Acts.6.3 | Válasszatok azért, Atyámfiai, ti közzűletek hét férjfiakat, kiknek jó bizonyságok legyen, kik szent Lélekkel teljesek legyenek és bölcseséggel, kikre bizzuk ezt a dolgot.
Acts.6.4 | Mi pedig foglalatosok lészünk a könyörgésben és az ige hirdettetésének szolgálatjában.
Acts.6.5 | Tetszék pedig e dolog a jelenvaló egész sokaságnak; és választák Istvánt, ki hittel és Szent Lélekkel teljes férjfiú vala, Filepet, Prokhórust, Nikánort, Timont, Párménást, és Nikolaust, ki Antiókhiából való prozelitus vala.
Acts.6.6 | Kiket állatának az Apostolok eleikbe; kik mikor imádkoztak volna, az ő kezeiket reájok veték.
Acts.6.7 | Annakokáért az Isten beszéde nevekedik vala, és sokasodik vala a tanitványoknak számok Jérusálemben, és a Papok is nagy sokan engednek vala a tudománynak.
Acts.6.8 | István pedig mivelhogy teljes vala hittel és isteni erővel; a község között nagy csudákat és jeleket cselekeszik vala.
Acts.6.9 | Támadának pedig némellyek a Libertinusoknak, Czirénebelieknek, Alexándriabelieknek, és azoknak zsinagógájokból, kik Czilitziából és Ázsiából valók valának, kik Istvánnal vetekednek vala.
Acts.6.10 | De nem állhattak ellene az ő bölcseségének, és a Szent Léleknek, a ki által szól vala.
