Gen.1.1 | Kezdetben teremté Isten a mennyet és a földet.
Gen.3.21 | És mikor csinált volna az Úr Isten Ádámnak és az ő feleségének bőrből ruhákat, mellyekbe őket öltöztetné:
Gen.3.22 | Monda az Úr Isten: Imé az ember olyanná lett, mint mi közülünk egy, jót és gonoszt tudván, Mostan annakokáért reá kell gondolnunk, hogy az ő kezeit kinyújtván, ne vegyen az életnek fájának gyümülcsében, és abban ne egyék, hogy mind örökké éljen.
Gen.3.23 | Kiküldé azért őtet az Úr Isten az Édennek kertéből, hogy mívelné a földet, a mellyből vétetett vala.
Gen.3.24 | És minekutánna kiűzte volna az embert, helyeztete az Éden kertének bémenetele felől Kérubimokat és villogó kétélű fegyvert, az életfája útjának őrizetére.

Gen.4.1 | Ezután Ádám esméré az ő feleségét Évát, ki minekutánna fogadta volna méhében és szülte volna Kaint, monda: Nyertem férfiat az Úrtól.
Gen.4.2 | Azután ismét szülé Ábelt, amannak attyafiát. És Ábel volt juhoknak pásztora, Kain pedig szántóvető ember.
Gen.4.3 | Lőn pedig sok napok után; mikor Kain a földnek gyümölcséből az Istennek ajándékot adna:
Gen.4.4 | Ábel is az ő juhainak első fajzásából és azok kövéreiből adna ajándékot: hogy az Isten tekintene Ábelre és az ő ajándékára.
Gen.4.5 | Kainra pedig és az ő ajándékára nem tekintene: melly dologért Kainnak a haragja igen felgerjede, és megváltozék az ő színe.
Gen.4.6 | Akkor mondá az Úr Kainnak: Miért gerjedett fel a te haragod? És miért változott meg a te ábrázatod?
Gen.4.7 | Hogyha jól cselekedel, avagy nem leszel é kedves? Hogyha pedig nem jól cselekedéndel, a te bűnöd avagy nem az ajtó előtt nyugszik é ? És annak az ő indulatja te ellened, és tenéked hatalmad vagyon ő rajta.
Gen.4.8 | És szól s beszél vala Kain Ábellel az ő attyafiával, és mikor a mezőn volnának, támada Kain Ábelre az ő attyafiára, és megölé őtet.
Gen.4.9 | És monda az Úr Kainnak: Hol vagyon Ábel a te atyádfia? Ki monda: Nem tudom, avagy őrizője vagyok-é én az én atyámfiának?
Gen.4.10 | Monda pedig az Isten? Mit cselekedtél? a te atyádfiának vére kiált én hozzám a földről.
Gen.4.11 | Mostan annakokáért átkozott légy kirekesztett e földről, melly megnyitotta az ő száját, hogy bevenné a te kezedből a te atyádfiának vérét.
Gen.4.12 | Mikor a földet míveled, ne adjon néked gyümölcsöt, bujdosó és vándorló légy a földön.
Gen.4.13 | Akkor monda Kain az Úrnak: Nagyobb az én büntetésem, hogynem mint azt elhordozhatnám.
Gen.4.14 | Íme elűzöl engemet most e földnek színéről, és a te orczád előtt el kell rejteznem, bujdosó és vándorló lészek a földön: mellyből az következik, hogy valaki én reám találkozik, megöl engemet.
Gen.4.15 | És monda néki az Úr: Sőt inkább valaki megöléndi Kaint, hétszerte inkább megbüntettetik. És az Isten megbélyegezé Kaint, hogy senki, valaki találná őtet, meg ne ölné.
Gen.4.16 | Kimenvén annakokáért Kain az Úrnak orczázja elől: lakozék Nódnak tartományában: az Édennek napkelet felől való részében.
Gen.4.17 | És esméré Kain az ő feleségét, ki fogada méhében, és szülé Hánókhót, és épite várost, és nevezé azt az ő fijának nevéről Hánókhnak.
Gen.4.18 | És lett Hánókhnak fija Irád: És Irád menéz Mekhujáelt: Mekhujáel pedig nemzé Methusáelt, és Methusáel nemzé Lámekhet.
Gen.4.19 | Lámekh pedig vett magának két feleséget: az elsőnek neve volt Háda, a másiknak pedig neve Tzilla.
Gen.4.20 | És szülé Háda Jábált: ez volt találója minden sátorban lakozóknak, és a baromtartás mesterségének.
Gen.4.21 | Ennek pedig attyafiának Jubál volt neve: ez volt találója a hegedülés és lantolás mesterségének.
Gen.4.22 | Tzilla is pedig szülé Tubálkaint, kitanítá az érczből és vasból való mívnek mesterségét: és Tubálkainnak hugát Nahamát.
Gen.4.23 | Akkor monda Lámekh az ő feleségeinek: Óh Háda és Tzilla, halljátok meg az én szómat, a ti füleiteket adjátok az én beszédemnek Lámekhnek feleségei: bizony ha valamelly erős férjfútól sebet vennék is, vagy valamelly vastag ifjútól kékeet, megölném azt mégis.
Gen.4.24 | Ha Kainért hétképen áll az Isten bosszút, Lámekhért hetvenhétszerte inkább.
Gen.4.25 | Ádám pedig ismét esméré az ő feleségét, ki szüle nékie fiat, és neveze annak nevét Sethnek: mert adott úgymond, énnékem az Isten más magot Ábelért, kit megöle Kain.
Gen.4.26 | Sethnek is lőn fija, kit neveze Énósnak: akkor kezdetett az Úrnak neve segítségül hívatni.

Gen.5.1 | Ez az Ádám nemzetségének elő számlálása. A melly napon teremtette vala Isten az embert, az Isten hasonlatosságára teremtette vala őtet.
Gen.5.2 | Férjfiúvá és asszonynyá teremtette vala őket: és megáldotta vala őket, és nevezte vala az őneveket Embernek, a melly napon teremtetének.
Gen.5.3 | Élt vala pedig Ádám szász harmincz esztendőket, mikor nemzené az ő fiját az ő képére és hasonlatosságára, nevezné annak nevét Sethnek.
Gen.5.4 | És voltak Ádámnak napjai, minekutánna Sethet nezette, nyolczszáz esztendők, mellyekben nemzett fiakat és leányokat.
Gen.5.5 | És illyen módon Adámnak minden napjai, mellyekben élt, voltak kilenczszáz és harmincz esztendők: és meghala.
Gen.5.6 | Éle pedig Seth szász öt esztendőket, és nemzé Énóst.
Gen.5.7 | És éle Seth, minekutánna nemzé Énost, nyolczszász hét esztendőkig: mellyekben nemze fiakat és leányokat.
Gen.5.8 | És illyen módon Sethnek minden napjai, kilenczszáz tizenkét esztendők lettek: és meghala.
Gen.5.9 | Éle pedig Énós kilenczven esztendőket, és nemzé Kénánt.
Gen.5.10 | És éle Énós, minekutánna nemzé Kénánt nyolczszáz tizenöt esztendőkig: mellyekben szüle fiakat és leányokat.
Gen.5.11 | És illyen módon Énósnak teljes napjai kilenczszáz és öt esztendők: és meghala.
Gen.5.12 | Éle pedig Kénán hetven esztendőket, és nemzé Mahaláléelt.
Gen.5.13 | És éle Kénán, minekutánna nemzé Mahaláléelt, nyolczszáz negyven esztendőkig, mellyekben nemzett fiakat és leányokat.
Gen.5.14 | És lettek Kénánnak minden napjai kilenczszáz tiz esztendők: és meghala.
Gen.5.15 | Éle pedig Mahaláléel, hatvanöt esztendőket, és nemzé Járedet.
Gen.5.16 | És éle Mahaláléel, minekutánna nemzé Járedet, nyolczszáz harmincz esztendőkeet, és nemze fiakat és leányokat.
Gen.5.17 | És lettek Mahaláléelnek minden napjai nyolczszáz kilenczvenöt esztendők: és meghala.
Gen.5.18 | Éle pedig Járed száz hatvankét esztendőket, és nemzé Énókhot.
Gen.5.19 | És éle Járed, minekutánna szülé Énokhot, nyolczszáz esztendőket: és nemze fiakat és leányokat.
Gen.5.20 | És lettek Járednek teljes napjai kilenczszáz hatvankét esztendők: és meghala.
Gen.5.21 | Éle pedig Énókh hatvanöt esztendőkeet, és nemzé Mathuséláht.
Gen.5.22 | Járt pedig Énókh szüntelen az Istennel, minekutánna nemzette volna Mathuséláht, háromszáz esztendőkig; és nemze fiakat és leányokat.
Gen.5.23 | És lettek Énókhnak teljes napjai, háromszáz hatvanöt esztendők.
Gen.5.24 | És mivelhogy Énókh szüntelen Istennel járt vala nem találtaték sehol, mert az Isten felragadá őtet.
Gen.5.25 | Éle pedig Mathuslélah száz nyolczvanhét esztendőket és nemzué Lámekhet.
Gen.5.26 | És éle Mathusélah, minekutánna nemzé Lámekhet, hétszáz nyolczvankét esztendőket: és szüle fiakat és elányokat.
Gen.5.27 | Lettek azért Mathusléláhnak minden napjai kilenczszáz hatvankilencz esztedők: és meghala.
Gen.5.28 | Éle pedig Lámekh száz nyolczvankét esztendőket, és nemze fiat.
Gen.5.29 | És nevezé azt Noénak, ezt mondván: E vigasztal meg minket a mi fáradságunkban, és kézi munkánkban való nyomorúságunknban e földön, mellyet megátkozott az Úr.
Gen.5.30 | És éle Lámekh, minekutánna nemzette Noet, ötszáz kilenczvenöt esztendőket: és nemze fiakat és leányokat.
Gen.5.31 | És lettek Lámekhnek minden napjai hétszáz hetvenhét esztendők: és meghala.
Gen.5.32 | És mikor volna Noé ötszáz esztendős, nemzé Semet, Khámot és Jáfetet.

Gen.6.1 | Lett pedig, hogy mikor megkezdettek volna szaporodni az emberek a földnek színén, és azok leányokat nemzettek volna:
Gen.6.2 | Látták az Istennek fijai az emberek leányait, hogy szépek volnának, és vettek magoknak feleségeket mind azok közzül, kiket kedvelnek vala.
Gen.6.3 | Annakokáért monda az Úr: Soha többé az én lelkem nem vetekedik az emberek felől, mivel hogy testek; mindazáltal engedek nékiek megtérésre száz húsz esztendőket.
Gen.6.4 | Akkor az időben valának a földön nagy Óriások, azután is pedig voltak, mikor az Istennek fijai egyesülének az embereknek leányaival, kik szülének azoknak magzatokat: Ezek ama hatalmasok, kik régen hires neves emberek voltak.
Gen.6.5 | És látá az Úr, hogy az embereknek gonoszságok sok volna a földön: ésaz ő sziveknek minden indulatja és gondolatja szüntelen csak gonosz volna.
Gen.6.6 | Megbáná azért az Úr, hogy az embert teremtette volna a földön, és az ő szivében bánkódék azon.
Gen.6.7 | És monda az Úr: Eltörlöm az embert, a kit teremtettem, a fölndek színéről, mind embert, mind barmokat, csúszómászó állatokat, és az égen repdeső madarakat; mert bánom hogy azokat teremtettem.
Gen.6.8 | De Noé kegyelmet nyere az Úr előtt.
Gen.6.9 | Noénak pedig dolga így volt: Noé igaz férfiú és tökéletes vala az időben való emberek között, az Istennel jár vala szüntelen Noé.
Gen.6.10 | Nemze pedig Noé három fiakat, Semet, Khámot és Jáfetet.
Gen.6.11 | A föld pedig megfertéztetett vala Isten előtt, és a föld hamissággal rakva vala.
Gen.6.12 | Tekinte azért Isten a földre, és ímé megfertéztetett vala: mert minden test megfertéztette vala az ő útát a földön.
Gen.6.13 | Annakokáért monda Isten Nóénak: Minden testnek vége elközelget én előttem, mivelhogy e föld bétölt hamissággal ő miattok: azért imé én elvesztem őket mind az egész földdel egybe.
Gen.6.14 | Csinálj magadnak Bárkát Gófer fából, sok hajlékokat csinálj a bárkában, és fenyőviasszal megöntsed azt belől és kivűl.
Gen.6.15 | Illyen formára csináljad pedig azt: A bárkának hossza háromszáz sing legyen, a szélessége legyen ötven sing, és a magassága harmincz sing.
Gen.6.16 | Világos ablakokat csinálj a bárkán, és egy singnek hosszasága szerint végezd el azt felül, ajtót pedig oldalt csinálj a bárkán, alsó, közép, és harmad padlások legyenek benne.
Gen.6.17 | És ímé én hozok e földre özönvizet, hogy elveszítsek minden testet, mellyben vagyon élő lélek az ég alatt; valami e földön vagyon, meghal.
Gen.6.18 | Mindazáltal te veled kötést tészek, hogy bémenj te a bárkába, te és a te fijaid, a te feleséged, és a te fijaidnak feleségeik te veled együtt.
Gen.6.19 | És minden testnek élőállatjából, mindenből felest vígy bé a bárkába, hogy veled együtt életben tartassanak meg: tudniillik hímet és nőstényt.
Gen.6.20 | A madarak közzül az ő nemek szerint, a barmok közzül az ő nemek szerint, és a földnek csúszómászó állatjai közzül az ő nemek szerint: minden állatból felesek menjenek bé te hozzád, hogy éljenek.
Gen.6.21 | Te pedig minden eledelt, melly megennei jó, szerezz magadnak, és takard bé, hogy legyen néked eledeledre, és azoknak.
Gen.6.22 | Mellyet Noé megcselekedék. Mind a képen cselekedék, a mint Isten néki megparancsolta vala.

Gen.7.1 | Monda azért az Úr Noénak: Menj bé te, és mind a te egész házadnépe a bárkába: mert tégedet láttalak igaznak lenni én előttem e mostani emberrek között.
Gen.7.2 | Minden tiszta állatból hetet-hetet vigy bé, hímet és nőstényt: de a melly állatok tisztátalandok, azokból kettőt-kettőt, hímet és nőstényt.
Gen.7.3 | Az égi madarakból is hetet-hetet, hímet és nőstényt, hogy azoknak magvok maradjon meg az egész földnek színén.
Gen.7.4 | Mert hét nap elmulva esőt bocsátok e földre negyven napig és negyven éjjig: és eltörlök minden állatot, mellyet teremtettem, a földnek színéről.
Gen.7.5 | Cselekedék azért Noé mind a szerint, a mint az Úr nékie megparancsolta vala.
Gen.7.6 | Noé pedig hatszász esztendős vala, mikor az özönviz volt a földön.
Gen.7.7 | Béméne azért Noé és az ő fijai, az ő felesége, és az ő fijainak feleségeik ő vele a bárkába, az özönviz előtt.
Gen.7.8 | A tiszta barmok közzül, és a tisztátalan barmok közzül, a maradarak közzül és minden földön csúszómászó állat közzül.
Gen.7.9 | Kettő-kettő méne bé Noéhoz a bárkába, hím és nőstény: a mint Isten megparancsolta vala Noénak.
Gen.7.10 | Lőn pedig hogy hetednapon megindulna az özönviz a földön.
Gen.7.11 | Noé életének hatszázadik esztendejében, második hónapban, e hónap tizenhetedik napján, a mélységes örvényeknek fejei megszakadának ugyanazon napon, és az egeknek csatornái megnyilatkozának.
Gen.7.12 | És lett eső a földre negyven napig és negyven éjjig.
Gen.7.13 | Azon napon ment vala bé Noé, Sem, Khám és Jáfet, Noénak fijai, a Noé felesége és az ő fijainak három feleségeik ő vele a bárkába.
Gen.7.14 | Ők, és minden vadak az ő nemek szerint és minden barom az ő neme szerint és minden csúszómászó állat melly csúszmász a földön, az ő neme szerint, és minden repdeső állat az ő neme szerint, minden mdarak, minden szárnyas állatok.
Gen.7.15 | Menének azért Noéhoz a bárkába minden testből, mellyben élő lélek vala, felesen.
Gen.7.16 | Azaz: a mellyek bémentek, hím és nőstény ment bé minden testből, a mint parancsolta vala Isten őnéki: és az Úr ő reájok bézárá az ajtót.
Gen.7.17 | Mikor azért az özöníz negyven napig volna a földön, először annyira nevekedének a vizek, hogy felvehetnék a bárkát, és az felemelkednék a földről.
Gen.7.18 | Annakutánna a vizek nagy erőt vévén, és megnevekedvén felette igen e földön, a bárka jára a vizeknek színén.
Gen.7.19 | Azután mikor a vizek felette igen nagy erőt vettek volna a földön, minden magas hegyek béborítatának, melylyek az egész ég alatt vagynak.
Gen.7.20 | Tizenöt singgel nevekedének a vizek feljebb a hegyeknél, minekutánna a hegyek béboritottak vala.
Gen.7.21 | És meghala minden földön járó test, mind madár, mind barom, mind vad, és földön mászó minden állat: és minden ember.
Gen.7.22 | Mindenek, valamellyeknek orrokban élőléleknek lehellete vala, mindenek, valamellyek szárazon laknak vala, meghalának.
Gen.7.23 | Eltörle azért az Isten minden állatot, melly vala a földnek színén, embertől fogva mind baromig, mászó állatig, és repdeső állatig, mindenek eltöröltetésének e földről: és csak Noé marada, és a kik vele valának a bárkában.
Gen.7.24 | És erőt vevéneka vizek a földön, száz ötven napokig.

Gen.8.1 | Megemlékezék pedig az Isten Noéról, és minden vadról, minden baromról, mellyek ő vele valának a bárkában: és bocsáta az Isten szelet a földre, hogy a vizek megszünnének.
Gen.8.2 | És mikor a mélységnek fejei, és az égnek csatornái bzároltattak volna, és az égből való záporeső megtiltatott volna.
Gen.8.3 | Eltávozának a vizek a földnek színéről, szüntelen menvén, és megszálának a vizek száz ötven nap mulva.
Gen.8.4 | Annyira, hogy megnyugovék a bárka heted hónapban, annak a hónap tizehetedik napján, az Ararát hegyei közzül egyen.
Gen.8.5 | A vizek pedig mennek, és szállanak vala mind a tizedik hónapig: első napján a tizedik hónap megtetszének a hegyeknek teteji.
Gen.8.6 | És negyven nap elmulván, megnyitá Noé a bárkának ablakát, mellyet csinált vala.
Gen.8.7 | És kibocsáta egy hollót, melly kimenvén, ide s tova jár vala, míglen megszáradnának a vizeka földön.
Gen.8.8 | Bocsáta azért ki galambot is, hogy meglátná, ha megszabadult volna a földnek színe a vizektől.
Gen.8.9 | De mikor e galamb az ő lábainak nyugadalmat nem talált volna, megtére ő hozzá a bárkába, mert vizek valának az egész földnek színén, és ő kezét kinyujtván, megfogá azt, és bévevé azt magához a bárkába.
Gen.8.10 | Vára pedig azután hét napokat, és ismét kibocsátá azt a galambot a bárkából.
Gen.8.11 | És megjöve ő hozzá a galamb estvére, és ímé egy leszakasztott olajfalevél vala annak szájában. Megesmeré azért Noé, hogy megszabadult volna a fölndke színe a vizektől.
Gen.8.12 | Vára mindazáltal mégis hét napokat, és kibocsátá azt a galambot, melly többé ő hozzá vissza nem tére.
Gen.8.13 | És lett hatszáz egy esztendőben, az első hónak első napján, elszáradának a vizek a földről, és elforditá Noé a bárka fedelét és széllyel néze; és ímé megszáradt vala a földnek színe.
Gen.8.14 | Másod hónapban pedig, a hónak huszonhetedik napján teljességgel megszárada a föld.
Gen.8.15 | És szóla Noénak az Isten, mondván:
Gen.8.16 | Jöjj ki e bárkából te és a te feleséged, a te fijaid, és a te fijaidnak feleségeik te veled.
