John.1.1 | Kezdetben vala amaz Íge, és az az Íge vala Istennél, és az az Íge Isten vala.
John.1.46 | Találá Filep Nátánaelt, és monda néki: Megtaláltuk azt, a ki felől irt Mózes a Törvényben, és a Próféták, tudniillik a Názáretbeli Jézust, Józsefnek fiját!
John.1.47 | És monda néki Nátánael: Názáretből támadhat é valami jó? Monda néki Filep: Jere és lásd meg!
John.1.48 | Látá Jézus Nátánaelt ő hozzá menni, és monda ő felőle: Ímé ez az igaz Izrealita, kiben nincsen álnokság!
John.1.49 | Monda néki Nátánael: Honnét esmérsz engemet? Felele Jézus és monda néki: Minekelőtte Filep tégedet hivna, mikor a figefa alatt volnál, látlak vala tégedet.
John.1.50 | Felele Nátánael, és monda néki: Rabbi, te vagy az Istennek ama Fija, te vagy Izráelnek ama Királya!
John.1.51 | Felele Jézus, és monda néki: mivelhogy ezt mondám néked: Láttalak téged a figefa alatt, hiszed-e? ezeknél nagyobbakat látsz.
John.1.52 | Annakfelette monda néki: Bizony bizony mondom néktek: Ennekutánna meglátjátok az eget megnyilatkozni, és az Istennek Angyalit felmenni és leszállani az embernek Fijára.

John.2.1 | És harmadnapon menyegző lőn Kánában, Galileának városában; és ott vala Jézusnak annya.
John.2.2 | Elhivattaték pedig Jézus is az ő tanitványival egybe abba a menyegzőbe.
John.2.3 | És mikor elfogyott volna a bor, Jézusnak annya monda néki: Nincs borok!
John.2.4 | Monda néki Jézus: Micsoda dolgom vagyon nékem veled asszony? nem jött még el az én órám.
John.2.5 | Monda az ő annya a szolgáknak: Valamit parancsolánd néktek azt cselekedjétek.
John.2.6 | Valának pedig ott hat kővedrek, mellyek helyheztettek vala ott a zsidóknak tisztulásokra, mellyek közzűl mindenekbe két-két vagy három métréta fér vala.
John.2.7 | Monda nékik Jézus: Töltsétek meg e vedreket vizzel! Megtölték azért azokat szintén teli.
John.2.8 | És monda nékik: Meritsetek immár és vigyétek a násznagynak. Elvivék azért néki.
John.2.9 | És mikor megkóstolta volna a násznagy a vizet, melly borrá változott vala, (nem tudja pedig honnét volna az: de a szolgák tudják vala, kik a vizet meritették vala) szólitá a vőlegényt a násznagy.
John.2.10 | És monda néki: Minden emberek először jó bort szoktak a vendégnek adni, és minekutánna megborosodnak, akkor adnak alábbvalót; te pedig a jó bort ekkorra tartottad.
John.2.11 | E csudát tevé először Jézus Kánában, Galilea városában, és megmutatá az ő dicsőségét; és hivének ő benne az ő tanitványai.
John.2.12 | Azután aláméne Kapernaumba, ő és az ő annya, és az ő attyafiai, és az tanitványai; és ott nem sok napig lőnek;
John.2.13 | Mert közel vala a Zsidóknak Húsvétjok. Felméne azért Jézus Járusálembe.
John.2.14 | És talála a tmeplomban ökröknek, juhoknak és galamboknak árosit, és a pénzváltókat ott ülni.
John.2.15 | És kötéből ostort csinálván, kihajta mindeneket a templomból, mind az ökröket, mind a juhokat, és a pénzváltóknak pénzeket elhinté, és az asztalokat elforditá.
John.2.16 | És a galambok árosinak monda: Vigyétek el ezeket innét, ne tegyétek az én Atyámnak házát kalmárságnak házává.
John.2.17 | Megemlékeznének pedig az ő tanitványai, hogy meg vagyon ira: a te házadhoz való buzgó szerelem megemészte engemet.
John.2.18 | Felelének azért a Zsidók és mondának néki: Micsoda jelt mutatsz nékünk, hogy te ezeket cselekeszed?
John.2.19 | Felel Jézus és monda nékik: Rontsátok el e templomot és harmadnapra felépitem azt.
John.2.20 | Mondának azért a Zsidók: Negyvenhat esztendeig épittetett e templom, és te három napon felépitenéd azt?
John.2.21 | Ő pedig szól vala az ő testének templomáról.
John.2.22 | Mikor azért feltámadott volna a halálból, megemlékezének az ő tanitványai, hogy ezt mondotta volna nékik, és hivének az Irásnak, és a beszédnek, mellyet Jézus mondott vala.
John.2.23 | Mikor peig Jérusálembe vona a Husvét Innepében, sokan hivének az ő nevében, látván a jeleket, mellyeket cselekeszik vala.
John.2.24 | Jézus pedig nem bizza vala magát azokra, mivelhogy mindeneket jól esmérne,
John.2.25 | És nem szükség volna, hogy valaki néki valamelly emberről bizonyságot tenne; mivelhogy ő jól tudná, micsoda volna az emberben.

John.3.1 | Vala pedig a Farizeusok közzűl egy ember, kinek neve Nikodémus vala, ki a fő Zsidók közzűl való vala.
John.3.2 | Ez méne Jézushoz éjjel és monda néki: Mester! tudjuk hogy az Istentől jöttél tanító Mesterűl: mert senki nem teheti e jeleket, a mellyeket te tészesz, hanemha Isten lejénd azzal.
John.3.3 | Felele Jézus és monda néki: Bizony bizony mondom néked: Ha valaki újonnan nem születéndik, nem láthatja az Istennek országát.
John.3.4 | Monda néki Nikodémus: Mimódon születtethetik az ember, a ki vén? nemde bemehet-é az ő annyának méhébe másodszor, hogy születtessék?
John.3.5 | Felele Jézus: Bizony bizony mondom néked: ha valaki nem születéndik víztől és Szent Lélektől, nem mehet bé az Isten országába.
John.3.6 | A mi születtetett testtől, test az: és a mi születtetett Lélektől, lélek az.
John.3.7 | Ne csudáljad hogy azt mondám néked: Szükség néktek újonnan születtetnetek.
John.3.8 | A szél a hová akar fúni, fú, és annak zúgását hallod, de nem tudod honnét jő, és hová megyen: Így vagyon minden, a ki Szent Lélektől születtetik.
John.3.9 | Felele Nikodémus, és monda néki: Mimódon lehetnek ezek?
John.3.10 | Felele Jézus és monda néki: Te Izráelben Mester vagy, és ezeket nem tudod-é?
John.3.11 | Bizony bizony mondom néked, a mit tudunk azt mondjuk; és a mit láttunk arról teszünk bizonyságot; de a mi tanúbizonyságunkat nem veszitek bé.
John.3.12 | Ha földi dolgokat mondottam néktek, és nem hiszitek; mimódon hiszitek, ha mennyeieket mondándok néktek?
John.3.13 | Mert senki nem ment fel mennybe hanem az, a ki leszállott mennyből, tudniillik az embernek Fija, ki a mennyben vagyon.
John.3.14 | Miképen pedig felemelte Mózes a kígyót a pusztában, a képen fel kell magasztaltatni az ember Fijának.
John.3.15 | Hogy valaki hiszen ő benne el ne vesszen, hanem örök életet vegyen;
John.3.16 | Mert úgy szereté Isten e világot, hogy az ő egyetlenegy szülött Fiját adná, hogy minden, valaki hiszen ő benne, el ne veszszen, hanem örök életet vegyen;
John.3.17 | Mert nem azért bocsátá Isten az ő Fiját e világra, hogy kárhoztassa e világot, hanem hogy megtartassék e világ ő általa.
John.3.18 | A ki hiszen ő benne, el nem kárhozik: a ki pedig nem hiszen, immár elkárhoztatott: mert nem hitt az Isten egyetlenegy Fijának nevébe.
John.3.19 | Ez pedig a kárhoztatás, hogy Világosság jött e világra; de az emberek inkább szerették a setétséget, hogy nem a Világosságot: mert az ő cselekedeteik gonoszok valának;
John.3.20 | Mert valaki gonoszul cselekeszik, gyűlöli a világosságot, és nem megyen a világosságra, hogy az ő cselekedetei meg ne feddettessenek.
John.3.21 | A ki pedig igazán cselekeszik, a világosságra megyen, hogy az ő cselekedetei nyilvánvalók legyenek, hogy azok Isten szerint valók.
John.3.22 | Azután méne Jézus és az ő tanítványai Júdeának földére, és ott mulat vala velek, és keresztel vala.
John.3.23 | Keresztel vala pedig János is Énonban, Sálim mellett: mert ott sok víz vala, és mennek vala ő hozzá, és megkeresztelkednek vala.
John.3.24 | Mert még János nem vettetett vala a tömlöczbe.
John.3.25 | Támada annakokáért vetekedések a János tanítványinak a Zsidókkal, a mosódás felől.
John.3.26 | És menének Jánoshoz és mondának néki: Mester! Az, a ki veled vala a Jordánon túl, kiről te bizonyságot tettél, ám keresztel, és nagy sokan mennek ő hozzá.
John.3.27 | Felele János és monda: Az ember nem vehet semmit magának, hanemha mennyből adattatik néki.
John.3.28 | Ti magatok vagytok nékem bizonyságim, hogy én megmondottam: Nem vagyok én Krisztus, hanem bocsáttattam ő előtte.
John.3.29 | A kinek jegyese vagyon, vőlegény az: a vőlegénynek pedig barátja, a ki fennál, mikor hallja őtet, örömmel örűl a vőlegyének szaván: Azért ez az én örömöm bétölt.
John.3.30 | Annak nevekedni kell, és nékem alá szállanom kell.
John.3.31 | A ki onnét felűl jött, mindenek felett vagyon; a ki a földről való, földi az, és földieket szól; a ki a mennyből jött, mindeneknek felette vagyon.
John.3.32 | És a mit látott és hallott, arról tészen bizonyságot: de az ő bizonyságtételét senki nem veszi bé.
John.3.33 | A ki béviszi az ő bizonyságtételét, az valóban elhitte, hogy az Isten igaz legyen;
John.3.34 | Mert a kit Isten elbocsátott, az Isten beszédét szólja: mert az Isten annak nem mértékkel adja az ő Lelkét.
John.3.35 | Az Atya szereti a Fiút, és mindeneket adott az ő birodalmába.
John.3.36 | Aki hiszen a Fiúba, vagyon annak örök élete; a ki pedig nem hiszen a Fiúnak, nem látja az életet, hanem az Istennek haragja marad rajta.

John.4.1 | Minekutánna azért eszébe vette volna az Úr, hogy a Farizeusok meghallották volna, hogy néki több tanitványai volnának, és többeket keresztelne hogynem János:
John.4.2 | (Jóllehet Jézus maga nem keresztel vala, hanem az ő tanitványai.)
John.4.3 | Elhagyá Júdea tartományát, és elméne ismét Galileába.
John.4.4 | Kell vala pedig néki általmenni Samariának tartományán.
John.4.5 | Méne azért Samariának városába, melly neveztetik Sikárnak, a major meleltt, mellyet adott vala Jákób az ő fijának Józsefnek.
John.4.6 | Vala pedig ott a Jákób forrása: Jézus azért elfáradván az úton való járásban, azon módon leüle a forrásnál: mert vala mintegy hat óra.
John.4.7 | És eljöve egy Samariabeli asszony, hogy meritene vizet: és monda néki Jézus: Adj innom nékem.
John.4.8 | Mert az ő tanitványai elmentek vala a városba, hogy eledelt vennének.
John.4.9 | Monda azért néki az a Samariabeli asszony: Mimódon kérsz te, holott Zsidó vagy, én tőlem italt, ki Samariabeli asszony vagyon? mert a Zsidók nem barátkoznak a Samariabeliekkel.
John.4.10 | Felele Jézus és monda néki: Ha tudnád te az Istennek amaz ajándékát, és kicsoda legyen az, a ki ezt mondja néked: Adj innom nékem: te kértél volna ő tőle és adott volna néked élő vizet!
John.4.11 | Monda néki az asszony: Uram! nincsen mivel meritened, a kút pedig igen mély; hol vennéd tehát azt az élő vizet?
John.4.12 | Nemde nagyobb vagy e te a mi Atyánknál Jákóbnál, ki nékünk adta e kútat, mellyből ivott mind ő, mind az ő fijai, mind barmai?
John.4.13 | Felele Jézus, és monda néki: A ki e vizben iszik, ismét megszomjuhozik;
John.4.14 | Valaki pedig ijándik abban a vizben, mellyet én adok néki, meg nem szomjuhozik örökké; hanem az a viz, mellyet én adok néki, lészen ő benne örök életre forró viznek feje.
John.4.15 | Monda néki az asszony: Uram, adjad nékem azt a vizet, hogy meg ne szomjuhozzam, és ne jöjjek ide meriteni!
John.4.16 | Monda néki Jézus: Menj el, hivjad a te férjedeet; és jöjj ide.
John.4.17 | Felele az asszony és monda néki: Nincsen férjem. Monda néki Jézus: jól mondád, hogy: Nincsen férjem;
John.4.18 | Mert öt férjed volt; és a mostani nem férjed néked; ezt igazán mondád.
John.4.19 | Monda néki az asszony: Uram, látom hogy Próféta vagy te!
John.4.20 | A mi atyáink ez hegyen imádták az Itent, ti pedig azt mondjátok, hogy Jérusálemben vagyon az a hely, hol az Istent kell imádni.
John.4.21 | Monda néki Jézus: Asszony! elhidjed hogy eljő az óra, mellyben sem ez hegyen, sem Jérusálemben nem imádjátok az Atyát.
John.4.22 | Ti azt imádjátok a kit nem tudtok; mi azt imádjuk, a kit utudnk: mert az idvesség a Zsidók közzűl támadott.
John.4.23 | De eljő az óra, és az most vagyon, mikor az igaz imádók imádják az Atyát lélekben és igazságban: mert az Atya illyeneket keres, kik őtet imádják.
John.4.24 | Az Isten Lélek; és a kik őtet imádják, szükség hogy lélekben és igazságban imádják.
John.4.25 | Monda néki az asszony: Tudom hogy a Messiás eljő, ki mondatik Krisztusnak, és mikor az eljő, mindenekre megtanit minket.
John.4.26 | Monda néki Jézus: Én vagyok az, a ki te veled szólok.
John.4.27 | Azonközben pedig megjövének az ő tanitványai, és csudálkoznak vala azon, hogy az asszonnyal beszélne; mindazáltal egy sem mondá: Mit keressz? Vagy, miért beszélsz az asszonnyal?
John.4.28 | Elhagyá azért az asszony az ő vedrét, és elméne a városba, és monda a városbeli embereknek:
John.4.29 | Jertek el, és lássátok az embert a ki megmondá nékem mindeneket, a mellyeket én cselekedtem; valjon nem az-é ama Krisztus?
John.4.30 | Kimenének azért a városból, és menének ő hozzá.
John.4.31 | Azonközben kérik vala őtet az ő tanitványai, ezt mondván: Mester, egyél!
John.4.32 | Ő pedig monda nékik: Vagoyn nékem eledelem, mellyel éljek, mellyet ti nem tudtok.
John.4.33 | Mondának azért a tanitványok egymásnak: Valjon hozott e valaki néki eledelt?
John.4.34 | Monda nékik Jézus: Az én eledelem ez, hogy annak akaratját tegyem, a ki engemet elbocsátott, és elvégezzem az ő dolgát.
John.4.35 | Nemde nem ezt mondjátok é ti: Még négy hónap vagyon, és azután aratás lészen? ímé, mondom néktek: Emeljétek fel a ti szemeiteket és lássátok meg a tartományokat: mert megértenek az aratásra.
John.4.36 | És a ki arat, jutalmát veszi, és takar gyümölcsöt az örök életre, hogy mind a magvető, mind az arató együtt örüljenek.
John.4.37 | Mert ebben ama mondás igaz: Más a magvető, és más az arató.
John.4.38 | Én elbocsátlak titeket annak aratására, mellyen ti nem munkálkodtatok; egyebek munkálkodtak, és ti az ő munkájokba állottatok.
John.4.39 | Abból a városból pedig sok Samaritánusok hivének ő benne annak az asszonynak beszédéért, ki bizonyságot tett vala ő róla, ezt mondván: Bizony mindeneket megmondott nékem, a mellyeket cselekedtem.
John.4.40 | Mikor azért ő hozzá mentek volna a Samariabeliek, kérék őtet hogy ő nálok maradna: és marada ott két népokon.
John.4.41 | És sokkal többen hivének az ő maga beszédéért.
John.4.42 | És annak az asszonynak ezt mondják vala: Immár nem a te beszédedért hiszünk: mert mi magunk hallottuk és tudjuk hogy ez bizonnyal e világnak ama Megtartója a Krisztus.
John.4.43 | Két napok elmulva peig kiméne onnét, és méne Galileába.
John.4.44 | Mert Jézus maga bizonyságot tett vala arról, hogy a Prófétának nincsen tisztessége az ő hazájában.
John.4.45 | Mikor azért ment vona Galileába, befogadk őtet a Galileabeliek, mivelhogy látták volna mind azokat, a mellyeket cselekedett vala Jérusálemben az ünnep napon: mert azok is elmentke vala az Ünnepre.
John.4.46 | Méne azért Jézus ismét Kánába, Galileának városába, hol a vizet borrá változtatta vala. Vala pedig Kapernaumban egy Király udvarából való Főember, kinek fija beteg vala.
John.4.47 | Ez mikor hallotta volna, hogy Jézus Júdeából Galileába ment volna, hozzá méne, és kéré őtet, hogy elmenne és meggyógyitaná az ő fiját; mert immár meg kezd vala halni.
John.4.48 | Monda azért néki Jézus: Ha ti a jeleket és csudákat nem látjátok, nem hisztek.
John.4.49 | Monda néki az a Király udvarából való Főember: Uram, jere minekelőtte meghaljon az én fiam!
John.4.50 | Monda néki Jézus: Eredj el, a te fiad él. Hive az ember a beszédnek, mellyet mondott vala néki Jézus; és elméne.
John.4.51 | Mikor pedig immár menne, az ő szolgái eleibe jövének, és tudtára adák néki, ezt mondván: A te fiad él.
John.4.52 | Megtudakozá azért ő tőlök az órát a mellyben megkönnyebbedett volna, és mondának néi; Tegnap mintegy hét órakor hagyá el őtet a hideglelés.
John.4.53 | Eszébe vevé azért a gyermeknek attya, hogy a gyógyulás az órában lett volna, a mellyben Jézus ezt mondotta vala néki: A te fiad él. És hive mind ő s mind az ő egész háznépe.
John.4.54 | E csudát tevé Jézus ismét másodszor, mikor Júdeából Galileába ment volna.

John.5.1 | Ezek után vala a Zsidóknak Ünnepek, és felméne Jézus Jérusálembe.
John.5.2 | Vagyon pedig Jérusálemben a baromvásárnak piaczán egy halastó, melly Zsidó nyelven Bethesdánek neveztetik, mellynek öt tornáczai vagynak.
John.5.3 | Ezekben fekszik vala betegeknek, vakoknak, sántáknak, megszáradott embereknek nagy sokaságok, kik várják vala a viznek megmozdulását;
John.5.4 | Mert az Istennek Angyala bizonyos időben leszáll vala a halastóba, és megháboritja a vizet: annakokáért valaki először a vizbe szállhatott annak megháborittatásra után, meggyógyul vala, akárminémü betegsége volna.
John.5.5 | Vala pedig ott egy ember, ki harmincznyolcz esztendőtől fogva való betegségben fekszik vala.
John.5.6 | Ezt mikor látta volna Jézus ott feküdni, és megesmérte volna hogy sok időtől fogva feküdt volna a betegségben, monda néki: Akarsz-é meggyógyulni?
John.5.7 | Felele pedig az a beteg: Uram, nincsen senki, ki engemet a halastóba vinne mikor a viz megháborodik, hanem mig én oda megyek, addig én előttem más éri:
John.5.8 | Monda néki Jézus: Kelj fel, vedd fel a te nyoszolyádat, és járj.
John.5.9 | És azonnal meggyógyula az az ember; és felvevé nyoszolyáját, és jár vala: azon a napon pedig Szombat vala.
John.5.10 | A Zsidók azért mondának vala annak, a ki meggyógyult vala: Szombat vagyon, nem szabad néked a nyoszolyádat hordoznod.
John.5.11 | Felele nékik! A ki meggyógyita engemet, az mondá nékem: Vedd fel a te nyoszolyádat, és járj.
John.5.12 | Megkérdék azért őtet: Kicsoda az az ember, a ki ezt mondá néked: Vedd fel a te nyoszolyádat, és járj?
John.5.13 | Az pedig a ki meggyógyult vala, nem tudja vala, kicsoda volna: mert Jézus kiment vala a sokaság közzűl, a mely azon a helyen vala.
John.5.14 | Azután találá őtet Jézus a templomban, és monda néki: Imé meggyógyultál, többé nem vétkezzél, hogy gonoszbul ne legyen dolgod.
John.5.15 | Elméne az az ember, és megmondá a Zsidóknak, hogy Jézus volna az a ki őtet meggyógyitotta vala.
John.5.16 | És annakokáért háborgatják vala a Zsidók Jézust, és akarják vala őtet megölni, hogy ezt mivelte volna Szombaton.
John.5.17 | Jézus pedig felele nékik: Az én Atyám mind ez ideig munkálódik, én is munkálódom.
John.5.18 | Annál is inkább akarják vala azért a Zsidók őket megölni, mivelhogy nem csak megrontotta volna a Szombatot; hanem az Istent is saját Attyának mondotta volna, Istenhez magát egyenlővé tévén.
John.5.19 | Felele azért Jézus, és monda nékik: Bizony bizony mondom néktek: Nem cselekedhetik a Fiu magától, hanemha látandja az Atyát cselekedni: mert valamelyeket az cselekeszik, ugyanazokat hasonlatosképen a Fiu is cselekeszi.
John.5.20 | Mert az Atya szereti a Fiut, és mindeneket megmutat néki, a mellyeket ő maga cselekeszik; ezeknél nagyobb dolgokat mutat meg néki, annyira, hogy ti csudálkozzatok rajta.
John.5.21 | Mert miképen az Atya támaszt halottakat és megelevenit, azonképen a Fiu is kiket akar, megelevenit.
John.5.22 | Mert az Atya nem itél senki, hanem e teljes itéletet a Fiunak adta.
John.5.23 | Hogy mindenek tiszteljék a Fiut, miképen tisztelik az Atyát: a ki nem tiszteli a Fiut, nem tiszteli az Atyát, a ki azt elküldötte.
John.5.24 | Bizony bizony mondom néktek: A ki az én beszédemet hallgatja és hiszen annak, a ki engemet elbocsátott, örök élete vagyon, és a kárhozatra nem megyen, hanem általment a halálból az életre.
John.5.25 | Bizony bizony mondom néktek: Eljő az idő, és most vagyon, mikor a halottak hallják az Isten Fijának szavát; és a kik hallandják, élnek.
John.5.26 | Mert miképen az Atyának vagyon élete ő magában, azonképen adta a Fiunak is, hogy legyen élete ő magában.
John.5.27 | És az itéletre is adott néki méltóságot, mivelhogy embernek Fija.
John.5.28 | Ne csudáljátok ezt: Mert eljő az óra, melyben mindenek, kik a koporsókban vagynak, meghallják az ő szavát.
John.5.29 | És a kik jókat cselekedtek, kijőnek az életnek feltámadására; a kik pedig gonoszt cselekedtek, a kárhozatnak feltámadására.
John.5.30 | Nem cselekedhetem én magamtól semmit: A mint én hallom, ugy itélek, és az én itéletem igaz: mert nem keresem az én akaratomat, hanem az Atyának akaratját, a ki engem elbocsátott.
John.5.31 | Ha én teszek magam felől bizonyságot, az én bizonyságtételem nem illendő lészen.
John.5.32 | Más az, a ki én felőlem bizonyságot tészen, és tudom hogy igaz az a bizonyság, a mellyet én felőlem tészen.
John.5.33 | Ti elküldöttetek Jánoshoz, ő is bizonyságot tett az igazságról.
John.5.34 | Én pedig nem keresem az embernek bizonyságát; de ezeket mondom, hogy ti megtartassatok.
John.5.35 | Ő égő és világos szövétnek vala; ti pedig csak ideig akartatok örülni az ő világának.
John.5.36 | De nékem vagyon nagyobb bizonyságom a János bizonyságánál: mert a cselekedetek, melyeket az Atya reám bizott hogy azokat elvégezze, azok, mondom, a cselekedetek, mellyeket én cselekeszem, bizonyságot tésznek én rólam, hogy az Atya bocsátott engemet.
John.5.37 | Az Atya is, a ki engem elbocsátott, ő maga bizonyságot tett én rólam; annak szavát sem hallottátok soha, nem pedig ábrázatják nem láttátok.
John.5.38 | És az ő beszéde nem marad ti bennetek: mert a ki elbocsátott, annak ti nem hisztek.
John.5.39 | Tudakozzátok az Irásokat: mert néktek ugy tetszik, hogy azokban örök életetek vagyon: és azok a melyek én rólam bizonyságot tesznek.
John.5.40 | Nem akartok pedig én hozzám jőni, hogy életetek legyen.
John.5.41 | Az emberektől nem veszek dicsőséget.
John.5.42 | De tudom, hogy az Istennek szerelme nincsen ti bennetek.
John.5.43 | És az én Atyámnak nevében jöttem, és nem vesztek bé engemet: ha más valaki jőnne a maga nevében, azt bevennétek.
John.5.44 | Mimódon hihettek ti, holott egyik a másiktól vár dicsőséget, és a dicsőséget, mely csak az Istentől származik, nem keresitek.
John.5.45 | Ne álllitsátok hogy én vádoljalak titeket az Atyánál; vagyon ki vádoljon titeket, tudniillik Mózes, a kiben ti reménységteket vetettétek.
John.5.46 | Mert ha hinnétek Mózesnek, nékem is hinnétek: mert én felőlem irt ő.
John.5.47 | Hogyha az ő irásinak nem hisztek, mimódon hisztek az én beszédimnek?

John.6.1 | Ezek után méne Jézu Galileának Tibériás nevü tengeren túl.
John.6.2 | És követi vala őtet sok nép: mert látják vala az ő csudatételit, melyeket cselekeszik vala a betegekkel.
John.6.3 | Felméne pedig Jézus a hegyre, és ott leüle az ő tanitványival.
John.6.4 | Közel vala pedig Husvét, a Zsidóknak Innepek.
John.6.5 | Mikor azért felemelte volna Jézus szemeit, és látta volna a sok népet hozzá gyülni, monda Filepnek: Hol vegyünk kenyereket, hogy ezek egyenek?
John.6.6 | (Ezt pedig mondja vala kisértvén őtet: mert ő tudja vala a mit cselekedendő volna.)
John.6.7 | Felele néki Filep: Kétszáz pénz áru kenyér nem elég ezeknek, ha mindenik csak kicsinyt venne is abból.
John.6.8 | Monda néki egy az ő tanitványai közzűl, tudniillik András, Simon Péternek atyafia:
John.6.9 | Vagyon itt egy gyermek, kinek vagyon öt árpakenyere és két halacskája: de micsoda az ennyi sok népnek?
John.6.10 | Monda pedig Jézus: Ültessétek le az embereket. Vala pedig azon a helyen sok fű. Leülnek azért szám szerint mintegy ötezer férjfiak.
