Mark.1.1 | Jézus Krisztusnak, az Isten Fijának Evangyéliomának kezdete.
Mark.1.32 | És mikor estve volna és a nap le kezdett volna menni, minden betegeseket és ördöngösöket hoznak vala ő hozzá.
Mark.1.33 | És mind az egész város gyült vala az ajtó eleibe.
Mark.1.34 | És sok külömb-külömb betegségekbe esteket meggyógyít vala; és sok ördögöket üze ki, és nem hagyja vala szólni az ördögöket, mivelhogy őtet esmérnék.
Mark.1.35 | És igen reggel, még éjszakán mikor felkölt volna, kiméne, és elméne puszta helyre, és ott imádkozik vala.
Mark.1.36 | És követék őtet Simon és a kik vele valának.
Mark.1.37 | És mikor meglelték volna őtet, mondának néki: Mindenek tégedet keresnek.
Mark.1.38 | Akkor monda nékik: Menjünk el a közel való városkákba hogy ott is prédikáljak; mert azért jöttem.
Mark.1.39 | És prédikál vala azoknak zsinagógáikban mind az egész Galileában, és ördögöket üz vala.
Mark.1.40 | És jöve ő hozzá egy bélpoklos ember, kérvén őtet és az ő lábainál leborúlván, és ezt mondván néki: Ha akarod megtisztithatsz engemet.
Mark.1.41 | Jézus pedig könyörületességre indulván, kinyujtván az ő kezét illeté azt és monda: Akarom, tisztulj meg.
Mark.1.42 | És mikor ezt mondotta volna, azonnal eltávozék attól a poklosság, és megtisztula.
Mark.1.43 | És erősen megfenyegetvén elküldé őtet azonnal.
Mark.1.44 | És monda néki: Meglásd hogy senkinek semmit ne szólj, hanem eredj el, mutasd meg magad a Papnak, és vidd fel a te tisztulásodért, a mit Mózes parancsolt, hogy ez legyen nékik bizonyságúl.
Mark.1.45 | Az pedig kimenvén, kezde sokat szólni és hirdetni a dolgot, annyira hogy immár nem mehetne Jézus nyilván városba; hanem kivül puszta helyeken vala, és mennek vala ő hozzá mindenfelől.

Mark.2.1 | És ismét béméne Kapernaumba egynéhány napok elmulván, és meghallák hogy ő otthon volna.
Mark.2.2 | És azonnal sokan gyülének ő hozzá, úgyannyira, hogy immár az ajtó eleibe is nem férnének, és prédikálja vala nékik az igét.
Mark.2.3 | Akkor jövének ő hozzá, kik hoznak vala egy gutaütött embert, kit nmégy ember hoz vala.
Mark.2.4 | És mikor ő hozzá nem férnének a sokaság miatt, meghányák a háznak fedelét a mellyben vala, és annak padlását felbontván leereszték a nyoszolyát, a mellyben a gutaütött ember fekszik vala.
Mark.2.5 | És mikor látta volna Jézus azoknak hiteket, monda a gutaütöttnek: Fiam, mebocsáttattak néked a te büneid!
Mark.2.6 | Valának pedig ott ülvén némellyek az Irástudók közzűl, kik az ő szivekben illyen módon okoskodnak vala:
Mark.2.7 | Mi dolog hogy ez illyen káromlásokat szól? Kicsoda bocsáthatja meg a bűnöket, hanem csak egyedül az Isten?
Mark.2.8 | És mikor azonnal általlátta volna Jézus az ő lelkével azoknak magokban való illyen okoskodásokat, monda nékik: Miért gondoljátok ezeket szivetekben?
Mark.2.9 | Mellyik könnyebb? ezt mondanom é a gutatütött embernek: Megbocsáttattak néked a te bűneid; avagy ezt mondanom: Kelj fel, vedd fel a te nyoszolyádat és járj?
Mark.2.10 | Hogy pedig megtudjátok, hogy az embernek Fijának vagyon méltósága a bűnnek megbocsátására e földön, monda a gutaütött embernek:
Mark.2.11 | Tenéked mondom: Kel fel, vedd fel a te nyoszolyádat, és eredj házadhoz.
Mark.2.12 | Akkor azonnal felkele az, és felvévén nyoszolyáját, kiméne mindeneknek láttokra, annyira, hoyg mindenek álmélkodának és dicsőitenék az Istent: Mondván: Soha illyen dolgot nem láttunk.
Mark.2.13 | kiméne viszontag a tenger mellé, és mind az egész sokaság megyen vala ő hozzá, és tanitja vala őket.
Mark.2.14 | És mikor onnét elmenne, látá Lévit az Alfeus fiját ülni a vámszedő helyen, és monda néki: Kövess engemet. És az felkelvén követé őtet.
Mark.2.15 | És lőn, mikor Jézus letelepedett volna annak házában, a Publikánusok és bünösök közzűl is sokan együtt Jézussal és az ő tanitványival letelepedtek vala; mert sokan valának, és őtet követték vala.
Mark.2.16 | És mikor az Irástudók és Farizeusok látták volna őtet együtt enni a Piblikánusokkal és a bűnösökkel; mondának az ő tanitványainak: Midolog, hogy a Publikánusokkal és bűnösökkel eszik és iszik?
Mark.2.17 | És mikor ezt hallotta volna Jézus, monda nékik: A kik egészségesek nem szükölködnek orvos nélkül, hanem a kik betegek. Nem jöttem, hogy az igazakat hívjam, hanem a bűnösöket a megtérésre.
Mark.2.18 | Jánosnak pedig és a Farizeusoknak tanitványai böjtölnek vala: előjövének azért és mondának néki: Mi az oka hogy böjtölnek, a te tanitványid.pedig nem böjtölnek?
Mark.2.19 | És monda nékik Jézus: Avagy böjtölhetnek-é a menyegzői lakodalmasok, míg ő velek vagyon a vőlegény? Míg velek vagyona vőlegény, nem böjtölhetnek.
Mark.2.20 | Eljőnek pedig a napok, mikor elvétetik ő tőlök a vőlegény, és akkor azokon a napokon böjtölnek.
Mark.2.21 | De senki nem varrja az új posztó foltot az ó posztohoz: mert az új posztó folt, az ó posztót magához szakasztja, és annál nagyobb szakadás lészen rajta.
Mark.2.22 | És senki nem tölti az új bort régi hitvány tömlőkbe: mert az új bor elszakasztja a tömlőket, és a bor elromol, a tömlők is elvesznek; hanem az új bort új tömlőkbe kell tölteni.
Mark.2.23 | És lőn, hogy ő Szombatnapon a vetések között menne által, és az ő tanitványai mentekben kezdék a gabonafejeket szaggatni.
Mark.2.24 | Akko a Farizeusok mondának néki: Ímé, miért mívelik azt Szombatnapon, a mit nem szabad mívelni?
Mark.2.25 | És monda nékik: Soha nem olvastátok-é mit mívelt Dávid mikor megszűkült volna, és megéhezett volna a vele valókkal egybe.
Mark.2.26 | Mimódon ment bé az Istan házába az Abiátor Főpap idejében, és a szent kenyereket megette, mellyeket nem szabad megenni, hanem csak a Papoknak, és mimódon adta a vele valóknak is?
Mark.2.27 | És monda nékik: A Szombat az emberért teremtetett, nem az ember a Szombatért.
Mark.2.28 | Annakokáért az embernek Fija a Szombatnak is Ura.

Mark.3.1 | És béméne viszontag a zsinagógába; és vala ott egy megszáradotto kezű ember.
Mark.3.2 | És figyelmeznek vala reá, ha Szombatnapon meggyógyítná-é azt, hogy őtet vádolhatnák.
Mark.3.3 | Akkor monda megszáradott kezű embernek Kelj fel, állj középre!
Mark.3.4 | És monda azoknak: Szabad-é Szombaton jól vagy gonoszul tenni valakivel? az embert megtartani, vagy megölni? És ők hallgatnak vala.
Mark.3.5 | És mikor haraggal őket elnézte volna, egyszersmind bánván hogy azoknak szívek megkeményedett volna, monda az embernek: Nyujtsd ki a te kezedet. És a kinyujtá; és meggyógyula az ő keze, és megépület mint a másik.
Mark.3.6 | Akkor a Farizeusok kimenvén, mindjárt a Héródes szolgáival tanácsot tartának ő ellen, hogy őtet elvesztenék:
Mark.3.7 | De Jézus az ő tanitványival elméne a tenger mellé, és nagy sokaság követé őtet Gilileából és Júdeából.
Mark.3.8 | És Jérusálemből és Idumeából, és a Jordánon túl való tartományból, és a kik Tírus és Sídon mellett laknak vala, nagy sokasággal jövének ő hozzá, mikor hallották volna, melly nagy dolgokat cselekednék;
Mark.3.9 | Ő pedig meghagyá az ő tanitványinak, hogy mindenkor egy kis hajót tartanának néki a sokaság miatt, hogy őtet le ne tapodnák.
Mark.3.10 | Mert sok embereket gyógyított vala meg, úgyannyira, hogy reá rohannának, hogy őtet illetnék, valakik betegségnek ostorában volnának.
Mark.3.11 | És a tisztátalan lelkek mikor őtet látták volna, járulna vala ő hozzá, és kiáltnak vala, ezt mondván: Te vagy az Istennek ama Fija.
Mark.3.12 | Ő pedig fenyegeti vala őket igen, hogy őtet ki ne jelentenék.
Mark.3.13 | Akkor felméne a hegyre, és szólítá magához a kiket akara, és hozzá menének.
Mark.3.14 | És választa tizenkettőt kik ő vele lennének, és kiket elbocsátana hogy prédikálnának.
Mark.3.15 | És hatalmok lenne a betegek gyógyítására, és az ördögöknek kiüzésére.
Mark.3.16 | Elsőt Simont, (kit neveze Péternek).
Mark.3.17 | Jakabot a Zebedeus fiját, és Jánost a Jakab attyafiát. (és nevezé őket illy névvel: Boanerges, azaz mennydörgésnek fijai).
Mark.3.18 | Andrást és Filepet, Bertalant és Mátét, Tamást és Jakabot Alfeusnak fiját, és Taddeust, és a Kananeabeli Simont.
Mark.3.19 | És az Iskáriótes Júdást, ki is őtet elárulá, és haza menének.
Mark.3.20 | Egybegyüle pedig ismét a sokaság annyira, hogy ingyen nem is ehetnének.
Mark.3.21 | És mikor ezeket hallották volna az ő attafiai, eljövének hogy megfognák őtet: mert azt mondják vala, hogy eszétől eltávozott.
Mark.3.22 | Az Irástudók pedig, kik Jérusálemből jöttek vala alá, azt mondják vala, hogy Belzebub ördög volna vele, és hogy az ördögök Fejedeleme által üzné ki az ördögöket.
Mark.3.23 | És mikor őket elszólitotta volna, monda nékik példabeszédek által: Mimódon üzheti ki a Sátán a Sátánt?
Mark.3.24 | Ha pedig valamelly ország magában meghasonlik, meg nem maradhat az az ország.
Mark.3.25 | A ház is, ha ő magában meghasonlik, soha meg nem állhat az a ház.
Mark.3.26 | Ezenképen ha a Sátán is feltámad és magában meghasolik, meg nem állhat, hanem vége lészen.
Mark.3.27 | Nem vethet senki zsákmányt valamelly hatalmasnak marhájában, annak házába bémenvén, hanemha először azt a hatalmast megkötözi, és úgy tehet zsákmányt annak házában.
Mark.3.28 | Bizony mondom néktek: megbocsáttatnak minden bűneik az emberek fijainak, és a káromlások is, a mellyeket szóltak.
Mark.3.29 | De a ki a szent Lélek ellen szóland káromlást, soha bocsánatja nincsen; hanem méltó az örök ítéletre;
Mark.3.30 | Mert azt mondják vala, hogy tisztátalan lélek volna ő benne.
Mark.3.31 | Eljövének azért az ő attyafiai és az ő annya, és kivűl állván küldének ő hozzá, és őtet hívatják vala.
Mark.3.32 | Ül vala pedig ő körűlte sokaság, és mondának azok néki: Ímé a te anyád és atyádfiai ottkin keresnek téged.
Mark.3.33 | Akkor felele nékik mondván: Kicsoda az én anyám, vagy az én atyámfiai kicsodák?
Mark.3.34 | És mikor elnézte volna köröskörűl azokat, kik ő körűlte ülnek vala, monda: Ímé az én anyám, és az én atyámfiai:
Mark.3.35 | Mert valaki azt cselekeszi, a mit akar az Isten, az nékem az én atyámfiai, néném és anyám.

Mark.4.1 | És ismét kezde a tenger mellett tanítani; és gyüle ő hozzá nagy sokaság, úgyannyira hogy ő bémenvén a hajóba, ülne a tengeren, az egész sokaság pedig a tenger mellet a földön vala.
Mark.4.2 | És sok dolgokra tanitja vala őket példabeszédek által, és ezt mondja vala nékik tanításában.
Mark.4.3 | Halljátok meg: Ímé egy magvető ember kiméne mag-vetni.
Mark.4.4 | És a mag vetéskor némelly esék az út mellé, és eljövének az égi madarak, és megevék azt.
Mark.4.5 | Némelly pedig esék a kövesre, a hol nem valal sok földe; és hamar kinevekedék, mivelhogy nem vala mély földe.
Mark.4.6 | Mikor pedig a nap feltámadott volna, megsüté a meleg, és mivelhogy nem vala gyökere, emgszárada.
Mark.4.7 | Némelly pedig esék a tövis közzé: és felnevekedének a tövisek, és megfojták azt, és gyümölcsöt nem ada.
Mark.4.8 | És némelly esék a jó földbe, és ada nevekedő és bővölködő gyümölcsöt: és némelly hoza harmincz annyit, némelly pedig száz annyit.
Mark.4.9 | Akkor monda nékik: a kiknek vagynak füleik a hallásra, hallja.
Mark.4.10 | És mikor csak ő maga volna, megkérdék őtet, a kik ő körűlte valának a tizenkét tanitványokkal, e példabeszédről.
Mark.4.11 | És monda nékik: Néktek adatott hogy az Isten országának titkát tudjátok; és a kivűl valóknak pedig mind ezek példabeszédekben lésznek.
Mark.4.12 | Hogy látván lássanak, és által ne lássák; hallván halljanak, és ne értsenek, hogy valamikor meg ne térjenek, és megbocsáttassanak nékik az ő bűneik.
Mark.4.13 | És monda nékik: Nem értitek é e példabeszédet? mimódon érthetitek tehát meg a több példabeszédeket?
Mark.4.14 | Az a magvető, az ígét hinti,
Mark.4.15 | Azok pedig, a kikben az útfélre esett a mag, a kiknek hintetik az íge: de minekutánna hallották, azonnal eljő a sátán és elragadja az ő szivekbe vettetett ígét.
Mark.4.16 | A kikben pedig kövesre esett a mag, ezek azok, a kik minekutánnak az ígét hallják, azonnal nagy örömmel veszik azt.
Mark.4.17 | És nincsen ő bennek gyökere, hanem idő szerint valók: azután ha nyomorúság vagy háborúság következik az ígéért, azonnal megbotránkoznak.
Mark.4.18 | A kik pedig a tövis közzé vészik a magot, azok a kik az ígét hallgatják:
Mark.4.19 | De e világnak szorgalmatosságai, és a gazdagságnak csalárdsága, és egyéb dolgoknak kíivánságai bémenvén, megfojtják az ígét, és az haszontalan lészen.
Mark.4.20 | A kik pedig jó földbe vetették a magot, ezek azok, a kik hallják az ígét, és bévészik, és gyümölcsöt teremnek, némelly harmincz annyit, némelly hatvan annyit, némelly száz annyit.
Mark.4.21 | És monda nékik: Avagy azért hozzák é elő a gyertyát, hogy véka alá tegyék, vagy az ágy alá? avagy nem azért é, hogy a gyertyatartóba tegyék?
Mark.4.22 | Mert nincsen semmi ollya elrejtett dolog, mellynek meg kell jelentetni; vagy olly, melly elrejtethetnék, hanm szükség hogy nyilván valóvá legyen.
Mark.4.23 | Ha valakinek vagynak fülei a hallásra, hallja.
Mark.4.24 | És monda nékik: Jól eszetekbe vegyétek amit hallotok. A minémű mértékkel méritek, ollyannal mérik egyebek néktek, és bővebben mérik néktek, kik halljátok.
Mark.4.25 | Mert a kinek vagyonadatik annak: és a kinek nincsen, a mije vagyon azt is elvészik tőle.
Mark.4.26 | És mondja vala: Úgy vagyon az Istennek országa, mint mikor az ember a magot béveti a földbe.
Mark.4.27 | És elaluszik, és felkél éjjel és nappal: és a mag gyümölcsözik, és felhúzalkodik ugyan híre nélkül!
Mark.4.28 | Mert a föld magától gyümölcsöt terem, először füvet, aztán fejet, azután gabonát a főben.
Mark.4.29 | Mikor pedig a gabonának gyümölcse megmutatja magát, azonnal megaratja: mert eljött az aratásnak ideje.
Mark.4.30 | És ismét mondja vala: Mihez hasonlitsuk az Isten országát, és mivel vessük egybe?
Mark.4.31 | Ollyan mint a mustármag, melly mikor a földbe vettetik, minden földi magnál kissebb:
Mark.4.32 | De minekutánna elvettetik, felnevekedik, és minden kertben vetett fűnél nagyobb; és nagy ágai lésznek, úgyannyira, hogy annak árnyéka alatt az égi madarak fészket raknak.
Mark.4.33 | És illyen sok példabeszédekben szólja vala nékik az ígét, a mint hallhatják vala.
Mark.4.34 | Példabeszéd nélkül pedig nem szóla vala nékik; az ő tanitványinak pedig külön mindeneket megmagyaráz. vala.
Mark.4.35 | És monda nékik az napon, mikor késő volna: Menjünk a vizen túl.
Mark.4.36 | Elbocsátván azért a sokaságot, elvivék őtet úgy a mint vala a hajóban: de valának más hajók is vele.
Mark.4.37 | Akkor támad nagy szélvész és a habok bémennek vala a hajóba, annyira hogy immár a hajó megtelnék.
Mark.4.38 | És ő vala a hajónak hátulsó részében, és aluszik vala egy főaljon; akkor felkölték őtet s mondának néki: Mester! nincs é gondod arra, hogy majd elveszünk?
Mark.4.39 | Felserkenvén azért, megdorgálá a szelet, és monda a tengernek: Hallgass, némulj meg! Akkor megálla a szél, és lőn nagy csendesség.
Mark.4.40 | És monda nékik: Miért vagytok illyen félelmesek? hogy vagyon hogy nincsen hitetek?
Mark.4.41 | És igen megfélemlének, és ezt mondják vala egymásnak: Kicsoda ez, hogy a szél és a tenger engednek néki?

Mark.5.1 | És menének a tengernek tulsó partjára, a Gadarenusoknak tartományokba.
Mark.5.2 | És mikor Jézus a hajóból kiment volna, azonnal méne eleibe a koporsókból egy ember, kiben tisztátalan lélek vala.
Mark.5.3 | kinek lakása a koporsókban vala, és lánczokkal is senki azt meg nem tarthatja vala.
Mark.5.4 | Mivelhogy gyakorta békókkal és lánczokkal megkötöztetett vala, de a lánczok leszakadoztak vala róla, és a békók elromlottak vala; és senki azt meg nem enyíthette vala.
Mark.5.5 | És mindenkor éjjel és nappal a hegyeken, és a koporsóban vala kiáltván, és magát metélvén éles kövekkel.
Mark.5.6 | Mikor látta volna pedig Jézust távol, oda futamodék, és előtte leborula.
Mark.5.7 | És nagy felszóval kiáltván, monda: Jézus, felséges Isten Fija! mi dolgom vagyon nékem veled? Az Istenre kénszerítlek téged, hogy ne kínozz engem.
Mark.5.8 | (Mert ezt mondja vala néki: Eredj ki tisztátalan lélek ez emberből.)
Mark.5.9 | És megkérdé őtet: Kicsoda néked neved? És felele mondván: Légió nékem nevem: mert sokan vagyunk.
Mark.5.10 | És igen kéri vala őtet, hogy ne küldené őket azon a tartományon kivűl
Mark.5.11 | Vala pedig ott a hegy mellett nagy sereg disznó, melly ott eszik vala.
Mark.5.12 | És kérék őtet mindnyájan azok az ördögök, mondván: Bocsáss minket a disznókba, hogy azokba menjünk bé.
Mark.5.13 | És azonnal megengedé nékik Jézus. És kimenvén azok a tisztátalan lelkek, bémenénk a disznókba; és a sereg diznó hanyathomlok nagy magas helyről a tengerbe rohana, (vala pedig mintegy kétezer a disznó) és a tengerbe halának.
Mark.5.14 | A kik pedig a disznókat őrizik vala, elfutának, és megmondák a városban és a falukban e dolgot. És azok kimenének, hogy meglátnák micsoda dolog volna, a mi lett vala.
Mark.5.15 | Menének azért Jézushoz, és látták az ördöngöst ülni felöltöztetve, és hogy eszén volna az, a kiben légió lakott volna; és megfélemlének.
Mark.5.16 | És a kik ezt látták vala, megbeszélék azoknak, mint lett volna dolga az ördöngösnek, és a disznók felől is.
Mark.5.17 | És kezdék Jézust kérni, hogy kimenne az ő határokból
Mark.5.18 | És mikor ő hajóba bément volna, kéri vala őtet a ki ördöngös vala, hogy lenne ő vele.
Mark.5.19 | Jézus pedig nem engedé néki, hanem ezt mondá: Eredj haza a tiédhez, és beszéld meg nékik, melly nagy dolgokat cselekedett te veled az Úr, és melly igen könyörült rajtad!
Mark.5.20 | Elméne azért az, és kezdé a tíz városokban hirdetni, melly nagy dolgokat cselekedett volna ő vele Jézus, és mindenek csudálkoznak vala rajta.
Mark.5.21 | És mikor ismét általment volna Jézus a tulsó partra hajón, gyüle nyga sokaság hozzá; és vala a tenger mellett.
Mark.5.22 | És ímé eljöve egy a zsinagógának Fejedelemei közzűl, kinek Jairus vala neve, és mikor látta volna őtet, lábainál leborula.
Mark.5.23 | És igen kéri vala őtet, mondván: Az én leányom halálán vagyon, jere kérlek, és vesd reá kezeidet, hogy gyógyuljon meg és éljen.
Mark.5.24 | Elmene azért Jézus ő vele és követi vala őtet nagy sokaság, és őtet megszorítják vala.
Mark.5.25 | Akkor egy asszony ki tizenkét ezstendőtől fogva vérnek folyását szenvedte vala.
Mark.5.26 | És sok orvosoktól sokat szenvedett, és minden marháját elköltötte, de semmit néki nem használtak vala, hanem annál is inkább menyomorodott vala.
Mark.5.27 | Mikor Jézus felől hallott volna a seregben Jézusnak háta megűl kerűle, és az ő ruháját illeté.
Mark.5.28 | Mert ezt mondja vala: ha csak ruháit illethetném is, meggyógyulok.
Mark.5.29 | És azonnal megszárada az ő vérének feje; és megérzé testében hogy meggyógyult volna abból a nyavalyából.
Mark.5.30 | És mikor ő magában azonnal eszébe vette volna Jézus az isteni erőt, a melly kiszármazott vala tőle, hátrafordulván a sokaság között, monda: Kicoda illeté az én ruhámat?
Mark.5.31 | És mondának néki az ő tanitványai: Látod hogy a sokaság megszorított tégedet, mégis azt kérded: kicsoda illetett engemet?
Mark.5.32 | És ő széllyel néz vala, hoyg megláthatná azt, a ki ezt cselekedte vala.
Mark.5.33 | Az asszony pedig félvén és reszketvén, mikor tudná micsoda lett volna ő rajta, eljöve és az ő lábai előtt arczal leborula. és néki igazán mindent megmonda.
Mark.5.34 | Ő pedig monda néki: Leányom a te hited téged megtartott! eredj el békességgel, és gyógyulj meg a te nyavalyádból.
Mark.5.35 | Hogy Jézus ezeket még szólaná, eljövének némellyek a zsinagóga Fejedelemének házától, ezt mondván: A te leányod megholt, mit fárasztod tovább a Mestert?
Mark.5.36 | Jézus pedig mihelyt a beszédet hallá, a mellyet mondának vala, monda a zsinagóga Fejedelemének: Ne félj, csak hidj!
Mark.5.37 | És nem engedé hogy senki őtet együtt követné, hanem Péter és Jakab és János, Jakabnak attyafia.
Mark.5.38 | Akkor méne a zsinagóga Fejedelemének házához és látá a nagy zenebonát, a sírókat és jajgatókat.
Mark.5.39 | És bémenvén monda nékik: Mit zajogtok és sírtok? A leányzó nem holt meg aluszik.
Mark.5.40 | És csúfolják vala őtet, Ő pedig mindeneket kiküldvén, a leánynak attyát és annyát maga mellé vevé, és azokat, a kik vele valának, és bémene oda, hol a leány fekszik vala.
Mark.5.41 | És megfogván a leánynak kezét, monda néki: Talita Kumi: azaz, ha megmagyarázod, Leányzó (néked mondom) kelj fel!
Mark.5.42 | És azopnnal felkele a leány és jár vala: Mert tizenkét esztendős vala; és felette igen elálmélkodának.
Mark.5.43 | Ő pedig keményen megparancsolá nékik, hogy senki azt meg ne tudná: és monda, hogy enni adnának a leánynak.

Mark.6.1 | És kiméne onnét, és méne az ő hazájába: és követék őtet az ő tanitványai.
Mark.6.2 | És mikor eljött volna a Szombat, kezde a zsinagógában tanitani, és sokan a kik hallják vala, ezt mondván: Honnét vagynak ennek mind ezek? és micsoda bölcsesség ez, a melly ennek adatott, hogy illyen nagy isteni erők lésznek ő általa?
Mark.6.3 | Avagy ném ez é amaz ácsmester, Máriának fija, Jakabnak, Jósénak, Júdásnak és Simonnak attyafia? Nemde az ő nénnyei is nem itt mi köztünk vagynak é? és ő benne megbotránkoznak vala.
Mark.6.4 | Jézus pedig ezt mondja vala nékik: Nincsen tisztesség nélkül a Próféta, hanem csak az ő hazájában és rokonai között, és az ő házában.
Mark.6.5 | És ott semmi isteni erőt nem cselekedhete, hanem minekutánna kevés betegekre vetette volna kezeit, meggyógyítá azokat.
Mark.6.6 | És csudálkozik vala azoknak hitetlenségeken, és kerüli vala a falukat köröskörül, tanitván.
Mark.6.7 | Akkor előszólítá ama tizenkét tanitványokat, és kezdé őket kettőnként elbocsátani; és ada nékik hatalmat a tisztátalan lelkeken.
Mark.6.8 | És parancsolá nékik, hogy az útra semmit ne vinnének, hanem csak pálczát, sem táskát, sem kenyeret, sem pénzt az ő erszényekben.
Mark.6.9 | Hanem hogy csak zsólyákat vonnának lábaikra, és kettős ruhát ne vennének magokra.
Mark.6.10 | És ezt mondja vala nékik: Valahol házba bémentek, ott maradjatok mind addig, mig onnét kimentek.
Mark.6.11 | És valakik bé nem fogadandanak titeket, és nem hallgatandanak titeket, onnét kimenvén verjétek le a ti lábaitokhoz ragadott port, hogy az legyen ő ellenek tanubizonyság gyanánt. Bizony mondom néktek, hogy türhetőbb lészen a Sodomabelieknek vagy Gomorabelieknek dolgok az ítéletnek napján, hogynem annak a városnak állapotja.
Mark.6.12 | Kimenvén azért azok, prédikálják vala, hogy megtérnének az emberek.
Mark.6.13 | És sok ördögöket űznek vala ki, és sok betegeket kennek vala meg olajjal, és meggyógyitják vala azokat.
Mark.6.14 | Meghallá pedig ezeket Héródes király: (Mert az ő neve igen híressé lett vala) és monda: Ama János a ki keresztel vala, az támadott fel a halálból, és azért lésznek az erők ő általa..
Mark.6.15 | Némellyek ezt mondják vala: Illyés ez: némellyek pedig ezt mondják vala: Próféta ez, vagy egy a Próféták közzűl.
Mark.6.16 | Mikor azért ezeket hallotta volna Héródes, monda: Ez ama János, kinek én fejét vétetém, ő támadott fel a halálból:
Mark.6.17 | Mert Héródes elküldvén szolgáit, megfogta vala Jánost, és őtet megkötöztetve a tömlöczbe vetette, Héródiásért, az ő attyafiának Filepnek feleségéért: mert azt vette vala magának feleségül.
Mark.6.18 | Mert ezt mondja vala János Héródesnek: Nem szabad néked elvenned a te atyádfiának feleségét.
Mark.6.19 | Héródiás pedig ólálkodik vala ő utánna, és igyekezik őtet megölni: de nem lehet vala:
