Jonah.1.1 | És szóla az Úr Jónásnak az Amittai fijának s monda:
Jonah.2.3 | És monda: Kiálték az én keserüségemben az Úrhoz, és meghallgata engemet; a koporsónak torkából kiálték, és meghallgatád az én szómat.
Jonah.2.4 | Mert vetettél vala engemet a mélységbe, a tengernek örvényébe, a viz körülvett vala engemet: minden te hánykódó vizeid és a te habjaid én rajtam általmennek vala.
Jonah.2.5 | Annyira hogy én azt mondanám: Elvettettem a te szemeid elől: mindazáltal meg nem szünök nézni a te szent templomodra.
Jonah.2.6 | Körülvettek vala engemet a vizek veszedelmesen, a mélység körülvett vala engemet minden felől, fű tekeredett vala az én fejemre.
Jonah.2.7 | A hegyeknek alsó részeibe szállottam vala, a föld bézároltatott vala az ő hzárjaival én körültem mind örökké; mindazáltal megszabaditád az én életemet a rothadástól, óh én Uram Istenem!
Jonah.2.8 | Mikor az én lelkem elfogyatkozott volna én benne, megemlékezém az Úrról: és béméne imádságom te hozzád a te szent templomodba.
Jonah.2.9 | A kik hijábavaló hazugságok után indulnak, az ő boldogságoktól elrekesztik magokat.
Jonah.2.10 | Én pedig háláadó szóval áldozom néked, és a mit fogadtam, megadom néked: Az Úré a szabaditás!
Jonah.2.11 | És parancsola az Úr a halnak, és kiveté Jónást a szárazra.

Jonah.3.1 | Szóla az Úr másodszor Jónásnak, és monda:
Jonah.3.2 | Kelj fel, menj el Ninivébe ama nagy városba, és prédikáljad abban a mit én néked parancsolok.
Jonah.3.3 | És felkelvén Jónás: elméne Ninivébe az Úr parancsolatja szerint, (Ninivé pedig felette igen nagy város vala, mellynek kerülete három napi járó föld vala.)
Jonah.3.4 | És mikor kezdett vona menni Jónás a városban egy napi járó földön, és kiáltott volna, mondván: Még negyven nap vagyon, azután Ninivé elsüllyed!
Jonah.3.5 | Hivének a Ninivébeliek az Istennek, és böjtöt hirdetvén, kicsinytől fogva nagyig gyászruhába öltözének.
Jonah.3.6 | Mert minekutánna e beszéd a Ninivébeli Királynak fülébe esett volna; felkelvén az ő kiszályiszékiből, letevé az ő királyi ruháját, és gyászruhába öltözvén üle a porban.
Jonah.3.7 | És parancsola, hogy megkiáltanák Ninivében a Királynak és az ő Főrendeinek akaratjokból, ezt mondván: Se az emberek, se a barmok, ökrök és juhok semmi meg ne kóstoljanak, ne legeltessenek, és vizet ne igyanak;
Jonah.3.8 | Hanem öltözzenek gyászruhába az emberek a barmokkal egybe; és kiáltsanak az Istenhez erősen: és térjen meg kiki az ő gonosz útáról, és az ő hamisságoktól, melly az ő kezekben vagyon.
Jonah.3.9 | Ki tudja talán megtér, és elváltoztatja Isten a gonoszt, hogy elfordulván haragjának búsulásától, el ne vesszünk.
Jonah.3.10 | Azokáért mikor látta volna az Isten az ő cselekedeteiket, hogy tudniillik megtértek volna az ő gonosz utjokról: elváltoztatá Isten a gonoszt, mellyel őket megfenyegette vala; és nem veszté el őket.

Jonah.4.1 | Semmiképen nem tetszék pedig Jónásnak, és megharaguvék.
Jonah.4.2 | Könyörge azért az Úrnak, és monda: Kérlek Uram, avagy nem ez vala é az én mondásom, még mikor volnék az én földemben? azért futottam vala Társisba: mert tudom vala, hogy te kegyelmes és irgalmas Isten vagy, nagy türhető, és nagy irgalmasságu; és a gonosznak elváltoztatója vagy.
Jonah.4.3 | Most azért, Uram, vedd el, kérlek, az én lelkemet én tőlem: mert jobb nékem meghalnom, hogynem élnem!
Jonah.4.4 | És monda az Úr: Avagy méltán gerjedt é fel a te haragod!
Jonah.4.5 | Mert kimenvén Jónás a városból, ül vala a város ellenébe napkelet felől; holott csinált vala magának hajlékot, hogy az alatt ülne árnyékban mind addig, mig meglátná, mint lenne a városnak dolga.
Jonah.4.6 | Mert készitett vala az Úr Isten egy tököt, hogy felmenne az a Jónás hajlékára, hogy árnyékot tartana a Jónás fejének, és megoltalmazná a hévségnek bántásától, és örüle Jónás a töknek felette igen.
Jonah.4.7 | Azután szerze az Isten egy férget másodnapon reggel hajnalban, melly a töknek tövét megrágá, és megasza.
Jonah.4.8 | És lőn napkeletkor, hogy az Isten napkeleti száraztó szelet támasztana, és a napnak hévsége megsütné Jónásnak fejét, annyira, hogy elbádjadna, és kivánna magának halált, ezt mondván: Jobb nékem holtom, hogynem éltem!
Jonah.4.9 | És monda az Isten Jónásnak: Valyon méltán haragszol é azért a tökért? és monda: Méltán cselekszem, hogy haragszom mind halálig!
Jonah.4.10 | És monda az Úr! Te szánod a tököt, mellyért nem munkálkodtál, és a mellyet nem neveltél, melly egy éjjel felnevekedett, és más éjjel elhervadott.
Jonah.4.11 | És én ne szánnám Ninivét a nagy várost, mellyben több vagyon tizenkétszer tizezer embernél, kik nem tudnak különbséget tenni jobb- és balkezek között, mellyben barom is sok vagyon?
