Nah.1.1 | Ninivé város ellen való terhes Prófétzia: az Elkós városbeli Náhum látásnak könyve.
Nah.2.8 | Jóllehet Ninivé olyan volt, mind a bő vizü halastó régtől fogva; mindazáltal elfutnak és akár mint mondják nékik: Álljatok meg, álljatok meg: de senki ő közzűlök hátra nem tekint.
Nah.2.9 | Ragadozzátok el az ő ezüstit, ragadozzátok el az ő aranyát, és az ő véghetetlen gazdagságit: az ő dicsősége vagyon drága hézi eszközökben.
Nah.2.10 | Megüresült, megüresült Ninivé és megmezitelenült: megolvadott szive, egybe verettetnek térdei, reszket egész dereka, mindeneknek orczáik megfeketedtek.
Nah.2.11 | Hol vagyon az oroszlánoknak hajlékok, és az oroszlánkölykök éléseknek helye? a hová megyen vala az oroszlán, az öreg oroszlán, és az oroszlánkölyök, és nem vala ki megrettentené.
Nah.2.12 | Az oroszlán ragadoz vala a mennyi elég volna az ő kölykeinek, és az ő nőstény oroszláninak vadakat fojt vala, és megtölti vala barlangjait ragadománnnyal, és az ő rejtekhelyeit prédával.
Nah.2.13 | Ímé én te ellened megyek, ezt ondja a Seregeknek Ura, hogy megégetvén füstbe bocsássam a te szekereidet, és a te oroszlánkölykeidet a szablya eméssze meg; és végét vete e földön a te prédálásodnak, és nem hallattatik többé a te követidnek szavok.

Nah.3.1 | Jaj a vérszopó városnak melly rakva hazugsággal és ragadománynyal, mellyből szakadatlan a préda.
Nah.3.2 | Ostornak csattogása, és kerekek forgásoknak zörgések, nyeritő lovaknak és forgó szekereknek zörgések hallatik abban.
Nah.3.3 | A lovag felemeli az ő tündöklő szablyáját, és villogó dárdáját: megölettetteknek sokaságok, és a megholt testeknek sok számok lészen, és nem lészen végek a holt testeknek, annyira hogy azoknak holt testekbe megbotlanak.
Nah.3.4 | A tekintetes és kedves paráznának paráznaságinak sokaságokért, ki a hitetésre mester volt, és a pogányokat eladta az ő paráznaságival, és sok nemzetségeket az ő étetésivel.
Nah.3.5 | Ímé én lészek ellenséged, ezt mondja a Seregeknek Ura, és orczádra forditom fel a te ruháidnak alját, és megmutatom a pogányoknak a te mezitelenségedet, és sok országoknak a te rutságodat.
Nah.3.6 | És minden rutságot reád hányok, és gyalázattal illetlek tégedet, és olyanná tészlek tégedet, mint a ganéj.
Nah.3.7 | És minden valaki látánd tégedet, távol áll tőled, és ezt mondja: elpusztult Ninivé! Kicsoda bánkódik rajta; hol keressek néked vigasztalókat?
Nah.3.8 | Avagy jobb vagy é te a sok népű Nóé városnál, melly a folyóviz között fekszik vala? mellynek körülette vizek, mellynek árokja a tenger, és a tenger az ő kőfala?
Nah.3.9 | Szerecsenország annak erőssége és Égyiptom, és számtalan sok népek: Afriak és Libia voltak néked segitségül.
Nah.3.10 | De még az is számkivetésre és fogságra jutott, még az ő apró gyemekeik is abban a falhoz verettettek minden útczáknak elein: és az ő Fejedelmire sorsot vetettek és minden ő nagy Urai vasba verettek.
Nah.3.11 | Te is azért megrészegedel, és semmivé lészesz; te is a te ellenségedtől is segitséget kérsz.
Nah.3.12 | Minden te erősségeid ollyak lésznek mint a megért figék, mellyeket ha megmozditnak, az embernek szájába esnek.
Nah.3.13 | Ímé a te néped te benned ollyan lészen, mint az asszonynépek: a te földednek kapui megnyittatnak a te ellenségidnek, a tűz emészti meeg a te zárjaidat.
Nah.3.14 | Szerezz magadnak a szálláshoz való vizet, újitsd meg a te erősségedet, nyomjad a sárt, keverd a meszet, erősitsd meg e mészkemenczét:
Nah.3.15 | De ugyan ott megemészt tégedet a tűz, elfogyott tégedet a szablya, megemészt tégedet az ellenség mint a cserebogár; szaporodjál bátor mint a cserebogár, szaporodjál mint a sáska.
Nah.3.16 | Megsokasitottad a te kalmáridat, mint az égnek csillagait; de mint a prédáló cserebogár elrepül, ugy azok is.
Nah.3.17 | A te Fejedelmid mint a sáska, és a te Hadnagyid mint a sáskáknak sokaságok, mellyek a hideg időben a gyepűkben laknak; de mihelyt a meleg nap feltámad, elmennek, és helyeket meg sem esmérik, a hol voltak azok.
Nah.3.18 | A te Tanácsosid, Assiriának Királya, szunnyadni fognak, a te erős vitézid elrestülnek, a te néped eloszol a hegyeken, és nem lészen senki a ki öszvegyüjtené őket.
Nah.3.19 | A te romlásod sebe bé nem gyógyul, rakva fájdalommal a te nyavalyád; mindenek, kik hiredet hallják, tapsolnak rajtad: mert ki oltalmazhatta volna meg magát a te gonoszságodtól szüntelen.
