Eccl.1.1 | Salamon Prédikatornak a Dávid fijának, Jérusálembeli Királynak beszédei:
Eccl.5.4 | Mikor Istennek fogadást tész, ne halogassad annak megadását; mert nem gyönyörködik a bolondokban. A mit azért fogadsz megteljesítsed!
Eccl.5.5 | Jobb hogy ne fogadj, hogy nem mint fogadj, és ne teljesítsd bé.
Eccl.5.6 | Ne engedjed e szádnak, hogy bűnre kötelezzen tégedet; és ne mondjad amaz Angyal előtt, hogy tévelygésedből lett: hogy az Isten a te beszéded miatt fel nem háborodjék és el ne veszesse a te kezeidnek munkájokat;
Eccl.5.7 | Mert mint a sok álomban hijábavalóságok vagynak: azonképen a sok beszédben; hanem az Istent féljed.
Eccl.5.8 | Ha a szegényeknek nyomoríttatását, és a törvénynek s az igazságnak elfordítatását látándod a tartományban: ne csudálkozzál ez akaraton: mert a Magasságos, ki a magasságosnál feljebb való, látja azt; sőt a Magasságos mind ezeknek felette vagyon.
Eccl.5.9 | A földnek termése mindeneknek hasznos: a Királynak is használ a jól mívelt mezőnek gyümölcse.
Eccl.5.10 | A ki szereti a pénzt, nem telik bé az pénzzel, és a ki szereti a sokságot, nem elegeszik meg jövedelemmel. Ez is hijábavalóság.
Eccl.5.11 | Mikor megszaporodik ez illyen jó; megszaporodnak annak megemésztői is; mi hasza vagyon azért annak urának abban, hanem hogy csak reá néz szemeivel?
Eccl.5.12 | Édes az álom a szolgának, akár sokat, akár keveset egyék; a gazdagnak pedig gazdagsága nem hágy néki aludni.
Eccl.5.13 | Vagyon gonosz nyavalya, mellyet láttam a nap alatt: tudniillik az ő urának veszedelmére tartatott gazdagság.
Eccl.5.14 | Vagy mikor a gazdagság elvesz, gonosz dologban való foglalatosság miatt; annyira, hogy az ő fijának, a kit nemzett, semmi ne legen kezénél.
Eccl.5.15 | A mint kijött az ő annyának méhéből, mezítelen megyen ismét el, a mint jött vala: és semmit nem veszen el az ő marhájában, mellyet kezében elvinne.
Eccl.5.16 | Annakokáért ez is gonosz nyavalya, hogy a mint jött, a képen megyen el. Mi haszna vagyon néki abban, hogy a szélnek munkálkodott?
Eccl.5.17 | És hogy az ő teljes életében a seetétben evett, sokszori haraggal, keserűséggel, és nagy búsulással?
Eccl.5.18 | Ez azért a jó, mellyet én láttam, hogy szép dolog enni és inni, és élni az ő munkájából, mellyel fárasztotta magát a nap alatt, az ő élete napjainak számok szerint, mellyeket adott néki az Isten; mert csak ez az ő része.
Eccl.5.19 | És hogy a melly embernek adott Isten gazdagságot és jószágot, és a kinek megengedte, hogy egyék abból és az ő részét elvegye, és örvendezzen az ő munkájának; ez az Istennek ajándéka!
Eccl.5.20 | Hogyha nem sokat adott az Isten, mindazáltal emlékezzék meg az ő élete napjaiban arról, hogy az ő szivének örömét az Isten kedveli.

Eccl.6.1 | Vagyon egy gonosz, mellyet láttam a nap alatt, és az emberek között gyakorta vagyon:
Eccl.6.2 | Mikor valakinek az Isten ád gazdagságot, jószágot, tisztességet, és ki semmi nélkűl nem szűkölködik, valamiben gyönyörködhetnék az ő elméje, és az Isten nem engedi annak, hogy éljen azzal, hanem más él azzal: e nagy hijábavalóság és gonosz nyavalya!
Eccl.6.3 | Bátor szüljön valaki száz gyermekeket, és sok esztendeig éljen, jóllehet az ő esztendeinek napjai sokak: mindazáltal ha az ő lelke azzal a jóval meg nem elégeszik, és nem lészen temetése néki: azt mondom, hogy jobb annál az idétlen gyermek:
Eccl.6.4 | Mert hijábavalóságban jött, setétségben jár, és setétséggel fedeztetik bé annak neve.
Eccl.6.5 | Ímé ez a napot is nem látta, és nem kisértette; türhetőbb ennek állapotja, hogynem amannak.
Eccl.6.6 | Hogyha kétezer esztendőt élne is, és a jóval nem él: avagy nem ugyanazon egy helyre mennek é mind ezek?
Eccl.6.7 | Ha az embernek minden munkája jó szerencsés lészen is: mindazáltal az ő kivánsága bé nem telik.
Eccl.6.8 | Mert mivel külömböz a bölcs a bolondtól? és a gazdag a szegénytől, míg az élők között járnak?
Eccl.6.9 | Jobb, mondhatnád, a mit ember szemmel lát, hogynem mint az ő kivánságának követése: ez is hijábavalóság és a léleknek keserűsége!
Eccl.6.10 | Valamint vagyon, immár rajta vagyon az emberen az emberi nevezet, és bizonyos dolgog, hogy ő ember, és hogy nem vetekedhetik azzal, a ki hatalmasb ő nálánál.
Eccl.6.11 | Ha a jószág sok, a hijábavalóság is sok; és mi haszna vagyon az embernek abban?
Eccl.6.12 | Mert kicsoda tudhatja mi legyen embernek jó e világon, az ő hijábavaló élete napjainak számok szerint, mellyekben mintegy árnyékon által megyen? kicsoda az, a ki megmondhatná az embernek a nap alatt, a mi következik ő reá ezután?

Eccl.7.1 | Jobb embernek a jó hír a drága kenetnél; de a halálnak napja jobb az ő születésének napjánál.
Eccl.7.2 | Jobb a siralmas házhoz menni, hogynem a lakodalomnak házához; mivelhogy minden embernek vége vagyon, és az élő ember megemlékezik arról.
Eccl.7.3 | Jobb a szomorúság a nevetésnél; mert az orczának szomorúsága által jobbá lészen az embernek lelke.
Eccl.7.4 | A bölcs embernek elméjek a síralmas házban vayon, a bolondoknak pedig elméjek a vígasságnak házában.
Eccl.7.5 | Sokkal jobb a bölcs embernek dorgálását hallani, hogynem valaki hallja a bolondoknak énekléseket;
Eccl.7.6 | Mert ollyan a bolondnak nevetése, mint a tövisnek ropogása a fazék alatt: Ez is hijábavalóság!
Eccl.7.7 | A nyomorúság mivelhogy megháborítja a bölcs embert is, és annak szívének erejét elveszti az ajándék.
Eccl.7.8 | Jobb akármi dolognak vége annak kezdetinél: jobb a tűrő, hogynem a kevély.
Eccl.7.9 | Ne légy hirtelen a haragra: mert a harag a bolondok kebelekben nyugoszik.
Eccl.7.10 | Ne mondjad ezt: Micsoda az oka, hogy a régi napok jobbak voltak ezeknél? mert nem bölcseségből származik ez illyen kérdés.
Eccl.7.11 | Jó a bölcseség az örökséggel és előmentelekre vagyon az embereknek, kik a napot látják;
Eccl.7.12 | Mert a bölcseségnek árnyéka alatt, és a gazdagságnak árnyéka alatt nyugoszik az ember! de a bölcseségnek tudománya becsületesb, melly életet ád az ő urainak.
Eccl.7.13 | Tekintsd meg az Istennek cselekedetit; mert kicsoda állíthatja helyére azt a mit ő elront?
Eccl.7.14 | A jó szerencsének idején élj a jóval: a gonosz szerencsének pedig idejére vigyázz; mert ezt az Isten amannak ellenébe helyheztette, annyira, hogy az ember semmit abban eszébe nem vehet, a mi reá következik.
Eccl.7.15 | Mind ezeket láttam az én hijábavalóságomnak napjain, hogy vagyon olly igaz, ki az ő igazságában elvesz; és vagyon gonosz ember, ki az ő életének napjait meghosszabbítja az ő gonoszságában.
Eccl.7.16 | Ne légy felettébb igaz, és felettébb ne bölcselkedjél; miért keresnél magadnak veszedelmet.
Eccl.7.17 | Ne légy felettébb gonosz, és ne légy balgatag; miért halnál meg időd előtt?
Eccl.7.18 | Jobb hogy ezt megfogjad, sőt inkább a te kezedet ettől meg ne vonjad: hogy a ki az Istent tiszteli, mind ezektől megszabadúl.
Eccl.7.19 | E bölcseség megerősíti a bölcset inkább, hogynem mint tiz Hatalmasok, kik azon egy városban vagynak:
Eccl.7.20 | Jóllehet nincsen egy igaz ember is e földön, ki jót cselekednék és nem vétkeznék.
Eccl.7.21 | Ne figyelmezzél minden beszédre, mellyet mondanak, még a te szolgád beszédére is ne figyelmezzél, ha néked gonoszt mond;
Eccl.7.22 | Mert gyakorta a te lelked vádol tégedet, hogy te is gonoszt mondottál egyebeknek.
Eccl.7.23 | Mind ezeket megpróbáltam az én bölcseségem által: Mikor azt gondolnám, hogy bölcs vagyok; én tőlem a bölcseség akkor távol vala.
Eccl.7.24 | Mert a mi felette igen messze vagyon, és felette mélységes, kicsoda tudhatja meg azt?
Eccl.7.25 | Fordítám én magamat, és az én szívemet a bölcseségnek tudására, megkísértésére és keresésére, az okoskodásnak is megtanulására; azonképen hogy megtudnám a boldogságnak gonoszságát, és minden tévelygésnek balgatagságát:
Eccl.7.26 | És találtam én egy dolgot; melly keservesb a halálnál; tudniillik az ollyan asszonyt, kinek az ő szíve ollyan, mint a tőr és a vereségek, az ő kezei pedig olyanok, mint a kötelek: A ki Isten előtt kedves, megszabadúl attól; a bűnös pedig megfogattatik attól.
Eccl.7.27 | Láthatsza, azt megtaláltam, (azt mondja a Prédikátor); mikor gyakorta nagy szorgalmatossággal keresném az okoskodást.
Eccl.7.28 | De mennél inkább keresi az én lelkem, annál inkább nem találom meg: Ezer közzűl egy embernek megtalálom: de az asszonynak gonoszságát, melly mind azokkal megjegyeztetett, meg nem tudhatom.
Eccl.7.29 | Lássad ezt, a mit találtam, hogy tudniillik az Isten teremtette az embert igazságban; ők pedig kerestek hijábavaló gondolatokat!

Eccl.8.1 | Kicsoda hasonlatos a bölcshöz, vagy ahoz, a ki valami dolognak magyarázatját tudja? Az embernek bölcsesége megvilágosítja az ő orczáját; annyira, hogy annak bárázatjának erőssége megkettőztetik.
Eccl.8.2 | Én mondom, hogy a Királynak parancsolatját meg kell őrizni: de az Isten esküvésének módja szerint.
Eccl.8.3 | Ne menj el haraggal az ő orzcája elől, ne maradj meg a gonosz dologban; mert valamit akar, megcselekeszi.
Eccl.8.4 | Valami dolgot parancsol a Király, azt meg is cselekeszi; és kicsoda merné néki ezt mondani: Mit mívelsz?
Eccl.8.5 | A ki megtartja a parancsolatot, nem kisért meg nyomorúságot, mert a bölcsnek elméje tudja mind az időt, mind pedig minden dolognak módját;
Eccl.8.6 | Mert minden akaratnak megcselekedésének vagyon ideje és módja; de az embernek nyavalyája sok.
Eccl.8.7 | Mert nem tudja azt, a mi következik: mert ki mondja megnéki, mikor lészen valami?
Eccl.8.8 | Egy ember sem uralkodhatik a maga lelkén, hogy megtartsa az ő lelkét; és semmi hatalmasság nem fog a halálnak napján, és az ütközetben semmi a nyíl, és a tusakodás nem szabadítja meg azt, a ki azzal él.
Eccl.8.9 | Minde e dologban láttam, mikor gondolkodnám minden dologról, melly a nap alatt esik, hogy vagyon olly idő; mellyben uralkodik az ember az emberen maga kárával;
Eccl.8.10 | Mert láttam, hogy a kegyetlenek eltemettettek, minekutánna megholtak; és minekutánna a szent helyből kimentek, elfelejtettek abban a városban, a mellyben úgy cselekedtek. Ez is hijábavalóság!
Eccl.8.11 | Mivelhogy hamar szententzia nem mondatik ellenek, melly az ő gonoszságoknak büntetésére vona; azért viszi az ő szívek őket e bátorságra, hogy gonoszt cselekedjenek.
Eccl.8.12 | Ha meghosszabbítaná is Isten életét a bűnösnek, a ki százszor is vétkezik: mindazáltal tudom én, hogy az istenfélőknek lészen jól dolgok, a kik az ő orczáját félik.
Eccl.8.13 | És a hitetlennek nem lészen jó dolga, és nem hosszabbítja meg az ő életét, olyan lészen mint az árnyék, mert nem rettegi az Istennek orczáját.
Eccl.8.14 | Vagyon e földön illyen hijábavalóság; mert vagynak oly igazak, kiknek dolgok lészen a gonoszoknak cselekedetek szerint, és vagynak gonoszok, kiknek dolgok lészen az igazaknak cselekedetek szerint: azért mondám: hogy ez is hijábavalóság.
Eccl.8.15 | Annakokáért dicsérem vala én a vígasságot, és hogy nincsen embernek jobb e világon, hanem hogy egyék, igyék és vigadjon; mivelhogy az ő életének napjaiban, mellyeket ád néki Isten e világon, az ő fáradságának haszna csak e volna.

Eccl.9.1 | Annakokáért adám az én szívemet a bölcseségnek megtudására, és hogy meglánék minden dolgot, melly e földön lészen, ha sem éjjel, sem nappal az én szemem álmat nem lát is;
Eccl.9.2 | És eszembe vevém az Istennek minden dolgai felől, hogy az ember nem mehet végére világon való dolognak, mellyért munkálkodik az ember, hogy annak végére menjen, és nem mehet végére: sőt inkább ha azt mondja is a bölcs ember, hogy azon vagyon, hogy végére menjen, mindazáltal nem mehet végére.
Eccl.9.3 | Mindazáltal látom vala elmémben, hogy mind ez (jóllehet mind ez bizonyságot tészen arról, hogy mind az igazak, és bölcsek és azoknak minden cselekedeteik Isten kezében vagynak, és hogy sem szerelmes, sem gyűlölséges jószágokkal nem élhetnek az emberek, és hogy azok közzűl eggyel sem szabadok.)
Eccl.9.4 | Látom vala mondom, hogy ez, mind ezeken esik szintén úgy, mint egyebeken és hogy azon szerencséje vagyon az igaznak és gonosznak, jónak vagy tisztának és tisztátalannak: mind annak, a ki áldozik, mind a ki nem áldozik, úgy a jónak mint a bűnösnek, az esküvőnek úgy mint a ki becsüli az esküvést;
Eccl.9.5 | És hogy mind az ég alatt vaó dolgokban e gonosz vagyon, hogy mindeneknek egyenlő szerencséjek vagyon; és hogy az embereknek fijai, kiknek szívek teljes gonoszsággal, és kiknek elméjekben minden bolondság vagyon a míg élnek, hasonlatosképen a több halottak közzé mennek;
Eccl.9.6 | Mert akármellyiket válasszad, csak e világon vagyon reménysége; sőt inkább az élő ebnek is jobban vagyon dolga, hogynem a megholt oroszlánnak.
Eccl.9.7 | Mert az élők tudják, hogy meghalnak; de a halottak semmit nem tudnak, és azoknak semmi jutalmok nincsen többé; mivelhogy azoknak emlékezetek elfelejtetett.
Eccl.9.8 | Mind szerelmes jószágok azoknak, mind gyűlölséges, mind kivánatos, immár elveszett; és többé semmi részek nindsen semmi dologban, melly e világon lészen.
Eccl.9.9 | No azért egyed vigassággal a te kenyeredet, és igyad vídámsággal a te borodat; a míg kedvesek Istennek a te cselekedetid!
Eccl.9.10 | A te ruháid mindenkor legyenek fejérek, és az olaj a te fejedről el ne fogyatkozzék.
Eccl.9.11 | Élj a te feleségeddel, mellyet szeretsz, a te hijábavaló életednek minden napjaiban, a melly feleséget Isten adott néked e világon a te hijábavalóságodnak inden napjaiban; ez a te részed a te életedben és a te munkádban, mellyel e világon munkálódol!
Eccl.9.12 | Valamit akarsz cselekedni a te kivánságod szerint, azt cselekedjed: mert semmi cselekedet, okoskodás, tudomány és bölcseség nincsen a koporsóban, a hová menendő vagy.
Eccl.9.13 | Fordítván magamat, látám, hogy e világon nem a könnyű embereké a futás, és nem az erőseké a viadatl, nem a bölcseké a kenyér, nem az okosoké a gazdagság, és nem a szépeké a kedvesség; hanem idő szerint és történetből lésznek mind ezek.
