Joel.1.1 | Az Úrnak szava ez, melly lett Jóel által, a Petuel fija által.
Joel.2.2 | A setétségnek és a homálynak napja, a ködnek és sürü homálynak napja; mint a hajnal ollyan hirtelen kiterül a hegyekre: nagy és rettenetes nép, kihez világ kezdetitől fogva hasonló nem volt s többé sem lészen nemzetségről nemzetségre.
Joel.2.3 | Megemésztő tűz lészen ő előtte, és ő utánna égető láng; Júdának földe ollyan ő előtte, mint a paradicsom kerte, de ő utánna pusztulásnak pusztája lészen, s ugyan nem menekedhetik ő meg.
Joel.2.4 | Annak tekintete, mint a lovaknak tekintetek, és futosnak mint a lovagok.
Joel.2.5 | A hegyek tetején olly zörgéssel ugrándoznak, mint a szekerek zörgése, és mint a pozdorja emésztő lángnak csattogása; mint az ütközetre készült erős nép!
Joel.2.6 | A népek elrémülnek tőle, minden orczák elfeketednek tőlök való féltekben.
Joel.2.7 | Ollyanok mint az óriások, széllyel futosnak mint az ütközetre való férjfiak, a kőfalra felhágnak, és kiki szabadon jár az ő útán, nem tartoznak meg útjokban.
Joel.2.8 | Senki a társát útában nem szorongatja, kiki szabadon jár az ő útában, a fegyver közzé mennek, méeg sem esik seb rajtok.
Joel.2.9 | A város szabadon általjárják, a keritésen futosnak, házakat meghágnak, ablakokon bémennek mint a lopó.
Joel.2.10 | Reszket a föld ő előtte, és kseregnek az egek; a nap és a hold elfeketednek, és a csillagok megvonszák fényeket.
Joel.2.11 | És az Úr szól az ő serege előtt: mert felette igen nagy az ő tábora; mert erős a ki megcselekszi az ő beszédét; Mert nagy az Úrnak napja, és igen rettenetes, s ki állhatja meg azt?
Joel.2.12 | És még szinte most is, ezt mondja az Úr: Térjetek meg én hozzám teljes szivetek szerint, böjtöléssel is, sírással is, kesergéssel is.
Joel.2.13 | És szaggassátok sziveteket, nem ruháitokat, és térjetek a ti Uratokhoz Istentekhez: mert ő kegyelemes és irgalmas, késedelmes a haragra, és ngy kegyelmességü, s megtartozik a büntetéstől.
Joel.2.14 | Ki tudja talán hozzátok tér és megbánja szándékát, és ki tudja, talán áldását hagyja utánna rajtatok, meghagyja a kenyérrel és borral való áldozatot a ti Uratoknak Istenteknek.
Joel.2.15 | Kürtöljetek Sionban, szenteljetek böjtöt, hirdessetek gyülést.
Joel.2.16 | Gyüjtsétek öszve a népet, hirdessetek gyülést, vegyétek mellétek a véneket, vegyétek közzétek az aprócskákat és a csecsszopókat: menjen ki a vőlegény az ő belső házából, és a menyasszony az ő ágyasházából.
Joel.2.17 | A templomnak tornácza között, és az oltár között sirjanak a Papok az Úrnak szolgái, s mondják ezt: Légy kegyelmes Uram a te népedhez, és ne bocsássad szidalomra a te örökségedet, hogy a pogányok ő rajtok uralkodjanak; hogy ne mondják a népek: Hol vagyon az ő Istenek?
Joel.2.18 | És nagy buzgó szeretettel hozzá fogadja az Úr az ő földét, és megkegyelmez az ő népének.
Joel.2.19 | És választ tészen néki az Úr, s ezt mondja az ő népének: Imé én adok néktek búzát, mustot és olajt, és megelégedtek vele, és nem adlak többé titeket a pogányoknak szidalmokra.
Joel.2.20 | És az északi népet messze üzmöm tőletek, puszta és száraz földre szélesztem őtet, a néapkeleti tengerre forditom arczal, és az utolját az utolsó tengrre, felmegyen az ő doha, felmegyen az ő büzi: mert elhitte magát, hogy minden tehető legyen.
Joel.2.21 | Ne félj föld népe, hanem örülj és vigadj: mert az Úr nagy készülettel készült a te segitségedre.
Joel.2.22 | Ne féljetek mezei vadak: mert a fa gyümölcsét megtermi, a fige és a szőlő kihozza az ő gazdagságát.
Joel.2.23 | Ti is Sionnak fijai örvendezzetek és vigadjatok a ti uratokban Istentekben: mert záporesőt szállit le néktek, idején és későn való esőt az első hónapban.
Joel.2.24 | És megrakodnak csüreitek búzával, csikorognak a sajtók borral s olajjal.
Joel.2.25 | És kipótolom az esztendőket, mellyekben a sáska, a cserebogár, és a hernyó az életet megették, az én nagy seregem, mellyet reátok küldöttem vala.
Joel.2.26 | És szüntelen esztek, és megelégesztek, és dicséritek a ti Uratoknak Istentekneknevét: mert csudaképen cselekedett veletek, és nem marad az én népem szégyenben örökké.
Joel.2.27 | És megtudjátok, hogy az Izráel között vagyok én, és én vagyok a ti Uratok Istentek, és nincsen több én nálamnál; és nem pironkodik örökké az én népem.
Joel.2.28 | És eztuán lészen ez, hogy kiöntöm az én Lelkemet minden emberre, és prófétálnak a ti fijaitok és leányitok; a ti véneitek álmokat látnak és a ti ifjaitok látásokat látnak.
Joel.2.29 | Sőt még az én szolgáimra és szolgálóleányimra is kiöntöm az én Lelkemet azokon a napokon.
Joel.2.30 | És csudákat tészek az egekben és e földön; vért, tüzet és ködoszlopokat.
Joel.2.31 | A nap setétséggé válik, és a hold vérré, minekelőtte eljőr az Úrnak nagy és rettenetes napja.
Joel.2.32 | És akkor valaki az Úrnak nevét segitségre hivja, megszabadul: mert a Sion hegyén és Jérusálemben lészen a szabadulás, mind megigérte az Úr, azaz a maradékokban, a kiket az Úr hivánd.

Joel.3.1 | Mert ímé azokon a napokon és abban az időben, mellyben a Júda és Jérusálem fogságát meghozom:
Joel.3.2 | Akkor egybegyüjtök minden pogányokat, és szólitok a Jósafátnak völgyére és ott perlek ő velek az én népemért, és az én örökségemért az Izráelért: mert a pogányok között azt elszéllesztették, s megosztoztak az én földemmel.
Joel.3.3 | És nyilat vontak az én népemre, és a gyermekeket áruba vetették a parázna asszonyokért, és a leányokat boron eladták, hogy ihassanak.
Joel.3.4 | Sőt mi közöm volt nékem te veled, Tírus és Sidon, és Zsidóságnak minden határos szomszédai? valyon érdemlettem é ezt, a mivel fizettek nékem? és ha ezzel fizettek nékem, nagy hirtelen a ti fejetekre forditom, a mint érdemlettétek.
Joel.3.5 | Mert az én ezüstömet és aranyomat elvittétek, és az én drága marháimat a ti templomaitokba vittétek.
Joel.3.6 | És Júdának s Jérusálemnek fijait a Görögöknek pénzen eladtátok, hogy messze vetnétek őket az ő hátoroktól:
Joel.3.7 | De ímé felköltöm őket a helyből, a hován pénzen eladtátok, s megfizetek néktek a ti érdemetek szerint.
Joel.3.8 | És adom a ti fijaitokat és a ti leányitokat a Júda fijainak kezekbe, és ők elaják azokat pénzena Sabeusoknak, messze való népnek: mert az Úr végezte.
Joel.3.9 | Hirdessétek meg ezt a népek között, hirdessetek hadat, támaszszátok fel a hatalmasokat; eljőnek, felkelnek mindnyájan a hadakozó férjfiak.
Joel.3.10 | Rontsátok el a ti szántóvasaitokat, csináljatok fegyvereket azokból, és kaszáitokból csináljatok dárdákat; a beteges mondja ezt: Erős vagyok én!
Joel.3.11 | Gyüljetek öszve, és jöjjetek el minden népek, gyüljetek fel minden felől, ott vágja le az Úr a te erős ellenségidet.
Joel.3.12 | Serkenjetek fel és jöjjenek fel a népek a Jósafát völgyébe: mert ott ülök, hogy megitéljek minden népeket, kik vagynak.
Joel.3.13 | Vessetek szárlót a gabonába; mert megér a gabona; jertek el, szálljatok le: mert rakva a sajtó, teli vagynak a nyomó szerszámok, mert megsokasult az ő gonoszságok.
Joel.3.14 | A népek, a népek a cséplésnek völgyében jőnek: mert közel vagyon az Úr napja a cséplésnek völgyében.
Joel.3.15 | A nap és a hold meghomályosodnak, és a csillagok megvonszák fényeket.
Joel.3.16 | És az Úr Sionból nagy szóval szól, és Jérusálemből szózatot tészen, s megrémülnek az egek és a föld; és az Ur lészen az ő népének reménysége, és az Izráel fijainak erősségek.
Joel.3.17 | És megtudjátok, hogy én vagyok a ti Uratok Istentek, ki lakom Sionon az én szentségemnek hegyén: és lészen Jérusálem szentséggé, és idegenek többé által nem járják őtet.
Joel.3.18 | És hogy az napon, a hegyek musttal csepegnek, és a halmok téjjel folynak, s Júdának minden folyásai vizekkel bővölködnek, és kútfő származik az Úr házából, melly megöntözi a Sittimnek völgyét.
Joel.3.19 | De Égyiptom pusztává lészen, és Edomnak földe kietlen pusztaságra jut, a Júda fijain tett gyötrelméért: mert ártatlan vért ontottak az ő földökben.
Joel.3.20 | És a Júda örökké megmarad, és Jérusálem nemzetségről nemzetségre.
Joel.3.21 | És kitisztítom vérekből, mellyből ki nem tisztítottam vala: mert én vagyok a Sionban lakó Úr!
