1Chr.1.1 | Adám Seth, Énós.
1Chr.2.2 | Dán, József, Benjámin, Nafthali, Gád és Áser.
1Chr.2.3 | Júdának fijai: Ér, Onán és Séla; e három fiak szüleetének néki Suának leányától, melly Kanaánbeli vala. Vala pedig ez Ér, Júdának elsőszülötte, igen gonosz az Úrnak szemei előtt, mellyért őtet megölé.
1Chr.2.4 | Támár pedig az ő menye szülé néki Pérest és Zérát: A Júdának fijai mindnyájan öten valának.
1Chr.2.5 | Péres fijai, Hesron és Hámul.
1Chr.2.6 | Zérah fijai pedig: Zimri és Etán, és Hémán, és Kálkól és Dára; mindenestől öten.
1Chr.2.7 | Kármi fijai: Akám Izráelnek megháborítója, ki az átok alatt megtiltott marhának lopásában vétkezék.
1Chr.2.8 | Etán fija: Azária.
1Chr.2.9 | Hesron fijai, kik születtenek néki: Jérákhméel, Rám és Kélubai.
1Chr.2.10 | Rám nemzé Amminádábot, Amminádáb pedig nemzé Naassont, a Júda fijainak Fejedelmét.
1Chr.2.11 | Naasson nemzé Sálmát, Sálma pedig Bozát;
1Chr.2.12 | Boáz nemzé Obedet; Obed nemzé Isait;
1Chr.2.13 | Isai pedig nemzé Eliábot az ő elsőszülöttét, és Abinádábot másodikat, Simeát harmadikat.
1Chr.2.14 | Natenéelt negyediket, és Raddait ötödiket,
1Chr.2.15 | Osémot hatodikat, és Dávidot hetedik fiját;
1Chr.2.16 | És ezeknek nénnyeiket Séruját és Abigáilt. Serujának pedig fijai voltak: Abisai, Joáb és &amp; Asáel, e három.
1Chr.2.17 | Abigáil nemzé Amasát: Amasának pedig vala attya az Ismáel nemzetségéből való Jéter.
1Chr.2.18 | Káleb pedig a Hesron fija nemzett vala az ő Azuba nevű feleségétől és a Jéríóttól, és ezek az ő fijai: Jéser, és Sobáb és Ardon.
1Chr.2.19 | Azuba meghala, és Káleb vevé magának feleségűl Efratát, és e szülé néki Húrt.
1Chr.2.20 | Húr nemzé Urit, Uri pedig Basaléelt.
1Chr.2.21 | Azután béméne Hesron Mákirnak Gileád attyának leányához; mert ő ezt elvette vala hatvan esztendős korában, és szülé néki Ségubot.
1Chr.2.22 | Ségud pedig nemzé Jáirt, kinek voltak huszonhárom városai a Gileád földén.
1Chr.2.23 | Megvevé pedig a Gessureusoktól és Siriabeliektől Jáirnak városait, Kénát várost is, és annak faluti, mindenestől hatvan várost. Mind ezek a Mákir fijáé, ki vala Gileádnak attya.
1Chr.2.24 | Minekutánna pedig meghala Hesron Káleb-Efratában, akkor a Hesron felesége Abija szülé néki Ashúrt, a Tékoa attyát.
1Chr.2.25 | Voltak pedig Jérakhméelnek a Hesron előszülöttének fija; elsőszülött Rám, és Búna, és Orem, és Osem, és Akhija.
1Chr.2.26 | Volt más felesége is Járakhméelnek, Atára nevű; ez az Onám annya.
1Chr.2.27 | Voltak pedig rámnak Jérakhméel elsőszülöttének fijai: Maás, Jámin és Héker.
1Chr.2.28 | Voltak az Onám fijai: Sammai, Jáda, és Sammai fijai: Nádáb és Abisúr.
1Chr.2.29 | Abisúr feleségének neve Abihail, ki szülé néki Akhbánt és Mólidót.
1Chr.2.30 | Nádáb fijai: Séled és Appaim: de meghala Séled magtalanúl.
1Chr.2.31 | Appaim fija: Isi; Isi fijai: Sésán; Sésán leánya: Ahálai.
1Chr.2.32 | Jáda fijai, ki vala Sammai attyafia: Jéter és Jónathán, és Jéter meghala magtalanúl.
1Chr.2.33 | Jónathán fijai: Pélet és Záza. Ezek voltak a Jérakhméel fijai.
1Chr.2.34 | Nem voltak pedig Sésánnak fijai, hanem leányai; ennekfelette Sésánnak vala egy Égyiptombeli szolgája, Járha nevű.
1Chr.2.35 | És adá Sésán az ő leányát feleségűl e Járha nevű shzolgájának, ki szülé néki Athait;
1Chr.2.36 | Athai pedig nemzé Nátánt; Nátán nemzé Zabádot;
1Chr.2.37 | Zadáb nemzé Efált; Efál nemzé Obedet;
1Chr.2.38 | Obed nemzé Jéhut; Jéhu nemzé Azáriát.
1Chr.2.39 | Azária nemzé Hélest; Héles nemzé Elását;
1Chr.2.40 | Elása nemzé Sisémait; Sisémai nemzé Sallumot;
1Chr.2.41 | Sallum nemzé Jékámiát; Jékámia pedig nemzé Elisámát.
1Chr.2.42 | A Káleb fijai pedig, ki Jérakhméel attyafia vala, elsőszülötte Mésa; e volt a Zifnek és Maresa fijainak attyok, Hebronnak is attya.
1Chr.2.43 | Hebron fijai: Kórah: Tappuah, Rékem és Séma.
1Chr.2.44 | Séma pedig nemzé Rahámot a Jorkeám attyát; és Rékem nemzé Samait.
1Chr.2.45 | A Samai fija pedig Máon; ez a Máon volt a Bethsúr attya.
1Chr.2.46 | Hésa pedig, a Káleb ágyastársa szülé Háránt és Mósát, és Gázezt; és Hárán nemzé Gázezt.
1Chr.2.47 | Jaddai fijai pedig: Régem, Jotám, Gésán, Pélet, Héfa és Saáf.
1Chr.2.48 | A Káleb ágyasa Maaka, szülé Sébert és Tirhánát.
1Chr.2.49 | Saáfnak, a Madména attyának felesége pedig szülé Sévát, a Makbéna attyát, és a Gibea attyát: A Káleb leánya pedig vala Aksa.
1Chr.2.50 | Ezek voltak a Káleb fijai, ki Húrnak, az Efrata elsőszülöttének fija volt: Sobál, Kirját-jeárim attya.
1Chr.2.51 | Sálma, Betlehem attya; Háref, Bethgáder attya.
1Chr.2.52 | Voltak pedig Sobálnak is a Kirját-jeárim attyának fijai: Haroé, ki Menuhót földének felét bírja vala.
1Chr.2.53 | Ezek a Kirját-jeárim háznépei: Jitreusok, Puteusok, Sumateusok, Misraiteusok: ezektől származának a Sorateusok és az Estaoliteusok.
1Chr.2.54 | Sálme fijai, Bethlehem és Nétófáti, Joáb házának koronái, és Sóreus, ki Menuhótnak felét bírja vala.
1Chr.2.55 | És Jaábesben lakozó tudós embereknek cselédei; a Tirateusok, Simateusok, Sukateusok; ezek a Kineus jövevények, kik származtak Hámáttól, a Rékáb házának attyától.

1Chr.3.1 | Ezek voltak pedig a Dávid fijai, kik születének néki Hebronban; elsőszülötte vala Amnon, Jezréelből való Ahinoámtól; második vala Dániel, Kármelből való Abigáiltól.
1Chr.3.2 | Harmadik Absolon, ki Maakának a Gessurbeli Talmai Király leányának fija vala; negyedik Adónia, Haggittól vaó.
1Chr.3.3 | Ötödik Sefátia, Abitáltól való; hatodik Jitreám, Egla feleségétől.
1Chr.3.4 | E hat fiak születének néki Hebronban, a hol uralkodék két esztendeig s hat hónapig; Jérusálemben pedig harminczhárom esztendeig uralkodék.
1Chr.3.5 | Ezek születének pedig néki Jérusálemben: Simea, Sobab, Nátán és Salamon, négyen Bathsuától, Amielnek leányától.
1Chr.3.6 | És Jikhár, Elisáma, és Elifélet.
1Chr.3.7 | Nógah, Néfeg és Jáfia.
1Chr.3.8 | Ismét Elisáma, Eliáda és Elifélet, kilenczen.
1Chr.3.9 | Mind ezek a Dávid fijai, az ő ágyastársainak fijain kivűl: és Támár ezeknek hugok vala.
1Chr.3.10 | Salamonnak pedig fija volt Roboám; ennek fija Abija, ennek fija Asa, ennek fija Jósafát.
1Chr.3.11 | Ennek fia Jórám, ennek fija Akháziás, ennek fija Joás.
1Chr.3.12 | Ennek fija Amáziás, ennek fija Azáriás: ennek fija Jotám.
1Chr.3.13 | Ennek fija Akház, ennek fija Ezékiás, ennek fija Manasse
1Chr.3.14 | Ennek fija Amon, ennek fija Jósiás.
1Chr.3.15 | Jósiásnak pedig fijai: elsőszülötte Johanán, második Jójákim, harmadik Sédékiás, Sallum negyedik.
1Chr.3.16 | Jójákim fija: Jékóniás, ennek fija Sédékiás.
1Chr.3.17 | Jékóniásnak fija: Assir, ennek fija Saálthiel.
1Chr.3.18 | Ennek pedig fijai: Málkirám, Pedája, Sénasár, Jékámia, Hosáma, és Nédábia.
1Chr.3.19 | Pedája fijai! Zerubábel és Símei. Zerubábel fijai: Messullám, Hanánia: és az ő hugok vala Selómit.
1Chr.3.20 | És Hásuba, Ohel, Berekia, Hasádia, és Juseb-Hésed, ezek öten.
1Chr.3.21 | Hanánia fijai: Pelátia és Jésai; ennek fija Refája; ennek fija Arnám, ennek fija Obádia, ennek fija Sekánia.
1Chr.3.22 | És Sekánia fija: Semája. Semája fijai: Hattus, Jigeál, Báriah, Neárja és Sáfát, ezek hatan.
1Chr.3.23 | Neárja fijai: Elohénai, Ezékiás, és Azrikám, ezek hárman.
1Chr.3.24 | Eljohénai fijai: Hódajéva, Eliásib, Pelája, Akkub, Johanán, Delája és Anáni: ezek heten.

1Chr.4.1 | Júda fijai ezek: Péres. Hesron, Kármi, Húr és Sobál.
1Chr.4.2 | Reája pedig a Sobál fija nemzé Jahátot; Jahát nemzé Ahumáit és Lahádot; ezek a Soráteusok nemzetségei.
1Chr.4.3 | Etám attyának cselédei ezek: Jezréel, Jisma, Jédbás: és az ő hugoknak neve Sélelponi.
1Chr.4.4 | Pénuel pedig Gédor attya, és Ezer, Húsa attya. Ezek Efrata elsőszülöttének tudniillik Húrnak fijai, ki vala a Bethlehemiták attyok.
1Chr.4.5 | Ashúrnak pedig a Tékoa attyánask volt két felesége, Heléa és Naára.
1Chr.4.6 | És Naára szülé néki ezeket: Ahuzámot, Héfert, Teménit, és Ahastárit: ezek a Naára fijai.
1Chr.4.7 | Heléa fijai; Séret, Jésohár, és Etnán, és Kócz.
1Chr.4.8 | Kócz pedig nemzé Hánubot, Hásobébát, és Ahárhel nemzetségeit, ki Hárumnak fija vala.
1Chr.4.9 | Volt pedig Jábes az ő attyafiainál becsületesebb; és azért nevezé őtet az ő annya Jábesnek mondván: Mivelhogy nagy fájdalommal szülém őtet, azért így kell nevezni.
1Chr.4.10 | És Jábes az Izráelnek Istenét hívá segítségűl, mondván: Ha engemet igen megáldándasz, és az én határomat megszélesíténded, és a te kezed én velem lejénd, és engem minden veszedelmtől megoltalmazándasz, hogy bút ne lássak! És megadá Isten néki, a mit kért vala.
1Chr.4.11 | Kélub pedig, a Súkha attyafia, nemzé Méhírt: ez az Eston attya.
1Chr.4.12 | Eston nemzé Rafának és Páseákhnak, és Tehinnának a Náhás város attyának háznépét: Ezek a Rékától való férjfiak.
1Chr.4.13 | Kénáz fijai: Otniel és Serája, Otniel fijai Hatát és Meonótai.
1Chr.4.14 | Meonótai nemzé Ofrát: Serája pedig Joábot, ki a mesteremberek völgyében lakozóknak attyok vala; mert azok mesteremberek valának.
1Chr.4.15 | Káleb fijai, ki Jefunné fija vala: Iru, Ela és Naám. Ela fija: Kénáz.
1Chr.4.16 | Jéhalélel fijai: Zif, Zifa, Tirja és Asárel.
1Chr.4.17 | Ezra fijai: Jéter, Méred, Efer és Jálon; és szülé a Méred felesége Mirjámot, Sammait, és Isbát, Estemóa attyát.
1Chr.4.18 | Ennek felesége pedig Jehudéja szülé Jéredet, a Gédor attyát, és Hébert a Sókó attyát, Jékuthielt is a Zánoah attyát: s ezek Bithiának a Faraó leányának fijai, kit Méred elvett vala.
1Chr.4.19 | Hódia nevű feleségének pedig fijai: ki vala a Naám nénnye, ki ismét Kéhila attya vala, ezek: Hagármi és Maakátbeli Estemóa.
1Chr.4.20 | Simon fijai: Amon, Rinna, Benhanán és Thilon. Jishi fijai: Zohét és Benzohét.
1Chr.4.21 | Júda fijának Sélának fijai: Er, Léka attya és Laáda, Marésa attya, az Asbéa házában a bibor szövők háznépének is attyok vala.
1Chr.4.22 | És Jókim, és Kozebának lakosai, és Jóás és Saráf, kik uralkodtak Moábnak földében, és Jásubi, Léhem. De ezek immár régi dolgok.
1Chr.4.23 | Ezek fazekasok voltak és lakoztak a plánták között és a kertek meleltt: és ott maradtak a Királlyal az ő dolgában.
1Chr.4.24 | Simeon fijai: Némuel Jámin, Járib, Zérah, Saul.
1Chr.4.25 | Sallum ennek fija, Mibsám ennek fija: Misma ennek fija.
1Chr.4.26 | Misma fijai: Hamjúel ennek fija, Zakkur ennek fija, és Simi ennek fija.
1Chr.4.27 | Siminek voltak tizenhat fijai s hat leányai: az ő attyafiainak pedig nem voltak sok fijai; minden nemzetségek is nem volt annyi, mint a Júda fijai.
1Chr.4.28 | Lakoznak vala pedig Beersebában és Móladában és Hasársuálban.
1Chr.4.29 | Bilhában, Esemben és toládban.
1Chr.4.30 | Bétuelben, Hormában és Siklágban.
1Chr.4.31 | Beth-markabótban, Hásársusimban, Beth-biriben és Sabáraimban: ezek valának az ő városaik mind addig míg Dávid Királlyá lőn.
1Chr.4.32 | Faluik pedig ezek: Etám, Ain, Rimmon, tóken és Assán, öt városok.
1Chr.4.33 | És minden faluk, mellyek valának a városok körűl szintén Bálig: e volt az ő lakóhelyek, nemzeségek is ő nékik:
1Chr.4.34 | Mesobáb, Jámlek és Jósa, Amásia fija.
1Chr.4.35 | És Jóel és Jéhu a Jósibia fija, ki Serája fija, ki Asiel fija vala.
1Chr.4.36 | És Eljoénai, Jaákoba, Jésohája, Asája, Adiel, Jesiméel és Benája.
1Chr.4.37 | Ziza a Sifi fija, ki Alon fija, ki Jedája fija, ki Simre fija, ki Semája fija.
1Chr.4.38 | ezek voltak kik nevezetes Főemberek valának az ő nemzetségekben, s kik igen megsokasodtak vala az ő attyoknak házokban.
1Chr.4.39 | Elindulának azért Gédorba, hogy bémennének annak a völgynek szinte napkelet felől való részéig, hogy keresnének az ő barmaiknak legeltető helyet.
1Chr.4.40 | Találának is zsiros és jó legeltető helyet, (az a föld pedig vala tágas, nyugodalmas és békeséges) mert Hámnak nemzetségei laktak vala az előtt ott.
1Chr.4.41 | Elmenvén pedig e megírattatott személyek, Ezékiásnak a Júda Királyának idejében, azoknak sátoraikat megverék, és a lakóheleket, mellyek ott találtatának, és levágák őket minde napig, és helyettek ott lakának; mert az ő barmaiknak ott jó legeltető mezejek vala.
1Chr.4.42 | Ennekfelette a Simeon fijai közzűl némellyek elmenének a Seir hegyére, úgymint ötszázan: Kiknek előjáróik valának a Jesi fijai, Pelátja, Nehárja, Refája és Uzriel.
1Chr.4.43 | És valakik az Amálek nemzetében megmaradtak vala, mind levágák azokat, és ott letelepedének mind e mai napig.

1Chr.5.1 | Rúbennek pedig az Izráel elsőszülöttének fijai: (mert ő volt elsőszülött: mikor pedig megfertéztette volna az ő attyának ágyasházát, adaték az ő elsőszületésének méltósága a József fijainak, ki Izráel fija vala, mindazáltal nem azért, hogy őnéki tulajdoníttatnék egészen az elsőszületés.
1Chr.5.2 | Mert Júda vala méltóságosb az ő attyafiai között, és ő belőle volt a Fejedelem, jóllehet az elsőszületésnek haszna Józsefé lőn.)
1Chr.5.3 | Ezek mondom Rubennek, Izráel elsőszülöttének fijai: Hánók, Pallu, Hesron és Kármi.
1Chr.5.4 | Jóel fijai: Semája ennek fija, Góg ennek fija, Simei ennek fija.
1Chr.5.5 | Mika ennek fija, Reája ennek fija, Baál ennek fija.
1Chr.5.6 | Beára ennek fija, kit fogva elvitt volt Tiglát-Pilnéser, az Assiriabeli Király; e vala Fejedelmek a Rúbenitáknak.
1Chr.5.7 | Az ő attyafiai pedig az ő házoknépe szerint, mikor nemzetségenként számláltatnának, akkor vala Fejedelem köztök Jéhiel és Zakariás.
1Chr.5.8 | Bla is, Azáz fija, ki Séma fija, ki Jóel fija vala, ki lakik vala Aróerben Nébóig és Baál-Meónig.
1Chr.5.9 | Napkelet felől is lakik vala a pusztában való bémenetelig, az Eufrátes folyóvíztől fogva; mert az ő barmaik Gileád földén igen megszaporodtak vala.
1Chr.5.10 | Saul Királynak idejében pedig támasztának hadat a Hágárénusok ellen, és elhullának azok az ő kezek miatt, és lakának azoknak sátoraikban, Gileádnak napkelet felé való egész tartományában.
1Chr.5.11 | A Gád fijai pedig ő ellenekben laknak vala a Básán földén Salkáig.
1Chr.5.12 | Jóel vala előjárójok, Sáfán második az után; Jahánai pedig és Sáfát Básánban lakának.
1Chr.5.13 | Ezeknek pedig attyokfiai, az ő attyaiknak cselédjek szerint, valának, Mikáel, Mésullám, Séba, Jórai, Jaékán, Zia és Éber, heten.
1Chr.5.14 | Ezek az Abihail fijai, ki Húri fija, ki Jároáh fija, ki Gileád fija, ki Mikáel fija, ki Jésisai fija, ki Jahadó fija, ki Búz fija vala.
1Chr.5.15 | És mikor Ahi, a Gúni fijának, tudniillik, Abdielnek fija, Fejedelem volna az ő attyok háznépe között.
1Chr.5.16 | Mikor lakának Gileádban, Básánba, és ezekhez tartozó falukban: és Sáronhoz tartozó helyekben, ind az ő határokig.
1Chr.5.17 | Kik mind megszámláltatván, Jótámnak a Júda Királyának idejében: és Jéroboámnak az Izráel Királyának idejében.
1Chr.5.18 | A Rúben fijai közzűl és a Gáditák közzűl, és a Manasse félnemzetsége közzűl, erős paizs és fegyverhordozó férjfiak, kézívesek, és a hadakozásban tudósok, negyvennégy ezeren, hétszázan és hatvanon harczra kimehető férjfiak.
1Chr.5.19 | Hadakozának a Hágárénusok ellen, Jétúr, Náfis, és Nódáb ellen.
1Chr.5.20 | És győzedelmesek levének azokon, és kezekbe adatának a Hágárénusok, és mind azok, kik ezekkel valának: mert az Istenhez felkiáltottak vala a hadban, mellyért Isten is őket meghallgatá: mert ő benne bíztak vala.
1Chr.5.21 | És zsákmányt vetének az ő barmaikban, a tevék közzűl nyerének ötvenezeret, a juhok közzűl kétszáz s ötvenezeret, a szamarak közzűl kétezeret, és százezer embert.
1Chr.5.22 | A seb miatt pedig sokan elhullának: mert Istentől vala az a harcz; és azok helyett lakának mind addig, míg őket Isten fogsába viteté.
1Chr.5.23 | A Manasse nemzetsége felének fijai laktak a földön, melly hívatik Básánnak, Baál Hermonig és Senirig, azaz Hermon hegyig; mert igen megsokasultak vala.
1Chr.5.24 | És ezek voltak az ő attyok házanépének Fejedelmei: Efer, Jishi, Eliel, Azriel, Irméja, Kódávia és Jahdiel, igen erős férjfiak, nevezetesek, kik az ő attyok házanépe között fők voltak.
1Chr.5.25 | Vetkezének pedig az ő attyoknak Istene ellen: mert a föld lakóinak bálványisteneivel paráználkodának, kiket Isten szemek elől elvesztett vala.
1Chr.5.26 | Felindítá azért az Izráelnek Istene Pulnak az Assiriabeli Királynak szívét, és Tiglát-Pilnésernek az Assiriai Királynak szívét, és fogva elvivé őket, a Rúbenitákat, a Gáditákat, és a Manasse félnemzetségét is: és elvivé őket Heláhba és Háborba és Hárába, és a Gozán folyóvizéhez mind e mai napig.

1Chr.6.1 | Lévi fijai; Gerson, Kéhát és Mérári.
1Chr.6.2 | Kéhát fijai pedig: Amrám, Ishár, Hebron és Uzziel.
1Chr.6.3 | Amrám fijai: Áron, Mózes és Mária. Áron fijai: Nádáb, Abihu, Eleázár és Itamár.
1Chr.6.4 | Eleázár nemzé Fineást, Fineás nemzé Abisuát;
1Chr.6.5 | Abisua pedig nemzé Bukkit, Bukki nemzé Uzzit;
1Chr.6.6 | Uzzi nemzé Zeráhiát; Zeráhia nemzé Mérajótot;
1Chr.6.7 | Mérajót nemzé Amáriát; Amária nemzé Ahitúbot;
1Chr.6.8 | Ahitúb nemzé Sádókot; Sádók nemzé Ahimáhást;
1Chr.6.9 | Ahimáhás nemzé Azáriát, Azária nemzé Jóhanánt;
1Chr.6.10 | Jóhanán nemzé Azáriát, e vala Pap a házban, mellyet Salamon Jérusálemben épített vala.
1Chr.6.11 | Azária nemzé Amáriát; Amária nemzé Ahitúbot;
1Chr.6.12 | Ahitúb nemzé Sádókot, Sádok nemzé Sallumot;
1Chr.6.13 | Sallum nemzé Hilkiát; Hilkia nemzé Azáriát;
1Chr.6.14 | Azária nemzé Sáráját, Sérája nemzé Jéhozadákot;
1Chr.6.15 | Jéhozadák pedig fogsába méne, mikor az Úr Júdát és Jérusálemet fogságba viteté Nabukodonozor által.
1Chr.6.16 | Lévi fijai, mondom, Gerson, Kéhát és Mérári.
1Chr.6.17 | ezek a Gerson fijainak neveik: Libni és Simi.
1Chr.6.18 | Kéhát fijai: Amrám, Ishár, Hebron és Uzziel.
1Chr.6.19 | Mérári fijai: Mákhli és Musi. Ezek azért a Lévi háznépei az ő Eleik szerint.
1Chr.6.20 | Gersonnak fijai: Libni az ő fija, Jáhát ennek fija, Zima ennek fija.
1Chr.6.21 | Jóáh ennek fija, Iddó ennek fija, Iddó ennek fija, Zérah ennek fija, és Jéathérai ennek fija.
1Chr.6.22 | Kéhát fijai: Amminádáb az ő fija, Kórah ennek fija és Assir ennek fija:
1Chr.6.23 | Elkána ennek fija, Ebiásáf ennek fija, és Assir ennek fija.
1Chr.6.24 | Tákhát ennek fija, Uriel ennek fija, Uzzija ennek fija, és Saul ennek fija: és Elkána ennek fija.
1Chr.6.25 | Elkána fijai: Amása és Ahimót.
1Chr.6.26 | Amásainak fija Elkána: Elkána fija: Sófai az ő fija, és Náhát ennek fija.
1Chr.6.27 | Eliáb ennek fija, Jérohám ennek fija, Elkána ennek fija, Sámuel ennek fija.
1Chr.6.28 | Sámuel fijai pedig: elsőszülött Vásni, és Abija.
1Chr.6.29 | Mérári fijai: Mákhli az ő fija, Libni ennek fija: Simmi ennek fija, és Uzza ennek fija.
1Chr.6.30 | Siméa ennek fija, Haggija ennek fija és Asája ennek fija.
1Chr.6.31 | Ezek pedig a kiket Dávid válogata az Úr házában az énekléshez, minekutánna az Isten ládája megnyugovék.
1Chr.6.32 | Szolgáltak pedig énekléssel a gyülekezet sátorának hajléka előtt, míg Salamon építé az Úr házát Jérusálemben, és állottak az ő szolgálatjoban, kiki mind az ő rendi szerint.
1Chr.6.33 | Ezek pedig a kik szolgáltak és ezeknek fijai, a Kéhátiták fijai közzűl, Hémán főéneklő, Jóel fija, ki Sámuel fija.
1Chr.6.34 | Ki Elkána fija, ki Jérohám fija, ki Eliél fija, ki Thóa fija.
1Chr.6.35 | Ki Czúf fija, ki Elkána fija, ki Mahár fija, ki Amásai fija.
1Chr.6.36 | Ki Elkána fija, ki Jóel fija, ki Azárja fija, ki Séfánia fija.
1Chr.6.37 | Ki Takhát fija, ki Assia fija, ki Ebiásáf fija, ki Kóra fija.
1Chr.6.38 | Ki Ishár fija, ki Kéhát fija, ki Lévi fija, ki Izráel fija.
1Chr.6.39 | És ennek attyafia Asáf, ki jobbkeze felől áll vala: Asáf a Berekiás fija, ki Simea fija vala.
1Chr.6.40 | Ki Mikáel fija, ki Bahásia fija, ki Melkija fija.
1Chr.6.41 | Ki Ethni fija, ki Zérah fija, ki Adája fija.
1Chr.6.42 | Ki Etán fija, ki Zimma fija, ki Simei fija.
1Chr.6.43 | Ki Jábát fija, ki Gerson fija, ki Lévi fija.
