Hab.1.1 | Ez a terhes Prófétzia, mellyet látott Habakuk Próféta.
Hab.3.5 | Az ő orczája előtt döghalál jár vala és lábai előtt tüzes kelések járnak vala.
Hab.3.6 | Felálla az Isten, és elosztá a földet; reájok tekintett és elolvasztotta a Pogányokat; megfélemlettek a kikéi valának az örökkévaló hegyek, megaláztattak a kikéi valának az örökkévaló halmok; örökké valók az ő útai.
Hab.3.7 | Láttam a Khúsán sátorinak romlásokat, a Midián földének kárpitjai reszkedtek.
Hab.3.8 | Avagy a folyóvizek ellen gerjedett vala é fel a te haragod, Uram? avagy a tenger ellen é? mikor ülnél a te lovaidon, és a te szabaditó szekereiden.
Hab.3.9 | A vizek folyásinak helyek megjelentetett a kézived által, a Zsidó nemzetségnek tett esküvésid és beszéded által, Sélah! és a földnek folyóvizeit ketté választád.
Hab.3.10 | Látának tégedet és megrémülének a hegyek: a vizeknek soksága elméne: a tengernek mélysége szót ada néked, és az ő kezeit felemelé.
Hab.3.11 | A nap és a hold megállának az ő helyekben; a napnak vilgánál nyilaid leszállottak, és annak fényességénél a te villogó kopjád.
Hab.3.12 | Haragodban megtapodtad a földet, búsultodban megcsépléd a pogányokat.
Hab.3.13 | Kitámadál a te népednek szabaditására, a te népednek szabaditására mondom, a te Krisztusoddal; megrontád a főt a hitetleneknek házában, és megmutatád a fundamentomot mind a nyakáig, Sélah.
Hab.3.14 | Az ő sereginek fejeket általverted az ő fegyverével; mint a forgószél ugy támadtak vala az én veszedelmemre, és örvendeznek vala mint a kik titkon a szegénynek rontására feltámadnak.
Hab.3.15 | A te lovaiddal tapodtattad a tengert; a mélységes vizeknek rakásokat.
Hab.3.16 | Hallám, és megrettene az én szivem, a te szódra ajakim is reszkettek: az én csontaimra rothadás szálla, és magamban megháborodám: mindazáltal nyugoszom a nyomoruságnak napján, mikor az ellenség sereggel jő fel e nép ellen, hogy azt elrabolja.
Hab.3.17 | Mert a figefa nem virágzik, és semmi gyümölcs nem lészen a szőlőkben, megcsal az olajfának munkája, és a mezők élést nem teremnek, kivesz a juh az akolból, és nem lészen ökör az istállóban.
Hab.3.18 | Én pedig az Úrban örvendezek, és vigadok az én szabaditó Istenemben.
Hab.3.19 | Az Úr Iten az én erősségem, ki az én lábaimat ollyanokká tészi mint a nőstény szarvasokéi, és az én magas helyeimen jártat engemet. Akkor is háláadó dicséretet éneklek vigasságtevő szerszámokban.
