1Cor.1.1 | Pál, hivatala szerint Jézus Krisztusnak Apostola, Istennek akaratjából, és a Sosthénes atyafiú.
1Cor.4.18 | továbbá mintha én soha nem mennék ti hozzátok, úgy fuvalkodtak fel némellyek.
1Cor.4.19 | De elmegyek rövid napon ti hozzátok ha az Úr akarándja, és megértem, nem veszédeket azoknak, a kik felfuvalkodtak, hanem az ő beszédeknek erejét.
1Cor.4.20 | Mert nem beszédben áll az Istennek országa, hanem a Léleknek erejében.
1Cor.4.21 | Mit akartok? Vesszővel menjek é hozzátok, vagy szeretttel és lelki alázatossággal.

1Cor.5.1 | Bizonnyal hallattatik ti köztetek paráznaság, olly paráznaság pedig, melly még a Pogányok között is nem neveztetik, hogy valaki az ő attya feleségét elvegye.
1Cor.5.2 | Ti pedig felfuvalkodtatok és nem kesergettetek inkább: hogy ti közzűletek kivettetett volna, a ki e bűnt cselekedte.
1Cor.5.3 | Bizonyára én úgymind távol lévén, testben, de lélekben jelen lévén, immár mintha jelen vonék, megitéltem, hogy az, a ki azt a képen cselekedte.
1Cor.5.4 | Minekutánna ti és az én lelkem a mi Urunk Jézus Krisztusnak nevében egybegyültök, a mi Urunk Jézus Krisztusnak hatalmával.
1Cor.5.5 | Ez illyen ember adattassék a sátánnak az ő testének veszedelmére, hogy a lélek megtartassék az Úr Jézusnak ama napján.
1Cor.5.6 | Nem jó a ti dicsekedéstek: Avagy nem tudjátok-é, hogy egy kicsiny kovász megposhasztja az egész tésztát.
1Cor.5.7 | Tisztitsátok ki azért a régi kovászt, hogy legyetek új tészták, miképen hogy kovász nélkül valók vagytok: Mert a mi Husvétibárányunk a Krisztus érettünk megáldoztatott.
1Cor.5.8 | Azért Innepet szenteljünk nem régi kovászban, sem nem gonoszságnak és álnokságnak kovászában, hanem a tisztaságnak és igazságnak kovász nélkűl való kenyereiben.
1Cor.5.9 | Megirtam néktek levelemben, hogy a paráznákkal ne társalkodnátok.
1Cor.5.10 | De nem mindenestől fogva e világnak paráznáival, vagy fösvényivel vagy ragadozóival vagy bálványimádóival: mert ollyan módon ki kellene e világból mennetek.
1Cor.5.11 | Most pedig irtam néktek, hogy ne társalkodjatok azzal, ha valaki holott atyafiúnak neveztetik, parázna, vagy fösvény, vagy bálványimádó, vagy szidalmazó, vagy részeges, vagy ragadozó: ez illyenekkel mondom, hogy ingyen se egyetek
1Cor.5.12 | Mert micsoda közöm vagyon ahoz, hogy a kivűlvalókról is itéletet tegyek, avagy nem ahzokról tésztek e ti itéletet, a kikből vagynak az Isten házában.
1Cor.5.13 | A kivűlvalókról pedig az Isten itéletet tészen. Vessétek ki azért e gonosz embert közzűletek.

1Cor.6.1 | Vagyon-é valaki ti köztetek olly vakmerő, hogy ha törvénykezése vagyon mással, a hamisak előtt törvénykezik, és nem a szentek előtt?
1Cor.6.2 | Avagy nem tudjátok-é, hogy a szentek megitélik e világot? Hogyha a világ ti általatok megitéltetik, méltatlanok vagytok-é kisebb dologról való itéletekre?
1Cor.6.3 | Avagy nem tudjátok-é, hogy az Angyalokat is megitéljük, nem hogy e világi életünk szükségére való dolgot nem itélnénk meg.
1Cor.6.4 | Azért ha törvénykezéstek vagyon azok felől, mellyek e világi életnek szükségére valók, kik a Gyülekezetben legalábbvalók, azokat ültessétek a székbe.
1Cor.6.5 | Hogy magatoka megszégyeneljétek, ezt azért irom. Nincsen-é ti köztetek egy bölcs ember is, a ki itéletet tehetne az ő attyafiai között.
1Cor.6.6 | Hamem az atyafiú attyafiával törvénykezik, még pedig a hitetlenek előtt.
1Cor.6.7 | Azért minden kétség nélkűl nagy gyarlóság ez ti bennetek, hogy egymással törvénykeztek. Miért nem szenvedtek inkább bosszúságot? Miért nem türitek inkább a kárt?
1Cor.6.8 | De inkább ti tesztek bosszút és kárt, még pedig a ti atyátokfiainak.
1Cor.6.9 | Avagy nem tudjátok-é, hogy a hamisak az Isten országának örökségét nem birják? Ne tévelyegjetek: sem a paráználkodók, sem a bálványimádók, sem a házasságrontók, sem az éktelen puhák, sem a kik férjfiakkal tisztátalankodnak.
1Cor.6.10 | Sem a lopók, sem a fösvények, sem a részegesek, sem a szidalmazók, sem a ragadozók, az Isten országának örökségét nem birják.
1Cor.6.11 | Illyenek voltatok pedig némellyek, de megmosattattatok, megszenteltettetek, megigazittattatok az Úr Jézusnak nevében, és a mi Istenünknek Lelke által.
1Cor.6.12 | Mindenek szabadok nékem, de nem mindenek használnak: mindenek szabadok nékem, de én semmi állatnak hatalmába nem adatom.
1Cor.6.13 | Az eledelek a hasnak rendeltettek és a has az eledeleknek: az Isten pedig mind ezt, mind amazokat eltörli: a test pedig nem paráznaságnak rendeltetett, hanem az Úrnak, és az Úr a testnek.
1Cor.6.14 | Az Isten pedig az Urat is feltámasztotta, minket is feltámaszt az ő hatalmassága által.
1Cor.6.15 | Avagy nem tudjátok-é, hogy a ti testeitek a Krisztusnak tagjai? Elszakasszam-é azért a Krisztus tagjait, hogy a paráznának tagjaivá tegyem? Távol legyen.
1Cor.6.16 | Avagy nem tudjátok-é, hogy a ki a paráznához ragaszkodik, egy test a paráznával? Mert ketten lésznek, úgymond, egy testté.
1Cor.6.17 | A ki pedig ragaszkodik az Úrhoz, egy lélek ő vele.
1Cor.6.18 | Távoztasságok el a paráznaságot: Minden bűn, a mellyet az ember cselekeszik a testen kivűl vagyon: de a ki paráználkodik, a maga teste ellen vétkezik.
1Cor.6.19 | Avagy nem tudjátok-é, hogy a ti testetek a bennetek lakozó Szent Léleknek temploma, mellyet vettetek az Istentől, és hogy nem ti magatokéi vagytok.
1Cor.6.20 | Mert áron vétettetek: dicsőitsétek azért az Istent a ti testetekben és lelketekben, mellyek az Istenéi.

1Cor.7.1 | Továbbá azokról, a mellyek felől irtatok nékem, az én értelmem ez: Jó a férjfiúnak asszonyt nem illetni.
1Cor.7.2 | De a paráznaságnak eltávoztatásáért minden férjfiúnak tulajdon felesége legyen, és minden asszonynak tulajdon férje legyen.
1Cor.7.3 | A férj a minémü jó akarattal tartozik az ő feleségének, azt megadja annak, hasonlóképen a feleség is az ő férjének.
1Cor.7.4 | A feleség nem bir az ő saját testével, hanem a férje; hasonlatosképen a férj nem bir az ő saját testével, hanem az ő felesége.
1Cor.7.5 | Ne csaljátok meg egymást, hanem ha egenlő akaratból ideig, hogy foglalatosok lehessetek a böjtölésben, és az imádkozásban ismét egymáshoz térjetek, hogy a Sátán meg ne kisértsen titeket, mivelhogy magatokat meg nem tartóztathatjátok.
1Cor.7.6 | Ezt pedig mondom engedelembeől, nem parancsolat szerint.
1Cor.7.7 | Mert akarnám ha úgy volna minden ember mint én, de mindennek kiváltképen való ajándéka vagyon Istentől, némellynek igy, némellynek pedig amúgy.
1Cor.7.8 | Mondom pedig az özvegy férjfiaknak és az özvegy asszonyoknak, hogy jó nékik, ha úgy maradhatnak mint én.
1Cor.7.9 | Hogyha magokat meg nem tartóztathatják, házasságban éljenek: mert jobb házasságban élni, hogynem mint égni.
1Cor.7.10 | Azoknak pedig, a kik házasságban vagynak, hagyom nem én, hanem az Úr hagyja; hogy: Az asszony az ő férjét el ne hagyja.
1Cor.7.11 | Hogyha pedig elhagyja, maradjon házzaság nélkül, vagy az ő férjével békéljék meg: a férjfiú is az ő feleségét el ne bocsássa.
1Cor.7.12 | Egyebeknek pedig én mondom, nem az Úr: Ha valamelly attyafiúnak hitetlen felesége vagyon, melly ő vele együtt akar lakni, azt el ne bocsássa.
1Cor.7.13 | És a melly asszonynak hitetlen férje vagyon, és az vele akar lakni, el ne hagyja az asszonyt azt:
1Cor.7.14 | Mert a hitetlen férjfiú megszenteltetett az ő feleségében, és a hitetlen asszony megszenteltetett az ő férjében: mert ha külömben volna, a ti gyermekeitek tisztátlanok volnának, de azok szentek.
1Cor.7.15 | Ha pedig a hitetlen elmegyen, ám menjen el; nem vettetett rabság alá az atyafiú, vagy a keresztyén asszony, ez illyen dolgokban: de békességre hivott minket az Isten.
1Cor.7.16 | Mert mit tudsz benne te asszony, hogyha a te férjedet megnyerheted-é? vagy te férjfiú mit tudsz benne, hogyha a te feleségedet megnyerheted-é Istennek:
1Cor.7.17 | De a mint kinek-kinek osztogatja Isten az ő ajándékát, és a mint kit-kit hivott az Úr, úgy járjon: és minden Gyülekezetben e képen rendelem.
1Cor.7.18 | Körűlmetélkedésben hivatott-é valaki? ne kivánja a körűlmetélkedetlenséget: a körűlmetélkedetlenségben hivatott-é valaki? körűl ne metélkedjék.
1Cor.7.19 | A körűlmetélkedés semmi: a körűlmetélkedetlenség is semmi, hanem az Isten parancsolatinak megtartatások kivántatik.
1Cor.7.20 | Minden ember, a melly hivatalba hivattatott, abban maradjon.
1Cor.7.21 | Szolgai állapotban hivattattál-é? ne gondolj vele: de ha szabadossá lehetsz, inkább élj azzal.
1Cor.7.22 | Mert a ki az Úrban hivattatott szolgai állapotban lévén, az Úrnak szabadosa: hasonlatosképen a ki szabadosságban lévén hivattatott, a Krisztusnak szolgája.
1Cor.7.23 | Nagy áron vétettetek, ne legyetek embereknek szolgáik.
1Cor.7.24 | Minden ember, a mibe hivattatott, Atyámfiai, abban maradjon meg Isten előtt.
1Cor.7.25 | A szűzek felől pedig nincs az Úrtól parancsolatom; de a mit értek, veletek közlöm, úgymint ki az Úrnak irgalmasságából vettem ezt, hogy hiv szolgája legyek.
1Cor.7.26 | Úgy itélem azért hogy jó ez, a jelenvaló szükségnek okáért, tudniillik, hogy jó az embernek úgy szüzen maradni.
1Cor.7.27 | Feleséghez köttettél-é? ne keres elválást. Megszabadultál-é a te feleségedtől; ne keres feleséget.
1Cor.7.28 | Hogyha feleséget vészesz is, nem vétkezel: és ha a szűz leányzó férjhez ment, nem vétkezett; de ez illyeneknek háborúságok lészen a testben. Én pedig néktek kedveznék.
1Cor.7.29 | Ezt pedig azért mondom, Atyámfiai: mert a mi idő még hátra vagyon, igen rövid, annyira, hogy a kiknek feleségek vagyon is, úgy tartsák, mintha nem volna.
1Cor.7.30 | És a kik sirnak mintha nem sirnának, a kik vigadnak, mintha nem vigadnának; és a kik vésznek valamit, mintha nem birnák azt.
1Cor.7.31 | És a kik e világgal éllnek, mintha nem élnének: mert elmulik e világnak ábrázatja.
1Cor.7.32 | Akarnám hogy szorgalmatosság nélkűl volnátok. A ki házasság nélkűl vagyon, arra visel gondot, a mi az Úré, mimódon kedveskedhessék az Úrnak;
1Cor.7.33 | A ki pedig feleséget vett, e világiakra visel gondot, hogy kedveskedhessék feleségének.
1Cor.7.34 | Külömböznek ezek; a férjhez ment asszony és a szűz leányzó. A ki férjhez nem ment, szorgalmatos az Úr dolgaiban, hogy tiszta legyen mind testében, mind lelkében; a ki pedig férjhez ment, szorgalmatos e világiakban, mimódon kedveskedhessék az ő férjének.
1Cor.7.35 | Ezt pedig mondom a ti hasznotokra; nem hogy tőrt vessek néktek, hanem hogy ékesen és illendőképen ragaszkodhassatok az Úrhoz minden szorgalmatosság nélkűl.
1Cor.7.36 | Ha pedig valaki éktelen dolognak állitja, ha az ő leánya idejének virágát elmulatja, és ha úgy kell lenni; a mit akar azt cselekedje, nem vétkezik: menjen férjhez.
1Cor.7.37 | A ki pedig magában elvégezte, és a szükség nem kénszeriti, hanem az ő tulajdon akaratjával bir, és ezt elvégezte szivében, hogy megtartsa az ő leányát, jól cselekeszi.
1Cor.7.38 | Azért a ki eladja házasságra leányát, jól cselekeszik; a ki pedig nem adja házasságra, jobban cselekeszik.
1Cor.7.39 | Az asszony megköteleztetett törvénnyel, míg az ő férje él, ha az ő férje elaluszik, szabados hogy elmenjen a kihez akarja, csak az Úrban.
1Cor.7.40 | De boldogabb lészen hogyha úgy marad, az én értelmem szerint, hiszem pedig hogy én bennem is az Istennek Lelke vagyon.

1Cor.8.1 | A mi pedig azokra néz, a mellyek a bálványoknak áldoztatnak, tudjuk mindnyájan, hogy a felől értelmünk vagyon; de az értelem felfúvalkodtat, a szeretet pedig épit.
1Cor.8.2 | Ha valaki láttatik magának valamit tudni, az ollyan ember még semmit nem tud, úgy a mint kellene tudni.
1Cor.8.3 | Hanema ki az Istent szereti, ez illyen ember Istentől megajándékoztatott volt értelemmel.
1Cor.8.4 | Az ollyan állatoknak azért megételek felől, mellyek a bálványoknak áldoztatnak, tudjuk, hogy a bálvány semmi e világon, és hogy nincsen más Isten, hanem csak egy.
1Cor.8.5 | Mert noha vagynak ollyanok mind a földön, mind az égben, kik Isteneknek neveztetnek, (miképen hogy sok Istenek és sok urak vagynak):
1Cor.8.6 | Mindazáltal nékünk egy Istenünk vagon, amaz Atya, a kitől mindenek mi is abban vagyunk: és egy Urunk, a Jézus Krisztus, ki által mindenek vagynak, mi is ő általa.
1Cor.8.7 | De nem mindenekben vagyon ez a tudomány; mert némellyek mind e mai napig a bálványt valaminek állitván, mint bálványoknak áldoztattat, úgy eszik azt, és azoknak lelkiesméretek mivelhogy erőtlen, megfertéztetik.
1Cor.8.8 | Az eledel pedig minket Isten előtt kedvesekké nem tészen; mert ha eszünk is, nem lészünk gazdagabbak: ha nem eszünk is, nem lészünk szegényebbek.
1Cor.8.9 | De meglássátok, hogy valami módon a ti szabadságtok boránkozásokra ne legyen az erőtleneknek.
1Cor.8.10 | Mert ha valaki lát tégedet, ki értelemmel megékesittettél, hogy a bálványoknak templomokban leülsz, annak lelkiesmérete, a ki erőtelen, avagy nem bátorkodik-é arra, hogy megegye a bálványoknak áldoztatott állatokat?
1Cor.8.11 | És a te értelmeddel a te erőtelen atyádfia, a kiért a Krisztus megholt, elvesz é?
1Cor.8.12 | És e képen mikor vétkeztek az atyafiak ellen, és sebesititek az ő erőtelen lelkek esméretit, a Krisztus ellen vétkeztek.
1Cor.8.13 | Annakokáért ha az eledel megbotránkoztatja az én atyámfiát, soha húst nem eszem, hogy az én atyámfia meg ne botránkozzék.

1Cor.9.1 | Avagy nem Apostol vagyok-é? Nem vagyok-é szabados? Nem láttam-é a mi Urunk Jézus Krisztust? avagy nem én munkáim vagytok-é ti az Úrban?
1Cor.9.2 | Ha egyebeknek nem vagyok Apostolok; de bizony néktek a vagyok; mert az én Apostolságomnak pecséte az Úrban ti vagytok.
1Cor.9.3 | Az én feleletem ez azok ellen, kik engemet czirkálnak;
1Cor.9.4 | Avagy nincsen-é arra hatalmunk, hogy együnk, vagy igyunk.
1Cor.9.5 | Avagy nincsen-é hatalmunk arra, hogy a mi keresztyén feleségünket széllyel hordozzuk; mint a több Apostolok is, és az Úrnak attyafiai, és Kéfás.
1Cor.9.6 | Avagy csak nékem és Barnabásnak nincsen-é szabadságunk, hogy ne munkálódjunk?
1Cor.9.7 | Kicsoda vitézkedik vala a mga zsoldján? Kicsoda plántál szőlőt, hogy annak borában ne innék? vagy kicsoda legeltet nyájat, hogy a nyájnak tejéből ne élne?
1Cor.9.8 | Avagy csak emberi hasonlatosság szerint mondom-é ezeket? avagy nem ezeket mondja-é a törvény is.
1Cor.9.9 | Mert a Mózes törvényében meg vagyon irva: Ne kölsd fel a nyomtató ökörnek száját. Avagy az ökrökre vagyon é az Istennek gondja?
1Cor.9.10 | Avagy nem mindenestől fogva mi érettünk mondja-é ezt? Mert mi érettünk iratott ez meg, hogy: A ki szánt, reménység alatt kell annak szántani; és a ki csépel reménység alatt, az ő reménységében részesnek kell lenni.
