Matt.1.1 | JÉZUS KRISZTUSNAK, Dávid fijának és Ábrahám fijának nemzetségéről való Könyv.
Matt.5.16 | Úgy fényljék a ti világosságtok az emberek előtt, hogy lássák a ti jócselekedeteiteket, és dicsőitsék a ti mennyi Atyátokat.
Matt.5.17 | Ne gondoljátok hogy jöttem a törvénynek és Prófétáknak eltörlésekre. Nem jöttem hogy eltöröljem, hanem inkább hogy azt bétöltsem;
Matt.5.18 | Mert bizony mondon néktek, hogy mig az ég és a föld elmulik egy kis jóta, vagy egy pontocsak el nem mulik a törvényben, mignem abban mindenek bételjesittetnek.
Matt.5.19 | Valaki azért e legkissebb parancsolatok közzűl egyet megrontánd, és a képen tanitandja az embereket, a mennyeknek országában legkisebb lészen: Valaki pedig a törvényt cselekeszi, és úgy tanit, a mennyeknek országában nagy lészen.
Matt.5.20 | Mert mondom néktek, hogy ha a ti igazságtok feljebb nem bővölködéndik az Irástudók és a Farizeusok igazságoknál: semmiképen nem mehettek bé a mennyeknek országába.
Matt.5.21 | Hallottátok hogy megmondatott a Régieknek: Ne ölj; mert valaki ölénd, méltó az itéletre.
Matt.5.22 | Én pedig ezt mondom néktek, hogy valaki haragszik az ő attyafiára ok nélkűl, méltó itéletre; valaki pedig ezt mondja az ő attyafiának: Ráka, méltó a Gyülekezetre: valaki ismét ezt mondja: Bolond, méltó a gyehennának tüzére.
Matt.5.23 | Azért, ha a te ajándékodat az oltárhoz akarod vinni, és ott megemlékezel arról, hogy a te atyádfiának vagyon valami panasza ellened:
Matt.5.24 | Hagyd ott az oltár előtt a te ajándékodat és menj el, békélj meg először atyádfiával, és azután előjövén, ugy vigyed fel a te ajándékodat.
Matt.5.25 | Légy jóakarója a te ellenségednek hamar, mig vele az úton vagy, hogy a te ellenséged valami módon téged a Biró kezébe ne adjon, a Biró ne adjon a poroszló kezébe, és a tömlöczbe ne vettessél.
Matt.5.26 | Bizony mondom néked, hogy ki nem jösz onnét, mignem megfizetsz mind egyfillérig.
Matt.5.27 | Hallottátok hogy megmondatott a Régieknek; Ne paráználkodjál.
Matt.5.28 | Én pedig ezt mondom néktek: hogy valaki asszonyra tekint gonosz kivánságnak okáért, immár paráználkodott azzal, az ő szivében.
Matt.5.29 | Hogyha a te jobb szemed azt miveli, hogy megbotránkozzál, vájd ki azt, és vesd el tőled, mert jobb néked hogy egy a te tagaid közzűl elvesszen, hogy nem az egész tested gyehennára vettessék.
Matt.5.30 | És ha a te jobbkezed megbotránkoztat téged, vágd el azt, és vesd el tőled; jobb néked hogy a te tagaid közzűl egy elvesszen, hogy nem mint a te egész tested a gyehennára vettessek.
Matt.5.31 | Megmondatott régen ez is: Valaki elbocsátandja az ő feleségét, adjon néki elválásról való bizonyság levelet.
Matt.5.32 | Én pedig ezt mondom néktek, hogy A ki elbocsátándja feleségét, paráznaság okán kivűl, paráznává teszi azt, és a ki ok nélkül elbocsáttatott asszonyt vészen, paráználkodik.
Matt.5.33 | Ismét hallottátok, hogy megmondatott a Régieknek: A te esküvésedben ne hazudj; hanem a miről megesküdtél, az Úrnak azt megteljesitsed.
Matt.5.34 | Én pedig ezt mondom néktek, hogy semmiképen ne esküdjetek, se az égre: mert az Istennek királyiszéke.
Matt.5.35 | Se a földre: mert az ő lábainak zsámolya: se Jérusálemre: mert nagy Királynak városa.
Matt.5.36 | Se a te fejedre ne esküdjél: mert nem teremthetsz egy fejér vagy fekete hajszálat.
Matt.5.37 | Hanem a ti beszédetek legyen, úgy úgy, nem nem; ennek felette valami esik, a gonosztól vagyon.
Matt.5.38 | Hallottátok hogy megmondatott: Szemet szemért, és fogat fogért.
Matt.5.39 | Én pedig ezt mondom néktek, hogy a gonosznak ne álljatok ellene gonosszal; hanem a ki téged jobbfelől arczul üténd, forditsad a másik orczádat is.
Matt.5.40 | És a ki akar veled törvénykezni, és el akarja venni a te alsóruhádat, engedd néki felsőruhádat is.
Matt.5.41 | És ha ki téged egy mértföldre kénszerit menni, menj el vele kettőre.
Matt.5.42 | A ki tőled kér, adj néki: és a ki kölcsön kér tőléd, meg ne vessed.
Matt.5.43 | Hallottátok hogy megmondatott; Szeressed felebarátodat és gyülöljed ellenségedet.
Matt.5.44 | Én pedig ezt mondom néktek: Szressétek ellenségiteket, áldjátok azokat a kik titeket átkoznak, jól tegyetek azokkal, a kik titeket gyülölnek: és imádkozzatok azokért, a kik titeket háborgatnak, és kergetnek titeket.
Matt.5.45 | Hogy legyetek a ti mennyei Atyátoknak fijai, kik az ő napját feltámasztja mind a gonoszokra, mind a jókra, és esőt ád mind az igazaknak, mind a hamisaknak.
Matt.5.46 | Mert ha azokat szeretitek, a kik titeket szeretnek, micsoda jutalmát vészitek annak? nemde a fukarok is nem azont mivelik é?
Matt.5.47 | És ha csak a ti atyátokfiait köszöntitek szeretettel, mit cselekesztek egyebeknél többet? nemde a Publikánusok is, nem azonképen mivelnek é?
Matt.5.48 | Legyetek azért ti tökéletesek, mint a ti mennyei atyátok tökéletes.

Matt.6.1 | Esztetekbe vegyétek, hogy alamizsnátokat ne osztogassátok emberek előtt, hogy láttassatok azoktól; ha különben cselekesztek, a ti mennyei Atyátoknál jutalmatok nem lészen.
Matt.6.2 | Azért mikor alamizsnát osztogatsz, ne tégy annak czégért sipolással, mint a képmutatók cselekesznek a zsinagógákban és az utczákon, hogy az emberektől dicséretet nyerjenek. Bizony mondom néktek, hogy elvették jutalmokat.
Matt.6.3 | Mikor pedig te osztogatsz alamizsnát, ne tudjad a te balkezed, mit cselekeszik jobbkezed.
Matt.6.4 | Hogy a te alamizsnád titkon legyen: a te Atyád pedig, a ki te reád néz titkon, megfizeti néked nyilván.
Matt.6.5 | És mikor imádkozol, ne légy ollyan mint a képmutatók, kik örömest imádkoznak fennállva a Gyülekezetben és utczáknak szegeletin, hogy az emberektől láttassanak: Bizony mondom néktek, hgoy elvették jutalmokat.
Matt.6.6 | Te pedig mikor imádkozol, menj bé a te titkos házadba, és ajtód bézarolva imádjad a te Atyádat, a ki titkon vagyon; és a te Atyád, a ki reád néz titkon, megadja néked nyilván a mit kérsz.
Matt.6.7 | Mikor pedig imádkoztok, ne legyetek sok beszédüek mint a Pogányok, kik azt állitják, hogy az ő sok beszédjek által hallgattatnak meg.
Matt.6.8 | Ne legyetek azért azokhoz hasonlók: mert jól tudja a ti Atyátok mi nélkül szükölködtök, minekelőtte ti kérnétek ő tőle.
Matt.6.9 | Ti azért igy imádkozzatok: Mi Atyánk, ki vagy a mennyekben, szenteltessék meg a te neved.
Matt.6.10 | Jöjjön el a te országod: legyen meg a te akaratod, mint a mennyben, ugy itt e földön is.
Matt.6.11 | A mi mindennapi kenyerünket, add meg nékünk ma.
Matt.6.12 | És bocsásd meg a vi vétkeinkeet, miképen mi is megbocsátunk azoknak, a kik mi ellenünk vétkeztek.
Matt.6.13 | És ne vigy minket a kisértetbe; de szabadits meg minket a gonosztól. Mert tiéd az ország, és a hatalom, és a dicsőség mind örökké, Ámen.
Matt.6.14 | Mert ha megbocsátjátok az embereknek az ő vétkeiket; megbocsátja néktek is a ti mennyei Atyátok.
Matt.6.15 | Ha pedig meg nem bocsátjátok az embereknek az ő vétkeiket: a ti mennyei Atyátok is nem bocsátja meg a ti vétkeiteket.
Matt.6.16 | Mikor pedig böjtöltök, ne legyetek feketitett orczával mint a képmutatók, kik megfeketitik orczáikat; hogy láttassanak az emberektől böjtölni. Bizony mondom néktek, elvették jutalmokat.
Matt.6.17 | Te pedig mikor böjtölsz, kend meg a te fejedet és orczádat mosd meg.
Matt.6.18 | Hogy ne láttassál az emberektől böjtölni, hanema te Atyádtól, ki titkon vagyon, és a te Atyád, ki néz reád titkon, megfizet néked nyilván.
Matt.6.19 | Ne gyüjtsetek kincset e földön, hol a rozsda és a moly megemészti, és a hol a lopók kiássák; és ellopják azt.
Matt.6.20 | Hanem gyüjtsetek magatoknak kincset mennyországban, hol sem a rozsda, sem a moly meg nem emészti, és hol a lopók ki nem ássák, sem el nem lopják.
Matt.6.21 | Mert a hol vagyon a ti kincsetek, ott lészen a ti szivetek is.
Matt.6.22 | A testnek lámpása a szem. Azért ha a te szemed tiszta lejénd, mind a te egész tested világos lészen.
Matt.6.23 | Ha a te szemed homályos lejénd, az egész tested is homályos lészen: Ha azért a benned való világosság, homályosság: a homályosság mennyivel nagyobb lészen?
Matt.6.24 | Senki nem szolgálhat két Úrnak: mert vagy egyiket gyülöli, a másikat szereti; vagy az egyikhez ragaszkodik, a másikat megutálja: Nem szolgálhattok Istennek, és a világi gazdagságnak.
Matt.6.25 | Annakokáért mondom néktek: Ne legyetek szorgalmatosok a ti életetekről, mit egyetek vagy mit igyatok; sem a ti testetekről, mivel öltöztessetek: Nemde nem nagyobb é a lélek, hogynem az eledel, és a test, hogynem az öltözet?
Matt.6.26 | Tekintsetek az égi madarakra: mert azok nem vetnek, sem aratnak, sem a csűrbe nem takarnak, mindazáltal a ti mennyei Atyátok eltartja azokat: Nemde nem drágábbak vagytok é ti azoknál?
Matt.6.27 | Kicsoda pedig az ti közzűletek, a ki akármelly szorgalmatos gondolkodással megnevelhetné egy singgel nagyobbra az ő testének magasságát?
Matt.6.28 | Az öltözetről is pedig mit szorgalmatoskodtok? vegyétek eszetekbe a mezei liliomokat, mimódon nevekednek; nem munkálkodnak és nem fonnak:
Matt.6.29 | Mindazáltal, mondom néktek, hogy Salamon is minden királyi dicsőségében nem öltözött ugy, mint ezek közzűl egy.
Matt.6.30 | Ha az Isten a mezőnek füvét, melly ha egy nap vagyon, más nap a kemenczébe vettetik, igy ruházza: nemde nem sokkal inkább é titeket, óh kicsiny hitüek?
Matt.6.31 | Ne legyetek azért szorgalmatosok, ezt mondván: Mit együnk, mit igyunk, és mivel ruházzuk magunkat?
Matt.6.32 | (Mert a Pogányok szokták mind ezeket kérdeni) mert jól tudja a ti mennyei Atyátok, hogy mind ezek nélkűl szükölködtök ti.
Matt.6.33 | Hanem keressétek először az Istennek országát, és annak igazságát, és mind azok megadatnak néktek.
Matt.6.34 | Ne legyetek azért szorgalmatosok a holnapi napról: mert a holnapi nap gondot visel az ő dolgairól. Elég a napnak az ú mindennapi szorgalmatossága.

Matt.7.1 | Ne itéljetek, hogy ti is ne itéltessetek;
Matt.7.2 | Mert a minémü itélettel itéltek, ollyannal itéltettek: és a minémü mértékkel mértek, ollyannal mérnek néktek.
Matt.7.3 | Miért nézed pedig a szálkát, a melly vagyon a te atyádfiának szemében, a gerendát pedig, melly a te szemedben vagyon, nem vészed eszedbe?
Matt.7.4 | Vagy mimódon mondhatod atyádfiának: Hadd vessem ki a szálkát szemedből, ha a te szemedben gerenda vagyon?
Matt.7.5 | Te képmutató, vesd ki először azt a gerendát a te szemedtől, és azután gondolj arra, hogy a szálkát a te atyádfia szeméből kivessed.
Matt.7.6 | Ne adjátok azt, a mi szent, az ebeknek, se a disznók eleikbe ne hányjátok a ti drága gyöngyeiteket; hogy azokat meg ne tapodják lábaikkal, és reátok fordulván meg ne szaggassanak titeket.
Matt.7.7 | Kérjétek, és megadatik néktek: keressétek, és megtaláljátok; zörgessetek, és megnyittatik néktek.
Matt.7.8 | Mert minden kérő megnyeri azt a mit kér; és a kereső megtalálja a mit keres; és a zörgetőnek megnyittatik.
Matt.7.9 | Mert kicsoda ti közzűletek az ember, ki az ő fijának követ adjon, ha ő tőle kenyeret kér?
Matt.7.10 | És ha halat kér, valyon kigyót ád é néki?
Matt.7.11 | Hazért ti gonoszok lévén, a ti fijaitoknak tudtok jó ajándékokat adni, mennyivel inkább a ti mennyei Atyátok ád jókat azoknak, a kik ő tőle kérik?
Matt.7.12 | Valamit akartok azért hogy cselekedjenek az emberek ti veletek, azont cselekedjétek ti is azokkal; mert ez a Törvény, és a Próféták.
Matt.7.13 | Menjetek bé az örök életre, a szoros kapun: mert tágas kapu az és széles út, a melly veszedelemre viszen, és sokan vagynak, kik azon járnak.
Matt.7.14 | Mert szoros kapu és keskeny út, a melly viszen az életre, és kevesen vagynak azok, a kik azt megtalálják.
Matt.7.15 | Őrizzétek magatokat a hamis Prófétáktól, kik hozzátok jőnek juhoknak ruhájokban, de belől ragadozó farkasok.
Matt.7.16 | Az ő gyümölcseikről esméritek meg őket; valyon szednek é a tövisről szőlőt, vagy a bojtorjánról figét?
Matt.7.17 | E képen minden jó fa jó gyümölcsöket terem: a megveszett fa pedig hitvány gyümölcsöket terem.
Matt.7.18 | Nem teremhet a jó fa hitvány gyümölcsöket, sem a megveszett fa jó gyümölcsöket nem teremhet.
Matt.7.19 | Valamelly fa nem terem jó gyümölcsöt; kivágattatik, és a tüzre vettetik.
Matt.7.20 | Azért az ő gyümölcseikről esméritek meg őket.
Matt.7.21 | Nem minden, a ki ezt mondja nékem: Uram! Uram! megyen bé mennyországba, hanem a ki cselekeszi az én mennyei Atyámnak akaratját.
Matt.7.22 | Sokan mondják nékem ama napon: Uram! Uram! nemde nem a te nevedben tanitottunk é, és nem a te nevedben üztünk é ördögöket, és a te nevedben sok hatalmas dolgokat nem cselekedtünk é?
Matt.7.23 | Akkor pedig vallást tészek nékik: Soha nem esmértelek titeket, távozzatok el én tőlem álnokságnak cselekedői.
Matt.7.24 | Valaki azért hallja én tőlem e beszédeket, és azokat megtartja: hasonlitom azt a bölcs emberhez, ki az ő házát épitette a kősziklán.
