Mal.1.1 | Az Úr beszédének terhes Prófétziája az Izráel ellen, Malakiás által.
Mal.2.9 | De én is szidalmatosokká tettelek titeket és utálatosokká az egész nép előtt, miképen, hogy nem tartottátok meg az én útaimat, hanem felemeltétek orczátokat a törvény ellen.
Mal.2.10 | Valyon nem mindnyájunknak egy atyánk vagyon-é? Avagy nem azon egy Isten teremtett-é minket? Miért csalja meg tehát kiki az ő felebarátját, hogy a mi atyáink kötéseket megfertéztetnénk?
Mal.2.11 | Hitetlenűl cselekedett Júda és utálatosság lett Izráelben és Jérusálemben; mivelhogy megfertéztette Júda az Úrnak szent helyét, hogy szerette és feleségűl vette magának az idegen Isten leányát.
Mal.2.12 | Elveszti az Úr az illyen embert, a ki ezt cselekeszi, mind a ki inditója, mind a ki cselekedője a Jákób sátoriból, és a ki áldozatot viszen fel a Seregeknek Urának.
Mal.2.13 | Ezt is cselekedtétek másodszor, hogy könyhullatással, sirással s kesergéssel bétöltenétek az Úr oltárát: annyira hogy többé ne tekintsen az eledeli-áldozatra, és ne vegye el kezetekből a jó akaratot:
Mal.2.14 | És azt kérditek: Valyon miért? Azért: mert az Úr tett tanúbizonyságot te közötted, és a te ifjúságodnak felesége között, a kit te megcsaltál, holott ő te társad, és te hozzád szövetséggel szerkesztetett feleséged volna.
Mal.2.15 | Mert nem eggyé tette-é a férjfiat és asszonyt, holott minden lelkes álaltok az ő hatalmában volnának? Miért pedig eggyé? Hogy azok az által sazporodnék az Isten magva. Annakokáért oltalmazzátok meg lelketeket, és a ti ifjuságtoknak felesége ellen ne vétkezzetek.
Mal.2.16 | Ha meggyűlöli valaki feleségét, bocsássa el, azt mondja az Izráelnek Ura Istene: és béfedezi az ő kegyetlenségét mintegy palásttal, azt mondja a Seregeknek Ura: Azért őrizzétek meg lelkektek és ne csalárdkodjatok.
Mal.2.17 | Elfárasztottátok az Urat a ti beszéditekkel és azt kérditek: Mivel fárasztottuk el? Ezzel, hogy azt mondjátok: Valaki gonoszt cselekeszik, kedves az Úr előtt, és azokban gyönyörködik; vagy mikor ezt mondjátok: Hol az ítélő Isten?

Mal.3.1 | Ímé én elküldöm az én Angyalomat és megtisztitja az útat én előttem, és mindjárt eljő az ő templomába az Úr, a kit ti kerestek, és a Szövetségnek követe, a kit kivántok, ímé, eljő, azt mondja a Seregeknek Ura.
Mal.3.2 | És kicsoda szenvedheti el az ő eljövetelének napját? és kicsoda maradhat meg az ő megjelenésekor? mert ő ollyan, mint a tisztitó tűz, és mint a ruhafestőknek fejéritő fűvök.
Mal.3.3 | Miképen ül az ezüstnek olvasztója és tisztitója, úgy megtisztitja a Lévi fijait, és megfrisseli őket mind az aranyat és az ezüstöt, és az Úrnak áldoznak igazságnak áldozatjával.
Mal.3.4 | És kedves lészen az Úrnak a Júda és Jérusálem áldozatja, mint a régi napokban, és a régi esztendőkben.
Mal.3.5 | És hozzátok közelitek az ítéletre, és hirtelne tanú lészek a szemfényvesztők ellen, a paráznák és hamisan esküvúk ellen, és azok ellen, kik a munkás bérit megtartják; az özvegyet, árvát, idegent nyomorgatják, és a kik nem félnek engem, ezt mondja a Seregeknek Ura.
Mal.3.6 | Mert én Úr meg nem változom, ti Jákób fijai, azért nem emésztettetk meg.
Mal.3.7 | A ti atyáitoknak idejektől fogva eltávoztatok az én parancsolatimtól, és meg nem őriztétek azokat. Térjetek én hozzám, én is ti hozzátok térek, ezt mondja a Seregeknek Ura; és mondátok: Miben térjünk te hozzád!
Mal.3.8 | Avagy megfosztja- é ember az Istent, mivelhogy ti engem megfosztottatok, és mondátok: Miben fosztottunk meg tégedet? A dézmákban és az áldozatokban.
Mal.3.9 | Átokkal megátkoztattatok, mivel ti mind fejenként engem megfosztottatok.
Mal.3.10 | Hozzátok bé az egész dézmát az én tárházamba, és legyen élés az én házamban, és próbáljatok meg ezen engem, ezt mondja a Seregeknek Ura: ha meg nem nyitom néktek az egek csatornáit, és ha áldást nem bocsátok reátok, annyira hogy helyet ne találhassatok marhátoknak.
Mal.3.11 | És mgdorgáom érettetek a kártevőt, és nem veszi el földetek gyümölcsét, és nem lessz a szőlőtő meddő néktek mezőtökön, ezt mondja a Seregeknek Ura.
Mal.3.12 | És boldognak mondanak titeket minden népek: mert lésztek drága földnek lakói; ezt mondja a Seregeknek Ura.
Mal.3.13 | Elhatalmaztak én ellenem a ti beszéditek, ezt mondja az Úr, és mondátok: Miben szóltunk ellened?
Mal.3.14 | Ezt mondottátok: Hijába szolgálunk Istennek; és mi haszna vagyon, hogy az ő törvényét őrizzük, és hogy alázatosan viseltük magunkat a Seregeknek Ura előtt?
Mal.3.15 | Sőt inkább boldogoknak mondják kevélyeket: mert nevekednek, a kik hamisságot cselekesznek, és a kik kisértik az Istent, megszabadulnak.
Mal.3.16 | Akkor a kik az Urat félik, szólának; és reá figyelmeze az Úr s meghallá, és iraték emlékezet könyve ő előtte azokért, kik az Urat félik, és nevét becsülik.
Mal.3.17 | És lésznek nékem az napon, mellyen igéretemet megteljesitem, kiváltképen való népemmé, ezt mondja a Seregeknek Ura: és kedvezek nékik, mint ember fijának kedvez, ki ő hozzá engedelmes.
Mal.3.18 | Akkor megtérvén meglátjátok, micsoda külömbség legyen az igaz és istentelen között, a között a ki szolgál Istennek, és a ki nem szolgál néki.

Mal.4.1 | Mert ímé eljő a nap, mint az égő kemencze, és megemésztetnek minden kevélyek, és minden álnokságnak cselekedői, mint a pozdorja, és megégeti őket a jövendő nap, ezt mondja a Seregeknek Ura, annyira hogy sem gyökerek, sem ágok ne maradjon.
Mal.4.2 | És feltámad néktek, kik az én nevemet félitek, az igazság napja és egésség lészen az ő szárnyai alatt, és előmentek, s megszaporodtok, mint a meghizlalt tulkok.
Mal.4.3 | És megtapodjátok az istenteleneket: mert ollyan lésznek lábaitok talpai alatt, mint a hamu, a melly napon beszédemet megteljesitem, ezt mondja a Seregeknek Ura.
Mal.4.4 | Megemlékezzetek Mózesnek az én szolgámnak törvényéről mellyet ő általa a Hóreb hegyén az egész Izráelnek adtam, tudniillik az én végezésimet és itéletimet.
Mal.4.5 | Ímé én elbocsátom néktek Illyés Prófétát, minekelőtte eljő az Úrnak nagy és becsületes napja.
Mal.4.6 | És az atyáknak sziveket a fiakhoz hajtja, és a fiaknak sziveket az atyákhoz: hogy eljövén, el nem veszessem e földet örök veszedelemmel. Az Ó Testamentom Könyveinek Vége.
