Lev.1.1 | Szólítá az Úr Mózest, és beszéle ő vele a gyülekezet sátorából, ezt mondván:
Lev.4.33 | És kezét tegye annak a bűnért való áldozatnak fejére, és ölje meg azt azon helyen, a hol a Pap meg szokta ölni az egészen megégetendő áldozatra való barmot.
Lev.4.34 | Annakutánna vegyen a Pap annak vérében az ujjával, és tegye az égőáldozat oltárának szarvaira: a vért pedig mindenestől töltse azon oltárnak fundamentomára.
Lev.4.35 | Azután vegye el mindenestől a kövérit, mint elveszik a hálaadó áldozatra való juhnak kövérit, és égesse meg azt a Pap az oltáron jóillatú áldozatúl az Úrnak: E képen tisztítsa meg azt az embert a Pap az ő bűnétől, a mellyet cselekedett, és megbocsáttatik néki.

Lev.5.1 | Ha valamelly ember vétkezéndik, azaz: Ha hallotta a káromló beszédet, és ő bizonyság lehetne hogy látta, vagy hogy bizonnyal, tudja: ha meg nem mondja azt, annak a bűnnek büntetését hordozza.
Lev.5.2 | Vagy ha valaki illet valami tisztátalan állatot, akár tisztátalan vadnak, akár valami tisztátalan állatnak, akár tisztátalan féregnek holttestét és azt nem tudná, tisztátalan lészen és vétkezett.
Lev.5.3 | Vagy ha illeti az embernek akármi tisztátalanságát, mellyel megfertéztetik, és azt nem tudta, hanem azután értette meg, vétkezett.
Lev.5.4 | Vagy ha az ember esküszik az ő szájából kiszalasztván hogy gonoszt vagy jót cselekszik, annak minden tisztátalansága szerint, mind a szerint a mint az ember szokott esküvéssel hirtelen szólani, és azt nem tudta, hanem azután vette eszébe, hogy valamelly beszédében vétkezett.
Lev.5.5 | Ez illyen ember, mivelhogy valamellyik beszédében vétkezett, szükség hogy megvallja azt, a miben vétkezett.
Lev.5.6 | Azért vigyen áldozatot az ő bűnéért az Úrnak, a bűnért mondom, a mellyel vétekezett, egy nőstény juhot vagy kecskét az ő nyájából, az ő bűnéért, és tisztítsa meg őtet a Pap az ő bűnéből.
Lev.5.7 | Hogyha nincsen arra való ereje, hogy juhot vagy kecskét vihetne áldozatra, vigyen az ő bűnéért való áldozatra, két gerliczét vagy kég galambfiakat az Úrnak, az egyiket a bűnért való áldozatra, a másikat egészen megégetendő áldozatra.
Lev.5.8 | És vigye azokat a Paphoz, és először áldozza meg azt, melly a bűnért való áldozat, és annak fejét a nyakcsigánál messe meg, úgy hogy el ne szakassza.
Lev.5.9 | És a bűnért való áldozatnak véréből hintsen az oltár oldalára, és a vérnek többiét nyomja ki az oltár fundamentomára. - Bűnért való áldozat ez.
Lev.5.10 | A másikat egészen égesse meg égőáldozatúl, úgy a mint szokás; és illyen módon megtisztítja a Pap az embert a büntől, mellyet cselekedett, és megbocsáttatik néki.
Lev.5.11 | Hogyha arra is nincsen ereje, hogy két gerliczét vagy két galambfiat vigyen áldozatra: vigyen áldozatra az, a ki vétkezett, egy Efa zsemlyelisztnek tizedrészét: ne tegyen ahoz olajt, se pedig temjént: mert bűnért való áldozat ez.
Lev.5.12 | Mellyet mikor a Paphoz viszen, a Pap vegyen abból egy teljes marokkal, az embernek Isten előtt való megemlékezetiért és égesse meg a tűzön, hogy legyen tüzes áldozoat az Úr előtt: Bűnért való áldozat ez.
Lev.5.13 | Így tisztítsa meg a Pap az embert az ő bűnéből, mellyel vétkezett valamellyikben ama bűnök közzűl, és megbocsáttatik néki. A lisztnek maradéka legyen a Papé, mint a Minhának maradéka.
Lev.5.14 | Azután szóla az Úr Mózesnek, és monda:
Lev.5.15 | Ha valaki gonoszságot cselekedéndik és vétkezéndik tudatlanúl, elvévén valamit azokban, mellyek az Úrnak szenteltettek, vigyen áldozatot az ő vétkéért az Úrnak, egy ép kost az ő nyájából, a mint te becsülöd a kárt ezüst siklusokra, a szent siklus szerint, hogy legyen az a vétekért való áldozat.
Lev.5.16 | És a mit vétkezett, tudniillik, hogy az Istennek szenteltetett elvette, azt megfizesse, annakfelette ötödrészt tegyen hozzá, és adja azt a Papnak. Így a Pap megtisztítja azt a bűnért való áldozat által, és megbocsáttatik néki.
Lev.5.17 | Hogyha valamelly ember vétkezéndik, és cselekedéndik valamit az Úr parancsolatai ellen, mellyet nem kell cselekedni, és eszébe nem vette, jóllehet bűnös legyen, és az ő bűnéért méltó legyen büntetésre.
Lev.5.18 | Vigyen az ő nyájából egy szeplő nélkűl való kost az ő bűnéért való áldozatra a Paphoz, ahoz képest a mint te becsülöd az embernek bűnét, és tisztítsa meg a Pap az embert az ő vétkéből, mellyet cselekedett tudatlanságból, eszébe azt nem vévén, és megbocsáttatik néki.
Lev.5.19 | Bűnért való áldozat ez, mivel az Úr ellen vétkezett volt.

Lev.6.1 | Szóla ismét az Úr Mózesnek, és monda:
Lev.6.2 | Mikor valamelly ember vétkezéndik és gonoszságot cselekdéndik az Úr ellen, tudniillik ha megtagadja felabarátjának nála letett pénzét, vagy hogy kereskedésben való társaságra felebarátjától pénzt nem vett, vagy ha megtagadja, hogy erővel és patvarral nem vette el másnak marháját.
Lev.6.3 | Vagy ha elvesztett marhát, és azt megtagadándja, vagy valami dologért hamisan megesküszuik mindenben valamelly dolgot az ember bűn néálkül nem cselekedhetett.
Lev.6.4 | Mivelhogy azért bűnt tett és vétkezett, mind azt, a mit erőhatalommal vett el, vagy álnoksággal csalt el, mind pedig a nála letettet, mellyet megtagadott volt, mind az elveszett és megtagadott vokt, mind az elveszett és megtalált marhát adja meg.
Lev.6.5 | Akármi legen a min megesküdt volna hamisan, fizesse meg azt, a mit ért: és annakfelette a marhának ötödrésze a mit tenne, azt fizesse annak, a ki a marha volt, azon napon, a mellyen az ő bűnéről vallást tészen a bűnért való áldozat által.
Lev.6.6 | Az ő bűnéért való áldozatra pedig vigyen az Úrnak az ő nyájából egy ép kost a Paphoz, a bűnnek becsűje szerint, hogy a bűnért azt megáldozza.
Lev.6.7 | És így tisztítsa meg a Pap azt az Úr előtt, és megbocsáttatik néki mind az, a mit cselekedett és a miben vétkezett.
Lev.6.8 | Szóla ismét az Úr Mózesnek ezt mondván:
Lev.6.9 | Parancsolj Áronnak és az ő fijáinak, és mond meg: Ez az egészen megégetendő áldozat felől való törvény: Neveztetik pedig egészen égőáldozatnak, mivel hogy egészen megégettetik tűzzel, melly az oltáron ég mind egész éjsazaka viradtági: mert az oltáron való tűznek szüntelen égni kell, és nem kell hagyni hogy elaludjék.
Lev.6.10 | A Pap öltözzék az ő szoros ruhájába, és az imegmást is vegye fel az ő testére, és tisztítsa el a hamvat, minekutánna a túz megemésztette az oltáron az áldozatot, és töltse a hamvat az oltár mellé.
Lev.6.11 | Azután vesse le azt a ruhát, öltözzék más ruhába, és vigye ki a hamvat a táboron kivűl tiszta helyre.
Lev.6.12 | A tüzet pedig melly az oltáron vagyon, táplálják az oltáron, el ne aludjék, hanem gondot viseljen a Pap reá, hogy minden reggel égjen a fa az oltáron, és minden egészen megégetendő áldozatot arra rendeljen, és azon áldozzék háláadásra való kövérségeket is.
Lev.6.13 | A tűz szüntelen tápláltassék fával az oltáron, és ne hagyják elaludni.
Lev.6.14 | E pedig a Minhának törvénye: Az Áron fijainak akrámellyike áldozza azt az Úr előtt az oltáron.
Lev.6.15 | És vegyen a Minha zsemlyelisztében egy teljes marokkal: azonképen az olajban is vegyen: a temjént pedig, melly a Minhán vagyon, mindenestől elvegye, égesse meg az oltáron: annak füstje kedves illat az Úr előtt.
Lev.6.16 | A mi peeig a Minhára való lisztben marad, Áron és az ő fijai egyék meg, kovász nélkűl való pogácsákban egyék meg a szent helyen, a gyülekezet pitvarában egyék meg azt.
Lev.6.17 | Ne süssék azt kovásszal, mert nékik adtam azt, hogy ő részek legen az én tüzes áldozatimból: szentséges állat az, mint a bűnért és vétekért való áldozat.
Lev.6.18 | Az Áron fijai közzűl csak a férfiak egyék azt. Örökkévaló szertartás legyen ez a ti utánnatok való közt, az Úrnak tüzes áldozati felől. Valami illeténdi azokat, szentséges legyen.
Lev.6.19 | Szóla ismét az Úr Mózesnek, és monda:
Lev.6.20 | Ez az Áronnak és az ő fijainak áldozatjok, mellyet az Úrnak áldozzanak mindenkor, mikor valamelly ő közzűlök felszenteltetik: egy Efa zsemlyelisztnek tizedrésze Minhának áldozatjára, mellynek felét reggel, felét estve áldozza.
Lev.6.21 | Serpenyőben olajjal főzze meg, szépen felhójagozva vigye fel, és a megfőbb Minha darabokat áldozza az Úrnak jó és kedves illatúl,
Lev.6.22 | A melly Pap Áron helyébe az ő fijai közzűl megkenetik, az mívelje ezt: örökkévaló szertartás legyen ez, az Úrnak mindenestől megégettessék:
Lev.6.23 | Mert a Pap Minjájának mindenestől meg kell égettetni, nem kell abban semmit megenni.
Lev.6.24 | Szóla ismét az Úr Mózesnek, és monda:
Lev.6.25 | Szólj Áronnak és az ő fijainak, s ezt mondjad: E legen a bűnért való áldozatnak törvénye: a melly helyen meg szokták ölni az egészen megégetendő áldozatra való barmot, azon helyen öljék meg a bűnért való áldozatnak barmát az Úr előtt; mert szentséges az.
Lev.6.26 | A melly Pap megáldozza a bűnért való áldozatot, az egye meg azt, a szent helyen egye meg, a gyülekezet sátorának pitvarában.
Lev.6.27 | Valami annak az áldozatnak húsát éri, szent legyen, és ha annak véréből valami ruhájára esik valakinek, azt a ruhának részét, mellyre a vér esett, mossa meg a szent helyen.
Lev.6.28 | És a földfazekat, mellyben azt főzték, eltörjék: hogyha pedig érczfazék lejénd, megvakarják és vízzel megmossák.
Lev.6.29 | A Papinemzetben csak a féjfiak egyék meg azt; szentséges állat az.
Lev.6.30 | Valamelly bűnért való áldozatnak véréből bévisznek a gyülekezet sátorába, a bűnnek a szent helyen való eltörlésére, azt meg ne egyék a Papok is, hanem tűzzel megégettessék.

Lev.7.1 | E legyen a vétekért való áldozatnak törvénye; szentséges dolog az.
Lev.7.2 | A melly helyen szokták megölni az egészen megégetendő áldozatra való barmot, ugyan ott öld meg a vétekért való áldozatnak barmát. Annak pedig vérét hintsed az oltárra köröskörűl.
Lev.7.3 | Mindenestől pedig annak kövérit megáldozzad, a farkát is, és a melly kövér a belet béfedezi.
Lev.7.4 | A két veséit is, és azokon való kövért, melly a bél mellett vagyon, és a mája mellett való kövér hártyát, mind a veséivel egybe elvegye.
Lev.7.5 | És égesse meg azokat a Pap az oltáron égőáldozatú az Úrnak.Vétekért való áldozat ez.
Lev.7.6 | A Papinemzetben csak a férjfiak egyék azt, a szenthelyen egyék meg; mert szentséges állat.
Lev.7.7 | Mint a bűnért való áldozat, úgy legyen a vétekért való áldozat is, mind a két rendbeli áldozatnak ugyanazon egy regulája legyen. A Papé legyen, a ki azt megáldozta.
Lev.7.8 | Az egészen égőáldozatot pedig a melly Pap áldozza, annak a baromnak bőre, a mellyet megáldozott, azé legyen, tudniillik a melly Pap azt megáldozta.
Lev.7.9 | Ismét minden Minha, mellyet kemenczében sütnek, és a mellyet serpenyőban vagy rostélyon készítenek, a Papé legyen, a ki azt áldozta.
Lev.7.10 | Annakfelette minden olajos vagy száraz Minha, Áron fijaié legyen mint egyiké úgy a másiké.
Lev.7.11 | E pedig a hálaadó-áldozatnak törvénye, mellyet az Úrnak áldoznak:
Lev.7.12 | Ha háláadásért áldozik valaki: a háláadásnak áldozatjával együtt, áldozzék kovász nélkül való olajos lepényeket, és olajjal megkent pogácsákat, és serpenyőben megrántott szemlyéből való pogácsát, az olajjal gyúrt lepényekkel egybe.
Lev.7.13 | A béleseknek kivűle kovászos kenyereket is vigyen az áldozatra, az ő jó előmentének háláadó-áldozatjával egybe.
Lev.7.14 | És mind ezekből áldozzanak az Úrnak egy kenyeret, mellyet ő előtte felemeljenek, és az legen a Papé, ki a háláadásra való áldozatnak vérét elhinti.
Lev.7.15 | A előmenetelért való háláadásnak áldozatjának húsát, ugyanaz áldozatnak napján megegyék, senki abban ne hagyjon reggelig.
Lev.7.16 | Hogyha fogadásból, vagy szabad akaratból vagyon az áldozat, a melly napon áldozza azt valaki, azon napon megegyék: a mi megmarad benne, másodnapon egyék meg.
Lev.7.17 | A mi pedig annak az áldozatnak húsában tovább maradna, harmadnapon tűzzel égettessék meg.
Lev.7.18 | Mert ha valaki a jó előmenetelért való háláadó-áldozatjának húsában ejéndik harmadnapon, nem lészen kedves az, a ki áldozata azt, és attól nem veszi az Úr jó néve, utálatos lészen az áldozat, és valaki ejéndik abban, az ő bűne büntetését hordozza.
Lev.7.19 | És azt a húst, a melly valami tisztátalan állatot illeténd, meg ne egyék, hanem tűzzel égessék meg: e kivűl a háláadó-áldozatnak húsát, minden, a ki tiszta a Papok közzűl, eheti szabadon.
Lev.7.20 | Mert valaki ejéndik a háláadó-áldozatnak húsában, melly az Úré, tisztátalan lévén, az ollyan ember kigyomlátatik az ő nemzeetségének népe közzűl.
Lev.7.21 | Mikor valaki illet valami tisztátalan állatot, akár tisztátalan embert, akár tisztátalan barmot, vagy akármit, a mi utálatos volna, annakutánna eszik a háláadó-áldozatnak húsában, melly az Úré, kigyomláltatik az az ember az ő nemzetségének népe közzűl.
Lev.7.22 | Szóla ismét az Úr Mózesnek, és monda:
Lev.7.23 | Szólj az Izráel fijainak, ezt mondván: Az ökörnek, a juhnak és a kecskének semmi kövérit meg ne egyétek.
Lev.7.24 | A megholt állatnak és vadtól megszaggattatott állatnak kövérivel élhettek akármi külső egyéb szükségtekre, de semiképen meg ne egyétek.
Lev.7.25 | Mert valaki megejéndi a féle állatoknak kövérit, mellyekből az ember tűzzel megemésztetendő áldozatot szerez, az az ember, a ki azt megejéndi, kigyomláltatik az ő nemzetségének népe közzűl.
Lev.7.26 | Hasonlatosképen semmi vért meg ne egyetek a ti lakhelyeitekben, se madárnak, se baromnak vérét.
Lev.7.27 | Valaki megejéndik valami vért, bizonyára az az ember kigyomláltatik az ő nemzetségének népe közzűl.
Lev.7.28 | Szóla ismét az Úr Mózesnek, és monda:
Lev.7.29 | Szólj az Izráel fijainak, ezt mondván: A ki az Úrnak áldozik háláadó-áldozattal, ő maga vigye az Úrnak az ő áldozatját, tudniillik, a háláadásra való áldozatot.
Lev.7.30 | A maga tulajdon keze hozzá az Úrnak tüzes áldozatjára valót, tudniillik a kövérit a szegéyvel egybe, a szegyét azért, hogy az Úr előtt megingattassék.
Lev.7.31 | Annakutánna a Pap égesse meg azt a kövért az oltáron, a szegye pedig legyen Ároné és az ő fijaié.
Lev.7.32 | A jobblapoczkáját is a háláadó-áldozatra való baromnak a Papnak adjátok, hogy azt felemelje.
Lev.7.33 | A ki az Áron fijai közzűl a háláadó-áldozat vérét és kövérit megáldozza, azé legyen annak a baromnak jobblapoczkája;
Lev.7.34 | Mert a megingattatott szegyet, és a felemelt jobblapoczkát kiválasztottam az Izráel fijainak háláadó-áldozatjokból, és adtam Áron Papnak és az ő fijainak, örökké megállandó végezés szerint, az Izráel fijaitól vejendő részül.
