Exod.1.1 | Ezek pedig az Izráel fiainak nevei, a kik Jákóbbal Égyiptomba menének; kiki az ő házanépével méne:
Exod.3.11 | Mózes pedig monda az Istennek: Kicsoda vagyok én, hogy elmenjek a Faraóhoz és kihozzam az Izráel fiait Égyiptomból?
Exod.3.12 | És felele: Én veled lészek! és ez lesz a jele, hogy én küldöttelek téged, hogy mikor kihozod a népet Égyiptomból, ezen a hegyen fogtok szolgálni az Istennek.
Exod.3.13 | Mózes pedig monda az Istennek: Ímé én elmegyek az Izráel fiaihoz és ezt mondom nékik: A ti atyáitok Istene küldött engem ti hozzátok; ha azt mondják nékem: Mi a neve? mit mondjak nékik?
Exod.3.14 | És monda Isten Mózesnek: VAGYOK A KI VAGYOK. És monda: Így szólj az Izráel fiaihoz: A VAGYOK küldött engem ti hozzátok.
Exod.3.15 | És ismét monda Isten Mózesnek: Így szólj az Izráel fiaihoz: Az Úr, a ti atyáitoknak Istene, Ábrahámnak Istene, Izsáknak Istene és Jákóbnak Istene küldött engem ti hozzátok. Ez az én nevem mind örökké és ez az én emlékezetem nemzetségről nemzetségre.
Exod.3.16 | Menj el és gyűjtsd egybe az Izráel véneit és mondd ezt nékik: Az Úr, a ti atyáitok Istene, Ábrahámnak, Izsáknak és Jákóbnak Istene megjelent nékem, mondván: Megemlékeztem rólatok és arról a mit elkövettek rajtatok Égyiptomban.
Exod.3.17 | És mondám: Kiviszlek titeket az égyiptomi nyomorúságból a Kananeusok, Khitteusok, Emoreusok, Perizeusok, Khivveusok és Jebuzeusok földére, téjjel és mézzel folyó földre.
Exod.3.18 | És ha hallgatnak szavadra, akkor elmégy te és az Izráel vénei Égyiptom királyához, s így szóltok néki: Az Úr, a héberek Istene megjelent nékünk; most azért hadd menjünk három napi útra a pusztába, hogy áldozzunk az Úrnak a mi Istenünknek.
Exod.3.19 | Én pedig tudom, hogy az égyiptomi király nem engedi meg néktek, hogy elmenjetek, még erőhatalomra sem.
Exod.3.20 | Kinyújtom azért az én kezemet és megverem Égyiptomot mindenféle csudáimmal, melyeket véghez viszek benne; így azután elbocsát titeket.
Exod.3.21 | És kedvessé tészem e népet az Égyiptombeliek előtt, és lészen, hogy mikor kimentek, nem mentek üresen.
Exod.3.22 | Kérjen azért minden asszony az ő szomszédasszonyától és háza lakó asszonyától ezüst edényeket és arany edényeket és ruhákat; és rakjátok azokat fiaitokra és leányaitokra, s így foszszátok ki Égyiptomot.

Exod.4.1 | Felele Mózes és monda: De ők nem hisznek nékem s nem hallgatnak szavamra, sőt azt mondják: nem jelent meg néked az Úr.
Exod.4.2 | Az Úr pedig monda néki: Mi az a kezedben? S ő monda: Vessző.
Exod.4.3 | Vesd azt - úgymond - a földre. És veté azt a földre és lőn kígyóvá; és Mózes elfutamodék előle.
Exod.4.4 | Monda pedig az Úr Mózesnek: Nyújtsd ki kezedet és fogd meg a farkát! És kinyújtá kezét és megragadá azt, és vesszővé lőn az ő kezében.
Exod.4.5 | Hogy elhigyjék, hogy megjelent néked az Úr, az ő atyáik Istene, Ábrahám Istene, Izsák Istene és Jákób Istene.
Exod.4.6 | És ismét monda néki az Úr: Nosza dugd kebeledbe a kezed; és kebelébe dugá kezét és kihúzá: ímé az ő keze poklos vala, olyan mint a hó.
Exod.4.7 | És monda: Dugd vissza kebeledbe a kezed: és visszadugá kezét kebelébe és kivevé azt kebeléből és ímé ismét olyanná lőn mint teste.
Exod.4.8 | És ha úgy lenne, hogy nem hisznek néked és nem hallgatnak az első jel szavára, majd hisznek a második jel szavának.
Exod.4.9 | És ha úgy lenne, hogy ennek a két jelnek sem hisznek és nem hallgatnak szavadra: akkor meríts vizet a folyóvízből és öntsd a szárazra, és a víz, a mit a folyóvízből merítettél, vérré lesz a szárazon.
Exod.4.10 | És monda Mózes az Úrnak: Kérlek, Uram, nem vagyok én ékesenszóló sem tegnaptól, sem tegnap előttől fogva, sem azóta, hogy szólottál a te szolgáddal; mert én nehéz ajkú és nehéz nyelvű vagyok.
Exod.4.11 | Az Úr pedig monda néki: Ki adott szájat az embernek? Avagy ki tesz némává vagy siketté, vagy látóvá vagy vakká? Nemde én, az Úr?
Exod.4.12 | Most hát eredj és én lészek a te száddal, és megtanítlak téged arra, a mit beszélned kell.
Exod.4.13 | Ő pedig monda: Kérlek, Uram, csak küldd, a kit küldeni akarsz.
Exod.4.14 | És felgerjede az Úr haragja Mózes ellen és monda: Nemde atyádfia néked a Lévi nemzetségből való Áron? Tudom, hogy ő ékesenszóló és ímé ő ki is jő elődbe s mihelyt meglát, örvendezni fog az ő szívében.
Exod.4.15 | Beszélj azért vele, és add szájába a beszédeket, és én lészek a te száddal és az ő szájával és megtanítlak titeket arra, a mit cselekedjetek.
Exod.4.16 | És ő beszél majd helyetted a néphez és ő lesz néked száj gyanánt, te pedig leszesz néki Isten gyanánt.
Exod.4.17 | Ezt a vesszőt pedig vedd kezedbe, hogy véghez vidd vele ama jeleket.
Exod.4.18 | És méne Mózes és visszatére az ő ipához Jethróhoz és monda néki: Hadd menjek és térjek vissza az én atyámfiaihoz Égyiptomba, hogy meglássam, ha élnek-e még? És monda Jethró Mózesnek: Eredj el békességgel.
Exod.4.19 | Az Úr pedig monda Mózesnek Midiánban: Eredj, térj vissza Égyiptomba; mert meghaltak mindazok a férfiak, a kik téged halálra kerestek vala.
Exod.4.20 | És felvevé Mózes az ő feleségét és az ő fiait és felülteté őket a szamárra és visszatére Égyiptom földére. Az Isten vesszejét pedig kezébe vevé Mózes.
Exod.4.21 | És monda az Úr Mózesnek: Mikor elindulsz, hogy visszatérj Égyiptomba, meglásd, hogy mindazokat a csudákat véghez vidd a Faraó előtt, melyeket kezedbe adtam; én pedig megkeményítem az ő szívét, és nem bocsátja el a népet.
Exod.4.22 | Ezt mondd azért a Faraónak: Így szólt az Úr: Elsőszülött fiam az Izráel.
Exod.4.23 | Ha azt mondom néked: Bocsásd el az én fiamat, hogy szolgáljon nékem és te vonakodol elbocsátani: ímé én megölöm a te elsőszülött fiadat.
Exod.4.24 | És lőn az úton, egy szálláson, eleibe álla az Úr és meg akarja vala őt ölni.
Exod.4.25 | De Czippora egy éles követ veve és lemetszé az ő fiának előbőrét és lába elé veté mondván: Bizony, vérjegyesem vagy te nékem!
Exod.4.26 | És békét hagya néki. Akkor monda: Vérjegyes a körűlmetélkedésért.
Exod.4.27 | Áronnak pedig monda az Úr: Eredj Mózes eleibe a pusztába! És elméne és találkozék vele az Isten hegyénél és megcsókolá őt.
Exod.4.28 | Mózes pedig elbeszélé Áronnak az Úr mindama szavait, melyekkel őt elküldötte vala és mindazokat a jeleket, melyeket reá bízott vala.
Exod.4.29 | És méne Mózes és Áron és egybegyűjték Izráel fiainak minden véneit.
Exod.4.30 | És elmondá Áron mindazokat a beszédeket, melyeket mondott vala az Úr Mózesnek és megcselekedé a jeleket a nép szemei előtt.
Exod.4.31 | És hitt a nép, és megértette, hogy meglátogatta az Úr Izráel fiait és megtekintette nyomorúságukat. És meghajták magokat és leborulának.

Exod.5.1 | Annakutána pedig elmenének Mózes és Áron és mondának a Faraónak: Ezt mondá az Úr, Izráelnek Istene: Bocsásd el az én népemet, hogy ünnepet üljenek nékem a pusztában.
Exod.5.2 | A Faraó pedig mondá: Kicsoda az Úr, hogy szavára hallgassak, és elbocsássam Izráelt? Nem ismerem az Urat és nem is bocsátom el Izráelt.
Exod.5.3 | Ők pedig mondának: A héberek Istene megjelent nékünk; hadd mehessünk hát háromnapi útra a pusztába, hogy áldozhassunk az Úrnak a mi Istenünknek, hogy meg ne verjen minket döghalállal vagy fegyverrel.
Exod.5.4 | Égyiptom királya pedig monda nékik: Mózes és Áron! miért vonjátok el a népet az ő munkáitól? menjetek dolgotokra.
Exod.5.5 | Ezt is mondja vala a Faraó: Ímé a föld népe most sok, és ti elhagyatjátok velök az ő munkáikat.
Exod.5.6 | Parancsolá azért a Faraó azon a napon a nép sarczoltatóinak és felvigyázóinak, mondván:
Exod.5.7 | Ne adjatok többé polyvát a népnek a téglavetéshez mint ennekelőtte; hadd menjenek el ők magok és szedjenek magoknak polyvát.
Exod.5.8 | De a tégla számát, mennyit ennekelőtte csináltak, vessétek ki rájok; azt le ne szállítsátok, mert restek ők és azért kiáltoznak, mondván: Menjünk el, áldozzunk a mi Istenünknek.
Exod.5.9 | Nehezíttessék meg a szolgálat ezeken az embereken, hogy azzal legyen dolguk és ne hajtsanak hazug szóra.
Exod.5.10 | Kimenének azért a nép sarczoltatói és felvigyázói és ezt mondák a népnek mondván: Ezt mondja a Faraó: Nem adok néktek polyvát.
Exod.5.11 | Menjetek magatok, szedjetek magatoknak polyvát onnan, a hol találtok; mert semmi sem szállíttatik le szolgálatotokból.
Exod.5.12 | És elszélede a nép egész Égyiptom földén, hogy tarlót szedjen polyva helyett.
Exod.5.13 | A sarczoltatók pedig szorítják vala, mondván: Végezzétek el munkátokat, napjában a napi munkát, mint akkor, a mikor polyva volt.
Exod.5.14 | És verettetének az Izráel fiai közül való felvigyázók, a kiket a Faraó sarczoltatói rendeltek vala föléjök, mondván: Miért nem végeztétek el a rátok vetett téglaszámot sem tegnap, sem ma úgy, mint ennekelőtte?
Exod.5.15 | És elmenének az Izráel fiai közül való felvigyázók és kiáltának a Faraóhoz, mondván: Miért cselekszel így a te szolgáiddal?
Exod.5.16 | Polyvát nem adnak a te szolgáidnak és azt mondják nékünk: Csináljatok téglát! És ímé a te szolgáid verettetnek, a te néped pedig vétkezik.
Exod.5.17 | Az pedig monda: Restek vagytok, restek, azért mondjátok: Menjünk el, áldozzunk az Úrnak!
Exod.5.18 | Most pedig menjetek, dolgozzatok, polyvát ugyan nem adnak néktek, de a rátok vetett tégla-számot be kell adnotok.
Exod.5.19 | Akkor látják vala Izráel fiainak felvigyázói, hogy bajban vannak, mivel azt kell mondaniok: a tégla-számot le ne szállítsátok; napjában a napi munka meglegyen.
Exod.5.20 | És mikor kijövének a Faraótól, szembe találkozának Mózessel és Áronnal.
Exod.5.21 | S mondának nékik: Lásson meg titeket az Úr és ítéljen meg, kik rossz hírbe kevertetek minket a Faraó előtt és az ő szolgái előtt, fegyvert adván azok kezébe, hogy megöljenek minket.
Exod.5.22 | És visszaméne Mózes az Úrhoz és monda: Uram, miért engedsz rosszul bánni ezzel a néppel! Miért küldél engem ide?
Exod.5.23 | Mert attól fogva, hogy bemenék a Faraóhoz, hogy a te nevedben szóljak, rosszabbul bánik e néppel; megszabadítani pedig nem szabadítád meg a te népedet.

Exod.6.1 | Az Úr pedig monda Mózesnek: Majd meglátod mit cselekszem a Faraóval; mert hatalmas kéz miatt kell őket elbocsátani és hatalmas kéz miatt űzi el őket az ő földéről.
Exod.6.2 | Az Isten pedig szóla Mózeshez és monda néki: Én vagyok az Úr.
Exod.6.3 | Ábrahámnak, Izsáknak és Jákóbnak úgy jelentem meg mint mindenható Isten, de az én Jehova nevemen nem voltam előttük ismeretes.
Exod.6.4 | Szövetséget is kötöttem velek, hogy nékik adom a Kanaán földét, az ő tartózkodásuk földét, a melyen tartózkodjanak.
Exod.6.5 | Fohászkodását is meghallottam az Izráel fiainak a miatt, hogy az Égyiptombeliek szolgálatra szorítják őket, megemlékeztem az én szövetségemről.
Exod.6.6 | Annakokáért mondd meg az Izráel fiainak: Én vagyok az Úr és kiviszlek titeket Égyiptom nehéz munkái alól és megszabadítlak titeket az ő szolgálatjoktól és megmentlek titeket kinyújtott karral és nagy büntető ítéletek által.
Exod.6.7 | És népemmé fogadlak titeket s Istentekké lészek néktek és megtudjátok, hogy én vagyok a ti Uratok Istentek, a ki kihoztalak titeket Égyiptom nehéz munkái alól.
Exod.6.8 | És béviszlek titeket a földre, a mely felől esküre emeltem fel kezemet, hogy Ábrahámnak, Izsáknak és Jákóbnak adom azt, és néktek adom azt örökségül, én az Úr.
Exod.6.9 | Eképen szóla Mózes az Izráel fiaihoz; de nem hallgatának Mózesre, a kislelkűség és a kemény szolgálat miatt.
Exod.6.10 | Az Úr pedig szóla Mózeshez mondván:
Exod.6.11 | Eredj be, szólj a Faraónak, Égyiptom királyának, hogy bocsássa el Izráel fiait az ő földéről.
Exod.6.12 | Mózes pedig szóla az Úr előtt, mondván: Ímé Izráel fiai nem hallgatnak reám, hogy hallgatna hát reám a Faraó, holott én nehéz ajkú vagyok?
Exod.6.13 | És szóla az Úr Mózeshez és Áronhoz és rendelé őket Izráel fiaihoz és a Faraóhoz, Égyiptom királyához, hogy hozzák ki az Izráel fiait Égyiptom földéről.
Exod.6.14 | Ezek atyáik házanépének fejei: Rúbennek, Izráel elsőszülöttének fiai: Khanókh, Pallu, Kheczrón és Karmi. Ezek a Rúben nemzetségei.
Exod.6.15 | Simeon fiai pedig: Jemúél, Jámin, Óhad, Jákin, Czohar és Saul, a kanaánbeli asszony fiai. Ezek a Simeon nemzetségei.
Exod.6.16 | Ezek pedig a Lévi fiainak nevei az ő születésök szerint: Gersón, Kehát és Merári. Lévi életének esztendei pedig: száz harminczhét esztendő.
Exod.6.17 | Gersón fiai: Libni, Simhi, az ő nemzetségeik szerint.
Exod.6.18 | Kehát fiai pedig: Amrám, Jiczhár, Khebrón és Huzziél. Kehát életének esztendei pedig: száz harminczhárom esztendő.
Exod.6.19 | Merári fiai pedig: Makhli és Músi. Ezek a Lévi nemzetségei az ő születésök szerint.
Exod.6.20 | Amrám pedig feleségűl vevé magának Jókébedet, atyjának húgát s ez szűlé néki Áront és Mózest. Amrám életének esztendei pedig száz harminczhét esztendő.
Exod.6.21 | Jiczhár fiai pedig: Kórákh, Nefeg és Zikri.
Exod.6.22 | Huzziél fiai pedig: Misáél, Elczáfán és Szithri.
Exod.6.23 | Áron pedig feleségűl vevé magának Elisebát, Aminádáb leányát, Nakhsón húgát s ez szűlé néki Nádábot, Abíhut, Eleázárt és Ithámárt.
Exod.6.24 | Kórákh fiai pedig: Asszir, Elkánáh és Abiászáf. Ezek a Kórákh nemzetségei.
Exod.6.25 | Eleázár pedig az Áron fia, a Putiél leányai közűl vőn magának feleséget s ez szűlé néki Fineást. Ezek a Léviták atyáinak fejei az ő nemzetségeik szerint.
Exod.6.26 | Ez Áron és Mózes, a kiknek mondá az Úr: Hozzátok ki az Izráel fiait Égyiptom földéről, az ő seregeik szerint.
Exod.6.27 | Ők azok, a kik szóltak a Faraónak Égyiptom királyának, hogy kihozhassák az Izráel fiait Égyiptomból. Ez Mózes és Áron.
Exod.6.28 | És lőn a mikor szóla az Úr Mózesnek Égyiptom földén.
Exod.6.29 | Így szóla az Úr Mózesnek, mondván: Én vagyok az Úr: mondd el a Faraónak Égyiptom királyának mindazt, a mit én szólok néked.
Exod.6.30 | Mózes pedig monda az Úr előtt: Ímé én nehéz ajakú vagyok, hogy hallgatna reám a Faraó?

Exod.7.1 | Az Úr pedig monda Mózesnek: Lásd, Istenévé teszlek téged a Faraónak, Áron pedig, a te atyádfia, szószólód lészen.
Exod.7.2 | Te mondj el mindent, a mit néked parancsolok; Áron pedig, a te atyádfia mondja meg a Faraónak, hogy bocsássa el Izráel fiait az ő földéről.
Exod.7.3 | Én pedig megkeményítem a Faraó szívét és megsokasítom az én jeleimet és csudáimat Égyiptom földén.
Exod.7.4 | És a Faraó nem hallgat reátok; akkor én kezemet Égyiptomra vetem és kihozom az én seregeimet, az én népemet, az Izráel fiait Égyiptom földéről nagy büntető ítéletek által.
Exod.7.5 | S megtudják az Égyiptombeliek, hogy én vagyok az Úr, a mikor kinyujtándom kezemet Égyiptomra és kihozándom az Izráel fiait ő közülök.
Exod.7.6 | És cselekedék Mózes és Áron, a mint parancsolta vala nékik az Úr; úgy cselekedének.
Exod.7.7 | Mózes pedig nyolczvan esztendős és Áron nyolczvanhárom esztendős vala, a mikor a Faraóval beszéltek.
Exod.7.8 | És szóla az Úr Mózesnek és Áronnak mondván:
Exod.7.9 | Ha szól hozzátok a Faraó mondván: tegyetek csudát; akkor mondd Áronnak: Vedd a te vessződet és vesd a Faraó elé; kígyóvá lesz.
Exod.7.10 | Beméne azért Mózes és Áron a Faraóhoz, és úgy cselekedének, a mint az Úr parancsolta vala; veté Áron az ő vesszejét a Faraó elé és az ő szolgái elé, és kígyóvá lőn.
Exod.7.11 | És előhívá a Faraó is a bölcseket és varázslókat, és azok is, Égyiptom írástudói, úgy cselekedének az ő titkos mesterségökkel.
Exod.7.12 | Elveté ugyanis mindenik az ő vesszejét és kígyókká lőnek; de az Áron vesszeje elnyelé azok vesszejét.
Exod.7.13 | És megkeményedék a Faraó szíve és nem hallgata reájok, a mint megmondotta vala az Úr.
Exod.7.14 | Az Úr pedig monda Mózesnek: Kemény a Faraó szíve, nem akarja a népet elbocsátani.
Exod.7.15 | Eredj a Faraóhoz reggel; ímé ő kimegy a vízhez, és állj eleibe a folyóvíz partján, és a vesszőt, a mely kígyóvá változott vala, vedd kezedbe.
Exod.7.16 | És mondd néki: Az Úr, a héberek Istene küldött engem hozzád, mondván: Bocsásd el az én népemet, hogy szolgáljanak nékem a pusztában; de ímé mindez ideig meg nem hallgattál.
Exod.7.17 | Így szólt az Úr: Erről tudod meg, hogy én vagyok az Úr: Ímé én megsujtom a vesszővel, a mely kezemben van, a vizet, a mely a folyóban van, és vérré változik.
Exod.7.18 | És a hal, a mely a folyóvízben van, meghal, a folyóvíz pedig megbüdösödik és irtózni fognak az Égyiptombeliek vizet inni a folyóból.
Exod.7.19 | Monda azért az Úr Mózesnek: Mondd Áronnak: Vedd a te vessződet és nyujtsd ki kezedet Égyiptom vizeire; azoknak folyóvizeire, csatornáira, tavaira és minden vízfogóira, hogy vérré legyenek és vér legyen Égyiptom egész földén, mind a fa-, mind a kőedényekben.
Exod.7.20 | Mózes és Áron pedig úgy cselekedének, a mint az Úr parancsolta vala. És felemelé a vesszőt és megsujtá a vizet, a mely a folyóban vala a Faraó előtt és az ő szolgái előtt, és mind vérré változék a víz, a mely a folyóban vala.
Exod.7.21 | A hal pedig, a mely a folyóvízben vala, meghala, és megbüdösödék a folyóvíz, és nem ihatának az Égyiptombeliek a folyónak vizéből; és vér vala az egész Égyiptom földén.
Exod.7.22 | De úgy cselekedének Égyiptom írástudói is az ő varázslásukkal, és kemény maradt a Faraó szíve és nem hallgata reájok; a mint az Úr megmondotta vala.
Exod.7.23 | És elfordula a Faraó és haza méne és ezen sem indula meg az ő szíve.
Exod.7.24 | Az Égyiptombeliek pedig mindnyájan ássák vala a folyóvíz mellékét vízért, hogy ihassanak; mert nem ihatják vala a folyó vizét.
Exod.7.25 | És hét nap telék el, a mióta az Úr megsujtotta vala a folyóvizet.

Exod.8.1 | És monda az Úr Mózesnek: Menj be a Faraóhoz és mondd néki: Azt mondja az Úr: Bocsásd el az én népemet, hogy szolgáljanak nékem.
Exod.8.2 | Ha pedig te el nem akarod bocsátani, ímé én egész határodat békákkal verem meg.
Exod.8.3 | És a folyóvíz békáktól pozsog és felmennek és bemennek a te házadba és ágyasházadba és ágyadra és a te szolgáid házába és néped közé és a te kemenczéidbe és sütőteknőidbe.
Exod.8.4 | És reád és népedre s minden te szolgáidra felmennek a békák.
Exod.8.5 | És monda az Úr Mózesnek: Mondd Áronnak: Nyujtsd ki kezedet a te vessződdel a folyóvizekre, csatornákra és a tavakra, és hozd fel a békákat Égyiptom földére.
Exod.8.6 | És kinyujtá kezét Áron Égyiptom vizeire, és békák jövének fel és ellepék Égyiptom földét.
Exod.8.7 | De az írástudók is úgy cselekedének az ő titkos mesterségökkel és felhozák a békákat Égyiptom földére.
Exod.8.8 | És hívatá a Faraó Mózest és Áront és monda: Könyörögjetek az Úrnak, hogy távolítsa el rólam és az én népemről a békákat, és én elbocsátom a népet, hogy áldozzék az Úrnak.
