Acts.1.1 | Első könyvemet írtam, Theofilus, mindazokról, a miket kezdett Jézus cselekedni és tanítani,
Acts.2.21 | És lészen, hogy mindaz, a ki az Úrnak nevét segítségül hívja, megtartatik.
Acts.2.22 | Izráelita férfiak, halljátok meg e beszédeket: A názáreti Jézust, azt a férfiút, a ki Istentől bizonyságot nyert előttetek erők, csudatételek és jelek által, melyeket ő általa cselekedett Isten ti köztetek, a mint magatok is tudjátok.
Acts.2.23 | Azt, a ki Istennek elvégezett tanácsából és rendeléséből adatott [halálra,] megragadván, gonosz kezeitekkel keresztfára feszítve megölétek:
Acts.2.24 | Kit az Isten feltámasztott, a halál fájdalmait megoldván; mivelhogy lehetetlen volt néki attól fogvatartatnia.
Acts.2.25 | Mert Dávid ezt mondja ő róla: Magam előtt láttam az Urat mindenkor, mert ő nékem jobb kezem felől van, hogy meg ne tántorodjam.
Acts.2.26 | Annakokáért örvendezett az én szívem, és vígadott az én nyelvem; annakfelette az én testem is reménységben nyugszik.
Acts.2.27 | Mert nem hagyod az én lelkemet a sírban, és nem engeded, hogy a te szented rothadást lásson.
Acts.2.28 | Megjelentetted nékem az életnek útait; betöltesz engem örömmel a te orczád előtt.
Acts.2.29 | Atyámfiai férfiak, szabad nyilván szólanom ti előttetek Dávid pátriárkáról, hogy ő megholt és eltemettetett, és az ő sírja mind e mai napig minálunk van.
Acts.2.30 | Próféta lévén azért, és tudván, hogy az Isten néki esküvéssel megesküdött, hogy majd az ő ágyékának gyümölcséből támasztja a Krisztust test szerint, hogy helyheztesse az ő királyi székibe,
Acts.2.31 | Előre látván [ezt,] szólott a Krisztus feltámadásáról, hogy az ő lelke nem hagyatott a sírban, sem az ő teste rothadást nem látott.
Acts.2.32 | Ezt a Jézust feltámasztotta az Isten, minek mi mindnyájan tanúbizonyságai vagyunk.
Acts.2.33 | Annakokáért az Istennek jobbja által felmagasztaltatván, és a megígért Szent Lelket megnyervén az Atyától, kitöltötte ezt, a mit ti most láttok és hallotok.
Acts.2.34 | Mert nem Dávid ment fel a mennyországba; hiszen ő maga mondja: Monda az Úr az én Uramnak: Ülj az én jobbkezem felől,
Acts.2.35 | Míglen vetem a te ellenségeidet lábaid alá zsámolyul.
Acts.2.36 | Bizonynyal tudja meg azért Izráelnek egész háza, hogy Úrrá és Krisztussá tette őt az Isten, azt a Jézust, a kit ti megfeszítettetek.
Acts.2.37 | [Ezeket] pedig mikor hallották, szívökben megkeseredének, és mondának Péternek és a többi apostoloknak: Mit cselekedjünk, atyámfiai, férfiak?
Acts.2.38 | Péter pedig monda nékik: Térjetek meg és keresztelkedjetek meg mindnyájan a Jézus Krisztusnak nevében a bűnöknek bocsánatjára; és veszitek a Szent Lélek ajándékát.
Acts.2.39 | Mert néktek lett az ígéret és a ti gyermekeiteknek, és mindazoknak, kik messze vannak, valakiket csak elhív magának az Úr, a mi Istenünk.
Acts.2.40 | Sok egyéb beszéddel is buzgón kéri és inti vala őket, mondván: Szakaszszátok el magatokat e gonosz nemzetségtől!
Acts.2.41 | A kik azért örömest vevék az ő beszédét, megkeresztelkedének; és hozzájuk csatlakozék azon a napon mintegy háromezer lélek.
Acts.2.42 | És foglalatosok valának az apostolok tudományában és a közösségben, a kenyérnek megtörésében és a könyörgésekben.
Acts.2.43 | Támada pedig minden lélekben félelem, és az apostolok sok csudát és jelt tesznek vala.
Acts.2.44 | Mindnyájan pedig, a kik hivének, együtt valának, és mindenük köz vala;
Acts.2.45 | És jószágukat és marháikat eladogaták, és szétosztogaták azokat mindenkinek, a mint kinek-kinek szüksége vala.
Acts.2.46 | És minden nap egyakarattal kitartva a templomban, és megtörve házanként a kenyeret, részesednek vala eledelben örömmel és tiszta szívvel.
Acts.2.47 | Dícsérve az Istent, és az egész nép előtt kedvességet találva. Az Úr pedig minden napon szaporítja vala a gyülekezetet az idvezülőkkel.

Acts.3.1 | Péter és János pedig együtt mennek vala fel a templomba az imádkozásnak órájára, kilenczre.
Acts.3.2 | És hoznak vala egy embert, ki az ő anyjának méhétől fogva sánta vala, kit minden nap le szoktak tenni a templom kapujánál, melyet Ékesnek neveznek, hogy kérjen alamizsnát azoktól, a kik bemennek a temlomba.
Acts.3.3 | Ez mikor látta, hogy Péter és János a templomba akarnak bemenni, kére ő tőlük alamizsnát.
Acts.3.4 | Péter pedig mikor szemeit reá vetette Jánossal egyben, monda: Nézz mi reánk!
Acts.3.5 | Az annakokáért figyelmez vala reájok, remélvén, hogy valamit kap tőlük.
Acts.3.6 | Péter pedig monda: Ezüstöm és aranyam nincsen nékem; hanem a mim van, azt adom néked: a názáreti Jézus Krisztus nevében, kelj fel és járj!
Acts.3.7 | És őt jobbkezénél fogva felemelé, és azonnal megerősödének az ő lábai és bokái.
Acts.3.8 | És felszökvén, megálla és jár vala és beméne ő velök a templomba, járkálva és szökdelve és dícsérve az Istent.
Acts.3.9 | És látá őt az egész nép, hogy jár és dícséri az Istent:
Acts.3.10 | És megismerék őt, hogy ő volt az, a ki alamizsnáért ült a templomnak Ékeskapujában; és megtelének csodálkozással és azon való álmélkodással, a mi történt vala ő vele.
Acts.3.11 | Mikor pedig ragaszkodék Péterhez és Jánoshoz az a sánta, a ki meggyógyult, az egész nép álmélkodva összefuta ő hozzájok a tornáczba, mely Salamonénak neveztetik.
Acts.3.12 | Mikor pedig ezt látta Péter, monda a népnek: Izráel férfiai, mit csodálkoztok ezen, vagy mit néztek mi reánk, mintha tulajdon erőnkkel vagy jámborságunkkal míveltük volna azt, hogy az járjon?
Acts.3.13 | Az Ábrahámnak, Izsáknak és Jákóbnak Istene, a mi atyáinknak Istene megdicsőítette az ő Fiát, Jézust, kit ti elárulátok, és megtagadátok Pilátus előtt, noha ő úgy ítélt, hogy elbocsátja.
Acts.3.14 | Ti pedig azt a szentet és igazat megtagadátok és kívánátok, hogy a gyilkos ember bocsáttassék el néktek,
Acts.3.15 | Az életnek fejedelmét pedig megölétek; kit az Isten feltámasztott a halálból, minek mi vagyunk bizonyságai.
Acts.3.16 | És az ő nevében való hit által erősítette meg az ő neve ezt, a kit láttok és ismertek; és a hit, mely ő általa van, adta néki ezt az épséget mindnyájan a ti szemetek láttára.
Acts.3.17 | De most, atyámfiai, tudom, hogy tudatlanságból cselekedtetek, miképen a ti fejedelmeitek is.
Acts.3.18 | Az Isten pedig, a mikről eleve megmondotta minden ő prófétájának szája által, hogy a Krisztus elszenvedi, ekképen töltötte be.
Acts.3.19 | Bánjátok meg azért és térjetek meg, hogy eltöröltessenek a ti bűneitek, hogy így eljőjjenek a felüdülés idei az Úrnak színétől.
Acts.3.20 | És elküldje a Jézus Krisztust, a ki néktek előre hirdettetett.
Acts.3.21 | Kit az égnek kell magába fogadnia mind az időkig, míglen újjá teremtetnek mindenek, a mikről szólott az Isten minden ő szent prófétájának szája által eleitől fogva.
Acts.3.22 | Mert Mózes ezt mondotta az atyáknak: Prófétát támaszt néktek az Úr, a ti Istenetek a ti atyátokfiai közül, mint engem; azt hallgassátok mindenben, a mit csak szólánd néktek.
Acts.3.23 | Lészen pedig, hogy minden lélek, valamely nem hallgatánd arra a prófétára, ki fog irtatni a nép közül.
Acts.3.24 | De a próféták is mindnyájan Sámueltől és a következőktől fogva, a kik csak szóltak, e napokról jövendöltek.
Acts.3.25 | Ti vagytok a prófétáknak és a szövetségnek fiai, melyet Isten szerzett a mi atyáinkkal, mondván Ábrahámnak: És a te magodban megáldatnak a földnek nemzetségei mindnyájan.
Acts.3.26 | Az Isten az ő Fiát, Jézust első sorban néktek támasztván, elküldé őt, hogy megáldjon titeket, mindegyikőtöket megtérítvén bűneitekből.

Acts.4.1 | Míg ők azonban a néphez szólottak, oda léptek hozzájuk a papok és a templom felügyelője és a sadduczeusok,
Acts.4.2 | Neheztelve a miatt, hogy ők a népet tanítják, és hirdetik a Jézusban a halálból való feltámadást;
Acts.4.3 | És rájuk veték kezüket, és veték őket őrizet alá másnapig, mert már este vala.
Acts.4.4 | Sokan pedig azok közül, kik hallgaták az ígét, hivének; és lőn a férfiak száma mintegy ötezer.
Acts.4.5 | Lőn pedig, hogy másnapra egybegyűlének azoknak fejei, vénei és írástudói Jeruzsálembe.
Acts.4.6 | És Annás, a főpap, és Kajafás és János és Sándor, és a kik csak főpapi nemzetségbeliek valának.
Acts.4.7 | És mikor őket a középre állaták, tudakozzák vala: Micsoda hatalommal, vagy micsoda név által cselekedtétek ti ezt?
Acts.4.8 | Akkor Péter, Szent Lélekkel megtelve, monda nékik: Népnek fejedelmei és Izráelnek vénei!
Acts.4.9 | Ha e mai napon mi egy nyavalyás emberrel való jótétemény felől hallgattatunk ki, mi által gyógyult meg ez:
Acts.4.10 | Legyen tudtotokra mindnyájotoknak és az Izráel egész népének, hogy a názáretbeli Jézus Krisztusnak neve által, a kit ti megfeszítettetek, kit Isten feltámasztott halottaiból, az által áll ez ti előttetek épségben.
Acts.4.11 | Ez ama kő, melyet ti építők megvetettetek, mely lett a szegeletnek fejévé.
Acts.4.12 | És nincsen senkiben másban idvesség: mert nem is adatott emberek között az ég alatt más név, mely által kellene nékünk megtartatnunk.
Acts.4.13 | Mikor pedig látták Péternek és Jánosnak a szólásban való bátorságukat, és megértették, hogy írástudatlan és közönséges emberek, csodálkoznak vala; meg is ismerék őket, hogy a Jézussal voltak vala.
Acts.4.14 | Mikor azonban látták, hogy a mely ember meggyógyult vala, ő velök együtt ott áll, semmit nem bírtak ellenök szólni.
Acts.4.15 | Mikor pedig őket a gyűlésből kiküldötték, tanácskoztak maguk közt[,] mondván:
Acts.4.16 | Mit cselekedjünk ez emberekkel? Mert hogy nyilvánvaló csoda lőn általok, mindazoknak, kik Jeruzsálemben laknak, tudtokra van, és el nem tagadhatjuk.
Acts.4.17 | De hogy tovább ne terjedjen a nép között, fenyegetéssel fenyegessük meg őket, hogy többé egy embernek se szóljanak ebben a névben.
Acts.4.18 | Azért beszólítván őket, megparancsolák nékik, hogy teljességgel ne szóljanak és ne tanítsanak a Jézus nevében.
Acts.4.19 | Péter és János pedig felelvén, mondának nékik: Vajjon igaz dolog-é Isten előtt, rátok hallgatnunk inkább, hogynem Istenre, ítéljétek meg!
Acts.4.20 | Mert nem tehetjük, hogy a miket láttunk és hallottunk, azokat ne szóljuk.
Acts.4.21 | Amazok pedig nem találván semmi módot, hogyan büntessék meg őket, még megfenyegetvén, elbocsáták őket a nép miatt, mert mindnyájan dicsőítik vala az Istent azért, a mi történt.
Acts.4.22 | Mert több vala negyven esztendősnél az az ember, kin a gyógyításnak ez a csodája lett vala.
Acts.4.23 | Mikor pedig elbocsáttattak, menének az övéikhez, és elbeszélék, a miket a főpapok és a vének mondottak nékik.
Acts.4.24 | Ezek pedig mikor hallották, egy szívvel-lélekkel felemelék szavokat az Istenhez, és mondának: Urunk, te vagy az Isten, ki teremtetted a mennyet és a földet, a tengert és minden azokban levő dolgot.
Acts.4.25 | Ki Dávidnak, a te szolgádnak szája által ezt mondottad: Miért zúgolódtak a pogányok, és gondoltak a népek hiábavalókat?
Acts.4.26 | Felállottak a földnek királyai, és a fejedelmek egybegyűltek az Úr ellen és az ő Krisztusa ellen.
Acts.4.27 | Mert bizony egybegyűltek a te szent Fiad, a Jézus ellen, a kit felkentél, Heródes és Ponczius Pilátus a pogányokkal és Izráel népével,
Acts.4.28 | Hogy véghezvigyék, a mikről a te kezed és a te tanácsod eleve elvégezte volt, hogy megtörténjenek.
Acts.4.29 | Most azért, Urunk, tekints az ő fenyegetéseikre: és adjad a te szolgáidnak, hogy teljes bátorsággal szólják a te beszédedet,
Acts.4.30 | A te kezedet kinyújtván gyógyításra; és hogy jelek és csodák történjenek a te szent Fiadnak, a Jézusnak neve által.
Acts.4.31 | És minekutána könyörögtek, megmozdula a hely, a hol egybegyűltek; és betelének mindnyájan Szent Lélekkel, és az Isten beszédét bátorsággal szólják vala.
Acts.4.32 | A hívők sokaságának pedig szíve-lelke egy vala; és senki semmi marháját nem mondá magáénak, hanem nékik mindenök köz vala.
Acts.4.33 | És az apostolok nagy erővel tesznek vala bizonyságot az Úr Jézus feltámadásáról; és nagy kegyelem vala mindnyájukon.
Acts.4.34 | Mert szűkölködő sem vala ő közöttük senki; mert valakik földek vagy házak birtokosai voltak, eladván, elhozák az eladottak árát,
Acts.4.35 | És letevék az apostolok lábainál: aztán elosztatott az egyesek közt, a mint kinek-kinek szüksége vala.
Acts.4.36 | József is, ki az apostoloktól Barnabásnak neveztetett el (a mi megmagyarázva annyi, mint Vígasztalás Fia), Lévita, származása szerint ciprusi.
Acts.4.37 | Mivelhogy néki mezeje vala, eladván, a pénzt elhozá, és az apostolok lábainál letevé.

Acts.5.1 | Egy ember azonban, névszerint Anániás, Safirával, az ő feleségével, eladá birtokát.
Acts.5.2 | És félre tőn az árából, feleségének is tudtával, és valami részét elvivén, az apostoloknak lábai elé letevé.
Acts.5.3 | Monda pedig Péter: Anániás, miért foglalta el a Sátán a te szívedet, hogy megcsald a Szent Lelket, és a mezőnek árából félre tégy?
Acts.5.4 | Nemde megmaradva néked maradt volna meg, és eladva a te hatalmadban volt? Miért hogy ezt a dolgot cselekedted szívedben? Nem embereknek hazudtál, hanem Istennek.
Acts.5.5 | Hallván pedig Anániás e szavakat, lerogyott és meghala; és mindenekben nagy félelem támada, kik ezeket hallják vala.
Acts.5.6 | Az ifjak pedig felkelvén, begöngyölék őt, és kivivén eltemeték.
Acts.5.7 | Történt aztán mintegy három órai szünet múlva, hogy az ő felesége, nem tudva, mi történt, beméne.
Acts.5.8 | Monda pedig néki Péter: Mondd meg nékem, vajjon ennyiért adtátok-é el a földet? Ő pedig monda: Igen, ennyiért.
Acts.5.9 | Péter pedig monda néki: Miért hogy megegyeztetek, hogy az Úrnak lelkét megkísértsétek? Ímé a küszöbön vannak azoknak lábaik, a kik eltemették férjedet, és kivisznek téged.
Acts.5.10 | És azonnal összerogyott lábainál, és meghala; bemenvén pedig az ifjak, halva találák őt, és kivivén eltemeték férje mellé.
Acts.5.11 | És támada nagy félelem az egész gyülekezetben és mindazokban, kik ezeket hallják vala.
Acts.5.12 | Az apostolok kezei által pedig sok jel és csoda lőn a nép között; és egyakarattal mindnyájan a Salamon tornáczában valának.
Acts.5.13 | Egyebek közül pedig senki sem mert közéjük elegyedni: hanem a nép magasztalá őket;
Acts.5.14 | Hívők pedig mindinkább csatlakoztak az Úrhoz, úgy férfiaknak, mint asszonyoknak sokasága.
Acts.5.15 | Úgyannyira, hogy az utczákra hozák ki a betegeket, és letevék ágyakon és nyoszolyákon, hogy az arra menő Péternek csak árnyéka is érje valamelyiket közülök,
Acts.5.16 | És a szomszéd városok sokasága is Jeruzsálembe gyűlt, hozva betegeket és tisztátalan lelkektől gyötretteket: kik mind meggyógyulának.
Acts.5.17 | De felkelvén a főpap és mind a kik vele valának, azaz a sadduczeusok felekezete, betelének irigységgel,
Acts.5.18 | És ráveték kezöket az apostolokra, és a közönséges tömlöczbe tevék őket.
Acts.5.19 | Hanem az Úrnak angyala éjszaka megnyitá a tömlöcz ajtaját, és kihozván őket, monda:
Acts.5.20 | Menjetek el, és felállván, hirdessétek a templomban a népnek ez életnek minden beszédit!
Acts.5.21 | Azok pedig [ezt] hallván, bemenének jó reggel a templomba, és tanítának. A főpap pedig elmenvén és a vele levők, egybehívák a gyűlést, és Izráel fiainak egész tanácsát, és küldének a tömlöczbe, hogy azokat előhozzák.
Acts.5.22 | Mikor azonban a poroszlók oda mentek, nem találák őket a tömlöczben; visszatérvén tehát, megjelenték,
Acts.5.23 | Mondván: A tömlöczöt ugyan nagy erősen bezárva találtuk, és az őröket kívül az ajtó előtt állva; mikor azonban kinyitottuk, ott benn senkit sem találánk.
Acts.5.24 | A mint pedig hallották e szavakat a pap és a templom felügyelője és a főpapok, zavarban voltak azok miatt, mi lehet ez?
Acts.5.25 | Eljövén pedig valaki, hírül adá nékik, mondván: Ímé, ama férfiak, kiket a tömlöczbe vetettetek, a templomban állanak és tanítják a népet.
Acts.5.26 | Akkor elmenvén a felügyelő a poroszlókkal, előhozá őket erőszak nélkül; féltek ugyanis a néptől, hogy megkövezi őket.
Acts.5.27 | Előhozván pedig őket, állaták a tanács elé; és megkérdé őket a főpap,
Acts.5.28 | Mondván: Nem megparancsoltuk-é néktek parancsolattal, hogy ne tanítsatok ebben a névben? És ímé betöltöttétek Jeruzsálemet tudományotokkal, és mi reánk akarjátok hárítani annak az embernek vérét.
Acts.5.29 | Felelvén pedig Péter és az apostolok, mondának: Istennek kell inkább engedni, hogynem az embereknek.
Acts.5.30 | A mi atyáinknak Istene feltámasztotta Jézust, kit ti fára függesztve megölétek.
Acts.5.31 | Ezt az Isten fejedelemmé és megtartóvá emelte jobbjával, hogy adjon az Izráelnek bűnbánatot és bűnöknek bocsánatát.
Acts.5.32 | És mi vagyunk néki bizonyságai ezen beszédek felől, és a Szent Lélek is, kit Isten adott azoknak, a kik néki engednek.
Acts.5.33 | Azok pedig ezeket hallván, fogukat csikorgaták, és arról tanácskozának, hogy megölik őket.
Acts.5.34 | Felkelvén azonban a tanácsban egy farizeus, névszerint Gamáliel, az egész nép előtt tisztelt törvénytudó, parancsolá, hogy egy kis időre vezessék ki az apostolokat.
Acts.5.35 | És monda azoknak: Izráel férfiai, vigyázzatok magatokra ez emberekkel szemben, mit akartok cselekedni!
Acts.5.36 | Mert ez időnek előtte felkelt Theudás, azt mondván, hogy ő valaki, kihez mintegy négyszáz embernyi tömeg csatlakozott; ő megöletett, és mindnyájan, a kik csak követték őt, eloszlottak és semmivé lettek.
Acts.5.37 | Ezután felkelt ama Galileus Júdás az összeírás idején, és sok népet maga után csábított: ez is elveszett; és mindazok, a kik őt követték, szétszórattak.
Acts.5.38 | Mostanra nézve is mondom néktek, álljatok el ez emberektől, és hagyjatok békét nékik: mert ha emberektől van e tanács, vagy e dolog, semmivé lesz;
Acts.5.39 | Ha pedig Istentől van, ti fel nem bonthatjátok azt; nehogy esetleg Isten ellen harczolóknak is találtassatok.
Acts.5.40 | Engedének azért néki; és miután előszólították az apostolokat, megveretvén, megparancsolák, hogy a Jézus nevében ne szóljanak, és elbocsáták őket.
Acts.5.41 | Ők annakokáért örömmel menének el a tanács elől, hogy méltókká tétettek arra, hogy az ő nevéért gyalázattal illettessenek.
Acts.5.42 | És mindennap a templomban és házanként nem szűnnek vala meg tanítani és hirdetni Jézust, a Krisztust.

Acts.6.1 | Azokban a napokban pedig, mikor a tanítványok szaporodának, támada a görög zsidók közt panaszolkodás a héberek ellen, hogy az ő közülük való özvegyasszonyok mellőztetnek a mindennapi szolgálatban.
Acts.6.2 | Annakokáért a tizenkettő egybegyűjtvén a tanítványok sokaságát, mondának: Nem helyes, hogy mi az Isten ígéjét elhagyjuk és az asztalok körül szolgáljunk.
Acts.6.3 | Válaszszatok azért, atyámfiai, ti közületek hét férfiút, kiknek [jó] bizonyságuk van, kik Szent Lélekkel és bölcseséggel teljesek, kiket erre a foglalatosságra beállítsunk.
Acts.6.4 | Mi pedig foglalatosok maradunk a könyörgésben és az ígehirdetés szolgálatában.
Acts.6.5 | És tetszék e beszéd az egész sokaságnak: és kiválaszták Istvánt, ki hittel és Szent Lélekkel teljes férfiú vala, Filepet, Prokhórust, Nikánórt, Timónt, Párménást és Nikolaust, ki Antiókhiából való prozelitus vala;
Acts.6.6 | Kiket állatának az apostolok elébe; és miután imádkoztak, kezeiket reájok veték.
Acts.6.7 | És az Isten ígéje növekedék; és sokasodék nagyon a tanítványok száma Jeruzsálemben; és a papok közül is nagy sokan követék a hitet.
Acts.6.8 | István pedig teljes lévén hittel és erővel, nagy csodákat és jeleket cselekszik vala a nép között.
Acts.6.9 | Előállának azonban némelyek ahhoz a zsinagógához tartozók közül, mely a szabadosokénak, Czirénebeliekének, Alexandriabeliekének és a Czilicziából és Ázsiából valókénak neveztetett, kik Istvánnal vetekednek vala.
Acts.6.10 | De nem állhattak ellene a bölcseségnek és a Léleknek, mely által szól vala.
Acts.6.11 | Akkor felbujtottak valami embereket, kik mondának: Hallottuk őt káromló beszédeket szólni Mózes ellen és az Isten ellen.
Acts.6.12 | És felzendíték a népet, a véneket és az írástudókat; és reá rohanván, magukkal ragadák őt, és vivék a tanács elé;
Acts.6.13 | És állatának hamis tanúkat, kik mondának: Ez az ember nem szűnik meg káromló beszédeket szólni e szent hely ellen és a törvény ellen:
Acts.6.14 | Mert hallottuk, a mint azt mondá, hogy az a názáreti Jézus ezt a helyet elrontja, és megváltoztatja a czerimóniákat, melyeket adott nékünk Mózes.
Acts.6.15 | És szemeiket reá vetvén a tanácsban űlők mindnyájan, [olyannak] láták az ő orczáját, mint egy angyalnak orczáját.

Acts.7.1 | Monda pedig a főpap: Vajjon így vannak-é hát ezek?
Acts.7.2 | Ő pedig monda: Férfiak, atyámfiai és atyák, halljátok meg! A dicsőségnek Istene megjelenék a mi atyánknak, Ábrahámnak, mikor Mezopotámiában vala, minekelőtte Háránban lakott,
Acts.7.3 | És monda néki: Eredj ki a te földedből és a te nemzetséged közül, és jer arra a földre, a melyet mutatok néked.
Acts.7.4 | Akkor kimenvén a Káldeusok földéből, lakozék Háránban: és onnét, minekutána megholt az ő atyja, kihozta őt e földre, a melyen ti most laktok:
Acts.7.5 | És nem adott néki abban örökséget csak egy lábnyomnyit is: és azt ígérte, hogy néki adja azt birtokul és az ő magvának ő utána, holott nem vala néki gyermeke.
