Matt.1.1 | Jézus Krisztusnak, Dávid fiának, Ábrahám fiának nemzetségéről való könyv.
Matt.2.3 | Heródes király pedig ezt hallván, megháborodék, és vele együtt az egész Jeruzsálem.
Matt.2.4 | És egybegyűjtve minden főpapot és a nép írástudóit, tudakozódik vala tőlük, hol kell a Krisztusnak megszületnie?
Matt.2.5 | Azok pedig mondának néki: A júdeai Bethlehemben; mert így írta vala meg a próféta:
Matt.2.6 | És te Bethlehem, Júdának földje, semmiképen sem vagy legkisebb Júda fejedelmi városai között: mert belőled származik a fejedelem, a ki legeltetni fogja az én népemet, az Izráelt.
Matt.2.7 | Ekkor Heródes titkon hivatván a bölcseket, szorgalmatosan megtudakolá tőlük a csillag megjelenésének idejét.
Matt.2.8 | És elküldvén őket Bethlehembe, monda nékik: Elmenvén, szorgalmatosan kérdezősködjetek a gyermek felől, mihelyt pedig megtaláljátok, adjátok tudtomra, hogy én is elmenjek és tisztességet tegyek néki.
Matt.2.9 | Ők pedig a király beszédét meghallván, elindulának. És ímé a csillag, a melyet napkeleten láttak, előttük megy vala mind addig, a míg odaérvén, megálla a hely fölött, a hol a gyermek vala.
Matt.2.10 | És mikor meglátták a csillagot, igen nagy örömmel örvendezének.
Matt.2.11 | És bemenvén a házba, ott találák a gyermeket anyjával, Máriával; és leborulván, tisztességet tőnek néki; és kincseiket kitárván, ajándékokat adának néki: aranyat, tömjént és mirhát.
Matt.2.12 | És mivel álomban meginttettek, hogy Heródeshez vissza ne menjenek, más úton térének vissza hazájokba.
Matt.2.13 | Mikor pedig azok visszatérnek vala, ímé megjelenék az Úrnak angyala Józsefnek álomban, és monda: Kelj fel, vedd a gyermeket és annak anyját, és fuss Égyiptomba, és maradj ott, a míg én mondom néked; mert Heródes halálra fogja keresni a gyermeket.
Matt.2.14 | Ő pedig fölkelvén, vevé a gyermeket és annak anyját éjjel, és Égyiptomba távozék.
Matt.2.15 | És ott vala egész a Heródes haláláig, hogy beteljesedjék, a mit az Úr mondott a próféta által, a ki így szólt: Égyiptomból hívtam ki az én fiamat.
Matt.2.16 | Ekkor Heródes látván, hogy a bölcsek megcsúfolták őt, szerfölött felháborodék, és kiküldvén, megölete Bethlehemben és annak egész környékén minden gyermeket, két esztendőstől és azon alól, az idő szerint, a melyet szorgalmasan tudakolt a bölcsektől.
Matt.2.17 | Ekkor teljesedék be, a mit Jeremiás próféta mondott, a midőn így szólt:
Matt.2.18 | Szó hallatszott Rámában: Sírás-rívás és sok keserves jajgatás. Rákhel siratta az ő fiait és nem akart megvigasztaltatni, mert nincsenek.
Matt.2.19 | Mikor pedig Heródes meghalt, ímé az Úrnak angyala megjelenék álomban Józsefnek Égyiptomban.
Matt.2.20 | Mondván: Kelj fel, vedd a gyermeket és annak anyját, és eredj az Izráel földére; mert meghaltak, a kik a gyermeket halálra keresik vala.
Matt.2.21 | Ő pedig felkelvén, magához vevé a gyermeket és annak anyját, és elméne Izráel földére.
Matt.2.22 | Mikor pedig hallá, hogy Júdeában Arkhelaus uralkodik, Heródesnek, az ő atyjának helyén, nem mert vala oda menni, hanem minthogy álomban meginteték, Galilea vidékeire tére.
Matt.2.23 | És oda jutván, lakozék Názáret nevű városban, hogy beteljesedjék, a mit a próféták mondottak, hogy názáretinek fog neveztetni.

Matt.3.1 | Azokban a napokban pedig eljöve Keresztelő János, a ki prédikál vala Júdea pusztájában.
Matt.3.2 | És ezt mondja vala: Térjetek meg, mert elközelített a mennyeknek országa.
Matt.3.3 | Mert ez az, a kiről Ésaiás próféta szólott, ezt mondván: Kiáltó szó a pusztában: Készítsétek az Úrnak útját, és egyengessétek meg az ő ösvényeit.
Matt.3.4 | Ennek a Jánosnak a ruhája pedig teveszőrből vala, és bőröv vala a dereka körül, elesége pedig sáska és erdei méz.
Matt.3.5 | Ekkor kiméne ő hozzá Jeruzsálem és az egész Júdea és a Jordánnak egész környéke.
Matt.3.6 | És megkeresztelkednek vala ő általa a Jordán vizében, vallást tevén az ő bűneikről.
Matt.3.7 | Mikor pedig látá, hogy a farizeusok és sadduceusok közül sokan mennek ő hozzá, hogy megkeresztelkedjenek, monda nékik: Mérges kígyóknak fajzatai! Kicsoda intett meg titeket, hogy az Istennek elkövetkezendő haragjától megmeneküljetek?
Matt.3.8 | Teremjetek hát megtéréshez illő gyümölcsöket.
Matt.3.9 | És ne gondoljátok, hogy így szólhattok magatokban: Ábrahám a mi atyánk! Mert mondom néktek, hogy Isten eme kövekből is támaszthat fiakat Ábrahámnak.
Matt.3.10 | A fejsze pedig immár a fák gyökerére vettetett. Azért minden fa, a mely jó gyümölcsöt nem terem, kivágattatik és tűzre vettetik.
Matt.3.11 | Én ugyan vízzel keresztellek titeket megtérésre, de a ki utánam jő, erősebb nálamnál, a kinek saruját hordozni sem vagyok méltó; ő Szent Lélekkel és tűzzel keresztel majd titeket.
Matt.3.12 | A kinek szóró lapát van az ő kezében, és megtisztítja az ő szérűjét; és az ő gabonáját csűrbe takarítja, a polyvát pedig megégeti olthatatlan tűzzel.
Matt.3.13 | Akkor eljöve Jézus Galileából a Jordán mellé Jánoshoz, hogy megkeresztelkedjék ő általa.
Matt.3.14 | János azonban visszatartja vala őt, mondván: Nékem kell általad megkeresztelkednem, és te jősz én hozzám?
Matt.3.15 | Jézus pedig felelvén, monda néki: Engedj most, mert így illik nékünk minden igazságot betöltenünk. Ekkor engede néki.
Matt.3.16 | És Jézus megkeresztelkedvén, azonnal kijöve a vízből; és ímé az egek megnyilatkozának néki, és ő látá az Istennek Lelkét alájőni mintegy galambot és ő reá szállani.
Matt.3.17 | És ímé egy égi hang ezt mondja vala: Ez amaz én szerelmes fiam, a kiben én gyönyörködöm.

Matt.4.1 | Akkor Jézus viteték a Lélektől a pusztába, hogy megkisértessék az ördögtől.
Matt.4.2 | És mikor negyven nap és negyven éjjel bőjtölt vala, végre megéhezék.
Matt.4.3 | És hozzámenvén a kisértő, monda néki: Ha Isten fia vagy, mondd, hogy e kövek változzanak kenyerekké.
Matt.4.4 | Ő pedig felelvén, monda: Meg van írva: Nemcsak kenyérrel él az ember, hanem minden ígével, a mely Istennek szájából származik.
Matt.4.5 | Ekkor vivé őt az ördög a szent városba, és odahelyezé a templom tetejére.
Matt.4.6 | És monda néki: Ha Isten fia vagy, vesd alá magadat; mert meg van írva: Az ő angyalainak parancsol felőled, és kézen hordoznak téged, hogy meg ne üsd lábadat a kőbe.
Matt.4.7 | Monda néki Jézus: Viszont meg van írva: Ne kisértsd az Urat, a te Istenedet.
Matt.4.8 | Ismét vivé őt az ördög egy igen magas hegyre, és megmutatá néki a világ minden országát és azok dicsőségét,
Matt.4.9 | És monda néki: Mindezeket néked adom, ha leborulva imádsz engem.
Matt.4.10 | Ekkor monda néki Jézus: Eredj el Sátán, mert meg van írva: Az Urat, a te Istenedet imádd, és csak néki szolgálj.
Matt.4.11 | Ekkor elhagyá őt az ördög. És ímé angyalok jövének hozzá és szolgálnak vala néki.
Matt.4.12 | Mikor pedig meghallotta Jézus, hogy János börtönbe vettetett, visszatére Galileába;
Matt.4.13 | És odahagyva Názáretet, elméne és lakozék a tengerparti Kapernaumban, a Zebulon és Naftali határain;
Matt.4.14 | Hogy beteljesedjék, a mit Ésaiás próféta mondott, így szólván:
Matt.4.15 | Zebulonnak földje és Naftalinak földje, a tenger felé, a Jordánon túl, a pogányok Galileája,
Matt.4.16 | A nép, a mely sötétségben ül vala, láta nagy világosságot, és a kik a halálnak földében és árnyékában ülnek vala, azoknak világosság támada.
Matt.4.17 | Ettől fogva kezde Jézus prédikálni, és ezt mondani: Térjetek meg, mert elközelgetett a mennyeknek országa.
Matt.4.18 | Mikor pedig a galileai tenger mellett jár vala Jézus, láta két testvért, Simont, a kit Péternek neveznek, és Andrást az ő testvérét, a mint a tengerbe hálót vetnek vala; mert halászok valának.
Matt.4.19 | És monda nékik: Kövessetek engem, és azt mívelem, hogy embereket halásszatok.
Matt.4.20 | Azok pedig azonnal otthagyván a hálókat, követék őt.
Matt.4.21 | És onnan tovább menve, láta más két testvért, Jakabot a Zebedeus fiát, és Jánost amannak testvérét, a mint a hajóban atyjukkal Zebedeussal a hálóikat kötözgetik vala; és hívá őket.
Matt.4.22 | Azok pedig azonnal otthagyván a hajót és atyjukat, követék őt.
Matt.4.23 | És bejárá Jézus az egész Galileát, tanítva azok zsinagógáiban, és hirdetve az Isten országának evangyéliomát, és gyógyítva a nép között minden betegséget és minden erőtlenséget.
Matt.4.24 | És elterjede az ő híre egész Siriában: és hozzávivék mindazokat, a kik rosszul valának, a különféle betegségekben és kínokban sínlődőket, ördöngösöket, holdkórosokat és gutaütötteket; és meggyógyítja vala őket.
Matt.4.25 | És nagy sokaság követé őt Galileából és a Tízvárosból és Jeruzsálemből és Júdeából és a Jordánon túlról.

Matt.5.1 | Mikor pedig látta Jézus a sokaságot, felméne a hegyre, és a mint leül vala, hozzámenének az ő tanítványai.
Matt.5.2 | És megnyitván száját, tanítja vala őket, mondván:
Matt.5.3 | Boldogok a lelki szegények: mert övék a mennyeknek országa.
Matt.5.4 | Boldogok, a kik sírnak: mert ők megvígasztaltatnak.
Matt.5.5 | Boldogok a szelídek: mert ők örökségül bírják a földet.
Matt.5.6 | Boldogok, a kik éhezik és szomjúhozzák az igazságot: mert ők megelégíttetnek.
Matt.5.7 | Boldogok az irgalmasok: mert ők irgalmasságot nyernek.
Matt.5.8 | Boldogok, a kiknek szívök tiszta: mert ők az Istent meglátják.
Matt.5.9 | Boldogok a békességre igyekezők: mert ők az Isten fiainak mondatnak.
Matt.5.10 | Boldogok, a kik háborúságot szenvednek az igazságért: mert övék a mennyeknek országa.
Matt.5.11 | Boldogok vagytok, ha szidalmaznak és háborgatnak titeket és minden gonosz hazugságot mondanak ellenetek én érettem.
Matt.5.12 | Örüljetek és örvendezzetek, mert a ti jutalmatok bőséges a mennyekben: mert így háborgatták a prófétákat is, a kik előttetek voltak.
Matt.5.13 | Ti vagytok a földnek savai; ha pedig a só megízetlenül, mivel sózzák meg? nem jó azután semmire, hanem hogy kidobják és eltapossák az emberek.
Matt.5.14 | Ti vagytok a világ világossága. Nem rejtethetik el a hegyen épített város.
Matt.5.15 | Gyertyát sem azért gyújtanak, hogy a véka alá, hanem hogy a gyertyatartóba tegyék és fényljék mindazoknak, a kik a házban vannak.
Matt.5.16 | Úgy fényljék a ti világosságtok az emberek előtt, hogy lássák a ti jó cselekedeteiteket, és dicsőítsék a ti mennyei Atyátokat.
Matt.5.17 | Ne gondoljátok, hogy jöttem a törvénynek vagy a prófétáknak eltörlésére. Nem jöttem, hogy eltöröljem, hanem inkább, hogy betöltsem.
Matt.5.18 | Mert bizony mondom néktek, míg az ég és a föld elmúlik, a törvényből egy jóta vagy egyetlen pontocska el nem múlik, a míg minden be nem teljesedik.
Matt.5.19 | Valaki azért csak egyet is megront e legkisebb parancsolatok közül és úgy tanítja az embereket, a mennyeknek országában a legkisebb lészen; valaki pedig cselekszi és úgy tanít, az a mennyeknek országában nagy lészen.
Matt.5.20 | Mert mondom néktek, hogy ha a ti igazságotok nem több az írástudók és farizeusok igazságánál, semmiképen sem mehettek be a mennyeknek országába.
Matt.5.21 | Hallottátok, hogy megmondatott a régieknek: Ne ölj, mert a ki öl, méltó az ítéletre.
Matt.5.22 | Én pedig azt mondom néktek, hogy mindaz, a ki haragszik az ő atyjafiára ok nélkül, méltó az ítéletre: a ki pedig azt mondja az ő atyjafiának: Ráka, méltó a főtörvényszékre: a ki pedig ezt mondja: Bolond, méltó a gyehenna tüzére.
Matt.5.23 | Azért, ha a te ajándékodat az oltárra viszed és ott megemlékezel arról, hogy a te atyádfiának valami panasza van ellened:
Matt.5.24 | Hagyd ott az oltár előtt a te ajándékodat, és menj el, elébb békélj meg a te atyádfiával, és azután eljövén, vidd fel a te ajándékodat.
Matt.5.25 | Légy jóakarója a te ellenségednek hamar, a míg az úton vagy vele, hogy ellenséged valamiképen a bíró kezébe ne adjon, és a bíró oda ne adjon a poroszló kezébe, és tömlöczbe ne vessen téged.
Matt.5.26 | Bizony mondom néked: ki nem jősz onnét, mígnem megfizetsz az utolsó fillérig.
Matt.5.27 | Hallottátok, hogy megmondatott a régieknek: Ne paráználkodjál!
Matt.5.28 | Én pedig azt mondom néktek, hogy valaki asszonyra tekint gonosz kivánságnak okáért, immár paráználkodott azzal az ő szívében.
Matt.5.29 | Ha pedig a te jobb szemed megbotránkoztat téged, vájd ki azt és vesd el magadtól; mert jobb néked, hogy egy vesszen el a te tagjaid közül, semhogy egész tested a gyehennára vettessék.
Matt.5.30 | És ha a te jobb kezed botránkoztat meg téged, vágd le azt és vesd el magadtól; mert jobb néked, hogy egy vesszen el a te tagjaid közül, semhogy egész tested a gyehennára vettessék.
Matt.5.31 | Megmondatott továbbá: Valaki elbocsátja feleségét, adjon néki elválásról való levelet.
Matt.5.32 | Én pedig azt mondom néktek: Valaki elbocsátja feleségét, paráznaság okán kívül, paráznává teszi azt; és a ki elbocsátott asszonyt veszen el, paráználkodik.
Matt.5.33 | Ismét hallottátok, hogy megmondatott a régieknek: Hamisan ne esküdjél, hanem teljesítsd az Úrnak tett esküidet.
Matt.5.34 | Én pedig azt mondom néktek: Teljességgel ne esküdjetek; se az égre, mert az az Istennek királyi széke;
Matt.5.35 | Se a földre, mert az az ő lábainak zsámolya; se Jeruzsálemre, mert a nagy Királynak városa;
Matt.5.36 | Se a te fejedre ne esküdjél, mert egyetlen hajszálat sem tehetsz fehérré vagy feketévé;
Matt.5.37 | Hanem legyen a ti beszédetek: Úgy úgy; nem nem; a mi pedig ezeken felül vagyon, a gonosztól vagyon.
Matt.5.38 | Hallottátok, hogy megmondatott: Szemet szemért és fogat fogért.
Matt.5.39 | Én pedig azt mondom néktek: Ne álljatok ellene a gonosznak, hanem a ki arczul üt téged jobb felől, fordítsd felé a másik orczádat is.
Matt.5.40 | És a ki törvénykezni akar veled és elvenni a te alsó ruhádat, engedd oda néki a felsőt is.
Matt.5.41 | És a ki téged egy mértföldútra kényszerít, menj el vele kettőre.
Matt.5.42 | A ki tőled kér, adj néki; és a ki tőled kölcsön akar kérni, el ne fordulj attól.
Matt.5.43 | Hallottátok, hogy megmondatott: Szeresd felebarátodat és gyűlöld ellenségedet.
Matt.5.44 | Én pedig azt mondom néktek: Szeressétek ellenségeiteket, áldjátok azokat, a kik titeket átkoznak, jót tegyetek azokkal, a kik titeket gyűlölnek, és imádkozzatok azokért, a kik háborgatnak és kergetnek titeket.
Matt.5.45 | Hogy legyetek a ti mennyei Atyátoknak fiai, a ki felhozza az ő napját mind a gonoszokra, mind a jókra, és esőt ád mind az igazaknak, mind a hamisaknak.
Matt.5.46 | Mert ha azokat szeretitek, a kik titeket szeretnek, micsoda jutalmát veszitek? Avagy a vámszedők is nem ugyanazt cselekeszik-é?
Matt.5.47 | És ha csak a ti atyátokfiait köszöntitek, mit cselekesztek másoknál többet? Nemde a vámszedők is nem azonképen cselekesznek-é?
Matt.5.48 | Legyetek azért ti tökéletesek, miként a ti mennyei Atyátok tökéletes.

Matt.6.1 | Vigyázzatok, hogy alamizsnátokat ne osztogassátok az emberek előtt, hogy lássanak titeket; mert különben nem lesz jutalmatok a ti mennyei Atyátoknál.
Matt.6.2 | Azért mikor alamizsnát osztogatsz, ne kürtöltess magad előtt, a hogy a képmutatók tesznek a zsinagógákban és az utczákon, hogy az emberektől dícséretet nyerjenek. Bizony mondom néktek: elvették jutalmukat.
Matt.6.3 | Te pedig a mikor alamizsnát osztogatsz, ne tudja a te bal kezed, mit cselekszik a te jobb kezed;
Matt.6.4 | Hogy a te alamizsnád titkon legyen; és a te Atyád, a ki titkon néz, megfizet néked nyilván.
Matt.6.5 | És mikor imádkozol, ne légy olyan, mint a képmutatók, a kik a gyülekezetekben és az utczák szegeletein fenállva szeretnek imádkozni, hogy lássák őket az emberek. Bizony mondom néktek: elvették jutalmukat.
Matt.6.6 | Te pedig a mikor imádkozol, menj be a te belső szobádba, és ajtódat bezárva, imádkozzál a te Atyádhoz, a ki titkon van; és a te Atyád, a ki titkon néz, megfizet néked nyilván.
Matt.6.7 | És mikor imádkoztok, ne legyetek sok beszédűek, mint a pogányok, a kik azt gondolják, hogy az ő sok beszédükért hallgattatnak meg.
Matt.6.8 | Ne legyetek hát ezekhez hasonlók; mert jól tudja a ti Atyátok, mire van szükségetek, mielőtt kérnétek tőle.
Matt.6.9 | Ti azért így imádkozzatok: Mi Atyánk, ki vagy a mennyekben, szenteltessék meg a te neved;
Matt.6.10 | Jőjjön el a te országod; legyen meg a te akaratod, mint a mennyben, úgy a földön is.
Matt.6.11 | A mi mindennapi kenyerünket add meg nékünk ma.
Matt.6.12 | És bocsásd meg a mi vétkeinket, miképen mi is megbocsátunk azoknak, a kik ellenünk vétkeztek;
Matt.6.13 | És ne vígy minket kísértetbe, de szabadíts meg minket a gonosztól. Mert tiéd az ország és a hatalom és a dicsőség mind örökké. Ámen!
Matt.6.14 | Mert ha megbocsátjátok az embereknek az ő vétkeiket, megbocsát néktek is a ti mennyei Atyátok.
Matt.6.15 | Ha pedig meg nem bocsátjátok az embereknek az ő vétkeiket, a ti mennyei Atyátok sem bocsátja meg a ti vétkeiteket.
Matt.6.16 | Mikor pedig bőjtöltök, ne legyen komor a nézéstek, mint a képmutatóké, a kik eltorzítják arczukat, hogy lássák az emberek, hogy ők bőjtölnek. Bizony mondon néktek, elvették jutalmukat.
Matt.6.17 | Te pedig mikor bőjtölsz, kend meg a te fejedet, és a te orczádat mosd meg;
Matt.6.18 | Hogy ne az emberek lássák bőjtölésedet, hanem a te Atyád, a ki titkon van; és a te Atyád, a ki titkon néz, megfizet néked nyilván.
Matt.6.19 | Ne gyűjtsetek magatoknak kincseket a földön, hol a rozsda és a moly megemészti, és a hol a tolvajok kiássák és ellopják;
Matt.6.20 | Hanem gyűjtsetek magatoknak kincseket mennyben, a hol sem a rozsda, sem a moly meg nem emészti, és a hol a tolvajok ki nem ássák, sem el nem lopják.
Matt.6.21 | Mert a hol van a ti kincsetek, ott van a ti szívetek is.
Matt.6.22 | A test lámpása a szem. Ha azért a te szemed tiszta, a te egész tested világos lesz.
Matt.6.23 | Ha pedig a te szemed gonosz, a te egész tested sötét lesz. Ha azért a benned lévő világosság sötétség: mekkora akkor a sötétség?!
Matt.6.24 | Senki sem szolgálhat két úrnak. Mert vagy az egyiket gyűlöli és a másikat szereti; vagy az egyikhez ragaszkodik és a másikat megveti. Nem szolgálhattok Istennek és a Mammonnak.
Matt.6.25 | Azért azt mondom néktek: Ne aggodalmaskodjatok a ti éltetek felől, mit egyetek és mit igyatok; sem a ti testetek felől, mibe öltözködjetek. Avagy nem több-é az élet hogynem az eledel, és a test hogynem az öltözet?
Matt.6.26 | Tekintsetek az égi madarakra, hogy nem vetnek, nem aratnak, sem csűrbe nem takarnak; és a ti mennyei Atyátok eltartja azokat. Nem sokkal különbek vagytok-é azoknál?
Matt.6.27 | Kicsoda pedig az közületek, a ki aggodalmaskodásával megnövelheti termetét egy araszszal?
Matt.6.28 | Az öltözet felől is mit aggodalmaskodtok? Vegyétek eszetekbe a mező liliomait, mi módon növekednek: nem munkálkodnak, és nem fonnak;
Matt.6.29 | De mondom néktek, hogy Salamon minden dicsőségében sem öltözködött úgy, mint ezek közül egy.
Matt.6.30 | Ha pedig a mezőnek füvét, a mely ma van, és holnap kemenczébe vettetik, így ruházza az Isten; nem sokkal inkább-é titeket, ti kicsinyhitűek?
Matt.6.31 | Ne aggodalmaskodjatok tehát, és ne mondjátok: Mit együnk? vagy: Mit igyunk? vagy: Mivel ruházkodjunk?
Matt.6.32 | Mert mind ezeket a pogányok kérdezik. Mert jól tudja a ti mennyei Atyátok, hogy mind ezekre szükségetek van.
Matt.6.33 | Hanem keressétek először Istennek országát, és az ő igazságát; és ezek mind megadatnak néktek.
Matt.6.34 | Ne aggodalmaskodjatok tehát a holnap felől; mert a holnap majd aggodalmaskodik a maga dolgai felől. Elég minden napnak a maga baja.

Matt.7.1 | Ne ítéljetek, hogy ne ítéltessetek.
Matt.7.2 | Mert a milyen ítélettel ítéltek, olyannal ítéltettek, és a milyen mértékkel mértek, olyannal mérnek néktek.
Matt.7.3 | Miért nézed pedig a szálkát, a mely a te atyádfia szemében van, a gerendát pedig, a mely a te szemedben van, nem veszed észre?
Matt.7.4 | Avagy mi módon mondhatod a te atyádfiának: Hadd vessem ki a szálkát a te szemedből; holott ímé, a te szemedben gerenda van?
Matt.7.5 | Képmutató, vesd ki előbb a gerendát a te szemedből, és akkor gondolj arra, hogy kivessed a szálkát a te atyádfiának szeméből!
Matt.7.6 | Ne adjátok azt, a mi szent, az ebeknek, se gyöngyeiteket ne hányjátok a disznók elé, hogy meg ne tapossák azokat lábaikkal, és néktek fordulván, meg ne szaggassanak titeket.
Matt.7.7 | Kérjetek és adatik néktek; keressetek és találtok; zörgessetek és megnyittatik néktek.
Matt.7.8 | Mert a ki kér, mind kap; és a ki keres, talál; és a zörgetőnek megnyittatik.
Matt.7.9 | Avagy ki az az ember közületek, a ki, ha az ő fia kenyeret kér tőle, követ ád néki?
Matt.7.10 | És ha halat kér, vajjon kígyót ád-e néki?
Matt.7.11 | Ha azért ti gonosz létetekre tudtok a ti fiaitoknak jó ajándékokat adni, mennyivel inkább ád a ti mennyei Atyátok jókat azoknak, a kik kérnek tőle?!
Matt.7.12 | A mit akartok azért, hogy az emberek ti veletek cselekedjenek, mindazt ti is úgy cselekedjétek azokkal; mert ez a törvény és a próféták.
Matt.7.13 | Menjetek be a szoros kapun. Mert tágas az a kapu és széles az az út, a mely a veszedelemre visz, és sokan vannak, a kik azon járnak.
Matt.7.14 | Mert szoros az a kapu és keskeny az az út, a mely az életre visz, és kevesen vannak, a kik megtalálják azt.
Matt.7.15 | Őrizkedjetek pedig a hamis prófétáktól, a kik juhoknak ruhájában jőnek hozzátok, de belől ragadozó farkasok.
Matt.7.16 | Gyümölcseikről ismeritek meg őket. Vajjon a tövisről szednek-é szőlőt, vagy a bojtorjánról fügét?
Matt.7.17 | Ekképen minden jó fa jó gyümölcsöt terem; a romlott fa pedig rossz gyümölcsöt terem.
Matt.7.18 | Nem teremhet jó fa rossz gyümölcsöt; romlott fa sem teremhet jó gyümölcsöt.
Matt.7.19 | Minden fa, a mely nem terem jó gyümölcsöt, kivágattatik és tűzre vettetik.
Matt.7.20 | Azért az ő gyümölcseikről ismeritek meg őket.
Matt.7.21 | Nem minden, a ki ezt mondja nékem: Uram! Uram! megyen be a mennyek országába; hanem a ki cselekszi az én mennyei Atyám akaratát.
Matt.7.22 | Sokan mondják majd nékem ama napon: Uram! Uram! nem a te nevedben prófétáltunk-é, és nem a te nevedben űztünk-é ördögöket, és nem cselekedtünk-é sok hatalmas dolgot a te nevedben?
Matt.7.23 | És akkor vallást teszek majd nékik: Sohasem ismertelek titeket; távozzatok tőlem, ti gonosztevők.
Matt.7.24 | Valaki azért hallja én tőlem e beszédeket, és megcselekszi azokat, hasonlítom azt a bölcs emberhez, a ki a kősziklára építette az ő házát:
Matt.7.25 | És ömlött az eső, és eljött az árvíz, és fújtak a szelek, és beleütköztek abba a házba; de nem dőlt össze: mert a kősziklára építtetett.
Matt.7.26 | És valaki hallja én tőlem e beszédeket, és nem cselekszi meg azokat, hasonlatos lesz a bolond emberhez, a ki a fövényre építette házát:
Matt.7.27 | És ömlött az eső, és eljött az árvíz, és fújtak a szelek, és beleütköztek abba a házba; és összeomlott: és nagy lett annak romlása.
Matt.7.28 | És lőn, mikor elvégezte Jézus e beszédeket, álmélkodik vala a sokaság az ő tanításán:
Matt.7.29 | Mert úgy tanítja vala őket, mint a kinek hatalma van, és nem úgy, mint az írástudók.

Matt.8.1 | Mikor leszállott vala a hegyről, nagy sokaság követé őt.
Matt.8.2 | És ímé eljövén egy bélpoklos, leborula előtte, mondván: Uram, ha akarod, megtisztíthatsz engem.
Matt.8.3 | És kinyújtván kezét, megilleté őt Jézus, mondván: Akarom, tisztulj meg. És azonnal eltisztult annak poklossága.
Matt.8.4 | És monda néki Jézus: Meglásd, senkinek se szólj. Hanem eredj, mutasd meg magadat a papnak, és vidd fel az ajándékot, a melyet Mózes rendelt, bizonyságul nékik.
Matt.8.5 | Mikor pedig beméne Jézus Kapernaumba, egy százados méne hozzá, kérvén őt,
