Mal.1.1 | Az Úr igéjének terhe Izráel ellen, Malakiás által.
Mal.2.6 | Igazság törvénye volt az ő szájában, és nem találtatott álnokság az ő ajkaiban; békességben és egyenességgel járt velem, és sokakat megtérített a bűnből.
Mal.2.7 | Mert a papnak ajkai őrzik a tudományt, és az ő szájából törvényt várnak, mivel a Seregek Urának követe ő.
Mal.2.8 | De ti elhajlottatok ez útról, sokakat megbotránkoztattatok a törvénnyel, felbontottátok Lévi szövetségét, azt mondja a Seregeknek Ura.
Mal.2.9 | Azért én is szidalmasakká tettelek titeket és útálatosakká az egész nép előtt, a miatt, hogy meg nem őriztétek az én útamat, hanem személyválogatók voltatok a törvénnyel.
Mal.2.10 | Nem egy atyánk van-é mindnyájunknak? Nem egy Isten teremtett-é minket? Miért csalja hát kiki az ő felebarátját, megrontván a mi atyáink szövetségét?
Mal.2.11 | Hűtelenné lett Júda, és útálatosság támadt Izráelben és Jeruzsálemben, mert megfertőztette Júda az Úrnak szentségét, a melyet ő szeret, és idegen istennek leányát vette el.
Mal.2.12 | Elveszt az Úr mindenkit, a ki ezt cselekszi, a vigyázót és a felelőt, a Jákób sátraiból, még ha áldozatot visz is a Seregek Urának.
Mal.2.13 | És ezt is cselekszitek: betöltitek az Úr oltárát könyhullatással, sírással és kesergéssel, hogy ne tekintsen többé az ételáldozatra, és ne fogadjon el szívességet a ti kezetekből.
Mal.2.14 | És azt mondjátok: Miért? Azért, mert az Úr tett bizonyságot közted és a te ifjúságod felesége közt, a kit te megcsaltál, holott társad és szövetséges feleséged!
Mal.2.15 | Nem tett ilyet egy sem, a kinek még volt lelke. És mit keresett az az egy? Istentől való magvat. Őrizzétek meg azért a ti lelketeket, és a ti ifjúságotok feleségét meg ne csaljátok!
Mal.2.16 | Mert gyűlölöm az elbocsátást, ezt mondja az Úr, Izráelnek Istene, és [azt,] a ki ruhájára kegyetlenséget borít, azt mondja a Seregeknek Ura. Őrizzétek meg azért lelketeket és ne csalárdkodjatok!
Mal.2.17 | Elfárasztottátok az Urat beszédeitekkel, és azt mondjátok: Mivel fárasztottuk el? Azzal, hogy azt mondjátok: Minden gonosztevő jó az Úr szemeiben, és gyönyörködik ő azokban; vagy: Hol van az ítéletnek Istene?

Mal.3.1 | Ímé, elküldöm én az én követemet, és megtisztítja előttem az útat, és mindjárt eljön az ő templomába az Úr, a kit ti kerestek, és a szövetségnek követe, a kit ti kívántok; ímé, eljön, azt mondja a Seregeknek Ura.
Mal.3.2 | De kicsoda szenvedheti el az ő eljövetelének napját? És kicsoda áll meg az ő megjelenésekor? Hiszen olyan ő, mint az ötvösnek tüze, és a ruhamosóknak lúgja!
Mal.3.3 | És ül mint ötvös vagy ezüsttisztogató és megtisztítja Lévi fiait és fényessé teszi őket, mint az aranyat és ezüstöt; és igazsággal visznek ételáldozatot az Úrnak.
Mal.3.4 | És kedves lesz az Úrnak a Júda és Jeruzsálem ételáldozatja, mint a régi napokban és előbbi esztendőkben.
Mal.3.5 | Mert ítéletre indulok hozzátok, és gyors tanú leszek a szemfényvesztők ellen, a paráznák és hamisan esküvők ellen, és azok ellen, a kik megrövidítik a munkásnak bérét, az özvegyet és árvát, és a kik nyomorgatják az idegent, és nem félnek engem, azt mondja a Seregeknek Ura.
Mal.3.6 | Mert én, az Úr, meg nem változom, ti pedig, Jákóbnak fiai, nem emésztettek meg!
Mal.3.7 | Atyáitok idejétől fogva eltértetek rendeléseimtől és nem tartottátok meg [azokat.] Térjetek hozzám, és én is hozzátok térek, azt mondja a Seregeknek Ura. De azt mondjátok: Miben térjünk meg?
Mal.3.8 | Avagy az ember csalhatja-é az Istent? ti mégis csaltatok engem. És azt mondjátok: Mivel csalunk téged? A tizeddel és az áldozni valóval.
Mal.3.9 | Átokkal vagytok elátkozva, mégis csaltok engem: a nép egészben!
Mal.3.10 | Hozzátok be a tizedet mind az én tárházamba, hogy legyen ennivaló az én házamban, és ezzel próbáljatok meg engem, azt mondja a Seregeknek Ura, ha nem nyitom meg néktek az egek csatornáit, és ha nem árasztok reátok áldást bőségesen.
Mal.3.11 | És megdorgálom érettetek a kártevőt, és nem veszti el földetek gyümölcsét, és nem lesz a szőlőtök meddő a mezőn, azt mondja a Seregeknek Ura.
Mal.3.12 | És boldognak mondanak titeket mind a nemzetek; mert kívánatos földdé lesztek ti, azt mondja a Seregeknek Ura.
Mal.3.13 | Keményen szóltatok ellenem, azt mondja az Úr, és azt mondjátok: Mit szóltunk ellened?
Mal.3.14 | Azt mondtátok: Hiábavaló az Isten szolgálata, és mi haszna, hogy megtartjuk törvényeit, és hogy alázatosan járunk a Seregeknek Ura előtt?
Mal.3.15 | Sőt inkább magunk hirdetjük boldogoknak a kevélyeket; hiszen gyarapodtak, noha gonoszságot űznek, és megszabadulnak, noha kisértik az Istent!
Mal.3.16 | Akkor tanakodtak egymással az Úrnak tisztelői, az Úr pedig figyelt és hallgatott, és egy emlékkönyv iraték ő előtte azoknak, a kik félik az Urat és becsülik az ő nevét.
Mal.3.17 | És azon a napon, azt mondja a Seregeknek Ura, a melyet én szerzek, tulajdonommá lesznek és kedvezek nékik, a mint kiki kedvez a maga fiának, a ki szolgálja őt.
Mal.3.18 | És megtértek és meglátjátok, [hogy különbség van] az igaz és a gonosz között, az Isten szolgája között és a között, a ki nem szolgálja őt.

Mal.4.1 | Mert ímé, eljön a nap, lángoló, mint a sütő-kemencze, és [olyanná] lesz minden kevély és minden gonosztevő, [mint] a pozdorja, és megégeti őket az eljövendő nap, azt mondja a Seregeknek Ura, a mely nem hagy rajtok gyökeret, sem ágat.
Mal.4.2 | És feltámad néktek, a kik félitek az én nevemet, az igazságnak napja, és gyógyulás lesz az ő szárnyai alatt, és kimentek és ugrándoztok, mint a hízlalt tulkok.
Mal.4.3 | És széttapodjátok a gonoszokat, és porrá lesznek lábaitok nyomása alatt azon a napon, a melyet én szerzek, azt mondja a Seregeknek Ura.
Mal.4.4 | Emlékezzetek meg Mózesnek, az én szolgámnak törvényéről, a melyet rendeltem ő általa a Hóreben, az egész Izráelnek rendelésekül és ítéletekül.
Mal.4.5 | Ímé, én elküldöm néktek Illyést, a prófétát, mielőtt eljön az Úrnak nagy és félelmetes napja.
Mal.4.6 | És az atyák szívét a fiakhoz fordítja, a fiak szívét pedig az atyákhoz, hogy el ne jőjjek és meg ne verjem e földet átokkal.
