1Cor.1.1 | Pál, Jézus Krisztusnak Isten akaratából elhívott apostola, és Sosthenes, az atyafi.
1Cor.1.16 | Megkereszteltem azonban Stefana házanépét is, ezenkívül nem tudom, hogy valakit mást kereszteltem volna.
1Cor.1.17 | Mert nem azért küldött engem a Krisztus, hogy kereszteljek, hanem hogy az evangyéliomot hirdessem; de nem szólásban való bölcseséggel, hogy a Krisztus keresztje hiábavaló ne legyen.
1Cor.1.18 | Mert a keresztről való beszéd bolondság ugyan azoknak, a kik elvesznek; de nekünk, kik megtartatunk, Istennek ereje.
1Cor.1.19 | Mert meg van írva: Elvesztem a bölcseknek bölcseségét és az értelmeseknek értelmét elvetem.
1Cor.1.20 | Hol a bölcs? hol az írástudó? hol e világnak vitázója? Nemde nem bolondsággá tette-é Isten e világnak bölcseségét?
1Cor.1.21 | Mert minekutána az Isten bölcseségében nem ismerte meg a világ a bölcseség által az Istent, tetszék az Istennek, hogy az igehirdetés bolondsága által tartsa meg a hívőket.
1Cor.1.22 | Mert egyfelől a zsidók jelt kívánnak, másfelől a görögök bölcseséget keresnek.
1Cor.1.23 | Mi pedig Krisztust prédikáljuk, mint megfeszítettet, a zsidóknak ugyan botránkozást, a görögöknek pedig bolondságot;
1Cor.1.24 | Ámde magoknak a hivatalosoknak, úgy zsidóknak, mint görögöknek Krisztust, Istennek hatalmát és Istennek bölcseségét.
1Cor.1.25 | Mert az Isten bolondsága bölcsebb az embereknél, és az Isten erőtelensége erősebb az embereknél.
1Cor.1.26 | Mert tekintsétek csak a ti hivatástokat, atyámfiai, hogy nem sokan [hívattak] bölcsek test szerint, nem sokan hatalmasak, nem sokan nemesek;
1Cor.1.27 | Hanem a világ bolondjait választotta ki magának az Isten, hogy megszégyenítse a bölcseket; és a világ erőtleneit választotta ki magának az Isten, hogy megszégyenítse az erőseket;
1Cor.1.28 | És a világ nemteleneit és megvetettjeit választotta ki magának az Isten, és a semmiket, hogy a valamiket megsemmisítse:
1Cor.1.29 | Hogy ne dicsekedjék ő előtte egy test sem.
1Cor.1.30 | Tőle vagytok pedig ti a Krisztus Jézusban, ki bölcseségül lőn nékünk Istentől, és igazságul, szentségül és váltságul:
1Cor.1.31 | Hogy, a mint meg van írva: A ki dicsekedik, az Úrban dicsekedjék.

1Cor.2.1 | Én is, mikor hozzátok mentem, atyámfiai, nem mentem, hogy nagy ékesszólással, avagy bölcseséggel hirdessem néktek az Isten bizonyságtételét.
1Cor.2.2 | Mert nem végeztem, hogy egyébről tudjak ti köztetek, mint a Jézus Krisztusról, még pedig mint megfeszítettről.
1Cor.2.3 | És én erőtlenség, félelem és nagy rettegés közt jelentem meg ti köztetek.
1Cor.2.4 | És az én beszédem és az én prédikálásom nem emberi bölcseségnek hitető beszédiben állott, hanem léleknek és erőnek megmutatásában:
1Cor.2.5 | Hogy a ti hitetek ne emberek bölcseségén, hanem Istennek erején nyugodjék.
1Cor.2.6 | Bölcseséget pedig a tökéletesek között szólunk; ámde nem e világnak, sem e világ veszendő fejedelmeinek bölcseségét;
1Cor.2.7 | Hanem Istennek titkon való bölcseségét szóljuk, azt az elrejtetett, melyet öröktől fogva elrendelt az Isten a mi dicsőségünkre;
1Cor.2.8 | Melyet e világ fejedelmei közül senki sem ismert, mert ha megismerték volna, nem feszítették volna meg a dicsőség Urát:
1Cor.2.9 | Hanem, a mint meg van írva: A miket szem nem látott, fül nem hallott és embernek szíve meg se gondolt, a miket Isten készített az őt szeretőknek.
1Cor.2.10 | Nekünk azonban az Isten kijelentette az ő Lelke által: mert a Lélek mindeneket vizsgál, még az Istennek mélységeit is.
1Cor.2.11 | Mert kicsoda tudja az emberek közül az ember dolgait, hanemha az embernek lelke, a mely ő benne van? Azonképen az Isten dolgait sem ismeri senki, hanemha az Istennek Lelke.
1Cor.2.12 | Mi pedig nem e világnak lelkét vettük, hanem az Istenből való Lelket; hogy megismerjük azokat, a miket Isten ajándékozott nékünk.
1Cor.2.13 | Ezeket prédikáljuk is, nem oly beszédekkel, melyekre emberi bölcseség tanít, hanem a melyekre a Szent Lélek tanít; lelkiekhez lelkieket szabván.
1Cor.2.14 | Érzéki ember pedig nem foghatja meg az Isten Lelkének dolgait: mert bolondságok néki; meg sem értheti, mivelhogy lelkiképen ítéltetnek meg.
1Cor.2.15 | A lelki ember azonban mindent megítél, de ő senkitől sem ítéltetik meg.
1Cor.2.16 | Mert ki érte fel az Úrnak értelmét, hogy megoktathatná őt? Bennünk pedig Krisztus értelme van.

1Cor.3.1 | Én sem szólhattam néktek, atyámfiai, mint lelkieknek, hanem mint testieknek, mint a Krisztusban kisdedeknek.
1Cor.3.2 | Téjnek italával tápláltalak titeket és nem kemény eledellel, mert még nem bírtátok volna meg, sőt még most sem bírjátok meg:
1Cor.3.3 | Mert még testiek vagytok; mert a mikor írigykedés, versengés és visszavonás van köztetek, vajjon nem testiek vagytok- é és nem ember szerint jártok-é?
1Cor.3.4 | Mert mikor egyik ezt mondja: Én Pálé vagyok; a másik meg: Én Apollósé; nem testiek vagytok-é?
1Cor.3.5 | Hát kicsoda Pál és kicsoda Apollós? Csak szolgák, kik által hívőkké lettetek, és pedig a mint kinek-kinek az Úr adta.
1Cor.3.6 | Én plántáltam, Apollós öntözött; de az Isten adja vala a növekedést.
1Cor.3.7 | Azért sem a ki plántál, nem valami, sem a ki öntöz; hanem a növekedést adó Isten.
1Cor.3.8 | A plántáló pedig és az öntöző egyek; de mindenik a maga jutalmát veszi a maga munkája szerint.
1Cor.3.9 | Mert Isten munkatársai vagyunk: Isten szántóföldje, Isten épülete vagytok.
1Cor.3.10 | Az Istennek nékem adott kegyelme szerint, mint bölcs építőmester, fundamentomot vetettem, de más épít reá. Kiki azonban meglássa mimódon épít reá.
1Cor.3.11 | Mert más fundamentomot senki nem vethet azon kívül, a mely vettetett, mely a Jézus Krisztus.
1Cor.3.12 | Ha pedig valaki aranyat, ezüstöt, drágaköveket, fát, szénát, pozdorját épít rá erre a fundamentomra;
1Cor.3.13 | Kinek-kinek munkája nyilván lészen: mert [ama] nap megmutatja, mivelhogy tűzben jelenik meg; és hogy kinek-kinek munkája minémű legyen, azt a tűz próbálja meg.
1Cor.3.14 | Ha valakinek a munkája, a melyet ráépített, megmarad, jutalmát veszi.
1Cor.3.15 | Ha valakinek a munkája megég, kárt vall. Ő maga azonban megmenekül, de úgy, mintha tűzön keresztül.
1Cor.3.16 | Nem tudjátok-é, hogy ti Isten temploma vagytok, és az Isten Lelke lakozik bennetek?
1Cor.3.17 | Ha valaki az Isten templomát megrontja, megrontja azt az Isten. Mert az Istennek temploma szent, ezek vagytok ti.
1Cor.3.18 | Senki se csalja meg magát. Ha valaki azt hiszi, hogy bölcs ti köztetek e világon, bolond legyen, hogy bölcscsé lehessen.
1Cor.3.19 | Mert e világ bölcsesége bolondság az Isten előtt. Mert meg van írva: Megfogja a bölcseket az ő csalárdságukban.
1Cor.3.20 | És ismét: Ismeri az Úr a bölcsek gondolatait, hogy hiábavalók.
1Cor.3.21 | Azért senki se dicsekedjék emberekkel. Mert minden a tiétek.
1Cor.3.22 | Akár Pál, akár Apollós, akár Kéfás, akár világ, akár élet, akár halál, akár jelenvalók, akár következendők, minden a tiétek.
1Cor.3.23 | Ti pedig Krisztusé, Krisztus pedig Istené.

1Cor.4.1 | Úgy tekintsen minket az ember, mint Krisztus szolgáit és Isten titkainak sáfárait.
1Cor.4.2 | A mi pedig egyébiránt a sáfárokban megkívántatik, az, hogy mindenik hívnek találtassék.
1Cor.4.3 | Rám nézve pedig igen csekély dolog, hogy ti tőletek ítéltessem meg, vagy emberi [ítélet]naptól; sőt magam sem ítélem meg magamat.
1Cor.4.4 | Mert semmit sem tudok magamra, de nem ebben vagyok megigazulva; a ki ugyanis engem megítél, az Úr az.
1Cor.4.5 | Azért idő előtt semmit se ítéljetek, míg el nem jő az Úr, a ki egyrészt világra hozza a sötétségnek titkait, másrészt megjelenti a szíveknek tanácsait; és akkor mindenkinek az Istentől lészen a dícsérete.
1Cor.4.6 | Ezeket pedig, atyámfiai, példában szabtam magamra és Apollósra ti érettetek, hogy rajtunk tanuljátok meg, hogy annakfelette a mi írva van, nem kell bölcselkedni; hogy senki se fuvalkodjék fel az egyikért a másik ellen.
1Cor.4.7 | Mert kicsoda különböztet meg téged? Mid van ugyanis, a mit nem kaptál volna? Ha pedig úgy kaptad, mit dicsekedel, mintha nem kaptad volna?
1Cor.4.8 | Immár beteltetek, immár meggazdagodtatok, nálunk nélkül uralkodásra jutottatok; vajha csakugyan uralkodásra jutottatok volna, hogy mi is veletek egybe uralkodhatnánk.
1Cor.4.9 | Mert úgy vélem, hogy az Isten minket, az apostolokat, utolsókul állított, mintegy halálra szántakul: mert látványossága lettünk a világnak, úgy angyaloknak, mint embereknek.
1Cor.4.10 | Mi bolondok a Krisztusért, ti pedig bölcsek a Krisztusban; mi erőtlenek, ti pedig erősek; ti dicsőségesek, mi pedig gyalázatosak.
1Cor.4.11 | Mindezideig éhezünk is, szomjúhozunk is, mezítelenkedünk is, bántalmaztatunk is, bujdosunk is,
1Cor.4.12 | Fáradozunk is, tulajdon kezünkkel munkálkodván; ha szidalommal illettetünk, jót kívánunk; ha háborúságot szenvedünk, békességgel tűrjük;
1Cor.4.13 | Ha gyaláztatunk, könyörgünk: szinte a világ szemetjévé lettünk, mindeneknek söpredékévé egész mostanig.
1Cor.4.14 | Nem azért írom ezeket, hogy megszégyenítselek titeket, hanem mint szerelmes gyermekeimet intelek.
1Cor.4.15 | Mert ha tízezer tanítómesteretek lenne is a Krisztusban, de nem sok atyátok; mert tőlem vagytok a Krisztus Jézusban az evangyéliom által.
1Cor.4.16 | Kérlek azért titeket, legyetek az én követőim.
1Cor.4.17 | Azért küldtem hozzátok Timótheust, ki nékem szeretett és hű fiam az Úrban, a ki eszetekbe juttatja néktek az én útaimat a Krisztusban, a mint mindenütt, minden gyülekezetben tanítok.
1Cor.4.18 | De mintha el se mennék ti hozzátok, úgy felfuvalkodtak némelyek.
1Cor.4.19 | Pedig elmegyek hamarosan hozzátok, ha az Úr akarándja; és megismerem a felfuvalkodottaknak nem a beszédjét, hanem az erejét.
1Cor.4.20 | Mert nem beszédben áll az Istennek országa, hanem erőben.
1Cor.4.21 | Mit akartok? Vesszővel menjek-é hozzátok, avagy szeretettel és szelídségnek lelkével?

1Cor.5.1 | Általában hallatszik köztetek paráznaság, még olyan paráznaság is, a milyen a pogányok között sem említtetik, hogy valaki atyjának feleségét elvegye.
1Cor.5.2 | És ti fel vagytok fuvalkodva, és nem keseredtetek meg inkább, hogy kivettetnék közületek, a ki ezt a dolgot cselekedte.
1Cor.5.3 | Mert én távol lévén ugyan testben, de jelen lévén lélekben, már elvégeztem, mintha jelen volnék, hogy azt, a ki ekként ezt cselekedte,
1Cor.5.4 | Ti és az én lelkem a mi Urunk Jézus Krisztusnak nevében egybegyűlvén, a mi Urunk Jézus Krisztus hatalmával
1Cor.5.5 | Átadjuk az ilyent a Sátánnak a testnek veszedelmére, hogy a lélek megtartassék az Úr Jézusnak ama napján.
1Cor.5.6 | Nem jó a ti dicsekedéstek. Avagy nem tudjátok-é, hogy egy kicsiny kovász az egész tésztát megposhasztja.
1Cor.5.7 | Tisztítsátok el azért a régi kovászt, hogy legyetek új tésztává, a minthogy kovász nélkül valók vagytok; mert hiszen a mi húsvéti bárányunk, a Krisztus, megáldoztatott érettünk.
1Cor.5.8 | Azért ne régi kovászszal ünnepeljünk, sem rosszaságnak és gonoszságnak kovászával, hanem tisztaságnak és igazságnak kovásztalanságában.
1Cor.5.9 | Azt írtam néktek ama levelemben, hogy paráznákkal ne társalkodjatok.
1Cor.5.10 | De nem általában e világ paráznáival, vagy csalóival, vagy ragadozóival, vagy bálványimádóival; mert hiszen így ki kellene e világból mennetek.
1Cor.5.11 | Most azért azt írom néktek, hogy ne társalkodjatok azzal, ha valaki atyafi létére parázna, vagy csaló, vagy bálványimádó, vagy szidalmazó, vagy részeges, vagy ragadozó. Az ilyennel még együtt se egyetek.
1Cor.5.12 | Mert mi közöm ahhoz, hogy a kívülvalókról is ítéletet tegyek? avagy ti nem a belüllévők fölött tesztek-é ítéletet?
1Cor.5.13 | A kívülvalókat pedig majd az Isten ítéli meg. Vessétek ki azért a gonoszt magatok közül.

1Cor.6.1 | Merészel valaki ti közületek, ha peres dolga van a másikkal, az igaztalanok előtt törvénykezni, és nem a szentek előtt?
1Cor.6.2 | Nem tudjátok-é, hogy a szentek a világot ítélik meg? És ha ti ítélitek meg a világot, méltatlanok vagytok-é a legkisebb dolgokban való ítéletekre?
1Cor.6.3 | Nem tudjátok-é, hogy angyalokat fogunk ítélni, nemhogy életszükségre való dolgokat?
1Cor.6.4 | Azért ha életszükségre való dolgok felől van törvénykezéstek, a kik a gyülekezetben legalábbvalók, azokat ültessétek le.
1Cor.6.5 | Megszégyenítéstekre mondom: Hát nincs ti köztetek egy bölcs ember sem, a ki ítéletet tehetne az ő atyjafiai között?
1Cor.6.6 | Hanem atyafi atyafival törvénykezik, még pedig hitetlenek előtt?
1Cor.6.7 | Egyáltalán már az is gyarlóság ti bennetek, hogy törvénykeztek egymással. Miért nem szenveditek inkább a bántalmazást? Miért nem tűritek inkább a kárt?
1Cor.6.8 | Sőt ti okoztok bántalmazást és kárt, még pedig atyátokfiainak.
1Cor.6.9 | Avagy nem tudjátok-é, hogy igazságtalanok nem örökölhetik Istennek országát? Ne tévelyegjetek; se paráznák, se bálványimádók, se házasságtörők, se pulyák, se férfiszeplősítők,
1Cor.6.10 | Se lopók, se telhetetlenek, se részegesek, se szidalmazók, se ragadozók nem örökölhetik Isten országát.
1Cor.6.11 | Ilyenek voltatok pedig némelyek, de megmosattattatok, de megszenteltettetek, de megigazíttattatok az Úr Jézusnak nevében és a mi Istenünk Lelke által.
1Cor.6.12 | Minden szabad nékem, de nem minden használ; minden szabad nékem, de én nem adatom valakinek hatalma alá.
1Cor.6.13 | Az eledelek a hasnak és a has az eledeleknek [rendeltetett.] Az Isten pedig mind ezt, mind amazokat eltörli. A test azonban nem a paráznaságnak [rendeltetett,] hanem az Úrnak, és az Úr a testnek.
1Cor.6.14 | Az Isten pedig az Urat is feltámasztotta, minket is feltámaszt az ő hatalma által.
1Cor.6.15 | Nem tudjátok-é, hogy a ti testeitek a Krisztusnak tagjai? Elszakítva hát a Krisztus tagjait, paráznának tagjaivá tegyem? Távol legyen.
1Cor.6.16 | Avagy nem tudjátok-é, hogy a ki a paráznával egyesül, egy test vele? Mert ketten lesznek, úgymond, egy testté.
1Cor.6.17 | A ki pedig az Úrral egyesül, egy lélek ő vele.
1Cor.6.18 | Kerüljétek a paráznaságot. Minden bűn, melyet az ember cselekszik, a testen kívül van, de a ki paráználkodik, a maga teste ellen vétkezik.
1Cor.6.19 | Avagy nem tudjátok-é, hogy a ti testetek a bennetek lakozó Szent Léleknek temploma, a melyet Istentől nyertetek; és nem a magatokéi vagytok?
1Cor.6.20 | Mert áron vétettetek meg; dicsőítsétek azért az Istent a ti testetekben és lelketekben, a melyek az Istenéi.

1Cor.7.1 | A mik felől pedig írtatok nékem, jó a férfiúnak asszonyt nem illetni.
1Cor.7.2 | De a paráznaság miatt minden férfiúnak tulajdon felesége legyen, és minden asszonynak tulajdon férje.
1Cor.7.3 | A feleségének adja meg a férj a köteles jóakaratot; hasonlóképen a feleség is a férjének.
1Cor.7.4 | A feleség nem ura a maga testének, hanem a férje; hasonlóképen a férj sem ura a maga testének, hanem a felesége.
1Cor.7.5 | Ne foszszátok meg egymást, hanemha egyenlő akaratból bizonyos ideig, hogy ráérjetek a bőjtölésre és az imádkozásra, azután ismét együvé térjetek, hogy a Sátán meg ne kísértsen titeket, mivelhogy magatokat meg nem tartóztathatjátok.
1Cor.7.6 | Ezt pedig kedvezésképen mondom, nem parancsolat szerint.
1Cor.7.7 | Mert szeretném, ha minden ember úgy volna, mint én magam is; de kinek kinek tulajdon kegyelmi ajándéka vagyon Istentől, egynek így, másnak pedig úgy.
1Cor.7.8 | Mondom pedig a nem házasoknak és az özvegyasszonyoknak, hogy jó nékik, ha úgy maradhatnak, mint én is.
1Cor.7.9 | De ha magukat meg nem tartóztathatják, házasságban éljenek: mert jobb házasságban élni, mint égni.
1Cor.7.10 | Azoknak pedig, a kik házasságban vannak, hagyom nem én, hanem az Úr, hogy az asszony férjétől el ne váljék.
1Cor.7.11 | Hogyha pedig elválik is, maradjon házasság nélkül, vagy béküljön meg férjével; és a férj se bocsássa el a feleségét.
1Cor.7.12 | Egyebeknek pedig én mondom, nem az Úr: Ha valamely atyafinak hitetlen felesége van, és ez vele akar lakni, el ne bocsássa azt.
1Cor.7.13 | És a mely asszonynak hitetlen férje van, és ez vele akar lakni, el ne bocsássa azt.
1Cor.7.14 | Mert meg van szentelve a hitetlen férj az ő feleségében, és meg van szentelve a hitetlen asszony az ő férjében, mert különben a ti gyermekeitek tisztátalanok volnának, most pedig szentek.
1Cor.7.15 | Ha pedig a hitetlen elválik, ám váljék el; nem vettetett szolgaság alá a keresztyén férfiú, vagy asszony az ilyen dolgokban. De békességre hívott minket az Isten.
1Cor.7.16 | Mert mit tudod, te asszony, ha megmentheted-e a férjedet; vagy mit tudod, te férfiú, ha megmentheted-e a feleségedet?
1Cor.7.17 | Csak a mint kinek-kinek adta az Isten, a mint kit-kit elhívott az Úr, úgy járjon. És minden gyülekezetben ekképen rendelkezem.
1Cor.7.18 | Körülmetélten hivatott el valaki? ne fedezze el azt; körülmetéletlenül hivatott el valaki? me metélkedjék körül.
1Cor.7.19 | A körülmetélkedés semmi, a körülmetéletlenség is semmi; hanem Isten parancsolatainak megtartása.
1Cor.7.20 | Kiki a mely hivatásban hívatott el, abban maradjon.
1Cor.7.21 | Szolgai állapotban hivattattál el? Ne gondolj vele, sőt ha szabad lehetsz is, inkább élj [azzal.]
1Cor.7.22 | Mert az Úrban elhívott szolga az Úrnak szabadosa; hasonlóképen a ki szabadságban hívatott el, Krisztusnak szolgája.
1Cor.7.23 | Áron vétettetek meg, ne legyetek embereknek szolgái.
1Cor.7.24 | Kiki a miben elhívatott, atyámfiai, abban maradjon meg az Isten előtt.
1Cor.7.25 | A hajadonok felől nincs ugyan parancsolatom az Úrtól, de tanácsot adok úgy, mint a ki irgalmasságot nyertem az Úrtól, hogy hitelreméltó legyek.
1Cor.7.26 | Úgy ítélem azért, hogy jó ez a jelenvaló szükség miatt, hogy tudniillik jó az embernek úgy maradni.
1Cor.7.27 | Feleséghez köttettél? Ne keress elválást. Megszabadultál feleségedtől? Ne keress feleséget.
1Cor.7.28 | De ha veszel is feleséget, nem vétkezel; és ha férjhez megy is a hajadon, nem vétkezik ; de az ilyeneknek háborúságuk lesz a testben. Én pedig kedveznék néktek.
1Cor.7.29 | Ezt pedig azért mondom, atyámfiai, mert az idő rövidre van szabva ezentúl, azért a kiknek van is feleségök, úgy legyenek, mintha nem volna.
1Cor.7.30 | És a kik sírnak, mintha nem sírnának; és a kik vígadnak, mintha nem vígadnának; a kik vesznek, mintha semmijök sem volna.
1Cor.7.31 | És a kik élnek e világgal, mintha nem élnének: mert elmúlik e világnak ábrázatja.
1Cor.7.32 | Azt akarnám pedig, hogy ti gond nélkül legyetek. A ki házasság nélkül van, arra visel gondot, a mi az Úré, mimódon kedveskedhessék az Úrnak;
1Cor.7.33 | A ki pedig feleséget vett, a világiakra visel gondot, mimódon kedveskedhessék a feleségének.
1Cor.7.34 | Különbözik egymástól az asszony és a hajadon. A ki nem ment férjhez, az Úr dolgaira visel gondot, hogy szent legyen mind testében, mind lelkében; a ki pedig férjhez ment, a világiakra visel gondot, mimódon kedveskedhessék a férjének.
1Cor.7.35 | Ezt pedig a ti hasznotokra mondom; nem hogy tőrt vessek néktek, hanem hogy illendőképen és állhatatosan ragaszkodjatok az Úrhoz háboríthatatlanul.
1Cor.7.36 | De ha valaki szégyennek tartja az ő hajadon leányára, ha virágzó idejét múlja, és úgy kell történnie, a mit akar, azt cselekedje, nem vétkezik; menjenek férjhez.
1Cor.7.37 | A ki pedig szilárdan áll a szívében és a szükség nem kényszeríti, hatalma pedig van a tulajdon akarata fölött, és azt végezte el szívében, hogy megtartja hajadon leányát, jól cselekszi.
1Cor.7.38 | Azért, a ki férjhez adja, az is jól cselekszi, de a ki nem adja férjhez, még jobban cselekszi.
1Cor.7.39 | Az asszonyt törvény köti, míg férje él, de ha férje meghal, szabadon férjhez mehet, a kihez akar, csakhogy az Úrban.
1Cor.7.40 | De boldogabb, ha úgy marad, az én véleményem szerint; pedig hiszem, hogy bennem is Istennek lelke van.

1Cor.8.1 | A bálványáldozatok felől pedig tudjuk, hogy mindnyájunknak van ismeretünk. Az ismeret felfuvalkodottá tesz, a szeretet pedig épít.
1Cor.8.2 | Ha pedig valaki azt hiszi, hogy tud valamit, még semmit sem ismer úgy, a mint ismernie kell.
1Cor.8.3 | Hanem ha valaki az Istent szereti, az ismertetik ő tőle.
1Cor.8.4 | Tehát a bálványáldozati hús evése felől tudjuk, hogy egy bálvány sincs a világon, és hogy Isten sincs senki más, hanem csak egy.
1Cor.8.5 | Mert ha vannak is úgynevezett istenek akár az égben, akár a földön, a minthogy van sok isten és sok úr;
1Cor.8.6 | Mindazáltal nekünk egy Istenünk van, az Atya, a kitől [van] a mindenség, mi is ő benne; és egy Urunk, a Jézus Krisztus, a ki által [van] a mindenség, mi is ő általa.
1Cor.8.7 | De nem mindenkiben van meg ez az ismeret; sőt némelyek a bálvány felől való lelkiismeretök szerint mind mai napig mint bálványáldozatot eszik, és az ő lelkiismeretök, mivelhogy erőtelen, megfertőztetik.
1Cor.8.8 | Pedig az eledel nem tesz minket kedvesekké Isten előtt; mert ha eszünk is, nem leszünk gazdagabbak; ha nem eszünk is, nem leszünk szegényebbek.
1Cor.8.9 | De meglássátok, hogy ez a ti szabadságtok valamiképen botránkozásukra ne legyen az erőteleneknek.
1Cor.8.10 | Mert ha valaki meglát téged, a kinek ismereted van, hogy a bálványtemplomnál vendégeskedel, annak lelkiismerete, mivelhogy erőtelen, nem arra indíttatik-é, hogy megegye a bálványáldozatot?
1Cor.8.11 | És a te ismereted miatt elkárhozik a te erőtelen atyádfia, a kiért Krisztus meghalt.
1Cor.8.12 | Így aztán, mikor az atyafiak ellen vétkeztek, és az ő erőtelen lelkiismeretüket megsértitek, a Krisztus ellen vétkeztek.
1Cor.8.13 | Annakokáért, ha eledel botránkoztatja meg az én atyámfiát, inkább soha sem eszem húst, hogy az én atyámfiát meg ne botránkoztassam.

1Cor.9.1 | Nem vagyok-é apostol? Nem vagyok-é szabad? Nem láttam-é Jézus Krisztust, a mi Urunkat? Nem az én munkám vagytok-é ti az Úrban?
1Cor.9.2 | Ha egyebeknek nem vagyok apostoluk, de bizony néktek az vagyok, mert az én apostolságomnak pecsétje az Úrban ti vagytok.
1Cor.9.3 | Ez az én védelmem azok ellenében, a kik vádolnak engem.
1Cor.9.4 | Nincsen-é arra jogunk, hogy együnk és igyunk?
1Cor.9.5 | Nincsen-é arra jogunk, hogy keresztyén feleségünket magunkkal hordozzuk, mint a többi apostolok is és az Úrnak atyjafiai és Kéfás?
1Cor.9.6 | Avagy csak nekem és Barnabásnak nincs-é jogunk, hogy ne dolgozzunk?
1Cor.9.7 | Kicsoda katonáskodik valaha a maga zsoldján? Kicsoda plántál szőlőt, és nem eszik annak gyümölcséből? Vagy kicsoda legeltet nyájat, és nem eszik a nyájnak tejéből?
1Cor.9.8 | Vajjon emberi módon beszélem-é ezeket? vagy nem ezeket mondja-é a törvény is?
1Cor.9.9 | Mert a Mózes törvényében meg van írva: Ne kösd fel a nyomtató ökörnek száját. Avagy az ökrökre van-é az Istennek gondja?
1Cor.9.10 | Avagy nem érettünk mondja-é általában? Mert mi érettünk íratott meg, hogy a ki szánt, reménység alatt kell szántania, és a ki csépel, az ő reménységében részesnek lennie reménység alatt.
1Cor.9.11 | Ha mi néktek a lelkieket vetettük, nagy dolog- é, ha mi a ti testi javaitokat aratjuk?
1Cor.9.12 | Ha egyebek részesülnek a ti javaitokban, mért nem inkább mi? De mi nem éltünk e szabadsággal; hanem mindent eltűrünk, hogy valami akadályt ne gördítsünk a Krisztus evangyélioma elé.
1Cor.9.13 | Nem tudjátok-é, hogy a kik a szent dolgokban munkálkodnak, a szent helyből élnek, és a kik az oltár körül forgolódnak, az oltárral együtt veszik el részüket?
1Cor.9.14 | Ekképen rendelte az Úr is, hogy a kik az evangyéliomot hirdetik, az evangyéliomból éljenek.
1Cor.9.15 | De én ezek közül egygyel sem éltem. Nem azért írtam azonban ezeket, hogy velem is így történjék, mert jobb nékem meghalnom, hogysem valaki hiábavalóvá tegye az én dicsekedésemet.
1Cor.9.16 | Mert ha az evangyéliomot hirdetem, nem dicsekedhetem, mert szükség kényszerít engem. Jaj ugyanis nékem, ha az evangyéliomot nem hirdetem.
1Cor.9.17 | Mert ha akaratom szerint mívelem ezt, jutalmam van; ha pedig akaratom nélkül, sáfársággal bízattam meg.
1Cor.9.18 | Micsoda tehát az én jutalmam? Hogy prédikálásommal ingyenvalóvá tegyem a Krisztus evangyéliomát, hogy ne használjam ki [ama] szabadságomat az evangyéliom hirdetésénél.
1Cor.9.19 | Mert én, noha mindenkivel szemben szabad vagyok, magamat mindenkinek szolgájává tettem, hogy a többséget megnyerjem.
1Cor.9.20 | És a zsidóknak zsidóvá lettem, hogy zsidókat nyerjek meg; a törvény alatt valóknak törvény alatt valóvá, hogy a törvény alatt valókat megnyerjem;
1Cor.9.21 | A törvény nélkül valóknak törvénynélkülivé, noha nem vagyok Isten törvénye nélkül, hanem Krisztus törvényében való, hogy törvény nélkül valókat nyerjek meg.
